,Unnamed: 0,artist_title,lyrics,emotions
0,0,xxxmanera - Never Broke Again,"41 ContributorsTranslationsEnglishNever Broke Again Lyrics

Люди всегда готовы дать свою любовь кому-нибудь, кто этого заслуживает
(I got my swag now)
Так случилось со мной, так случится и с тобой (Wake up, Star)
(Yeah, I got my own-own swag now)
Будь терпимее к людям и знай: быть добрым — всегда самый беспроигрышный вариант
(Yeah, I got my own-own-own-own-own-own-own-own)

Grind it, chop it, mix it, flava-it
Bitch, I get it on my mind
Smoke it, roll it, taste it, bang it
Bitch, I can't get even high
You can't get way that I'm flexin'
Bitch, I'm on my demon time
You know this my flow is extendin'
I grab the shit of my crime

Сломанный ублюдок — тот, кем мне никогда не стать
Карманы жрут купюры, стоило мне лишь начать
Словно Боинг, сука
​manera создан, чтоб летать
Мне не тянули руку
Я сам научился сиять
You might also like
Grind it, chop it, mix it, flava-it
Bitch, I get it on my mind
Smoke it, roll it, taste it, bang it
Bitch, I can't get even high
You can't get way that I'm flexin'
Bitch, I'm on my demon time
You know this my flow is extendin'
I'm grab the shit of my crime
Grind it, chop it, mix it, flava-it
Bitch, I get it on my mind
Smoke it, roll it, taste it, bang it
Bitch, I can't get even high
You can't get way that I'm flexin'
Bitch, I'm on my demon time
You know this my flow is еxtendin'
I'm grab the shit of my crime

Кто бы мог подумать, а
Lil' shawty точно влюблена
Тупит, но вроде не дура, а
Запрыгнет со мной в бумер, а
Я видел это тыщу раз
Две тыщи слёз из тыщи глаз
​manеra bless, топлю на газ
Ты знаешь, что скажу сейчас
Grind it, chop it, mix it, flava-it
Bitch, I get it on my mind
Smoke it, roll it, taste it, bang it
Bitch, I can't get even high
You can't get way that I'm flexin'
Bitch, I'm on my demon time
You know this my flow is extendin'
I'm grab the shit of my crime12Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval'], ['neutral'], ['annoyance'], ['neutral'], ['anger'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['confusion', 'neutral'], ['neutral'], ['annoyance'], ['neutral'], ['anger'], ['neutral'], ['anger'], ['neutral'], ['anger'], ['neutral'], ['annoyance'], ['neutral'], ['anger'], ['neutral'], ['anger'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['annoyance'], ['neutral'], ['anger'], ['neutral'], ['anger'], ['neutral'], ['neutral']]"
1,1,Skryptonite - Это любовь,"26 ContributorsЭто любовь (It’s Love) Lyrics

Я опять на районе потерял себя в одном из дворов
Ты опять мне трезвонишь, чтобы знать, что я жив и здоров
Среди тех пацанов, барыг и быков, машин, мусоров
Я пообещал бросить дуть и пить, ведь это любовь
Руки в петли, руки прямо, как узлы, руки на замок
Руки в пепле, губы об твои губы, глаза в потолок
Я снова в дверях, руки врозь, прости, что валюсь с ног
Я снова пообещал всё, что смог, ведь это любовь

Ещё одной тёмной ночью, каждый твой вдох
И каждый твой выдох кричит об одном
Ещё одним холодным утром — руки без слов
Кричат об одном: «Это любовь»

Ты опять в телефоне ищешь сообщения шлюх, пока сплю
Ты опять их находишь, будишь и орёшь; все нервы к нулю
Среди кресел, столов и полок, посуда в пол, я тебя ловлю
Ты снова прощаешь всё, а руки говорят: «Я люблю»
Я опять с самолёта в самолёт, в поезда
Ты опять в переезде пять часов, не устав
Я с дороги в дом, ты туда же, всё в привычных цветах
Ты опять оторвёшь, не удержав «я люблю»
You might also like
Ещё одной тёмной ночью, каждый твой вдох
И каждый твой выдох кричит об одном
Ещё одним холодным утром — руки без слов
Кричат об одном: «Это любовь»

Ещё одной тёмной ночью
И каждый твой выдох кричит об одном
Ещё одним холодным утром — руки без слов
Кричат об одном
Ещё одной тёмной ночью, каждый твой вдох
И каждый твой выдох кричит об одном
Ещё одним холодным утром — руки без слов
Кричат об одном: «Это любовь» (Ещё одной тёмной ночью)
«Это любовь», м, м-м, м-м
Кричат об одном: «Это любо-овь»
«—Бовь» (Ещё одной тёмной ночью)
«—Бовь» (Ещё одной тёмной ночью)
«Любовь»

Я опять на районе потерял себя в одном из дворов
Ты опять мне трезвонишь, чтобы знать, что я жив и здоров
Среди тех пацанов, барыг и быков, машин мусоров
Я пообещал бросить дуть и пить, ведь это любовь49Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
2,2,Кишлак - Я уёбываю в джаз,"1 Contributorмои романизации (my romanizations) LyricsЧто это?Это страничка о моих романизациях песен/альбомов на Джиниус! Просто кликни на песню и ты будешь перенаправлен на страничку романизации!
Кстати, это ещё называется транслитомРоманизацииСинглыCLONNEX & Маша Кондратенко - Ванька-Встанька 2 (10 мая 2024)
plgthg & gitarakuru - Heavy Rain (5 мая 2024)
Кишлак - Я уёбываю в джаз (24 марта 2024)
А4 (a4omg) - ЛАМА МАМА (23 марта 2024)
sqwiij - Ненавiджу (23 марта 2024)
​prombl - THE RACE FREESTYLE (22 марта 2024)
LIL MORTY - Freya (22 марта 2024)
LIL MORTY - Choppa On Me (21-22 марта 2024)
LIL MORTY - Gra Gra / R2F (21 марта 2024)
LIL MORTY - НА КУРОРТЕ (21 марта 2024)
LIL MORTY - I Am Cute (21 марта 2024)
LIL MORTY - Я пиздатый (21 марта 2024)
Игорь Скляр - Комарово (15 марта 2024)
Игорь Скляр & Ольга Пирагс - Старый рояль (15 марта 2024)
Пошлая Молли & HOFMANNITA - #HABIBATI (10 марта 2024)
Пошлая Молли - Спать с тобой (10 марта 2024)АльбомыFACE - SLIME (24-29 марта 2024)
FACE - ПРОКЛЯТАЯ ПЕЧАТЬ (24 марта 2024)
A4 (a4omg) - ДЕТСКИЕ ПЕСНИ (23 марта 2024)
CLONNEX - MEDIV Pes Patron (16-19 марта 2024)Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
3,3,Aarne - Тесно,"60 ContributorsTranslationsRomanizationТесно (Tight) Lyrics

Хотя бы раз давай будем честны:
Нам тесно быть вместе
Хотя бы раз давай будем честны: (Damn, Aarne goin' crazy on these motherfuck—)
Нам тесно быть вместе (По-по-по-по, ыр)

Хотя бы раз давай будем честны:
Нам тесно (Go) быть вместе (По-по-по)
Хотя бы раз давай будем честны:
Нам тесно (Go) быть вместе (По-по-по)

(А) Йоу, нам тесно быть вместе
Я больше никогда не назову тебя «bestie» (Факты-факты-факты)
Нам тесно быть вместе
Мои мозги кипят, если говорить без лести (Факты-факты-факты)
Нам тесно быть вместе
Я больше не сяду рядом с тобой в этом ресте (Факты-факты-факты; по-по-по)
Нам тесно быть вместе
Сука, пойми, нам тесно быть вместе (Go)
Мне так не по кайфу, сука, пойми (У)
Вижу только числа, я типа в IT, эй (Р-ра)
Сижу перед микро в своей white tee (Гэнг)
Мне так не по кайфу, сука, пойми
You might also like
А, а, не делай мне мозг (Не делай мне мозг)
Хотя бы раз не делай мне мозг (А, а)
Не делай мне мозг
Бля, хотя бы раз не делай мне мозг (По-по-по, go)

Хотя бы раз давай будем честны:
Нам тесно быть вместе (Эй, эй, go)
Хотя бы раз давай будем честны:
Нам тесно быть вместе (Пау, по-по-по, ыр, go)

Йоу, мне с тобой очень мило (Муа)
Она меня любит, как Дора любит пиво (По)
Я не понимаю девушек — не даю им мотива
Но вот эта детка меня очень сильно зацепила
А, а, да я тот ещё мудила (У)
Твой любимый парень не с повышенным либидо
Меня сильно осаждало, когда сильно осадило (Бр-р)
Да, я не курю давно, но я б с тобой дунул тротила
У, у, говоришь, что ты любила (Гэнг)
Если не был рядом — это было некрасиво
Меня не пугает то, что ты прошла бы меня мимо
Нас опять тянет на дно, и мы опять как два дебила
А, а, yeah, yeah, у, у, damn, damn
Я тебя сильно люблю, но с тобой много проблем (По-по-по), ай
Хотя бы раз давай будем честны:
Нам тесно быть вместе
Хотя бы раз давай будем честны:
Нам тесно быть вместе (По-по-по-по, ыр)

Хотя бы раз давай будем честны: (Go-go)
Нам тесно быть вместе (Hold on, hold on)
Хотя бы раз давай будем честны: (Эй)
Нам тесно (Окей) быть вместе (По-по-по-по, ыр)41Embed","[['neutral'], ['neutral'], ['anger', 'annoyance'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
4,4,FACE - Антидепрессант,"34 ContributorsTranslationsRomanizationEnglishАнтидепрессант (Antidepressant) Lyrics

Среди тревог и вечной грусти
Стань мне антидепрессантом
Позволь любить себя, допустим
Любить меня в ответ не надо
Ты можешь не любить совсем
Позволь с тобой быть просто рядом
Среди тревог и вечной грусти
Стань мне антидепрессантом
Стань мне антидепрессантом
Стань мне антидепрессантом
Стань мне антидепрессантом
Стань мне антиде—

Я боюсь, что умру
Не коснусь твоих губ
Знаешь кто, о ком пою
И я в неё влюблён, но не могу сказать: «Люблю»
Прыгаю в Бумер, рядом Пэрис Хилтон
Конечно же не настоящая, а только с виду
Она любит кокер, делает дороги
А я всё прощаю ей за длинные ноги
You might also like
Среди тревог и вечной грусти
Стань мне антидепрессантом
Позволь любить себя допустим
Я не прошу любви обратной24Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,FACE - ЛАБИРИНТ,"38 ContributorsЛАБИРИНТ (LABYRINTH) Lyrics

Мой отец ушёл, когда мне было только пять месяцев
Я хотел повеситься, когда исполнилось десять
И моя мать сошла с ума, когда мне было четырнадцать
Почти все мои друзья сидят, как я смог выбраться? (Пр-р-р)
Мой отец ушёл, когда мне было только пять месяцев
Я хотел повеситься, когда исполнилось десять
И моя мать сошла с ума, когда мне было четырнадцать
Почти все мои друзья сидят, как я смог выбраться? (Пр-р-р)

Мыслю намного глубже, чем просто деньги
Что вокруг меня? Неужели, я удобрение?
Это не любовь, это просто трение (Просто трение)
Творчество сильнее выгоды, мировоззрение
Быть против власти — не значит быть против родины
Я люблю Россию за запах чёрной смородины
Не дам русофобам нажиться на моих взглядах
Я в золотистых полях и колосьях, ляг со мной рядом

Мой отец ушёл, когда мне было только пять месяцев
Я хотел повеситься, когда исполнилось десять
И моя мать сошла с ума, когда мне было четырнадцать
Почти все мои друзья сидят, как я смог выбраться? (Пр-р-р)
Мой отец ушёл, когда мне было только пять месяцев
Я хотел повеситься, когда исполнилось десять
И моя мать сошла с ума, когда мне было четырнадцать
Почти все мои друзья сидят, как я смог выбраться? (Пр-р-р)
You might also like
Выступаю в Тель-Авиве, я не могу поверить
Я в себе уверен, снова пахну лучшей парфюмерией
Как я попал сюда? Кто открыл мне двери?
Я меланхоличный холерик, утерянный среди материй
Я в полной комнате, но я совсем один
Вокруг меня модели, как с картин
Я не ищу среди них половин
Сердце как лёд, бытие — лабиринт

Мой отец ушёл, когда мне было только пять месяцев
Я хотел повеситься, когда исполнилось десять
И моя мать сошла с ума, когда мне было четырнадцать
Почти все мои друзья сидят, как я смог выбраться? (Пр-р-р)
Мой отец ушёл, когда мне было только пять месяцев
Я хотел повеситься, когда исполнилось десять
И моя мать сошла с ума, когда мне было четырнадцать
Почти все мои друзья сидят, как я смог выбраться? (Пр-р-р)18Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,Korol i Shut - Кукла колдуна,"15 ContributorsКукла колдуна (Sorcerer’s Doll) Lyrics

Тёмный, мрачный коридор
Я на цыпочках, как вор
Пробираюсь, чуть дыша
Чтобы не спугнуть
Тех, кто спит уже давно
Тех, кому не всё равно
В чью я комнату тайком
Желаю заглянуть
Чтобы увидеть…

Как бессонница в час ночной
Меняет, нелюдимая, облик твой
Чьих, невольница, ты идей?
Зачем тебе охотиться на людей?

Крестик на моей груди
На него ты погляди
Что в тебе способен он
Резко изменить?
Много книжек я читал
Много фокусов видал
Свою тайну от меня
Не пытайся скрыть!
Я это видел!
You might also like
Как бессонница в час ночной
Меняет, нелюдимая, облик твой
Чьих, невольница, ты идей?
Зачем тебе охотиться на людей?

Очень жаль, что ты тогда
Мне поверить не смогла
В то, что новый твой приятель
Не такой, как все!
Ты осталась с ним вдвоём
Не зная ничего о нём
Что для всех опасен он
Наплевать тебе!
И ты попала!

К настоящему колдуну
Он загубил таких, как ты, не одну!
Словно куклой, в час ночной
Теперь он может управлять тобой!

Всё происходит, будто в страшном сне
И находиться здесь опасно мне!9Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
7,7,INSTASAMKA - ЗА ДЕНЬГИ ДА,"32 ContributorsTranslationsEnglishRomanizationЗА ДЕНЬГИ ДА (FOR MONEY YES) Lyrics

Я вообще делаю, что хочу (А)
Хочу импланты — звоню врачу (Аллё)
Кто меня не любит — я вас не слышу (Чё?)
Вы просто мне завидуете, я молчу
Я не молчу, когда я хочу
Я не продаюсь, но за деньги — да (Да)
Мой продюсер говорит: «Ты — поп-звезда»
И кстати, мой продюсер — это мой муж, да

Я не скажу в ответ ничего на хейт (М-м)
И не скажу «привет», если бабок нет (Нет)
Слышу любимый звук — это звон монет
Они тянут сотни рук, это мой концерт (Е-е)

Не завожу подруг, но за деньги — да (Ха-ха-ха)
Я не делаю фиты, даже за деньги, да
Я подумаю потом, но скажу сразу «да»
За деньги, да, за деньги, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да
Да— Да— Да— Да—
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да (Да)
You might also like
Это я в Дубае, я ща отдыхаю (Йей)
Да, я так богата, и я это не скрываю (Да)
Все мои подруги за собой не замечают
Они видят мои шмотки и тупо повторяют
Пусть не забывают, кто тут королева (Бакс)
Я раскидываю бабки направо и налево
Это моя манера, жена миллионера
Мне платят за концерты, я читаю под фанеру
Эту сумку мне муж купил, эти Ролексы муж купил
Кольцо с бриллиантом мне муж купил
Муж купил, мне муж купил

Не завожу подруг, но за деньги — да (Ха-ха-ха)
Я не делаю фиты, даже за деньги, да
Я подумаю потом, но скажу сразу «да»
За деньги, да, за деньги, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да
Да— Да— Да— Да—
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да (Да— Да—)
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да (Да)Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
8,8,Три дня дождя - Отпускай,"2 ContributorsНовинки — 101 LyricsНОВИНКИ | Выпуск 101.
Дата проведения: 28 мая 2022 года
Разбираем новинки/релизы 2022 года/релизы по максимальным запросам из комментариев/заказы за баллы канала твича.
На прошедшей трансляции мы разобрали следующие релизы:
✔ SLAVA MARLOW — Saint Laurent (сингл)
✔ Thomas Mraz & KKOME — Спойлер (сингл)
✔ INSTASAMKA — СНОВА? (сингл)
✔ PKHAT & KURT92 — Tom Sawyer (сингл)
✔ Три дня дождя — Отпускай (сингл)
✔ PINQ — Подлец (сингл)
✔ 10AGE — Малышка (сингл)
✔ YUNGWAY — Конверт (сингл)
✔ rizza — Oblivion (сингл)
✔ Josodo — 911 (сингл)
✔ Boulevard Depo — Вок (сингл)
✔ Хаски — Песня для К (сингл)
✔ WhyBaby? — KUNINI (сингл)
✔ Kai Angel — HASHIRA (сингл)
✔ MUPP — Break to Lose (сингл)
✔ МЭЙБИ БЭЙБИ — INSTASAMKA DISS (клип)
Ознакомиться с рейтингом можно здесь.
А какой разбор понравился вам? Голосуйте в опросе, которое прикреплено к данному посту в сообществе ВКонтакте.Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity'], ['neutral'], ['neutral'], ['annoyance', 'neutral'], ['neutral'], ['neutral']]"
9,9,КАКАЯ РАЗНИЦА - Рассвет,"3 ContributorsРассвет (Sunrise) Lyrics

Налей мне, дорогой
Давай забудем эту боль
Я слишком молодой
Разбил окно в балкон
Очень хотел курить
Тебя мне не забыть

Я вспомнил образ твой
Тебя не заменить
Тебя не изменить
Придёт рассвет, и всё
Уйдёт в небытие
Останется лишь сон

Я беру телефон, набираю тебе
Я хочу, чтоб ты знала (Что?!)
Ты сожрала мою душу
И разбила мне сердце
Но кто бы мог подумать
Что мы не будем вместе?
You might also like
Я вспомнил образ твой
Тебя не заменить
Тебя не изменить
Придёт рассвет, и всё
Уйдёт в небытие
Останется лишь сонEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
