,Unnamed: 0,artist_title,lyrics,emotions
0,0,Viktor Sheen - Až na měsíc,"16 ContributorsAž na měsíc Lyrics

Uvízl jsem, nevim jak, pod září nočních lamp
Ve fontáně, co jsem já, naplnil po okraj
Vzpomínek, jak jsem nám bral lístek do oblak
Vzpomínek, jak jsem nám hrál city na strunách
Nejsi ničí, páč nejsi má
Jestli uvidím někoho se dotýkat tě
Vyjdu z hlubin duše, kde je tma
Abych mohl toho zkurvysyna rozmrdat
Pár měsíců si olivy nedám
Páč, co jsem navařil, se špatně tráví
Já směřuju z bytu, přitom nevím kam
Z bytu, kde jsi stihla vyměnit zámky

V tvejch očích
Snažím se číst
Vidim celej vesmír
Padá skaf a ne sníh
Nikdy jsme nebyli takhle deep
Nikdy jsme nebyli takhle high
Já a ty už to víš
Že už nikdy nemusim bejt sám
You might also like
Jsme výš, pak níž, dál, blíž
Až na měsíc, až na měsíc
Jsme výš, pak níž, dál, pak blíž
Až na měsíc, až na měsíc

Já si tě nahrávám, nahrávám, zabíráš mi místo v cloudu
Všechny ty drogy a cigára o tobě mi řeknou pravdu
Tvý tělo na mě tančí, i v tý tmě tě najdu
Já jenom zpomalim, přidávám, chci tvý číslo, než odejdu
Ale já ještě nejdu pryč (Nejdu pryč)
Všechno to, co můžu dostat u těch kurev, dej mi ty (Dej mi ty)
Všechno, co dělají mí lidi v noci, jsou vzpomínky (Vzpomínky)
Ve dvě ráno mi opilý holky koukají na rty, černý oči a zlý návyky (Návyky)

Ty a já
Nikdy jsme nebyli tam, kde jsme chtěli, ayy
Nikdy jsme nebyli to, co jsme chtěli bejt
Nikdy jsme neměli to, co jsme chtěli mít, yau
Nikdy jsme nebyli tam, kde jsme chtěli, ayy
Nikdy jsme nebyli to, co jsme chtěli bejt
Nikdy jsme neměli to, co jsme chtěli mít, yau
Vesmír
Říká: ""My patříme k sobě, otevřel mý oči""
Teď je otevřu já tobě
Jsme blíž, dál, níž, pak blíž, pojď blíž, sundej kříž
A přestaň se modlit, dneska večer budem tančit, dneska večer budem pít
Jde se mnou výš, dokud to hraje
Děláme zlo, když slunce zajde
I v tý tmě se vždycky najdem, yeah
Pojď se mnou dál a nech to na mně
Všechny ty dny mi začínají splývat, když jsi u mě blíž
A pak jsme

Výš, pak níž, dál (Dál), blíž
Až na měsíc, až na měsíc (Mhmm)
Jsme výš, pak níž, dál, pak blíž
Až na měsíc (Yeah), až na měsíc
Jsme výš, pak níž, dál, blíž
Až na měsíc, až na měsíc
Jsme výš, pak níž, dál, pak blíž
Až na měsíc, až na měsíc3Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['anger', 'neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
1,1,Calin - Safír,"1 Contributor​safari Lyrics
Why do you treat me like an enemy
I wanna play you like a melody
You could be the string on my guitar
I could take you far away

Why do you treat me like I'm bad for you
My bedroom's gotta be the point of view
You could be the tourist I'm the guide
I can take you far away

I could play you night and day
I could play you night and day

I don't wanna work for your attention
I just wanna lose my mind tonight
I can give you satisfaction
You spin around my head like a satellite
Let me try and break off of your retention
I just wanna make love to you tonight
Maybe get just one reaction
Let us be animals at night
You might also like
Why do you treat me like I'm bad for you
My bedroom's gotta be the point of view
You could be the tourist I'm the guide
Let me play you

Let me play you night and day
I can take you far away
I could play you night and dayEmbed","[['annoyance'], ['desire', 'neutral'], ['neutral'], ['neutral'], ['annoyance'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['disapproval'], ['disappointment', 'neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['desire', 'love'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['annoyance'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
2,2,Calin - Hannah Montana,"7 ContributorsHannah Montana Lyrics

Venku v zimě, já jezdím městama
Gas za schodama, já a baby mama
Air Forcy na nohách, blokem Formula 1
Mám životy dva, Hannah Montana
Co nosí moje Prada? Sto jedna hříchů, možná víc
Tmou jede Qashqai, jedem pro krysu ke dvěřím
Vzhůru do rána, chica americana
Není čas na beef, duše temná jako vrána, ayy

Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a
Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a

Oi, oi, oi, California Love
V Sonu se mnou psychopati, bude válka, bude boj, yeah
Oi, oi, oi, říkaj mi Pretty Boy
Daytona ve vitríně žene vlky jako stroj, yeah
Hranice, koridor, díky tady za domov
Kdo nadává na Čechy, tak neví, kde se děje co
Na zadním sedadle jsem každý víkend, dej mi to
Píšu příběhy, co dělám, další město, další noc, yeah
You might also like
Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a
Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a

Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a
Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry aEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral']]"
3,3,Viktor Sheen - Stíny,"11 ContributorsStíny Lyrics

No, Viktore, já tě miluju prostě a jednou se vezmem
Poslouchám tě už od třinácti let a prostě vezmem se, já to vim
Takže I love you prostě, víš co, prostě my se jednou vezmem
Já to vim, já jsem tě viděla a my k sobě patříme prostě, my se vezmem

Přijde mi, že zastavil se čas teď
Já v týhle pustině nebejvám často
Tady odsud už mi nejede nic zpátky, nazpět
Všechno tohle beru s sebou na stage
Bitches na mě čuměj jako na steak
Líčej na mě pasti a všechny mají naspěch
A démoni mě berou s sebou chlastat
Chtějí mě vidět jak přijdu o všechno jak Max Paynе
A její fialový oči bolej
Ale dělám všеchno pro to, aby jsem odešel po svejch
Já posouvám jí hned na druhou kolej
Ale dělá všechno pro to, abych v hlavě viděl postel
A říkali, že milujou mou hudbu
Já vim, že nemusim je ani zkoušet
Já vidim clout chase, píčo, všude, kam jdu
Já vim, že pes, co štěká, málo kouše (Kouše)
You might also like
Lež má dlouhý rovný nohy a velký pevný kozy
Tak doufám, že máš pěkný auto, v kterym jí chceš vozit
Pak nabídne ti pussy jako sklenici vody
Ve který se utopíš, až probudíš se, přijdeš o byt (Anebo ne, já nevim)

Já nabírám speed, nejsem tu s ní (Yah)
Moje hudba zní a ona tančí
Choděj všude za mnou jako mý stíny, já to vím
Stíny, já to vím
Tahle byla pro mě něco jako weed (Yah)
Hrozně voní, ale nemůžu jí mít (Yah)
A moje hudba zní, ona tančí (Co?)
A za zádama se mi hejbou její stíny (Stíny)

Mám za sebou stíny, za sebou stíny
Mám za sebou stíny, stíny, já to vím
Stíny, já to vím
Yeah, woo

Jebat, Jesus mi zakázal s tebou mluvit
Já mám rozexpenej char a nechci začínat od nuly, uh, uh
Chci utýct, ale nevim kudy
Nevyznám se v tomhle klubu, ovládají mě mý pudy
Spíš pud sebezáchovy, než se zmátořim
Jsou tři ráno, bitches tahaj frajery na záchody
My jsme dobrej tým, umíš rýsovat, já násobit
Vítej na mý party, tohle jsou mý příběhy a sny
Přitom chtěl bych jen sedět doma a hrát WoWko
Apex a Tarkov a rageovat u LoLka
Teď sedim v backstagi a je tu horko
Teď sedim v backstagi a je tu horko
A ty jdeš kouřit, já se jdu loučit
Můj rapovej fotr řek', že některý věci si nemůžeš koupit
Ty chceš bejt na mym místě? Si tam stoupni
Tu všechno bliká, jak na nějaký vyjebaný pouti (Píčo a já)

Já nabírám speed, nejsem tu s ní (Yah)
Moje hudba zní a ona tančí
Choděj všude za mnou jako mý stíny, já to vím
Stíny, já to vím (Yah)
Tahle byla pro mě něco jako weed (Yah)
Hrozně voní, ale nemůžu jí mít (Yah)
A moje hudba zní, ona tančí (Co?)
A za zádama se mi hejbou její stíny (Stíny, woah)2Embed","[['disapproval', 'neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['anger', 'neutral'], ['anger', 'neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
4,4,Calin - Praha/Vídeň,"8 ContributorsPraha/Vídeň Lyrics

Na Polaroid chytám zas
Praha/Vídeň, baby, jestli máš čas
A po autě lítá gas
A pull over, vidíme se za pár
Na Polaroid chytám zas
Praha/Vídeň, baby, jestli máš čas
A po autě lítá gas, on pass, co chceš
A na noc andělskej prach

Srdce z chromu a můj tým, moje boo a můj cash
Další město, kam jedeme, proměníme v Breaking Bad
Shawty malá jako Pluto, shawty šílená jak Taz
Úsměv vždy, když vidím čísla, baby, pojď se s náma svézt
Praha na tři dny, tři chicas, můj svět
Dívej z Brna jak to roste, koukej, baby, v čem jedem
Praha na tři dny, tři chicas, můj svět
Na-na-nana-na-na

Na Polaroid chytám zas
Praha/Vídeň, baby, jestli máš čas
A po autě lítá gas
A pull over, vidíme se za pár
Na Polaroid chytám zas
Praha/Vídeň, baby, jestli máš čas
A po autě lítá gas, on pass, co chceš
A na noc andělskej prach
You might also like
Tu-du-du-tu-tu, tu-du-du-tu-tu
Tu-du-du-tu-tu, tu-du-du-tu-tu
Tu-du-du-tu-tu, tu-du-du-tu-tu
Tu-du-du-tu-tu
(Na Polaroid chytám zas)
(Na Polaroid chytám zas)Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,STEIN27 - Habibi,"4 ContributorsHabibi Lyrics

Ganja můj gas, můj plug je ten best
Má karta je eso, tak dej mi ty pesos
Nejsem jeden ze sta, jenom jedu na sto
My dva stejný těsto, yeah
Ale v mojí krvi teče jenom kytara a bass
Kokain, vodka, purple haze, hodnej pes, ale koušu
Když cejtim, že měníš face, Airwaves
Ledový je nádech, výdech, když ti říkám: „Baby, dej mi jednu noc“

Já si tě nepřišel půjčit, já jsem si tě přišel vzít
Nepřijedu Mercеdesem, přijedu na BMX
Teenagе love, spolu zemřeme krásní
Nevinná kráska a prokletý básník

My habibi, my, my habibi
Má duše není, ne, má duše není bez chyby
My habibi, my, my habibi
Já bráním bratry, yeah, já chráním bratry –⁠ Hakimi
My habibi, my, my habibi
Má duše není, ne, má duše není bez chyby
My habibi, my, my habibi
Já bráním bratry, yeah, já chráním bratry –⁠ Hakimi
You might also like
Tony Montana, baby tancuje sama
Ty bys nechtěla ke mně, baby je dneska dáma
V mý kapse diamanty, kámošce udělej pápá
Venku nás čeká taxi, mý tělo hoří – láva

Já si tě nepřišel půjčit, já jsem si tě přišel vzít
Nepřijedu Mercedesem, přijedu na BMX
Teenage love, spolu zemřeme krásní
Nevinná kráska a prokletý básník

My habibi, my, my habibi
Má duše není, ne, má duše není bez chyby
My habibi, my, my habibi
Já bráním bratry, yeah, já chráním bratry –⁠ Hakimi
My habibi, my, my habibi
Má duše není, ne, má duše není bez chyby
My habibi, my, my habibi
Já bráním bratry, yeah, já chráním bratry –⁠ HakimiEmbed","[['neutral'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral']]"
6,6,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed","[['approval', 'neutral'], ['neutral'], ['neutral'], ['love', 'optimism'], ['neutral'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['realization'], ['confusion', 'neutral'], ['disappointment', 'sadness', 'neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['neutral'], ['neutral'], ['caring', 'joy'], ['neutral'], ['disapproval'], ['excitement', 'neutral'], ['excitement', 'neutral'], ['neutral'], ['disapproval', 'neutral']]"
7,7,Tom Odell - Another Love,"106 ContributorsTranslationsالعربيةУкраїнськаDeutschPortuguêsFrançaisЎзбекTürkçeAnother Love Lyrics
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights

I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
See Tom Odell LiveGet tickets as low as $59You might also like
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
(Oh, need a love, now)
(My heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed","[['caring'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['desire', 'neutral'], ['neutral'], ['desire', 'love'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['anger'], ['disappointment'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'love'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['desire'], ['neutral'], ['desire', 'sadness'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral']]"
