,Unnamed: 0,artist_title,lyrics,emotions
0,0,Anggi Marito - Tak Segampang Itu,"4 ContributorsTak Segampang Itu Lyrics

Waktu demi waktu
Hari demi hari
Sadar ku t'lah sendiri
Kau t'lah pergi jauh
Tinggalkan diriku
Ternyata ku rindu

Senyuman yang s'lalu membungkus hati yang terluka
Di depan mereka
Tuhan masih pantaskah ku 'tuk bersamanya
Karna hati ini inginkannya

Tak segampang itu ku mencari penggantimu
Tak segampang itu ku menemukan sosok seperti dirimu cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah

Terlalu besar kutaruh harapan pada dirimu
Itu alasanku lama tanpa dirimu
Mereka yang bilang ku akan dapat lebih darimu
Tak mungkin
Semua itu tak mudah
You might also like
Ku mencari penggantimu
Tak segampang itu ku menemukan sosok seperti dirimu, ooh, cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah
Ku mencari penggantimu
Sosok seperti dirimu, cinta
Kau tahu betapa besar cinta yang kutanamkan padamu
Mengapa kau memilih untuk berpisah
Kau memilih untuk berpisahEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
1,1,Feby Putri - Runtuh,"2 ContributorsRuntuh Lyrics

Ku terbangun lagi di antara sepi
Hanya pikiran yang ramai
Mengutuki diri tak bisa kembali
Tuk mengubah alur kisah

Ketika mereka meminta tawa
Ternyata rela tak semudah kata

Tak perlu khawatir, ku hanya terluka
Terbiasa tuk pura-pura tertawa
Namun, bolehkah sekali saja ku menangis?
Sebelum kembali membohongi diri

Ketika kau lelah, berhentilah dulu
Beri ruang, beri waktu

Mereka bilang, syukurilah saja
Padahal rela tak semudah kata
You might also like
Tak perlu khawatir, ku hanya terluka
Terbiasa tuk pura-pura tertawa
Namun, bolehkah sekali saja ku menangis?
Sebelum kembali membohongi diri

Ha-ha-ha-ha
Ha-ha-ha-ha
Ha-ha-ha-ha, oh

Kita hanyalah manusia yang terluka
Terbiasa tuk pura-pura tertawa
Namun, bolehkah sekali saja ku menangis?
Ku tak ingin lagi membohongi diri

Ku ingin belajar menerima diriEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'joy'], ['amusement', 'joy'], ['amusement', 'joy'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
2,2,Raim Laode - Komang,"3 ContributorsKomang Lyrics

Dari kejauhan tergambar cerita tentang kita
Terpisah jarak dan waktu
Ingin kuungkapkan rinduku lewat kata indah
Tak cukup untuk dirimu

Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmu

Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana tertawamu sudah cukup!
Lengkapi sempurnanya hidup bersamamu
Jika hari kulalui tanpa hawamu
Percuma senyumku dengan dia, ooh


Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana tertawamu sudah cukup!
Lengkapi sempurnanya hidup bersamamu
Apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana tertawamu sudah cukup!
Lengkapi sempurnanya (Sempurnanya)
Hidup bersamamu
You might also like
Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmuEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral']]"
3,3,Nadin Amizah - Bertaut,"17 ContributorsBertaut Lyrics

Bun, hidup berjalan seperti bajingan
Seperti landak yang tak punya teman
Ia menggonggong bak suara hujan
Dan kau pangeranku mengambil peran
Bun, kalau saat hancur 'ku disayang
Apalagi saat kujadi juara
Saat tak tahu arah kau di sana
Menjadi gagah saat 'ku tak bisa

Sedikit kujelaskan tentangku dan kamu
Agar seisi dunia tahu

Keras kepalaku sama denganmu
Caraku marah, caraku tersenyum
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu
Aku masih ada sampai di sini
Melihatmu kuat setengah mati
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu
You might also like
Bun, aku masih tak mengerti banyak hal
Semuanya berenang di kepala
Dan kau dan semua yang kau tahu tentangnya
Menjadi jawab saat 'ku bertanya

Sedikit kujelaskan tentangku dan kamu
Agar seisi dunia tahu

Keras kepalaku sama denganmu
Caraku marah, caraku tersenyum
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu
Aku masih ada sampai di sini
Melihatmu kuat setengah mati
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu

Semoga lama hidupmu di sini
Melihatku berjuang sampai akhir
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu2Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['amusement', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
4,4,Tulus - Monokrom,"9 ContributorsMonokrom Lyrics

Lembaran foto hitam putih
Aku coba ingat lagi warna bajumu kala itu
Kali pertama di hidupku
Manusia lain memelukku

Lembaran foto hitam putih
Aku coba ingat lagi wangi rumah di sore itu
Kue cokelat balon warna-warni
Pesta hari ulang tahunku

Dimanapun kalian berada
Kukirimkan terima kasih
Untuk warna dalam hidupku dan banyak kenangan indah
Kau melukis aku

Lembaran foto hitam putih
Kembali teringat malam kuhitung-hitung bintang
Saat mataku sulit tidur
Suaramu buatku lelap
You might also like
Dimanapun kalian berada
Kukirimkan terima kasih
Untuk warna dalam hidupku dan banyak kenangan indah
Kau melukis aku

Kita tak pernah tahu berapa lama kita
Diberi waktu
Jika aku pergi lebih dulu jangan lupakan aku
Ini lagu untukmu
Ungkapan terima kasihku

Lembar monokrom hitam putih
Aku coba ingat warna demi warna di hidupku
Tak akan 'ku mengenal cinta
Bila bukan karena hati baikmuEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,Virgoun - Selamat (Selamat Tinggal),"3 ContributorsSelamat (Selamat Tinggal) Lyrics
Di tempat ini
Di tempat pertama aku menemukanmu
Kembali kudatangi tempat ini
Tapi kudengan yang lain...

Samar kudengar
Suara yang selalu ku kenal, itu suaramu
Kau terlihat bahagia bersamanya
Dia kekasihmu yang baru

Aku pun terdiam
Saat gadis kecil berlari ke arahmu
Gadis kecil yang miliki mata indah
Persis seperti matamu

(Dan kau pun tersenyum)
Aku pun tersenyum
Dan kugenggam tangan wanita di sampingku
(Dan kau genggam tangannya, dan kau genggam tangannya)
Dan berkata lirih di dalam hati
Tentang semua ini
You might also like
Andai dulu kau tak pergi dari hidupku
Takkan mungkin kutemui cinta yang kini ku miliki
Cinta yang menerima kekurangan
Dan merubah caraku memandang dunia

Andai dulu ku paksakan t'rus bersamamu
Belum tentu kisah kita berdua berakhir bahagia
Kisah yang mendewasakan kita berdua
Meski lewat luka...

Satu hal yang kini aku mengerti
Meski berat bibir ini mengucap
Akan s'lalu ada kata 'Selamat'
Dalam setiap kata 'Selamat Tinggal'
Wooo.. woo hooo..
Woohoo...


Andai dulu kau tak pergi dari hidupku (dari hidupmu)
Takkan mungkin kutemui cinta yang kini ku miliki (ku miliki)
Cinta yang menerima kekurangan
Dan merubah caraku memandang dunia
Andai dulu ku paksakan t'rus bersama mu (untuk terus bersama mu)
Belum tentu kisah kita berdua berakhir bahagia
Kisah yang mendewasakan kita berdua
Meski lewat luka (meski lewat luka)
(Meski lewat luka...)

Satu hal yang kini aku mengerti
Meski berat bibir ini mengucap
Akan s'lalu ada kata 'Selamat'
Dalam setiap kata 'Selamat Tinggal'

Selamat tinggal (selamat tinggal)
Samar kudengar..
Di tempat ini..
Suara yang selalu ku kenal, itu suaramu
Di tempat pertama aku menemukanmu..Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['annoyance', 'neutral'], ['annoyance', 'disappointment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['excitement', 'surprise'], ['surprise'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['annoyance', 'neutral'], ['annoyance', 'disappointment'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,Mahalini - Sial,"7 ContributorsSial Lyrics

Sampai saat ini tak terpikir olehku
Aku pernah beri rasa pada orang sepertimu
Seandainya sejak awal tak kuyakinkan diriku
Tutur kata yang sempurna, tak sebaik yang kukira

Andai 'ku tahu semua akan sia-sia
Takkan kut'rima cinta sesaatmu

Bagaimana dengan aku terlanjur mencintaimu?
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmu

Seandainya sejak awal tak kuyakinkan diriku
Tutur kata yang sempurna, tak sebaik yang kukira

Andai 'ku tahu semua akan sia-sia
Takkan kut'rima cinta sesaatmu
You might also like
Bagaimana dengan aku terlanjur mencintaimu?
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Tak akan kut'rima cinta sesaatmu

Sial-sialnya 'ku bеrtemu dengan cinta semu
Tеrtipu tutur dan caramu
Seolah cintaiku (Cintaiku)
Puas kaucurangi aku?

Bagaimana dengan aku terlanjur mencintaimu? (Cintaimu)
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmuEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
7,7,Tulus - Hati-Hati di Jalan,"6 ContributorsTranslationsEnglishHati-Hati di Jalan Lyrics

Perjalanan membawamu
Bertemu denganku
'Ku bertemu kamu
Sepertimu yang kucari
Konon aku juga
Seperti yang kau cari

Kukira kita asam dan garam
Dan kita bertemu di belanga
Kisah yang ternyata tak seindah itu

Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira ini kan mudah
Kau aku jadi kita

Kasih sayangmu membekas
Redam kini sudah
Pijar istimewa
Entah apa maksud dunia
Tentang ujung cerita
Kita tak bersama
You might also like
Semoga rindu ini menghilang
Konon katanya waktu sembuhkan
Akan adakah lagi yang sepertimu?

Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira ini kan mudah
Kau aku jadi kita

Kau melanjutkan perjalananmu
'Ku melanjutkan perjalananku
Uh-uhh, Uh

Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira ini kan mudah
Kau aku jadi kita
Kukira kita akan bersama
Hati-hati di jalan1Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
8,8,Pamungkas - To the Bone,"23 ContributorsTo the Bone Lyrics
Have I ever told you
I want you to the bone
Have I ever called you
When you are all alone
And if I ever forget
To tell you how I feel
Listen to me now, babe
I want you to the bone

I want you to the bone, oh-oh-oh
I want you to the bone, oh-oh-oh

Maybe if you can see
What I feel through my bone
Every corner in me
There's your presence that grown
Maybe I nurture it more
By saying how I feel
But I did mean it before
I want you to the bone
I want you to

Take me home, I’m fallin'
Love me long, I'm rollin’
Losing control, body and soul
Mind too for sure, I'm already yours
Walk you down, I'm all in
Hold you tight, you call and
I'll take control your body and soul
Mind too for sure, I'm already yours
You might also like
Would that be alright?
Hey, would that be alright?

I want you to the bone, oh-oh-oh
So bad I can't breathe, mm-oh-oh
I want you to the bone

Of all the ones that begged to stay
I'm still longing for you
Of all the ones that cried their way
I'm still waiting on you
Maybe we seek for something that
We couldn’t ever have
Maybe we choose the only love
We know we won’t accept
Or maybe we're taking all the risks
For something that is real
’Cause maybe the greatest love of all
Is who the eyes can't see, yeah


Take me home, I'm fallin'
Love me long, I’m rollin'
Losing control, body and soul
Mind too for sure, I'm already yours
Walk you down, I'm all in
Hold you tight, I call and
I'll take control your body and soul
Mind too for sure, I'm already yours, oh-oh
Oh yeah
(Would you just take me home?)
(Would you just love me long?)
(Or should I keep hoping on?)
(Should I keep hoping on?)
(Could I just take you home?)
(Could I just love you long?)
(Or should I keep hoping on?)
(Should I keep hoping on?)

See, I want you to the bone, yeah
I want you to the bone, oh-oh-oh
I want you to the bone, yeah

I want you to the bone, bone, bone, oh
I want you to the bone
Eh2Embed","[['neutral'], ['desire', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'neutral'], ['desire'], ['desire'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'neutral'], ['approval', 'neutral'], ['neutral'], ['realization', 'neutral'], ['desire', 'neutral'], ['desire', 'neutral'], ['sadness', 'neutral'], ['love'], ['disappointment'], ['approval'], ['neutral'], ['neutral'], ['approval', 'caring', 'neutral'], ['approval'], ['confusion', 'neutral'], ['curiosity'], ['curiosity', 'neutral'], ['desire'], ['disappointment', 'embarrasment'], ['desire', 'neutral'], ['neutral'], ['desire', 'sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval', 'disapproval'], ['neutral'], ['neutral'], ['love', 'neutral'], ['neutral'], ['sadness', 'neutral'], ['love'], ['disappointment'], ['approval'], ['neutral'], ['caring', 'neutral'], ['approval', 'caring', 'neutral'], ['approval'], ['neutral'], ['curiosity', 'neutral'], ['curiosity', 'love'], ['confusion', 'optimism'], ['confusion'], ['curiosity', 'neutral'], ['curiosity', 'love'], ['confusion', 'optimism'], ['confusion'], ['desire', 'neutral'], ['desire'], ['approval', 'desire'], ['desire'], ['desire', 'neutral'], ['neutral']]"
9,9,Last Child - Duka,"1 ContributorDuka LyricsKau membunuhku dengan kepedihan ini
Kau hempaskanku kedalam retaknya hati
Hingga air mata tak mampu
Tuk melukiskan perih
Yang kau ukir dalam hati ini
Kau hancurkan diriku saat engkau pergi
Setelah kau patahkan sayap ini
Hingga ku takkan bisa
Tuk terbang tinggi lagi
Dan mencari bintang
Yang dapat menggantikanmu
Sampai kini masih kucoba
Tuk terjaga dari mimpiku
Yang buatku tak sadar
Bahwa kau bukan lagi milikku
Walau hati tak akan pernah
Dapat melupakan dirimu
Dan tiap tetes air mata
Yang jatuh kuatkan rinduku
Pada indah bayangmu, canda tawamu
Pada indahnya duka dalam kenangan kita
You might also likeKau hancurkan diriku saat engkau pergi
Setelah kau patahkan sayap ini
Hingga ku takkan bisa
Tuk terbang tinggi lagi
Dan mencari bintang
Yang dapat menggantikanmu
Sampai kini masih kucoba
Tuk terjaga dari mimpiku
Yang buatku tak sadar
Bahwa kau bukan lagi milikku
Walau hati tak akan pernah
Dapat melupakan dirimu
Dan tiap tetes air mata
Yang jatuh kuatkan rinduku
Pada indah bayangmu, canda tawamu
Pada indahnya duka dalam kenangan kita
Sampai kini masih kucoba
Tuk terjaga dari mimpiku
Yang buatku tak sadar
Bahwa kau bukan lagi milikku
Walau hati tak akan pernah
Dapat melupakan dirimu
Dan tiap tetes air mata
Yang jatuh kuatkan rinduku
Pada indah bayangmu, canda tawamu
Pada indahnya duka dalam kenangan kitaEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
