,Unnamed: 0,artist_title,lyrics,emotions
0,0,Ulukmanapo - Расстояние,"6 ContributorsРасстояние (Rasstoyanie) Lyrics

You and me
I think we're meant to be
I think the stars aligned
When you entered my life
You and me
I think we're meant to be
I think the stars aligned
When you entered my life
You and me
I think we're meant to be
I think the stars aligned
When you entered my life

Между нами расстояние
Но я слышу твоё дыхание
Во снах вижу твоё сияние
За что такое наказание?
Между нами расстояние
Но я слышу твоё дыхание
Во снах вижу твоё сияние
За что такое наказание?
You might also like
Ты сама меня заманила, мою голову вскружила
Говорила то, что никого так сильно не любила
По телу эндорфины, всё было как в фильме
Где любовь и мир, но
Между нами всё было временно
Ушли по разным сторонам
Связь давно потеряна, это была твоя игра (Твоя игра)
Лишь твоя вина
Я и ты уже не будем никогда вместе (Нет)
Ты ведь меня тайно предала
Скажи мне, как ты могла?
Зачем ты это сделала? (Зачем ты это сделала?)
Дура, взяла и всё разрушила (Эй)
Я был слишком наивен, попал в твою паутину
Ты моё время убила, сердце разбила
Но я нашёл в себе силы забыть всё, что у нас было
Я изменил свою жизнь, е
Теперь смотри каким я стал, свои локти кусай
Я говорю тебе: «Давай, пока, bye-bye»
Я видел драму под обманом, но, дама
Я больше в твои игры не играю, не играю
Прощай навсегда, fake love, la-la-la-love
Fake love, la-la-la-love
Детка, уже поздно плакать, don’t cry
Детка, уже поздно плакать, don’t cry
Теперь тебя нету рядом, нету рядом
Детка, падай водопадом, водопадом
Прямо на меня, я словлю тебя
Только теперь тебя нету рядом, нету рядом
Детка, падай водопадом, водопадом
Прямо на меня, э-э, я словлю тебя, э-э

Между нами расстояние (Расстояние)
Но я слышу твоё дыхание (Твоё дыхание)
Во снах вижу твоё сияние (Твоё сияние)
За что такое наказание? (Наказание)
Между нами расстояние (Расстояние)
Но я слышу твоё дыхание (Твоё дыхание)
Во снах вижу твоё сияние (Твоё сияние)
За что такое наказание?

Fake love, la-la-la-love
Fake love, la-la-la-love
Fake love, la-la-la-love
Fake love, la-la-la-loveEmbed","[['neutral'], ['desire', 'realization', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'realization', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'realization', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['love'], ['love'], ['love'], ['love', 'neutral']]"
1,1,Bakr - Эталон красоты,"2 ContributorsЭталон красоты (Etalon krasoty) Lyrics

Эталон красоты
Ты
Вершина высоты
(Вершина высоты — ты, ты; А)

Моя вина, прости меня, ах
Налью вина, ведь ты не пьяна-а
Прошу тебя, извини меня
Без парашюта падаю, прошу, лови меня (Воу, воу, воу)
И только ты, только ты-ы
Эталон красоты-ы (Эталон красоты)
Только ты, только ты
Вершина высоты-ты-ты (А; Эй)

Я не стану вам пиздеть, но она пиздатая (Пр-р)
Она не ангелочек — она прямиком из ада
Причина звездопада, повод водопада (Да)
Она опьянила меня прямо до упаду (У)
Она такая «уф-ф» (У-у), она такая «ла-лай»
Ал мени кучактаганда, каламын дем алалбай (Ай, ай)
Ал менин жүрөгүмдү прогибке чапты (Чапты)
Анын аты менин ойлорумда акты (Акты)
You might also like
Менин жүрөгүмдүн ачкычы бар сенде (Бар)
Мени айыктырган керемет дарысыңбы?
Жоксуңбу, барсыңбы? (Е) Жамгырбы, карсыңбы?
Менин жүрөгүмдү ысыткан пожарсыңбы?
Менин жүрөгүмдүн ачкычы бар сенде (Бар сенде)
Сен керемет дарысыңбы? (Дарысыңбы?)
(Эй, эй; И)
(У-у-у, е-е-е-е; А)

Моя вина, прости меня, ха
Налью вина, ведь ты не пьяна-а
Прошу тебя, извини меня
Без парашюта падаю, прошу, лови меня (Воу, воу, воу)
И только ты, только ты-ы
Эталон красоты-ы (Эталон красоты)
Только ты, только ты
Вершина высоты-ты-ты (А; Е)

Я хочу вкусить вкус твоего сердцебиения (Е)
Дышать тяжко мне, — походу, опьянение (А)
Это поражение или будет продолжение? (Пр-р, пр-р, пр-р-р)
От твоего взгляда головокружение
И так без тебя мои секунды напролёт (У)
Мало, кто догадается, да мало, кто поймёт
Ах, да, за тобой идёт верный пилот
Он тебя заберёт и устроит полёт
Менин жүрөгүмдүн ачкычы бар сенде (Бар)
Мени айыктырган керемет дарысыңбы? (Дары)
Жоксуңбу, барсыңбы? (Бар) Жамгырбы, карсыңбы? (Кар)
Менин жүрөгүмдү ысыткан пожарсыңбы? (Пожар)
Менин жүрөгүмдүн ачкычы бар сенде (Бар сенде)
Сен керемет дарысыңбы? (Дарысыңбы?)
(Пожарсыңбы?)
(У-у-у, е-е-е-е; А)

Моя вина, прости меня, ха
Налью вина, ведь ты не пьяна-а
Прошу тебя, извини меня
Без парашюта падаю, прошу, лови меня (Воу, воу, воу)
И только ты, только ты-ы
Эталон красоты-ы (Эталон красоты)
Только ты, только ты
Вершина высоты-ты-ты

Менин жүрөгүмдүн ачкычы бар сенде
Сен керемет дарысыңбы?
У-у-у, е-е-е-еEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['curiosity', 'neutral'], ['curiosity'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral']]"
2,2,Bakr - Очи,"3 ContributorsОчи (Ochi) Lyrics

А

Ты скучаешь — вижу по глазам твоим
У меня есть блант, но только на двоих
Мы забьём пайп, унесёт вайб
Только где-то в глубине меня сохрани
Топим мы пешом в сторону крыши
Я четко слышу, как ты дышишь
Будто в Париже, но мы ведь в Бише
Девочка, тише, ты варишь хипиш

Ты закрыла очи, стало грустно очень
Я принес блокнот, ты влепила точку
Ты закрыла очи, стало грустно очень
Я принес блокнот, у-уе…

Мага жагат сенин кычкыл ароматың
Сени эстеп, түнү бою мен ойго жаттым
Сени таптым, жүрөгүмө каттым
Сатылбаган жүрөгүмдү арзан баага саттым
Жүрөгүмдүн кулпусун таптың
Жүрөгүмө төшөк жайып алып, сен жаттың
Сенин көздөрүңдү көздөрүмө тарттым
Күн батты, кайра таң атты
You might also like
Ты закрыла очи, стало грустно очень
Я принес блокнот, ты влепила точку
Ты закрыла очи, стало грустно очень
Я принес блокнот, у-уе…

Газую в сторону Аламедина
Зацепила меня, меня зацепила сильно
Девочка-Биш, а не made in China
Ты, ты пахнешь бензином
Вкус героина, кусок никотина
Торк и пот, ты — сорт кокаина
Повышаешь кровяное давление
Прям, как капучино
Ты, словно плюс, а я, будто минус
Заразная ты, ты — коронавирус
Мы звучим вместе, как косинус-синус
Замутим латино в Аламедине

Твоё тело, гр-р, — ондатр
Таластык кыз мага жагып жатыр
Ортобузда катылып сыр
Сага деген сезимдерим менин күчөп баратыр
Твоё тело, гр-р, — ондатр
Таластык кыз мага жагып жатыр
Ортобузда катылып сыр
Сага деген сезимдерим менин күчөп баратыр, ыр-р
Ты закрыла очи, стало грустно очень
Я принес блокнот, ты влепила точку
Ты закрыла очи, стало грустно очень
Я принес блокнот, у-уе…Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
3,3,Bonapart - Алмата-Семей,"2 ContributorsАлмата-Семей (Almaty - Semey) Lyrics
Ведь ты молодая донна, девочка казашка
Ты как будто примадонна, у тебя всё ровно
Ты танцуешь очень броско, я так осторожно
Но ты снова улетаешь, снова улетаешь

Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город, Алмата или Семей
Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город, Алмата или Семей

Я нашёл тебя, когда совсем я не искал
А теперь твой пистолет, детка, прямо у виска
Не могу забыть, опять, твои холодные глаза
Ну, скажи, зачем тебя тогда я повстречал
Может быть ты ангел, вся сияешь в Gucci
Или может быть ты киллер, ведь ты сносишь крышу
О тебе так мало знаю, но я так влюбился
Этой ночью я теряю всё, что я накопил я

Ведь ты молодая донна, девочка казашка
Ты как будто примадонна, у тебя всё ровно
Ты танцуешь очень броско, я так осторожно
Но ты снова улетаешь, снова улетаешь
You might also like
Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город, Алмата или Семей
Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город, Алмата или Семей
Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город, Алмата или Семей
Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город, Алмата или Семей

Твоя преступная харизма нарушает все законы
Твоя милая улыбка, мы застыли на танцполе
Я даже не мог представить, что встречу такую даму
А теперь ты так близко ко мне, и мы танцуем танго
О, боже, как танцевала, я помню каждый твой выдох
Ты в красном, как мамасита. Взрываешь, как с динамита
Я видел много подружек, но ты прекрасна и сзади
И слева, снизу и сбоку. Я так держал твою руку

Ведь ты молодая донна, девочка казашка
Ты как будто примадонна, у тебя всё ровно
Ты танцуешь очень броско, я так осторожно
Но ты снова улетаешь, снова улетаешь
Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город Алмата или Семей
Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город Алмата или Семей
Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город Алмата или Семей
Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город Алмата или Семей

(Я разлюбил себя, чтоб полюбить тебя сильней
И мне не важен город Алмата или Семей)1Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
4,4,Bakr - Вредина,"3 ContributorsВредина (Vredina) Lyrics

А я найду тебя, где бы ты бы ни была
С кем бы ты бы ни была, где бы ни плыла
Сигаретным пеплом
Ты потушила ведь меня, м, вредина
Где бы ты бы ни была
С кем бы ты бы ни была, где бы ни плыла
Сигаретным пеплом
Ты потушила ведь меня, м, вредина

В голове играет блюз, наверное, это мой плюс
Умножается пульс, когда на тебя смотрю
Погляди на мир, непобедима ты
Дьявол темноты, я так на тебя залип

И она — мина, бахнет анонимно
Она вертит серый дым, наливая в бокал вина
И она — мина, бахнет анонимно
Она пахнет, как малина, вина

А я найду тебя, где бы ты бы ни была
С кем бы ты бы ни была, где бы ни плыла
Сигаретным пеплом
Ты потушила ведь меня, м, вредина
Где бы ты бы ни была
С кем бы ты бы ни была, где бы ни плыла
Сигаретным пеплом
Ты потушила ведь меня, м, вредина
You might also like
Сен алыстаганда менден, менин жүрөгүм сокпойт
Сен кучактаганда мени, менин жүрөгүм токтойт
Жүрөгүм отто, сен тарапка аны октойм
Мен тоголонуп тоголок топтой кеттим башкаларын тоготпой

Сендей жанды табып алдым бул ааламдан
Жылуу жүрөгүмө каттым сени гана, жана
Сендей жанды табып алдым бул ааламдан
Жылуу жүрөгүмө каттым

И она — мина, бахнет анонимно
Она вертит серый дым, наливая в бокал вина
И она — мина, бахнет анонимно
Она пахнет, как малина, вина

А я найду тебя, где бы ты бы ни была
С кем бы ты бы ни была, где бы ни плыла
Сигаретным пеплом
Ты потушила ведь меня, м, вредина
Где бы ты бы ни была
С кем бы ты бы ни была, где бы ни плыла
Сигаретным пеплом
Ты потушила ведь меня, м, вредина
Ты потушила ведь меня, м, вредина
Ты потушила ведь меня, м, вредина
Ты потушила ведь меня, м, вредина
Ты потушила ведь меня, м, врединаEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,Bakr - Сирень,"2 ContributorsСирень (Siren’) Lyrics

Я о тебе думаю, колыбельную спою

Апрельская сирень
Взяла за душу мою (Взяла за душу мою)
Я о тебе думаю (Я о тебе думаю)
Колыбельную спою (Колыбельную спою)
Тебе, апрельская сирень
Взяла за душу мою (Взяла за душу мою)
Я о тебе думаю (Я о тебе думаю)
Колыбельную спою (Колыбельную спою)
Тебе себя я подарю (А)

Я хочу, чтобы ты улыбалась не кому-то, а только лишь мне
Чтобы ты постоянно боялась потерять меня даже во сне
Уверен я, ты будешь прекрасной мамулей (Р-р-р)
Буду рядом на веки, буду любить тебя даже, когда стану старым дедулей (Р-р-р)
Сегодня напьюсь и расскажу всё, что на душе накопилось (Воу)
Ты — моя муза, ганджабаса доля, ты — моя акапелла
Доверь мне свою душу и полетели
Апрельская сирень
You might also like
Все твои капризы для меня, как Winston
(Все твои капризы для меня, как Winston)
Хоть и далеко ты слишком, но для меня так близко
(Хоть и далеко ты слишком, но для меня так близко) Е
Все твои капризы для меня, как Winston
(Все твои капризы, все твои капризы)
Хоть и далеко ты слишком, но для меня так близко

Апрельская сирень
Взяла за душу мою (Взяла за душу мою!)
Я о тебе думаю (Я о тебе думаю!)
Колыбельную спою (Я колыбельную спою!)
Тебе, апрельская сирень (А-а-а!)
Взяла за душу мою (Взяла за душу мою!)
Я о тебе думаю (Я о тебе думаю!)
Колыбельную спою (Я колыбельную спою!)
Тебе себя я подарю

Ты взяла за душу мою
Я о тебе думаю
Колыбельную спою
Тебе, апрельская сиреньEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,V $ X V PRiNCE - Мурашки,"2 ContributorsМурашки (Goosebumps) Lyrics

Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже
Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже

Честно, я тебя еще не знаю, Ма
Две минуты, ты уже родная, Ма
Как тебя зовут и как твои дела?
Чё ты ходишь от края до края, Ма
Пустой квадрат и тусклый свет
Закрой глаза иди ко мне
Знакомые бренды на твоем белье
Я тебе не friend, я уже в тебе
После, я уеду далеко, но буду возле
Обещаю, что приеду к тебе в гости
Возвращаться никогда не поздно
Ты мне нужна иногда
You might also likeПосле, я уеду далеко, но буду возле
Обещаю, что приеду к тебе в гости
Как бы не манили эти соски
Ты мне нужна иногда

Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже
Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже

Покидаем остров
Улетаем в космос
Рано или поздно
Сёдня можно всё
Мысли в слух
Аппетит растет
Мы с ней улетали за мой счет
Я не знал то ли это ночь, то ли это день
Залипал в неоновый луч, нарисует тень
Масло намажь на мою постель
Масло намажь на мою постель
Я не знал то ли это ночь, то ли это день
Залипал в неоновый луч, нарисует тень
Масло намажь на мою постель
Масло намажь на мою постель

Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже
Я бы прокатил тебя, но нет
Я бы полюбил тебя - невозможно
Я бы подарил одну из планет
Мы улетали аж мурашки по коже3Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
7,7,INSTASAMKA - ЗА ДЕНЬГИ ДА,"32 ContributorsTranslationsEnglishRomanizationЗА ДЕНЬГИ ДА (FOR MONEY YES) Lyrics

Я вообще делаю, что хочу (А)
Хочу импланты — звоню врачу (Аллё)
Кто меня не любит — я вас не слышу (Чё?)
Вы просто мне завидуете, я молчу
Я не молчу, когда я хочу
Я не продаюсь, но за деньги — да (Да)
Мой продюсер говорит: «Ты — поп-звезда»
И кстати, мой продюсер — это мой муж, да

Я не скажу в ответ ничего на хейт (М-м)
И не скажу «привет», если бабок нет (Нет)
Слышу любимый звук — это звон монет
Они тянут сотни рук, это мой концерт (Е-е)

Не завожу подруг, но за деньги — да (Ха-ха-ха)
Я не делаю фиты, даже за деньги, да
Я подумаю потом, но скажу сразу «да»
За деньги, да, за деньги, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да
Да— Да— Да— Да—
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да (Да)
You might also like
Это я в Дубае, я ща отдыхаю (Йей)
Да, я так богата, и я это не скрываю (Да)
Все мои подруги за собой не замечают
Они видят мои шмотки и тупо повторяют
Пусть не забывают, кто тут королева (Бакс)
Я раскидываю бабки направо и налево
Это моя манера, жена миллионера
Мне платят за концерты, я читаю под фанеру
Эту сумку мне муж купил, эти Ролексы муж купил
Кольцо с бриллиантом мне муж купил
Муж купил, мне муж купил

Не завожу подруг, но за деньги — да (Ха-ха-ха)
Я не делаю фиты, даже за деньги, да
Я подумаю потом, но скажу сразу «да»
За деньги, да, за деньги, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да
Да— Да— Да— Да—
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да (Да— Да—)
За деньги, да (Да— Да— Да— Да—)
Деньги— Деньги— Деньги— Деньги— Да, да (Да)Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
8,8,Arctic Monkeys - I Wanna Be Yours,"119 ContributorsTranslationsTürkçeEnglishFrançaisDeutschالعربيةPortuguêsI Wanna Be Yours Lyrics
I wanna be your vacuum cleaner
Breathin' in your dust
I wanna be your Ford Cortina
I will never rust
If you like your coffee hot
Let me be your coffee pot
You call the shots, babe
I just wanna be yours

Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

Let me be your 'leccy meter
An' I'll never run out
Let me be the portable heater
That you'll get cold without
I wanna be your setting lotion (Wanna be)
Hold your hair in deep devotion (How deep?)
At least as deep as the Pacific Ocean
I wanna be yours
You might also like
Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

I wanna be your vacuum cleaner (Wanna be yours)
Breathin' in your dust (Wanna be yours)
I wanna be your Ford Cortina (Wanna be yours)
I will never rust (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)223Embed","[['desire'], ['neutral'], ['desire'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['desire'], ['neutral'], ['confusion', 'realization', 'neutral'], ['desire', 'neutral'], ['desire'], ['desire'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'neutral'], ['caring', 'neutral'], ['neutral'], ['desire'], ['confusion', 'neutral'], ['neutral'], ['confusion', 'realization', 'neutral'], ['desire', 'neutral'], ['desire'], ['desire'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['desire'], ['neutral'], ['desire'], ['neutral'], ['desire'], ['desire'], ['desire', 'neutral']]"
9,9,Irina Kairatovna - 5000,"16 Contributors5000 Lyrics

Jamal & Ganja

М-м, а, бітпейтін тастар
Эй, биттейтін бастар
Сен тиіспейтін зат бар
Ешкім—, (тс-с), ешкімге айтпа
Оставь там это
А где твой план, чтобы всё это заработало?
Гонишься за модой, ты стёр все баррикады
Мои тараканы не спят, не спят уже давно
Мен тым кеттім арықтап, жоқ, я не больной!
Отстань, ты не доживешь до утра даже
Всю дрянь выкинуть здесь пора уже
Нет, это бред
Ведь ты под опекой демона
Неосознанно все делаешь
Где реагенты? Чекни глаза!
В кармане пятка и 5к, тоқта!

В кармане пятка и 5к, тоқта!
В кармане пятка и 5к, тоқта!
You might also like
Там наполовину как Тирион (Чё?)
Все злые, будто бы учились в Слизерин
Тез, тез, тезірек
Надо бы по-быстрому отправить визаря (Визаря)
Полный фильм хотим по телевизору (Добрый вечер)
Мало было нам, не хватило тизера
Расписанные планы на стикерах, не презирай (Неа)
Ризлы замаскированы под сигареты
Суровые гризли убили конфеты
Забыли сантименты, притупили логику (До свидания)
В кармане только 5к на ход ноги
Мы с тобой не просто так учим биологию (А?)
Мы с тобой довольные (А-а...)
Веки под свинцом — без паники (Оу)
Если углубляться, то помимо анатомии
Сегодня познакомились с ботаникой

В кармане пятка и 5к, тоқта!
В кармане пятка и 5к, тоқта!

Тікенектей тікелей эфирыңды тек текелер көреді
Тебіренім теңге әкеледі, дегенмен
Өскен жерім — дегелең, қойып қойдым көлденең
Сөзімді қайталайды бүкіл ел
Менде бәрі жақсы: қалта толған баксы
«Бүгін кешке не істеймін?» деп ауыртпаймын басты
Бізде чисто hustle —  хули, жаспын!
Хули, кеттік, бәрін таста!
Сондықтан да Қазақстанда бір ғана банда
Бұл — қазақи пропаганда
Бес мың қалтамда, қайдан тапсам да
Сенің қалаңда шайқалады орнынан (А-а)
Саған да орын бар (А-а)
Армандар орындалады
Соңында, сенбегендер — сорыңдар!
Қалтамда тек қана 5к, тоқта!
В кармане пятка и 5к, тоқта!
В кармане пятка и 5к, тоқта!4Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
