,Unnamed: 0,artist_title,lyrics,emotions
0,0,Jessica Shy - Apkabink,"1 ContributorApkabink Lyrics
Dangus ima rausti pusę keturių
Norėčiau nejausti to, ką tau jaučiu
Žodžiai pavirto nejaukia tyla
Ah-ah, ah-ah

Negalima, kodėl negalima
Lengvai su tavim eiti per gyvenimą?
Jei įmanoma, jei įmanoma
Tu prieik prie manęs arčiau

Ir apkabink mane
Taip, lyg paskutinį kart, ah-ah
Aš laukiu naktyje, ah-ah
Kol melagės lūpos man ištars
„Aš tavo visada“

Kai iš dangaus giedro ima kristi lietus
Tada pasigirsta tavo balsas ramus
Kartu mes galvojam ežerų vardus
Tokių jau kaip tu daugiau šioj žemėj nebus

Ah-ah, ne, negalima
Lengvai su tavim eiti per gyvenimą
Jei įmanoma, jei įmanoma
Tu prieik prie manęs arčiau
You might also like
Ir apkabink mane
Taip, lyg paskutinį kart, ah-ah
Aš laukiu naktyje, ah-ah
Kol melagės lūpos man ištars
„Aš tavo“
Apkabink mane
Taip, lyg paskutinį kart, ah-ah
Aš laukiu naktyje, ah-ah
Kol melagės lūpos man ištars
„Aš tavo visada“Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral']]"
1,1,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed","[['approval', 'neutral'], ['neutral'], ['neutral'], ['love', 'optimism'], ['neutral'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['realization'], ['confusion', 'neutral'], ['disappointment', 'sadness', 'neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['neutral'], ['neutral'], ['caring', 'joy'], ['neutral'], ['disapproval'], ['excitement', 'neutral'], ['excitement', 'neutral'], ['neutral'], ['disapproval', 'neutral']]"
2,2,Justinas Jarutis - Rugpjūtis,"2 ContributorsRugpjūtis Lyrics
Atpratau aš būti vienas
Ir sunku man kai tavęs čia nėra (nėra)
Tu pirma ir paskutinė
Mintis, kuri aplanko mane (mane)
Nors aplink mane tik sienos
Aš elgiuosi lyg sėdėtum šalia
Išėjai tu prieš minutę –
Palikai su klausimais galvoje

Ar gali šitaip būti?
Pamilau tave rugpjūtį
Ir ar gali šitaip būti?
Kad priklausau nuo tavęs truputį

Aš nenoriu nieko kito…
Tik tavęs ir kad tai nesibaigtų
Aš nenoriu nieko kito…
Tik tavęs ir kad tai nesibaigtų

Tam kad jausčiausi laimingas
Man tereikia kad tu būtum šalia (šalia)
Ir dabar nepasakyčiau
Koks buvau aš prieš sutinkant tave
Man jauku tave matyti
Kaip tu maivaisi žvaigždėtam fone
Ir kartais dar bijau aš
Kad geri dalykai baigias lengva
You might also like
Ar gali šitaip būti?
Pamilau tave rugpjūtį
Ir ar gali šitaip būti?
Kad priklausau nuo tavęs truputį

Aš nenoriu nieko kito…
Tik tavęs ir kad tai nesibaigtų
Aš nenoriu nieko kito…
Tik tavęs ir kad tai nesibaigtų

Nenoriu nieko tik
Nenoriu nieko tik
Nenoriu nieko tik
Tik tavęs
Nenoriu nieko tik
Nenoriu nieko tik
Nenoriu nieko tik
Tik tavęsEmbed","[['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'annoyance', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
3,3,Harry Styles - As It Was,"213 ContributorsTranslationsTürkçeEspañolPortuguês日本語ItalianoΕλληνικάDeutschFrançaisTagalog / ᜆᜄᜎᜓᜄ᜔فارسیNederlandsShqipPolskiРусскийहिन्दीČesky한국어SlovenčinaAs It Was Lyrics
Come on, Harry, we wanna say goodnight to you

Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
You might also like
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

(Hey)
As it was
You know it's not the same as it was
As it was, as it was190Embed","[['gratitude', 'neutral'], ['neutral'], ['neutral'], ['desire'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['realization'], ['neutral'], ['realization'], ['neutral'], ['realization'], ['neutral'], ['disappointment', 'disapproval'], ['neutral'], ['curiosity'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['realization'], ['neutral'], ['realization'], ['neutral'], ['realization'], ['neutral'], ['disappointment', 'disapproval'], ['neutral'], ['disapproval'], ['neutral'], ['neutral'], ['realization'], ['neutral']]"
4,4,Glass Animals - Heat Waves,"161 ContributorsTranslationsItalianoDeutschFrançaisEspañolHeat Waves Lyrics
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
See Glass Animals LiveGet tickets as low as $29You might also like
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror84Embed","[['neutral'], ['caring', 'neutral'], ['caring', 'disapproval', 'neutral'], ['pride', 'relief'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['caring'], ['caring'], ['disapproval', 'neutral'], ['sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['annoyance', 'disapproval'], ['neutral'], ['neutral'], ['caring'], ['sadness', 'neutral'], ['sadness'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['curiosity', 'surprise'], ['neutral'], ['desire'], ['sadness'], ['neutral'], ['neutral'], ['disgust'], ['disgust'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,Jessica Shy - Tyliai Pakuždėk,"1 ContributorTyliai Pakuždėk LyricsŽvaigždės
Ir samanos pakvipo lietum
Mes naivūs
Bet svarbiausia - gera kartu
Nuo manęs tu nieko nelaikei, nelaikei
Nebijok tamsos tu - neužsidaryk, neužsidaryk
Tyliai pakuždėk
Ką bepasakytum tu, žinok, kad saugosiu
Kalnus paslapčių
Nusinešiu jas kartu, kartu su saule
Keista
Atrodo, pas tave vis ruduo
Šalto ryto, braidėm
Bet dar nenusirito akmuo
Nuo manęs tu nieko nelaikei, nelaikei
Nebijok tamsos tu - neužsidaryk (neužsidaryk), neužsidaryk (neužsidaryk)
Tyliai pakuždėk
Ką bepasakytum tu, žinok, kad saugosiu
Kalnus paslapčių
Nusinešiu jas kartu, kartu su saule
You might also likeTyliai pakuždėk
Ką bepasakytum tu, žinok, kad saugosiu
Kalnus paslapčių
Nusinešiu jas kartu, kartu su saule
(Saule, saule-le-le)
(Nebijok tamsos, nebijok, nebijok)
(Nebijok tamsos tu, neužsidaryk, neužsidaryk)
Tyliai pakuždėk
Ką bepasakytum tu, žinok, kad saugosiu
Kalnus paslapčių
Nusinešiu jas kartu, kartu su saule
Tyliai pakuždėk
Ką bepasakytum tu, žinok, kad saugosiu
Kalnus paslapčių
Nusinešiu jas kartu, kartu su sauleEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,The Neighbourhood - Sweater Weather,"195 ContributorsTranslationsTürkçePortuguêsDanskРусскийPortuguêsFrançaisDeutschالعربيةItalianoSweater Weather Lyrics
And all I am is a man
I want the world in my hands
I hate the beach, but I stand
In California with my toes in the sand
Use the sleeves of my sweater, let's have an adventure
Head in the clouds, but my gravity's centered
Touch my neck and I'll touch yours
You in those little high-waisted shorts, oh

She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue 'cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside, this place is warm
Outside, it starts to pour
You might also like
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothin' that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
Woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
Let me hold both your hands in the holes of my sweater
And it's too cold, it's too cold
The holes of my sweater516Embed","[['neutral'], ['desire'], ['anger', 'disapproval'], ['neutral'], ['excitement'], ['neutral'], ['neutral'], [], ['neutral'], ['neutral'], ['love'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['annoyance', 'neutral'], ['approval'], ['neutral'], ['neutral'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['love'], ['admiration', 'love', 'neutral'], ['neutral'], ['approval', 'caring'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['love'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['surprise'], ['surprise'], ['surprise'], ['surprise'], ['surprise'], ['surprise'], ['neutral'], ['neutral'], ['neutral'], ['caring', 'neutral'], ['disapproval', 'neutral'], ['neutral']]"
7,7,Elton John - Cold Heart - PNAU Remix,"1 ContributorNew Music Friday 8/13/21 LyricsLizzo - Rumors (feat. Cardi B)
PinkPantheress - Just for me
Machine Gun Kelly - papercuts
blackbear - alone in a room full of people
WizKid - Essence (feat. Justin Bieber & Tems)
Dan + Shay - Steal My Love
Tiësto - Don't Be Shy
J Balvin - Que Locura
Sub Urban & Bella Poarch - INFERNO
Still Woozy - Woof
Jungle - All Of The Time
Elton John - Cold Heart - PNAU Remix
Kygo - Love Me Now (feat. Zoe Wees)
Kodak Black - Before I Go (feat. Rod Wave)
Swae Lee - Ball Is Life (feat. Jack Harlow)
Jay Wheeler - Take My Life
Chelsea Cutler - You Can Have It
Joel Corry - OUT OUT (feat. Charli XCX & Saweetie)
YNW Melly - Mind of Melvin (feat. Lil Uzi Vert)
NLE Choppa - Mmm Hmm
Deb Never - Sweet & Spice
binki - Invisible Fence 🕒
ericdoa - back n forth
RÜFÜS DU SOL - Next to Me
VanJess - Slow Down (feat. Lucky Daye)
The Killers - Runaway Horses (feat. Phoebe Bridgers) - Abridged
Sueco - Paralyzed
Junior Varsity - Limousine
Ben Platt - I wanna love you but I don’t
KIRBY - Break Her Heart For Me
$uicideboy$ - Life Is but a Stream~
DJ Snake - Run It (feat. Rick Ross & Rich Brian)
Coi Leray - Okay Yeah!
Prince Royce - Lao' a Lao'
Masked Wolf - Bop
James Arthur - Avalanche
Alessia Cara - The Use In Trying
Luke Hemmings - Baby Blue
Big Thief - Little Things
Sam Austins - JOY FOR YOUTH (with Sir Chloe)
spill tab - Indecisive (feat. Tommy Genesis)
Wale - Down South (feat. Yella Beezy & Maxo Kream)
Iggy Azalea - Is That Right
Reik - Loquita
Love Regenerator - We Can Come Together
Oscar Lang - Yeah!
Jade Bird - Candidate
Amos Lee - Worry No More
Trey Lewis - Shut the Door 🕒
Maude Latour - Clean
Louis The Child - hate u cuz i don't (feat. Bea Miller)
Cheat Codes - All Things $ Can Do (with Travis Barker & Tove Styrke)
21 Savage - Lazy Susan (with Rich Brian feat. Warren Hue & Masiwei)
Denzel Curry - The Game
POORSTACY - Party At The Cemetery
Aries - KIDS ON MOLLY
BabyJake - Watching
chloe moriondo - not okay (feat. mazie)
Sean Paul - Only Fanz (feat. Ty Dolla $ign)
Sebastian Yatra - Delincuente
Nao - Wait
Lecrae - Everyday
K CAMP - Rain On Your Skin (feat. Mooski)
Lonr. - Read My Mind (feat. Yung Bleu)
midwxst - Tic Tac Toe
Magdalena Bay - Secrets (Your Fire)
Day Wave - Before We Knew
THE BLOSSOM - SPORTS CAR
Weston Estate - Outside
jamesjamesjames - My Purple iPod Nano
Loud Luxury - Holiday Hills
EBEN - I Miss You
Maisie Peters - You Signed Up For This
GAYLE - abcdefu
Avery Lynch - Shit People
gabriel black - molotov
Flipp Dinero - Play My Part
D Smoke - Shame On You 🕒
Isaia Huron - Fallen / DGYLA
Mia Rodriguez - Billion Dollar Bitch
Rence - AWOOO!
Mallory Merk - Devil Laugh
Tenille Arts - Over You is You (feat. Matt Stell)
Jelly Roll - Sober
BIG30 - Backseat Of The Rolls Truck 🕒
Monaleo - Suck It Up
Deijuvhs - Flower Ghoul
Balu Brigada - Favourite Clothes
Madeline The Person - August (feat. Adam Melchor)
Keni - Big Enough
Johnny Orlando - Daydream
morgxn - DON'T THINK ABOUT IT
Dead Sara - Heroes
Bendigo Fletcher - Retail Lord
DJ Seinfeld - She Loves Me 🐚
Icewear Vezzo - Chamber Brothers 🕒
Wande - Don’t Worry Bout It
BAYLI - 16
COLETON RUBIN - Dad
Augustine - Summer WineEmbed","[['neutral'], ['neutral'], ['neutral'], ['excitement', 'neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['fear', 'nervousness', 'neutral'], ['annoyance', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['disappointment', 'disapproval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness', 'neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['neutral'], ['anger', 'annoyance'], ['admiration', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['approval'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
8,8,Jessica Shy - Šokam Lėtai,"2 ContributorsŠokam lėtai LyricsKokia šiandien data?
Kaip atsidūriau čia?
Nežinau ar sapnuoju
Kuri čia planeta?
Deguonies planeta
Tik tavim aš kvėpuoju
Ir mano muzika čia
Veda vėl pas tave
Mėgstamiausia melodija
(Yeah)
Gros kol prašvis kol sutems
Mano meilą prikels
Niekada nesustoja
Šokam lėtai
Mane laikai
Kol baigia jau užmigti
Mano miestas
Pasibaigs
Tie vakarai
Mes išbūsim ten, kur tu mane pakviesi
You might also likeKiek rodo valandų?
Kaip jaučiamės abu?
Ką iš savęs mes transliuojam?
Kiek liko dar naktų?
Kas siepiasi už jų?
Be saulės laikas sustojo
Ir mano muzika čia
Veda vėl pas tave
Mėgstamiausia melodija
(Yeah)
Gros kol prašvis kol sutems
Mano meilę prikels
Niekada nesustoja
Šokam lėtai
Mane laikai
Kol baigia jau užmigti
Mano miestas
Pasibaigs
Tie vakarai
Mes išbūsim ten, kur tu mane pakviеsi
Šokam lėtai
Mane laikai
Kol baigia jau užmigti
Mano miestas
Pasibaigs
Tie vakarai
Mеs išbūsim ten, kur tu mane pakviesi
Šokam lėtai
Mane laikai
Kol baigia jau užmigti
Mano miestas
Pasibaigs
Tie vakarai
Mes išbūsim ten, kur tu mane pakviesi
Šokam lėtaiEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'curiosity'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
9,9,Jessica Shy - Dėl Tavęs,"1 ContributorDėl Tavęs Lyrics
Jeigu man leistum, dėl tavęs
Aš perplaukčiau jūras ir upes
Ir tegul į krantą mane išmes
A, a

Kaip man pavyti tolyje lekiančias mintis?
Prisijaukinti kaip vėją tave, vėją tave
Gandais apipinta, tu pasaka mano užburta
Jei visa tai tikra
Žinau – galiu bet ką

Dėl tavęs, dėl tavęs
Kai jūra išmes gintarais geltona
Kaip surast, kaip surast
Per smėlio audras kelią man pas tave?

Kai žėri mėnuliu vanduo
Bandau aš pasikalbėt su juo
Ir gal jis pašauks tave vardu
Melodija bangų

Kaip man pavyti tolyje lekiančias mintis?
Prisijaukinti kaip vėją tave, vėją tave
Gandais apipinta, tu pasaka mano užburta
Jei visa tai tikra
Žinau – galiu bet ką
You might also like
Dėl tavęs, dėl tavęs
Kai jūra išmes gintarais geltona
Kaip surast, kaip surast
Per smėlio audras kelią man pas tave?

(Dėl tavęs, dėl tavęs)
(Kaip surast, kaip surast?)

Dėl tavęs, dėl tavęs
Kai jūra išmes gintarais geltona
Kaip surast, kaip surast
Per smėlio audras kelią man pas tave?
Dėl tavęs, dėl tavęs
Kai jūra išmes gintarais geltona (na-na-na, nai, na-na-na, nai)
Kaip surast, kaip surast
Per smėlio audras kelią man pas tave? (Na-na-na, nai, na-na-na, nai)Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
