,Unnamed: 0,artist_title,lyrics,emotions
0,0,Miley Cyrus - Flowers,"98 ContributorsTranslationsEspañolPortuguêsKiswahiliDeutschItalianoСрпскиNederlandsSvenskaPolskiTürkçeΕλληνικάFrançaisDansk日本語РусскийالعربيةУкраїнськаBahasa IndonesiaفارسیFlowers Lyrics
We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn

Mm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I

I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can

Can love me better, I can love me better, baby
Can love me better, I can love me better, baby

Paint my nails cherry-red
Match the roses that you left
No remorse, no regret
I forgive every word you said
You might also like
Ooh, I didn't wanna leave you, baby, I didn't wanna fight
Started to cry, but then remembered I

I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can

Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I (Ooh, I)

I didn't wanna leave you, I didn't wanna fight
Started to cry, but then remembered I

I can buy myself flowers (Uh-huh)
Write my name in the sand
Talk to myself for hours (Yeah)
Say things you don't understand (You never will)
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can
Can love me better, I can love me better, baby (Uh)
Can love me better, I can love me better, baby (Than you can)
Can love me better, I can love me better, baby
Can love me better, I36Embed","[['admiration'], ['neutral'], ['approval', 'neutral'], ['neutral'], [], ['realization'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['approval', 'love'], ['love'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['disappointment', 'sadness'], ['realization'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['approval', 'neutral'], ['approval', 'love'], ['love'], ['love'], ['love'], ['love'], ['anger', 'disapproval'], ['realization'], ['optimism', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['approval', 'neutral'], ['approval', 'love'], ['approval', 'love'], ['love'], ['love'], ['love'], ['love']]"
1,1,David Guetta - I'm Good (Blue),"65 ContributorsTranslationsPortuguêsEspañolTürkçeDeutschI’m Good (Blue) Lyrics
I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright

Don't you know I'm good, yeah, I'm feelin' alright

You know I'm down for whatever tonight
I don't need the finer things in life
No matter where I go, it's a good time, yeah
And I, I don't need to sit in VIP
Middle of the floor, that's where I'll be
Don't got a lot, but that's enough for me, yeah

'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
You might also like
I'm good
Good
I'm good
Don't you know I'm good, yeah, I'm feelin' alright

So I just let it go, let it go
Oh, na-na-na-na-na
No, I don't care no more, care no more
Oh, na-na-na-na-na
So come on, let me know, let me know
Put your hands up, na-na-na
No, baby, nothing's gonna stop us tonight

'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright37Embed","[['approval'], ['anger'], ['approval', 'excitement'], ['approval'], ['approval'], ['anger'], ['approval', 'excitement'], ['approval'], ['approval'], ['neutral'], ['disapproval'], ['admiration', 'approval'], ['disapproval', 'neutral'], ['neutral'], ['neutral'], ['approval'], ['anger'], ['approval', 'excitement'], ['approval'], ['confusion', 'neutral'], ['admiration'], ['admiration'], ['admiration'], ['approval'], ['neutral'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['disapproval'], ['approval'], ['anger'], ['approval', 'excitement'], ['neutral']]"
2,2,Harry Styles - As It Was,"213 ContributorsTranslationsTürkçeEspañolPortuguês日本語ItalianoΕλληνικάDeutschFrançaisTagalog / ᜆᜄᜎᜓᜄ᜔فارسیNederlandsShqipPolskiРусскийहिन्दीČesky한국어SlovenčinaAs It Was Lyrics
Come on, Harry, we wanna say goodnight to you

Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
You might also like
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

(Hey)
As it was
You know it's not the same as it was
As it was, as it was190Embed","[['gratitude', 'neutral'], ['neutral'], ['neutral'], ['desire'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['realization'], ['neutral'], ['realization'], ['neutral'], ['realization'], ['neutral'], ['disappointment', 'disapproval'], ['neutral'], ['curiosity'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['realization'], ['neutral'], ['realization'], ['neutral'], ['realization'], ['neutral'], ['disappointment', 'disapproval'], ['neutral'], ['disapproval'], ['neutral'], ['neutral'], ['realization'], ['neutral']]"
3,3,Tom Odell - Another Love,"106 ContributorsTranslationsالعربيةУкраїнськаDeutschPortuguêsFrançaisЎзбекTürkçeAnother Love Lyrics
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights

I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
See Tom Odell LiveGet tickets as low as $59You might also like
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
(Oh, need a love, now)
(My heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed","[['caring'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['desire', 'neutral'], ['neutral'], ['desire', 'love'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['anger'], ['disappointment'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'love'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['desire'], ['neutral'], ['desire', 'sadness'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral']]"
4,4,OneRepublic - I Ain't Worried,"48 ContributorsTranslationsDeutschI Ain’t Worried Lyrics
I don't know what you've been told
But time is running out, no need to take it slow
I'm stepping to you toe-to-toe
I should be scared, honey, maybe so

But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

I ain't worried 'bout it
I ain't worried 'bout it (Hey)

I don't know what you've been told
But time is running out so spend it like it's gold
I'm living like I'm nine-zeros
Got no regrets even when I am broke (Yeah)
I'm at my best when I got something I'm wanting to steal
Way too busy for them problems and problems to feel (Yeah, yeah)
No stressing, just obsessing with sealing the deal
I'll take it in and let it go
See OneRepublic LiveGet tickets as low as $124You might also like
But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

I ain't worried 'bout it
I ain't worried 'bout it (Hey)

Ooh, I ain't worried
Ooh, oh, no, no

I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

I ain't worried 'bout it (Ooh, hey)
I ain't worried 'bout it (Ooh, hey)

I ain't worried 'bout it5Embed","[['confusion'], ['disapproval'], ['neutral'], ['fear'], ['approval'], ['optimism', 'neutral'], ['approval'], ['neutral'], ['approval'], ['approval'], ['confusion'], ['realization', 'neutral'], ['neutral'], [], ['optimism'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval'], ['optimism', 'neutral'], ['approval'], ['neutral'], ['approval'], ['approval'], ['approval', 'relief'], ['disapproval'], ['approval'], ['optimism', 'neutral'], ['approval'], ['neutral'], ['approval', 'relief'], ['approval', 'relief'], ['approval']]"
5,5,iñigo quintero - Si No Estás,"3 ContributorsTranslationsEspañolEnglishPortuguêsIñigo Quintero - Si No Estás (Deutsche Übersetzung) Lyrics

Hoch zu träumen ist die Kraft
Die dir vom Himmel geschenkt wurde
Nein, nein, nein, nein, nein, nein, nein

Ich weiß nicht, wohin ich gehe, es ist nicht real
Du bist schon lange nur noch einer von vielen
Und ich hasse es, wenn ich voll von diesem Gift bin
Und ich höre Donner, wenn du nicht da bist

Was hast du mit mir gemacht? Wo bin ich?
Tausend Planeten erscheinen plötzlich vor mir, das ist eine Halluzination
Ich will deine andere Hälfte sehen, um aus dieser Stadt zu entkommen
Und mich mit deiner Art zu denken anstecken
Ich schaue in den Himmel, als ich mich erinnere, erkenne ich einmal mehr
Dass es keinen Moment gibt, der vergeht, in dem ich nicht aufhöre, an dich zu denken
Diese Entfernung ist nicht normal, ich habe genug vom Warten
Zwei Scheine, um dich zu lieben, ich will nichts mehr sehen

Unmöglich, es ist zu spät (Zu spät)
Es ist alles ein Desaster (Es ist ein Desaster)
Dies ist eine Besessenheit
Ich habe keine Verwendung für deine wenigen Zeichen (Deine Zeichen)
Nichts ist mehr, wie es einmal war (Wie es einmal war)
Ich vergesse, wer ich bin
You might also like
Was hast du mit mir gemacht, wo bin ich?
Du gehst nicht geradeaus, es ist das gleiche alte Ding
Und plötzlich verliere ich meinen Verstand
Hundert sinnlose Komplexe
Ich werde von deinem Herzschlag und deiner Stimme weggerissen
Und ich kann es nicht mehr ertragen

Ich weiß nicht, wohin ich gehe, es ist nicht real
Du bist schon lange nur noch einer von vielen
Und ich hasse es, wenn ich voll von diesem Gift bin
Und ich höre Donner, wenn du nicht da bist

Unmöglich, es ist zu spät (Zu spät)
Es ist alles ein Desaster (Es ist ein Desaster)
Dies ist eine Besessenheit
Ich habe keine Verwendung für deine wenigen Zeichen (Deine Zeichen)
Nichts ist mehr, wie es einmal war (Wie es einmal war)
Ich vergesse, wer ich bin

Und wo bist du?
Die Wahrheit ist, dass es tausend verdammte Nächte ohne deine Umarmung gewesen sind (Ich höre Donner)
Es ist eine seltsame Sache, ich bin süchtig nach deiner Liebe (Oh-oh-oh-oh), nach deiner Liebe (Oh-oh-oh-oh)
Zu deiner Liebe, Liebe, nein, nein, nein, nein, nein, nein
Und ah-ah-ah, na-na
Ich will dich sehen, dich sehen, dich sehen, lass es jetzt endenEmbed","[['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['anger', 'neutral'], ['neutral'], ['confusion', 'neutral'], ['curiosity'], ['anger', 'neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,David Kushner - Daylight,"58 ContributorsTranslations日本語DeutschPortuguêsFrançaisMagyarEspañolDaylight Lyrics
Telling myself I won't go there
Oh, but I know that I won't care
Tryna wash away all the blood I've spilt
This lust is a burden that we both share
Two sinners can't atone from a lone prayer
Souls tied, intertwined by pride and guilt

(Ooh) There's darkness in the distance
From the way that I've been livin'
(Ooh) But I know I can't resist it
Oh, I love it and I hate it at the same time
You and I drink the poison from the same vine
Oh, I love it and I hate it at the same time
Hidin' all of our sins from the daylight
From the daylight, runnin' from thе daylight
From the daylight, runnin' from the daylight
Oh, I love it and I hatе it at the same time

Tellin' myself it's the last time
Can you spare any mercy that you might find
If I'm down on my knees again?
Deep down, way down, Lord, I try
Try to follow your light, but it's nighttime
Please don't leave me in the end
You might also like
(Ooh) There's darkness in the distance
I'm beggin' for forgiveness
(Ooh) But I know I might resist it, oh
Oh, I love it and I hate it at the same time
You and I drink the poison from the same vine
Oh, I love it and I hate it at the same time
Hidin' all of our sins from the daylight
From the daylight, runnin' from the daylight
From the daylight, runnin' from the daylight
Oh, I love it and I hate it at the same time
Oh, I love it and I hate it at the same time
You and I drink the poison from the same vine
Oh, I love it and I hate it at the same time
Hidin' all of our sins from the daylight
From the daylight, runnin' from the daylight
From the daylight, runnin' from the daylight
Oh, I love it and I hate it at the same time2Embed","[['neutral'], ['neutral'], ['neutral'], ['annoyance'], ['neutral'], ['embarrasment', 'remorse'], ['realization', 'sadness'], ['neutral'], ['joy'], ['love'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['caring'], ['neutral'], ['neutral'], ['neutral'], ['sadness', 'neutral'], ['confusion', 'neutral'], ['realization', 'sadness'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['love'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['love']]"
7,7,Tate McRae - greedy,"59 ContributorsTranslationsPortuguêsEspañolDeutschFrançaisItalianoNorsk (bokmål / riksmål)​greedy Lyrics
(Woo)

He said, ""Are you serious? I've tried, but I can't figure out
I've been next to you all night and still don't know what you're about
You keep ta- (Ta-ta-), talkin', but not much comin' out your mouth
Can't you tell that I want you?"", I say, yeah
I would want myself
Baby, please believe me
I'll put you through hell
Just to know me, yeah, yeah
So sure of yourself
Baby, don't get greedy
That shit won't end well
(No, it won't) End well

(Uh-uh, uh-uh-uh, uh-uh, woo)

I see you eyein' me down, but you'll never know much past my name
Or how I'm runnin' this room around and that I'm still half your age
Yeah, you're loo- (Loo-loo-), lookin' at me like I'm some sweet escape
Obvious that you want me, but I said
See Tate McRae LiveGet tickets as low as $26You might also like
I would want myself
Baby, please believe me
I'll put you through hell
Just to know me, yeah, yeah
So sure of yourself
Baby, don't get greedy
That shit won't end well
(No, it won't) End well

He said, ""I'm just curious, is this for real or just an act?
Can't tell if you love or hate me, never met someone like that
Drive me so (So, so) crazy, did you know you got that effect?""
I said, ""Lemme check, yeah""
I would want myself
Baby, please believe me
I'll put you through hell
Just to know me, yeah, yeah
So sure of yourself
Baby, don't get greedy
That shit won't end well
(No, it won't) End well
(I would want myself)
(I would want myself)
I would want myself
(I would want myself)
(I would want myself)
(Uh-uh, uh-uh-uh, uh)22Embed","[['admiration', 'excitement'], ['confusion', 'curiosity'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'neutral'], ['neutral'], ['annoyance'], ['approval', 'neutral'], ['neutral'], [], ['optimism'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'neutral'], ['neutral'], ['annoyance'], ['approval', 'neutral'], ['neutral'], [], ['optimism'], ['sadness'], ['curiosity'], ['confusion'], ['excitement'], ['neutral'], ['desire', 'neutral'], ['neutral'], ['annoyance'], ['approval', 'neutral'], ['neutral'], [], ['optimism'], ['sadness'], ['neutral'], ['neutral'], ['desire', 'neutral'], ['neutral'], ['neutral'], ['neutral']]"
8,8,Rema - Calm Down,"37 ContributorsTranslationsEspañolPortuguêsCalm Down Lyrics
(Vibez)
Another banger

Baby, calm down, calm down
Girl, this your body e put in my heart for lockdown, for lockdown, oh lockdown
Girl, you sweet like Fanta ooh, Fanta ooh
If I tell you, say, ""I love you,"" no dey form yanga oh, oh yanga oh
No tell me no, no, no, no, woah, woah, woah, woah
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-woah-woah-woah-woah-woah
You got me like, ""woah-woah-woah-woah-woah-woah-woah-woah-woah""
Shawty come gimme your lo-lo-lo-lo-lo-lo-lo-lo-woah-woah-woah-woah-woah, mhmm

I see this fine girl for my party, she wear yellow
Every other girl they dey do too much but this girl mellow
Naim I dey find situation I go use take tell am hello
Finally I find way to talk to the girl but she no wan follow
Who you come dey form for? (Mhmm)
Why you no wan' conform? (Mhmm)
Then I start to feel her bum-bum, warm (Mhmm)
But she dey gimme small, small woah
I know say she sabi pass that one, one (Mhmm)
But she feeling insecure woah
'Cause her friends go dey gum her like chewing gum (Mhmm)
Go dey gum her like chewing gum, woah, woah, ooh
See Rema LiveGet tickets as low as $300You might also like
Baby, calm down, calm down
Girl, this your body e put in my heart for lockdown, for lockdown, oh lockdown
Girl, you sweet like Fanta ooh, Fanta ooh
If I tell you, say, ""I love you,"" no dey form yanga oh, oh yanga oh
No tell me no, no, no, no, woah, woah, woah, woah
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-woah-woah-woah-woah-woah
You got me like, ""woah-woah-woah-woah-woah-woah-woah-woah-woah""
Shawty come gimme your lo-lo-lo-lo-lo-lo-lo-lo-woah-woah-woah-woah-woah, mhmm

As I reach my house I say make I rest small (Make a rest small)
As me I wake up na she dey my mind, oh-woah (Na she dey my mind, oh-woah)
Day one, day two-wo, I no fit focus (I no fit focus)
Na so me I call am, say make we link up (I say make we link up)
As I start to dey tell her how I feel, now my heart dey race
Baby girl if you leave me I no go love again
Because e get many girls wey put my heart for pain
Shebi you feel my pain? Yeah, yeah

Baby, calm down, calm down
Girl, this your body e put in my heart for lockdown, for lockdown, oh lockdown
Girl, you sweet like Fanta ooh, Fanta ooh
If I tell you, say, ""I love you,"" no dey form yanga oh, oh yanga oh
No tell me no, no, no, no, woah, woah, woah, woah
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-woah-woah-woah-woah-woah
You got me like, ""woah-woah-woah-woah-woah-woah-woah-woah-woah""
Shawty come gimme your lo-lo-lo-lo-lo-lo-lo-lo-woah-woah-woah-woah-woah, mhmm8Embed","[['neutral'], ['admiration', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['surprise'], ['neutral'], ['neutral'], ['excitement', 'surprise'], ['neutral'], ['admiration', 'neutral'], ['neutral'], ['neutral'], ['relief'], ['curiosity', 'neutral'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['disappointment', 'nervousness'], ['neutral'], ['surprise'], ['approval', 'optimism', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['surprise'], ['neutral'], ['neutral'], ['excitement', 'surprise'], ['neutral'], ['neutral'], ['surprise'], [], ['neutral'], ['neutral'], ['sadness', 'neutral'], ['sadness'], ['curiosity', 'sadness'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['surprise'], ['neutral'], ['neutral'], ['excitement', 'surprise'], ['neutral']]"
9,9,Gazo - DIE,"9 ContributorsTranslationsEnglishDIE Lyrics

La mala est gangx
Eh
Bang-bang
Eh
Grr-grr
Le bang-bang
Ton gars Sherko est l'ingé'
Eh-eh, toujours
BSB
Hey (Hey)

Tu crois que j't'évite alors que j'maille (Que j'maille)
Elle veut savoir j'suis dans quel bail (Quel bail)
Dis où tu veux qu'on s'voit (S'voit) et j'te donnerais c'que tu veux d'moi (Veux d'moi)
Jusqu'à c'que je die (Die), mission, il va falloir que j'y aille (Aille)
Jusqu'à c'que je die (Je die), elle veut savoir comment que j'maille (Quе j'maille)

Nouvelle cargaison, donc partout, j'la répands
On achètе, on revend, on arrête, on reprend
Nou-nouvelle cargaison, donc partout, j'la répands
On achète, on revend, on arrête, on reprend
You might also like
Avec un peu de bien et de mal, on est fait, j'ai fumé ton doré mais j'attends l'effet
J'suis plus un ange, je sais, en effet, on était lié mais on s'est défait
Devant les gens, ils m'diront : ""Mon frère"", première occasion : penseront à me faire
J'me roule un grr pour me calmer les nerfs et on s'dit à dans quelques millénaires
Veulent voler mon flow et veulent voler ma 'sique, eux, c'est mes babys, de tout p'tits nous
Pour eux, que des baffes et des coups de genoux, té-ma ta dégaine, t'as tout d'chez nous
Ces ients-cli la bi'-bi', mon bigo m'agite, ton caillou arrive, j'suis dans le carrosse
Couper la part et des tout petits bouts, genre ""bibbidi-bobbidi-bobbidi-boo""

Tu crois que j't'évite alors que j'maille (Que j'maille)
Elle veut savoir j'suis dans quel bail (Quel bail)
Dis où tu veux qu'on s'voit (S'voit) et j'te donnerais c'que tu veux d'moi (Veux d'moi)
Jusqu'à c'que je die (Die), mission, il va falloir que j'y aille (Aille)
Jusqu'à c'que je die (Je die), elle veut savoir comment que j'maille (Que j'maille)

Hey, tais-toi et profite du moment jusqu'à c'que j'taille (Que j'taille)
Hey, pourquoi j't'ai pas connu avant ? Là, j'dois marger, faire ma maille, bae (Bae)
Tais-toi et profite du moment jusqu'à c'que j'taille (Que j'taille)
Hey, pourquoi j't'ai pas connu avant ? Là, j'dois marger, faire ma maille, bae (Bae)

J'te connais maintenant, nan, si j'te prends, moi, c'pas pour une autre (Pas pour une autre)
Même si là, t'as tort, bah, j'suis de ton côté, j'connais pas l'neutre (J'connais pas l'neutre)
Mais que tu veux m'bloquer si j'ai pas d'plavon, c'est de ta faute (C'est de ta faute)
Car si j'ai pas d'talbins, tu diras sûrement qu'c'est de ma faute (Qu'c'est de ma faute) donc
Tu crois que j't'évite alors que j'maille (Que j'maille)
Elle veut savoir j'suis dans quel bail (Quel bail)
Dis où tu veux qu'on s'voit (S'voit) et j'te donnerais c'que tu veux d'moi (Veux d'moi)
Jusqu'à c'que je die (Die), mission, il va falloir que j'y aille (Aille)
Jusqu'à c'que je die (Je die), elle veut savoir comment que j'maille (Que j'maille)

Jusqu'à c'que je die (Que je die)
Mission, il va falloir que j'y aille2Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['disapproval', 'neutral'], ['neutral'], ['disapproval', 'neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
