,Unnamed: 0,artist_title,lyrics,emotions
0,0,James Arthur - Say You Won't Let Go,"150 ContributorsTranslationsΕλληνικάTürkçePortuguêsDeutschالعربيةBahasa IndonesiaSay You Won’t Let Go Lyrics
I met you in the dark, you lit me up
You made me feel as though I was enough
We danced the night away, we drank too much
I held your hair back when you were throwin' up

Then, you smiled over your shoulder
For a minute, I was stone-cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, ""I already told ya
I think that you should get some rest""

I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
But I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I'll wake you up with some breakfast in bed
I'll bring you coffee with a kiss on your head
And I'll take the kids to school, wave them goodbye
And I'll thank my lucky stars for that night
See James Arthur LiveGet tickets as low as $38You might also like
When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, woah
And you look as beautiful as ever
And I swear that every day, you'll get better
You make me feel this way somehow

I'm so in love with you and I hope you know
Darlin', your love is more than worth its weight in gold
We've come so far, my dear, look how we've grown
And I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I wanna live with you even when we're ghosts
'Cause you were always there for me when I needed you most

I'm gonna love you till my lungs give out
I promise till death we part, like in our vows
So, I wrote this song for you, now everybody knows
That it's just you and me till we're grey and old
Just say you won't let go
Just say you won't let go
Just say you won't let go
Oh, just say you won't let go153Embed","[['neutral'], [], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['caring'], ['neutral'], ['neutral'], ['caring'], ['love'], ['admiration', 'approval'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['gratitude'], ['optimism', 'neutral'], ['neutral'], ['realization', 'neutral'], ['approval', 'excitement'], ['admiration'], ['caring', 'optimism'], ['neutral'], ['love'], ['love'], ['admiration', 'realization'], ['neutral'], ['neutral'], ['neutral'], ['approval', 'caring', 'desire'], ['caring', 'neutral'], ['love'], ['approval', 'neutral'], ['approval', 'love', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
1,1,Lewis Capaldi - Someone You Loved,"222 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisTürkçeالعربيةSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed","[['fear'], ['confusion', 'disappointment', 'surprise'], ['desire', 'neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['fear'], ['love'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['love'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['confusion', 'neutral'], ['sadness', 'neutral'], ['caring', 'love', 'neutral'], ['caring'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['neutral'], ['love', 'neutral']]"
2,2,Dhruv - double take,"31 Contributors​double take Lyrics
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh-ooh

I could say I never dare
To think about you in that way
But, I would be lying
And I pretend I'm happy for you
When you find some dude to take home
But I won't deny that

In the midst of the crowds
In the shapes, in the clouds
I don't see nobody but you
In my rose-tinted dreams
Wrinkled silk on my sheets
I don't see nobody but you

Boy, you got me hooked onto somethin'
Who could say that they saw us comin'?
Tell me, do you feel the love?
Spend a summer or a lifetime with me
Let me take you to the place of your dreams
Tell me, do you feel the love?
Ooh-ooh-ooh-ooh
You might also like
And I could say I never unzipped
Those blue Levi's inside my head
But that's far from the truth
Don't know what's come over me
It seems like yesterday when I said
“We'll be friends forever”

Constellations of stars
Murals on city walls
I don't see nobody but you
You're my vice, you're my muse
You're a nineteenth floor view
I don't see nobody but you

Boy, you got me hooked onto somethin'
Who could say that they saw us comin'?
Tell me, do you feel the love?
Spend a summer or a lifetime with me
Let me take you to the place of your dreams
Tell me, do you feel the love?

Boy, you got me hooked onto somethin'
Who could say that they saw us comin'?
Tell me, do you feel the love?
Spend a summer or a lifetime with me
Let me take you to the place of your dreams
Tell me, do you feel the love?
Do you feel the love? (Ooh-ooh-ooh-ooh)
Do you feel the love?
Do you feel the love?
Do you feel the love?
Feel the love
Feel the love16Embed","[['excitement'], ['excitement'], ['excitement'], ['neutral'], ['neutral'], ['neutral'], ['joy'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity'], ['neutral'], ['caring', 'neutral'], ['curiosity'], ['excitement'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['disapproval'], ['confusion'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity'], ['neutral'], ['caring', 'neutral'], ['curiosity'], ['neutral'], ['neutral'], ['curiosity'], ['neutral'], ['caring', 'neutral'], ['curiosity'], ['curiosity'], ['curiosity'], ['curiosity'], ['curiosity'], ['love'], ['love', 'neutral']]"
3,3,Ruth B. - Dandelions,"47 ContributorsTranslationsPortuguêsFrançaisDeutschالعربيةDandelions Lyrics
Maybe it's the way you say my name
Maybe it's the way you play your game
But it's so good, I've never known anybody like you
But it's so good, I've never dreamed of nobody like you

And I've heard of a love that comes once in a lifetime
And I'm pretty sure that you are that love of mine

'Cause I'm in a field of dandelions
Wishin' on every one that you'd be mine, mine
And I see forever in your eyes
I feel okay when I see you smile, smile

Wishin' on dandelions all of the time
Prayin' to God that one day you'll be mine
Wishin' on dandelions all of the time, all of the time

I think that you are the one for me
'Cause it gets so hard to breathe
When you're looking at me, I've never felt so alive and free
When you're looking at me, I've never felt so happy
You might also like
And I've heard of a love that comes once in a lifetime
And I'm pretty sure that you are that love of mine

'Cause I'm in a field of dandelions
Wishin' on every one that you'd be mine, mine
And I see forever in your eyes
I feel okay when I see you smile, smile

Wishin' on dandelions all of the time
Prayin' to God that one day you'll be mine
Wishin' on dandelions all of the time, all of the time

Dandelion into the wind you go
Won't you let my darling know?
Dandelion into the wind you go
Won't you let my darling know that

I'm in a field of dandelions
Wishin' on every one that you'd be mine, mine
And I see forever in your eyes
I feel okay when I see you smile, smile
Wishin' on dandelions all of the time
Prayin' to God that one day you'll be mine
Wishin' on dandelions all of the time, all of the time

I'm in a field of dandelions
Wishin' on every one that you'd be mine, mine18Embed","[['confusion', 'neutral'], ['neutral'], ['admiration'], ['admiration', 'disappointment'], ['love'], ['approval', 'love'], ['neutral'], ['desire'], ['neutral'], ['approval', 'joy'], ['desire'], ['neutral'], ['desire'], ['neutral'], ['disappointment', 'sadness'], ['realization'], ['joy'], ['confusion', 'neutral'], ['love'], ['approval', 'love'], ['neutral'], ['desire'], ['neutral'], ['approval', 'joy'], ['desire'], ['neutral'], ['desire'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['desire'], ['neutral'], ['approval', 'joy'], ['desire'], ['neutral'], ['desire'], ['neutral'], ['desire', 'neutral']]"
4,4,Conan Gray - Heather,"209 ContributorsTranslationsEspañolFrançaisDanskTürkçeРусскийItaliano한국어العربيةPortuguêsDeutschHeather Lyrics
I still remember, third of December
Me in your sweater, you said it looked better
On me than it did you, only if you knew
How much I liked you, but I watch your eyes as she

Walks by
What a sight for sore eyes
Brighter than a blue sky
She's got you mesmerized while I die

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester
But you like her better, wish I were Heather
Watch as she stands with her holding your hand
Put your arm 'round her shoulder, now I'm getting colder
But how could I hate her? She's such an angel
But then again, kinda wish she were dead as she

Walks by
What a sight for sore eyes
Brighter than a blue sky
She's got you mesmerized while I die
See Conan Gray LiveGet tickets as low as $26You might also like
Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester
But you like her better, I wish I were Heather

(Oh)
Wish I were Heather
(Oh, oh)
Wish I were Heather

Why would you ever kiss me?
I'm not even half as pretty
You gave her your sweater, it's just polyester
But you like her better, wish I were158Embed","[['realization', 'neutral'], ['neutral'], ['neutral'], ['admiration', 'love'], ['neutral'], ['admiration', 'neutral'], ['admiration', 'neutral'], ['admiration', 'neutral'], ['curiosity'], ['disappointment', 'disapproval'], ['neutral'], ['caring', 'love'], ['neutral'], ['neutral'], ['admiration'], ['neutral'], ['neutral'], ['admiration', 'neutral'], ['admiration', 'neutral'], ['admiration', 'neutral'], ['approval', 'neutral'], ['curiosity'], ['disappointment', 'disapproval'], ['neutral'], ['desire'], ['neutral'], ['desire'], ['neutral'], ['desire'], ['curiosity'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'neutral']]"
5,5,Justin Bieber - Ghost,"114 ContributorsTranslationsDeutschTürkçeEspañolPortuguêsGhost Lyrics
Youngblood thinks there's always tomorrow
I miss your touch some nights when I'm hollow
I know you crossed a bridge that I can't follow
Since the love that you left is all that I get, I want you to know

That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (More than life)
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life

Youngblood thinks there's always tomorrow
I need more time, but time can't be borrowed
I'd leave it all behind if I could follow
Since the love that you left is all that I get, I want you to know

That if I can't be close to you
I'll settle for the ghost of you
I miss you more than life (Yeah)
And if you can't be next to me
Your memory is ecstasy (Oh)
I miss you more than life
I miss you more than life
You might also like
Woah
Na-na-na
More than life (Oh)

So if I can't get close to you
I'll settle for the ghost of you
I miss you more than life
And if you can't be next to me
Your memory is ecstasy
I miss you more than life
I miss you more than life19Embed","[['neutral'], ['sadness'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['sadness'], ['sadness'], ['neutral'], ['desire'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['excitement', 'neutral'], ['sadness'], ['sadness'], ['confusion', 'neutral'], ['surprise'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['sadness'], ['sadness']]"
6,6,SZA - Kill Bill,"155 ContributorsTranslationsEspañolPortuguêsItalianoTürkçeDeutschNederlands日本語සිංහලΕλληνικάРусскийBahasa IndonesiaFrançaisالعربيةKill Bill Lyrics
I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should

I might
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I get the sense that it's a lost cause
I get the sense that you might really love her
This text gon' be evidence, this text is evidence
I tried to ration with you, no murders or crime of passion, but damn
You was out of reach
You was at the farmer's market with your perfect peach
Now I'm in the basement plannin' home invasion
Now you layin' face-down, got me singin' over a beat
See SZA LiveGet tickets as low as $86You might also like
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will

I might (I)
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I did it all for love (Love)
I did it all on no drugs (Drugs)
I did all of this sober
I did it all for us, oh
I did it all for love (Love)
I did all of this on no drugs (Drugs)
I did all of this sober
Don't you know I did it all for us? (I'm gon' kill your ass tonight)

Oh, I just killed my ex (My ex, oops), not the best idea (Idea)
Killed his girlfriend next, how'd I get here? (He left me no choice)
I just killed my ex (My ex), I still love him though (I do)
Rather be in Hell than alone73Embed","[['neutral'], ['joy'], ['joy', 'sadness'], ['pride', 'neutral'], ['realization'], ['disapproval'], ['neutral'], ['neutral'], ['anger', 'disapproval'], ['neutral'], ['love'], ['neutral'], ['disappointment', 'neutral'], ['love', 'optimism'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['pride', 'neutral'], ['realization'], ['disapproval'], ['neutral'], ['neutral'], ['anger', 'disapproval'], ['neutral'], ['love'], ['neutral'], ['love'], ['approval', 'relief', 'neutral'], ['approval', 'neutral'], ['joy', 'neutral'], ['love'], ['neutral'], ['approval', 'neutral'], ['anger', 'curiosity'], ['disappointment'], ['curiosity'], ['love'], ['neutral']]"
7,7,Ed Sheeran - Perfect,"331 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoΕλληνικάDeutschFrançaisفارسیالعربيةPerfect Lyrics
I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for me

'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But, darlin', just kiss me slow
Your heart is all I own
And in your eyes, you're holdin' mine

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, ""Darlin', you look perfect tonight""

Well, I found a woman stronger than anyone I know
She shares my dreams, I hope that, someday, I'll share her home
I found a love to carry more than just my secrets
To carry love, to carry children of our own
See Ed Sheeran LiveGet tickets as low as $74You might also like
We are still kids, but we're so in love
Fightin' against all odds
I know we'll be alright this time
Darlin', just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When I saw you in that dress, lookin' so beautiful
I don't deserve this, darlin', you look perfect tonight

No, no, no
Mm, no, no

Baby, I'm dancin' in the dark with you between my arms
We're barefoot on the grass, oh, listenin' to our favourite song
I have faith in what I see, now I know I have met
An angel in person and she looks perfect
I don't deserve this, you look perfect tonight265Embed","[['love'], ['approval', 'neutral'], ['admiration'], ['surprise', 'neutral'], ['love', 'realization'], ['confusion', 'neutral'], ['disapproval'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['joy', 'love'], ['neutral'], ['admiration'], ['neutral'], ['desire', 'optimism'], ['love'], ['love', 'neutral'], ['optimism', 'neutral'], ['love'], ['neutral'], ['caring', 'optimism'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['joy', 'love'], ['admiration'], ['admiration', 'disapproval'], ['disapproval'], ['disapproval', 'neutral'], ['neutral'], ['joy'], ['optimism'], ['admiration'], ['admiration', 'disapproval']]"
8,8,Fabio Asher - Rumah Singgah,"2 ContributorsRumah Singgah Lyrics

Saat hatimu terluka
Akulah yang menemanimu
Membasuh air matamu

Namun mengapa ketika
Hatimu telah tersenyum lagi
Aku yang kau lupa

Tak sadarkah selama ini
'Ku juga selalu menginginkanmu

Mengapa sulit untuk kubisa miliki hatimu
Bahkan selama ini hadirku tak berharga untukmu
Yang terjadi kini 'ku hanya rumah persinggahanmu
Di saat kau terluka
Dan di saat semuanya reda
Kau menghilang begitu saja

Jika memang ini tak ada harapan
Mengapa aku yang harus jadi tujuan
Saat hatimu terluka
Aku yang jadi obatnya
Tanpa pernah kau hargai
Cinta dan kasih yang setulus ini
You might also like
Mengapa sulit
Mengapa sulit untuk kubisa miliki hatimu
Bahkan selama ini hadirku tak berharga untukmu
Yang terjadi kini 'ku hanya rumah persinggahanmu
Di saat kau terluka
Dan di saat semuanya reda
Kau menghilang begitu saja

Dan di saat semuanya reda
Kau menghilang begitu sajaEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
9,9,The Kid LAROI - Stay,"136 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoDeutschFrançaisفارسیРусскийSTAY Lyrics
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can’t find nobody else as good as you
I need you to stay, need you to stay, hey (Oh)

I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
Oh, I’ll be fucked up if you can't be right here

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
You might also like
When I’m away from you, I miss your touch (Ooh)
You’re the reason I believe in love
It's been difficult for me to trust (Ooh)
And I’m afraid that I'ma fuck it up
Ain't no way that I can leave you stranded
'Cause you ain’t ever left me empty-handed
And you know that I know that I can't live without you
So, baby, stay

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
Woah-oh
I need you to stay, need you to stay, hey115Embed","[['neutral'], ['neutral'], ['neutral'], ['caring'], ['disappointment', 'neutral'], ['realization'], ['disappointment'], ['anger', 'optimism'], ['excitement', 'surprise'], ['excitement', 'surprise'], ['excitement', 'surprise'], ['anger', 'optimism'], ['neutral'], ['neutral'], ['neutral'], ['caring'], ['neutral'], ['neutral'], ['neutral'], ['caring'], ['confusion', 'neutral'], ['sadness'], ['love'], ['realization'], ['fear'], ['disapproval', 'neutral'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['excitement', 'surprise'], ['excitement', 'surprise'], ['excitement', 'surprise'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['caring'], ['neutral'], ['neutral'], ['neutral'], ['caring'], ['surprise'], ['caring', 'neutral']]"
