,Unnamed: 0,artist_title,lyrics,emotions
0,0,Kaifi Khalil - Kahani Suno 2.0,"4 ContributorsTranslationsاردوEnglishKaifi Khalil - Kahani Suno 2.0 (Romanized) Lyrics
Kahani suno, haan zubani suno
Mujhe pyaar hua tha, ikraar hua tha
Kahani suno, haan zubani suno
Mujhe pyaar hua tha, ikraar hua tha
Mujhe pyaar hua tha, ikraar hua tha

Deewana hua, mastana hua
Teri chahat mein kitna fasana hua
Tere aane ki khushbu, tere jaane ka manzar
Tujhe milna padega, ab zamana hua

Sadaiyein suno, haan jafain suno

Mujhe pyaar hua tha, ikraar hua tha
Mujhe pyaar hua tha, ikraar hua tha

Hai tamanna humein tumhein dulhan banayein
Tere hathon pe mehendi apne naam ki sajayein
Teri lele balayein, tere sadqe utaarein
Hai tamanna humein tumhein apna banaye
You might also like
Nahi mushkil wafa, zara dekho yahan
Teri aankhon mein basta hai mera jahaan
Kabhi sun toh zara jo main keh na saka
Meri duniya tum hi ho
Tum hi aasara

Duayein suno, sazayein suno

Mujhe pyaar hua tha, ikraar hua tha
Kahani suno, haan zubani suno
Mujhe pyaar hua tha, ikraar hua tha
Mujhe pyaar hua tha, ikraar hua tha

Pyaar hua tha
Pyaar hua tha
Pyaar hua thaEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
1,1,Abdul Hannan - Bikhra,"3 ContributorsBikhra LyricsDekh le tu
Aajzi ye meri
Aaj bhi main
Tera yahin
Aarzu jo
Teri honay lagi
Hoshon mein
Rehta nahi
Na janay kyun tu hee tu
Dil mein bassa hae
Tere bina kya jiyoon
Bikhra ye mann kya sitam
Tu ne hein dhaaye
Phir bhi mein kuch na kahoon
Ye tou bata kya hae mubtla
Meri nazar ke shikaar mei
Ye tou pata tujhe hae bhalla
Sab hae tere ikhtiyar mein
Jaan le tu
Badal bhi jayein sabhi
Mein rahoonga
Ik sa yahin
Na janay kyun tu hee tu
Dil mein bassa hae
Tere bina kya jiyoon
Bikhra ye mann kya sitam
Tu ne hein dhaaye
Phir bhi mein kuch na kahoon
Na janay kyun tu hee tu
Dil mein bassa hae
Tere bina kya jiyoon
Bikhra ye mann kya sitam
Tu ne hein dhaaye
Phir bhi mein kuch na kahoon
Na janay kyun
Dil mein hae tu kyun
Na janay kyun
Ik tu hee tu
Na janay kyun
Hmmmm
Phir bhi mein kuch na kahoonYou might also likeEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'neutral'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['neutral']]"
2,2,Rovalio - Iraaday,"3 ContributorsTranslationsRomanizationहिन्दीEnglishIraaday Lyrics
میرے ارادے

کیسے کہوں میں تم سا کوئی
کوئی نہ ہے
میں تیرے آس پاس رہوں
دل ویراں ہے
جزبات میرے سبھی
تو ہی جانے
جتنا بھی دیکھوں
دل بھر نہ پائے

کیسا سماں ہے
ہم تم یہاں ہے
ظاہر کروں کیا ہیں جو
میرے ارادے
تیرے ہوالے میں
کسی بہانے
ظاہر کروں کیا ہیں جو
میرے ارادے
میرے، میرے ارادے

ایسے یوں گنگناتا رہوں
تیرے لیے میں
چاہوں کے مجھ تک رہیں
تیری نگاہیں
کیسے میں کہوں
کیسے میں یہ کہوں
اثر جو تیرا میرے
دل پے ہوا ہے
You might also like
کیسا سماں ہے
ہم تم یہاں ہے
ظاہر کروں کیا ہیں جو
میرے ارادے
تیرے ہوالے میں
کسی بہانے
ظاہر کروں کیا ہیں جو
میرے ارادے
میرے، میرے، میرے ارادےEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
3,3,Shubh - No Love,"4 ContributorsNO LOVE Lyrics
Ankhan vich surma kaala
Bulla de laare ni
Muh te maskara jhoota
Chober te bhaave ni
Kinne aa piche laaye
Te kinne chaare ni
Gin gin ke dil tod’di
Jeyon tut de taare ni

Reha ni hune aitbaar, sohniye
Reha ni hune aitbaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar

Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar

Zulfa de jaal tere ni
Khuda da kehar kude
Nain bekaabu tere
Bande aa zehaar kude
Bas ikko manggi rab to
Manggi teri khair kude
Sadda kassoor si kahda
Kaddeya jo vair kude
You might also like
Maadi tu kiti behisaab, sohniye
Maadi tu kiti behisaab
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar

Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar

Ho rang tera chanan warga
Dil kaali raat kude
Thoddi te kaala til jo
Paunda si baat kude
Kakha da karta ni tu
Mangda si saath kude
Aa lai chakk likhan laata
Teri karamaat kude

Tutti aa adh vichkaar, sohniye
Tutti aa adh vichkaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde ade pyaarEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
4,4,AP Dhillon - Summer High,"5 ContributorsSummer High Lyrics
Ik sadde milan diya khabra
Pyaar ch bhijan diya sadra
Eh hunn mainu jeen na dindiyan
Eh hunn mainu jeen na dindiya

Oh Badal Karde Mahol Kharap
Tussi na labde kitte janab
Tik ke baith kite nahi hunda
Dil vich vajje nere rabab
Akhan vich jaggiya battiyan
Chukiya main ishq diya chatiyan
Eh hunn mainu neen na dindiya
Eh hunn mainu neen na dindiya

Ik sadde milan diya khabra
Pyaar ch bhijan diya sadra
Eh hunn mainu jeen na dindiya
Eh hunn mainu jeen na dindiya

Cha chad janda tera naam sun
Khyala nu mainu gall naal lala ni
Hon je dila te naam likhde
Main naam tera dil te likhala ni
You might also like
Hawavan tainu lagan na tattiyan
Fikar main vaaja maar sadiyan
Eh daaru hun peen na dindiya
Eh daaru hun peen na dindiya
Ik sadde milan diya khabra
Pyaar ch bhijan diya sadra
Eh hunn mainu jeen na dindiya
Eh hunn mainu jeen na dindiya

Ik sadde milan diya khabra
Pyaar ch bhijan diya sadra
Eh hunn mainu jeen na dindiya
Eh hunn mainu jeen na dindiyaEmbed","[['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral']]"
5,5,AUR - Tu hai kahan,"5 ContributorsTranslationsاردوAUR - Tu hai kahan ft. ZAYN (Romanized) Lyrics
Ki jab main hadd se aage badh gaya tha aashiqui me
Yaani Zindagi ko le raha mazak hi me
Fir mazak hi me mil gaya sab khaak hi me
Choo kar aaya manziley to tanha tha me vapasi me
Jaise phool todey hongey tumne jholi bharkay
Me wo phool jo ki reh gaya tha shaakh hi me
Jaise khwaab hi me khwaab gaahein aankh hi me
Pal se pal me kya hua tum reh gaye bas yaad hi me
Ek sawaal machalta hai mere dil me kabhi
Tujhe me bhul jaau yaa tujhe me yaad karu
Tujhi ko soch ke likhta hu jo bhi likhta hu
Ab likh raha hu to fir kyu na ek sawal karu
Main is sawal se gham to badal du khusiyon me
Par inn bejaan si khushiyon se kya kamaal karu
Par ab sawal bhi kamal, tu sambhaal le filhaal
Ye zawaal bichaa jaal kya main chaal chalu
Chaal chal tu apni main tujhe pehchaan lunga
Mai apni mehfilon me sirf tera hi naam lunga
Tujhe pasand hai dheema lehja or bas khamoshiyaan
Me tere khaatir apni khudki saanse thaam lunga
Kya tere saare aansu mere ho sakte hai
Aisa hai to tere khaatir hum bhi ro sakte hai
Mere khaatir mere rone par ab tum bas hass dena
Ekbaar teri muskurahat ke piche hum sab kuch kho sakte hai
Kya meri mohbbaton ka koi hisaab nahi hai
Kya teri aankhon me mere liye koi khwaab nahi hai
Tujhe kya hi karu ghamzada ab jaane de
Ki tere paas mere pyaar ka jawaab nai hai
Kitni muddate hui hai, tumne khat kyu nahi bheja
Gaa leta hu tere liye, mausiqi nahi hai pesha
Aane ki khabar hi nahi tere ab
Ab kya masuamo se puchu tere aane ka andesha
You might also like
Ankhon me aansoon nahi hai
Kaha hai tu kaha tu nahi hai
Dil ko ye ab jaan'na hi nahi, bas tum chale aao

Tu hai kahan, khwabo ke iss sheher me mera dil tujhe dhund taa
Dhund taa
Arsaa hua, tujhko dekha nahi
Tu na jaane kaha chup gaya
Chup gaya

Aao firse hum chale
Thaam lo ye haath, kardo kam yeh faasle
Na pata ho manzilon ka, na ho Raste
Tu ho, main hu, bethe dono firr
Hum taaron ke taley
Naa subah ho fir, naa hi din dhale
Kuch na keh sake, kuch na sun sake
Batein sari wo, dil me hi rahein
Tumko kya pata hai kya ho tum mere liye
Kehkasha Ho Tum
Kahaniyon ki pariyon ki tarah ho tum
Mujhme aasake naa koi iss tarah ho tum
Ho yaaqeen tum mera, ya fir gumaan ho tum
Ashiyaan ho tum
Mai bhatka sa musafir aur makaan ho tum
Meri manzilon ka ek hi rasta ho tum
Dhund ta hai dil tujhe bata kahan ho tum
Ho jahan kahin bhi
Aao paas taake aansu mere tham sake
Yaad aa rahe ho tum mujhe ab har lamhe
Aisi zindagi ka kya jo tum zindagi me hoke
Meri zindagi na ban sake
Sochta rahu ya bhul jau ab tumhe
Tum mil hi na sakoge, to fir kaise chahun ab tumhe
Tere saare khwaab pal me jod denge
Jisme tu hi na basega, fir wo dil hi tod denge
Chod denge wo sheher
Ke jisme tum na hoge
Tuut jaaenge makaan
Wo saare hasrato ke
Guzre pal jo saath tere
Wo pal hai bas sukoon ke
Mil lo ab tum iss tarah se
Ke fir nahi miloge
Tu hi tha saath me mere, kaise me jiunga akele
Taare gin gin ke hogayi hai subha

Tu hai kaha, khwabo ke iss sheher me mera dil tujhe dhund taa
Dhund taa
Arsaa hua, tujhko dekha nahi
Tu na jaane kaha chup gaya
Chup gaya

You'll always stay with meEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'anger'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'neutral'], ['neutral'], ['amusement', 'anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['amusement', 'neutral'], ['amusement'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement'], ['neutral'], ['neutral'], ['amusement', 'neutral'], ['neutral'], ['neutral']]"
6,6,Aditya Rikhari - Samjho Na,"1 ContributorTranslationsहिन्दीAditya Rikhari – Samjho Na (Romanized) Lyrics
O, mere saajna ve, dola mere, o
Aankhon mein dekho meri, dil ki kaho
O, mere saajna ve, dola mere, o
Baanhon mein bhar lo, kahin naa jaane do

Dam, dam, dam, dam, dam, har-dam bharte hain naam ki tere
Jeete hain tere liye aur marte hain naam pe tere
Dam, dam, dam, dam, dam, har-dam bharte hain naam ki tere
Jeete hain tere liye aur marte hain naam pe

Jaanaan, samjho naa, dil kehta hai
Teri galiyon mein hi rehta hai
Jaanaan, samjho naa, dil kehta hai
Teri baanhon mein jeena hai, marna hai ishq mein tere

O, mere saajna ve, dola mere, o
Aankhon mein dekho meri, dil ki kaho
O, mere saajna ve, dola mere, o
Baanhon mein bhar lo, kahin naa jaane do

Ishq ki baaziyaan ye saari hain kheli maine
Dil deke bhi ye raatein kaati akeli maine
Ik bhaaye mujhko uljhi-uljhi si jaanaan tu
Warna suljhayi ek se ek paheli maine
You might also like
Jaanaan, samjho naa, hum darte hain
Dekhen door se tujhko, jee bharte hain
Jaanaan, samjho naa, hum darte hain
Pyaar karte hain tumse, jeete-marte hain ishq mein tere

O, mere saajna ve, dola mere, o
Aankhon mein dekho meri, dil ki kaho
O, mere saajna ve, dola mere, o
Baanhon mein bhar lo, kahin naa jaane doEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
7,7,Shubh - Cheques,"8 ContributorsTranslationsRomanizationاردوEnglishCheques Lyrics

ਜੇ ਕੋਈ ਸ਼ਕ ਨੀ, ਕਰੀਂ ਚੈੱਕ ਨੀ
ਬੀਬਾ ਜੱਟ ਦੀ ਆ ਚੱਲੇ ਸਰਦਾਰੀ
ਲੱਗੇ ਜੈੱਕ ਨੀ, ਵੱਡੇ ਚੈੱਕ ਨੀ
ਉੱਤੇ ਆਲੇ ਨਾਲ ਲਾਈ ਬੈਠਾ ਯਾਰੀ
ਜੇ ਕੋਈ ਸ਼ਕ ਨੀ, ਕਰੀਂ ਚੈੱਕ ਨੀ
ਬੀਬਾ ਜੱਟ ਦੀ ਆ ਚੱਲੇ ਸਰਦਾਰੀ
ਲੱਗੇ ਜੈੱਕ ਨੀ, ਵੱਡੇ ਚੈੱਕ ਨੀ
ਉੱਤੇ ਆਲੇ ਨਾਲ ਲਾਈ ਬੈਠਾ ਯਾਰੀ

ਰੱਖੀ ਅੱਖ ਨੀ, ਵੈਰੀ ਕੱਖ ਨੀ
ਗੇਮ ਘੁੰਮਦੀ ਆ ਬੈਠੇ ਫ਼ੋਨ ਚੱਕ ਨੀ
ਪਿੱਛੇ ਜੱਗ ਨੀ, ਲਾਈ ਲੱਗ ਨੀ
ਲੱਗੀ ਕਈਆਂ ਦਿਆਂ ਉੱਤੇ ਤਕ ਅੱਗ ਨੀ
ਹਾਂ, ਕੌਡਾ ਲੱਗਦਾ ਸੁਬਾ
ਪੁੱਛੀ ਜਰਾ ਜਾ ਕੇ ਨਾਮ ਚੱਲੇ ਥਾਂ ਥਾਂ
ਜੱਟ ਤਾਂ ਪਹਿਲੀ ਮੱਲੀ ਬੈਠਾ ਥਾਂ
ਅੱਗੇ ਕੱਦੇ ਆ ਭੁਲੇਖੇ ਕਈ ਵਾਰੀ ਕਈ ਵਾਰੀ

ਜੇ ਕੋਈ ਸ਼ਕ ਨੀ, ਕਰੀਂ ਚੈੱਕ ਨੀ
ਬੀਬਾ ਜੱਟ ਦੀ ਆ ਚੱਲੇ ਸਰਦਾਰੀ
ਲੱਗੇ ਜੈੱਕ ਨੀ, ਵੱਡੇ ਚੈੱਕ ਨੀ
ਉੱਤੇ ਆਲੇ ਨਾਲ ਲਾਈ ਬੈਠਾ ਯਾਰੀ
ਜੇ ਕੋਈ ਸ਼ਕ ਨੀ, ਕਰੀਂ ਚੈੱਕ ਨੀ
ਬੀਬਾ ਜੱਟ ਦੀ ਆ ਚੱਲੇ ਸਰਦਾਰੀ
ਲੱਗੇ ਜੈੱਕ ਨੀ, ਵੱਡੇ ਚੈੱਕ ਨੀ
ਉੱਤੇ ਆਲੇ ਨਾਲ ਲਾਈ ਬੈਠਾ ਯਾਰੀ
(ਚ' ਚ’ ਚੱਲੇ ਸਰਦਾਰੀ
ਲਾਈ ਬੈਠਾ, ਲਾਈ ਬੈਠਾ)
You might also like
ਜੁੱਸਾ ਮਾਰਦਾ ਏ ਥੱਥਾ ਗਭਰੂ ਜਵਾਂ ਦਾ
ਟੁੱਟੀ ਬੋਲਦੀ ਏ ਜੱਗ ਤੇ ਜ਼ਮਾਨਾ ਜਾਂ ਦਾ
ਸਾਡਾ ਰੁਤਬਾ ਹੀ ਦੇਖ ਵੈਰੀ ਸੀਨਾ ਸਾੜ੍ਹਦਾ
ਬਾਬਾ ਬਿਨਾ ਹੀ ਤਲਾਵਾਂ ਜਾਂਦਾ ਗੁੱਡੀ ਚਾੜ ਦਾ

ਜੁੱਸਾ ਮਾਰਦਾ ਏ ਥੱਥਾ ਗਭਰੂ ਜਵਾਂ ਦਾ
ਟੁੱਟੀ ਬੋਲਦੀ ਏ ਜੱਗ ਤੇ ਜ਼ਮਾਨਾ ਜਾਂ ਦਾ
ਸਾਡਾ ਰੁਤਬਾ ਹੀ ਦੇਖ ਵੈਰੀ ਸੀਨਾ ਸਾੜ੍ਹਦਾ
ਬਾਬਾ ਬਿਨਾ ਹੀ ਤਲਾਵਾਂ ਜਾਂਦਾ ਗੁੱਡੀ ਚਾੜ ਦਾ
ਤੂੰ ਨਾ ਜਾਂਦੀ, ਕਾਰੋਬਾਰ ਨੀ
ਜਾਅਲੀ ਨੰਬਰ ਪਲੇਟ ਲੱਗੀ ਕਾਰ ਦੀ
ਕੱਦੇ ਜਾਣ ਨੀ ਜੋ ਲੱਗਾ ਦੱਬ ਨਾਲ ਨੀ
ਹਾਂ, ਫ਼ੇਸ ਉੱਤੇ ਆ ਗਲੋ
ਪੁੱਛੀ ਨਾ ਟਿਕਾਣੇ ਸਾਰੇ ਰਹਿੰਦੇ ਆ ਨੀ ਲੋ
ਇੱਕ-ਦੋ ਕਾਪੀ ਕਰਦੇ ਫ਼ਲੋ
ਠੰਢੇ ਕਰਤੇ ਆ ਬਿੱਲੋ ਕਾਹਦੀ ਕੀਤੀ ਕਲਾਕਾਰੀ

ਜੇ ਕੋਈ ਸ਼ਕ ਨੀ, ਕਰੀਂ ਚੈੱਕ ਨੀ
ਬੀਬਾ ਜੱਟ ਦੀ ਆ ਚੱਲੇ ਸਰਦਾਰੀ
ਲੱਗੇ ਜੈੱਕ ਨੀ, ਵੱਡੇ ਚੈੱਕ ਨੀ
ਉੱਤੇ ਆਲੇ ਨਾਲ ਲਾਈ ਬੈਠਾ ਯਾਰੀ
ਜੇ ਕੋਈ ਸ਼ਕ ਨੀ, ਕਰੀਂ ਚੈੱਕ ਨੀ
ਬੀਬਾ ਜੱਟ ਦੀ ਆ ਚੱਲੇ ਸਰਦਾਰੀ
ਲੱਗੇ ਜੈੱਕ ਨੀ, ਵੱਡੇ ਚੈੱਕ ਨੀ
ਉੱਤੇ ਆਲੇ ਨਾਲ ਲਾਈ ਬੈਠਾ ਯਾਰੀ
(ਚੱਲੇ ਸਰਦਾਰੀ)
(ਲਾਈ ਬੈਠਾ, ਲਾਈ ਬੈਠਾ)Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
8,8,AP Dhillon - Excuses,"9 ContributorsTranslationsEnglishExcuses Lyrics
Mere dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan—

Tutte dil nu sambhi phirde
Ki fayda mutiyaare ni
12 saal majhiyaan charaiyaan
Chadde Takht Hazare ni
Harr saanh naal yaad tainu karde rahe
Koyi sadde wang karuga taan pata lagunga

Dil naal laare ni tan laun waliye
Dil tera jado tuttuga taan
Mere dil naal laare ni tu laun waliye
Dil tera jadon tuttuga taan pata lagunga
Dil naal larre ni tu laun waaliye
Dil tera jadonn tutuga taan—

Kehndi hundi si ""Chann takk raah bana de""
""Taare ne pasand mainu hethaan saare laade""
Ohhna taareyaan de vichh jadonn mainu vekhengi
Meri yaad jadonn aaugi tan pata lagunga
You might also like
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan pata lagunga
Dil naal larre ni tu laun waaliye
Dil tera jadonn tutunga taan—

Raas na aaya tainu ni
Jo dil da mahal banaya si
Todd ke moti phullan de
Usss mahal chhh boota laaya si
Ni jivein sannu chadd gayi aan ni tu allhade
Jado tainu koyi chadugaa taan
Ohhh jivein sannu chadd gayi aan ni tu allhade
Jado tainu koyi chadugaa taan pata lagunga

Dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan pata lagunga

Ishqe de rahan vichh rul ke rehh gaye haan
Loka dite taane menne has ke sehh gaye haan
Ishqe de rahan vichh rul ke rehh gaye haan
Loka dite taane menne has ke sehh gaye haan
Sadde pyar nu tu pairan thalle roldi rahi
Jazbaat jadonn rule ohdon pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tuttuga taa pata lagunga
Dil naal larre ni tuu laun waaliye
Dil tera jadonn tutunga taan pata lagunga1Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
9,9,Shae Gill - Pasoori,"11 ContributorsTranslationsاردوShae Gill & Ali Sethi - Pasoori (Romanized) Lyrics
Agg lavan majboori nu
Aan jaan di pasoori nu
Zehar bane haan teri
Pee jaavan main poori nu
Aana si o nai aaya
Dil baang baang mera takraya
Kaga bol ke dus jaavein
Paavan gheyo dee choori nu

Raawaan ch baawan ch o nu lukawaan
Koi mainu na roke

Mere dhol judaiyaan di, tenu khabar kivein hove
Aa jaave dil tera, poora vi na hove
Haan baniyan banaiyaan di, gal baat kivein hove
Aa jaave dil tera, poora vi na hove

Bhul gayi majboori nu
Duniya di dastoori nu
Saath tera hai bathera
Poora kar zaroori nu
Aana si o Nai aaya
Raasta na dikhlaaya
Dil humara de sahara
Khaahishaat adhoori nu
You might also like
Waari main jaavan, main tenu bulavaan
Gal saari taan hove

Mere dhol judaiyaan di, tenu khabar kivein hove
Aa jaave dil tera, poora vi na hove
Haan baniyan banaiyaan di, gal baat kivein hove
Aa jaave dil tera, poora vi na hove

Mere dhol judaiyaan di, sardaari na hove
Mere dhol judaiyaan di
Ahhhhaaaaaaa
Mere dhol judaiyaan di, sardaari na hove
Dildaaran di, sab yaaaran di, aazaari na hove
Dildaaran di, sab yaaaran di, aazaari na hove
Aa chalein le ke tujhe
Hai jahaan silsilay
Tu hai wahi, hai teri kami
Bana de, saza de, panah de hume
Bana de, saza de, panah de hume
Agg lavan majboori nu
Aan jaan di pasoori nu
Zehar bane haan teri
Pee jaavan main poori nu
Raawaan ch baawan ch o nu lukawaan
Koi mainu na roke

Mere dhol judaiyaan di, tenu khabar kivein hove
Aa jaave dil tera, poora vi na hove
Haan baniyan banaiyaan di, gal baat kivein hove
Aa jaave dil tera, poora vi na hove

Poora vi na hove
Poora vi na hove4Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], [], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
