,Unnamed: 0,artist_title,lyrics,emotions
0,0,Big Baby Tape - 99 Problems,"43 ContributorsTranslationsEnglishRomanizationБеларуская99 Problems Lyrics

Эй, ай, ай
Ай, эй, ай (Фью-фью)
Ай, эй, эй (Фью)
DJ Tape
BANDANA

Этот день настал, мать его, он судный
Я не жму им руку, я не дружелюбный
Какой ты нахуй G? Твоя банда — лизоблюды
У меня новый соус, они хотят чекнуть моё блюдо
Сука, в чём дело? Эй, сука, в чём дело?
Эта блядь взяла в руки мой член и запела
В багажнике первый, я скинул им целый
Они приходят ко мне, ведь я скинул им цены
Скажи спасибо Богу за то, что ты целый
Кто эти фрешмены? Я рву их, как целок
У меня есть вес, и он тяжёлый
У тебя есть вкус, прости, он дешёвый
Девяносто девять проблем — JAY-Z
Я пришёл из dirt'а, я пришёл из грязи
Он хочет street credit, но не сможет купить
Есть вещи, которых ты не сможешь купить
Нахуй lockdown, сука, get down
Ствол у виска, клик-клэк, пиу-пау
Мама, don’t cry, я кого-то въебал
Пару пинт лина и лавэ на PayPal
Choppa goes: «Дрэнг, дрэнг-брэм-бэм-бэньг»
Forty bands на cuban link от Johnny Dang
Чё-Чё ты мне скажешь? Эй, сука, в чём дело?
Хм, лучше завали ебало и займись делом
You might also like
Сука, в чём дело? (Эй-эй)
Эй, сука, в чём дело? (Сука, в чём дело?)
(Эй, ай, ай, ай, ай)
Сука, в чём дело? (Ай, ай, эй)
Эй, сука, в чём дело? (В чём дело?)
Ай (Эй)
Сука, в ч—

Девяносто девять проблем
Нахуй девяносто девять проблем
Ты не мой белый, хоуми, ты не мой чел
Choppa в моих джинсах и ещё мой член
Я катаюсь с кем? Я катаюсь с гэнгом
Я был в Барселоне, мы там свэгали с Олегом
Сука, wassup, в чём дело?
Не ебу суку, если она не селеба
Мои-Мои пачки весят много — не могу ходить прямо
Монограмма Louis, мой ремень от Ferragamo
Не кончаю в суку, нахуй babymama драму
(Да, мы—) Да, мы так живём, я никогда не перестану
Jugg'ать этих белых на их кэш, lil' bitch
До сих пор Тейп, до сих пор Hoodrich
Белый, как bleach, как белый кирпич
Две суки рядом — выглядит как сэндвич
Дела на блоке, не на личном
Делать лямы ощущается отлично
Много drug’ов и наличных
Я ебался с твоей сукой, ты спалил меня с поличным
Ха, я сделал вид, что в этом нет ничего такого, и я сказал тебе:

Сука, в чём дело? (Эй-эй)
Эй, сука, в чём дело? (Сука, в чём дело?)
(Эй, ай, ай, ай, ай)
Сука, в чём дело?71Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
1,1,Skryptonite - Положение,"46 ContributorsTranslationsTürkçeПоложение (Position) Lyrics

Здесь я рос и делал то, что умел делать, либо
Я просто совру, я просто совру, я просто совру

Здесь я рос и делал то, что умел делать, либо
Я просто совру, сказав, что здесь был выбор
У меня была мечта, и было не до их ёбаных игр
Я всего лишь хотел воплотить её, кхм
Тихо, как падал снег, падал весь квартал
Мы падали на полпути во сне в поисках нала
Я с падалью жёг из пяти на все десять баллов
Мы не жаловались, даже когда слетало ебало, не
На сраных листах мои детские обиды
Мой дерзкий, забытый работами папа не подавал виду
Что бедность уже здесь, и что она просто ебала Фемиду
Нахуй время долгов — пришло время кредитов

Да, теперь у нас каждый день как день рождения
Мы купим большой плоский телек в воскресенье
Сыграем детям свадьбу в дорогом заведении
Возьмём ещё один на сестру, кредит наше спасение
You might also like
Каждый делал то, что мог, либо
Я просто совру, сказав, что здесь был выбор
У меня была мечта, и никаких ёбаных игр
Я всего лишь хотел воплотить её
Дорогая, тебе не нужны такие отношения
Ты говоришь:
— Я не уверена, что ты сможешь обеспечить продолжение
— Я люблю тебя
— Я люблю тебя так же сильно, но есть другие предложения. Я верю в твоё дело, но я сомневаюсь, что ты сможешь изменить положение
Чё, бля, смотри:
Теперь мой каждый день как день рождения
(Как день рождения!)
Я всё ещё помню всё твоё презрение (Я помню всё!)
Мне, как и сегодня, не надо было знать твоё ёбаное мнение (Мнение)
Ты приползла ко мне на стёртых коленях
Чё, блядь, смотри:
Ты больше не выльешь в раковину мой коньяк
(Ты больше не выпьешь ни единой капли)
Ты больше не выпьешь ни единой капли меня (М-м, м-м)
Ведь я больше не та безмозглая алкашня (М-м)
Твои соц. стереотипы — твоя западня

Смотри на меня, покажи мне тех новых двух
Смотри на меня, нет, покажи мне всех новых сук
Смотри на меня, они не понимают вообще, что несут
Смотри на меня, вокруг столько шума
Что как будто даже мой дом пасут
Давай же, проверь это, проверь это, проверь это
Ты в курсе, как в моей шкуре? Ты в курсе? Как в моей шкуре?
Давай же, проверь это, проверь это, проверь это
Ты в курсе? Как в моей шкуре, как в моей шкуре?
Давай же!60Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
2,2,Skryptonite - Москва любит...,"32 ContributorsTranslationsEnglishМосква любит... (Moscow Loves...) Lyrics

Мокрый асфальт, серое лицо
Ты найдёшь всё, что надо
Любовь или клад в глубине лесов
Только стёрлась помада
Потолок-звездопад, пальцы на висок
Глаза собраны в кучу
Завтра снова мокрый асфальт, серое лицо
Над тобой только тучи

Днём солнца тебе не сыскать
Теперь только дно — твоя хата и кровать (Ведь твоя жизнь)

Ведь твоя жизнь не тетрадки, а лишь общая тетрадь
(Здесь столько всего) Всего, чего не слышит твоя мать (Да)
Мамы любят сказки, девки любят полетать
Отсасывают так, будто за это медаль

Да, ведь Москва любит экстази, студентки и фэнтези
Ты пропавшая без вести в воображаемом бизнесе
«CoCo», O.T. Genasis, расплескай всем Hennessy
Твои понятия совести вертелись на пенисе
Расплескай всем денежки, если знаешь, где мешки
На завтрак съел их уровень, а твой удел, блядь, семечки
Тёлочки не девочки, пацаны не мальчики
Пакетики не маечки, ебальники обманчивы
Ебальники обманчивы (Damn), я не верю никому
Пало у тебя во рту, Пало-Пало в твоём рту
Бесполезно въёбывать за еду, когда больше аппетит
Когда фляга лишь свистит, а не сносит им башку
Мне не важно, сколько шкур здесь было с ними
Если половина мелких, половина синих
Марокканский шлейф, две рабыни без бикини
Сердце спрятал в сейф, громкости на середине
Свежие были на дыме, те, что с опытом на льдине
Две из пяти линий закончились не в Риме
Никакой гордыни, никаких надежд и шансов
В этой дырке ничего нет кроме танцев, м-м
Да, ведь Москва любит бедных и любит делать их беднее
Веришь в чудеса? М, хуёвая затея
Продавать веса вряд ли для тебя идея
Ты продал бы и свой зад, но ведь не нашёл ключей
Розовый вымыл весь твой кальций, к тебе пришла зубная фея
Красивая лыба, погнутые пальцы, в округе не найти дебила новее, периферия
Весь твой VIP — периферия
Тут «салам алейкум!», там «дева Мария!»
Тебе салам алейкум без анестезии (Да), каждый еблан думал, что он мессия (Да)
Каждый еблан знал, что он моложе, думал, что с этим быстрей и умнее (Так, так)
Не каждого упыря видно по роже, и, знаешь, похоже
Ты серьёзно хранишь свои кропали в банке? (Серьёзно?)
В моей банке «АК», «баблгам», «лимон», «амнезия»
Я видел: Москва уносила, слышал: «Москва — не Россия»
You might also like
Днём, солнца тебе не сыскать
Теперь только дно — твоя хата и кровать
Днём, солнца тебе не сыскать
Теперь только дно — твоя хата и кровать44Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
3,3,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed","[['approval', 'neutral'], ['neutral'], ['neutral'], ['love', 'optimism'], ['neutral'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['realization'], ['confusion', 'neutral'], ['disappointment', 'sadness', 'neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['neutral'], ['neutral'], ['caring', 'joy'], ['neutral'], ['disapproval'], ['excitement', 'neutral'], ['excitement', 'neutral'], ['neutral'], ['disapproval', 'neutral']]"
4,4,fem.love - Фотографирую закат,"36 ContributorsФотографирую закат (Take Pictures of the Sunset) Lyrics

GAXILLIC on the track

Фотографирую закат
Будто пару лет назад
Без тебя, без тебя
Без тебя-я-я
Фотографирую закат
Будто пару лет назад
Без тебя, без тебя
Без тебя-я-я

Уйди, в моём сердце свечи гаснут
Становлюсь холодным
Молчи, всё не вечно, всё неважно
Я умру свободным
Я не вижу лиц, я вижу твоё нутро
И среди него мне не нравится ничего
Просто прекрати
Посе-посе-посещать мои ёбаные сны

Фотографирую закат
Будто пару лет назад
Без тебя, без тебя
Без тебя-я-я
Фотографирую закат
Будто пару лет назад
Без тебя, без тебя
Без тебя-я-я
You might also like
Все эти лица, что запечатлел, —
Лишнее место, пора удалить
Думаешь, что я остался один?
Но уже никогда не останусь один

Уйди, в моём сердце свечи гаснут
Становлюсь холодным
Молчи, всё не вечно, всё неважно
Я умру свободным
Я не вижу лиц, я вижу твоё нутро
И среди него мне не нравится ничего
Просто прекрати
Посе-посе-посещать мои ёбаные сны

Фотографирую закат
Будто пару лет назад
Без тебя, без тебя
Без тебя-я-я
Фотографирую закат
Будто пару лет назад
Без тебя, без тебя
Без тебя-я-я29Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,Big Baby Tape - Million,"59 ContributorsTranslationsRomanizationEnglishMillion Lyrics

Pimp them sluts, break them hoes
Ride clean, smoke your dope
Break them hoes, break them hoes
Ride clean, smoke— (Yeah, ho)
Now I'm high, really high
Now I'm high-high-high
Now I'm high, really high
Now I'm high-high-high
Now I'm high, really high
Now I'm high-high-high
Now I'm high, really high (D-D, D-D, DJ Tape)
Now I'm high-high-high

200к, 300к, 500к, миллион
Easy come, easy go, трачу их, let it go (High)
Let it go, let it go, let it go, let it go
Миллион, миллион, миллион

Делай деньги — нахуй фэйм, lil' bitch, — это мой message
Моя сука ba-bad, bad and bougie, плюс она ratchet (Yeah, ho)
Я дал малому ход, он сделал fatty, он флексит
Прострелим твой целый hood, мой муд — сделать все racks'ы
Да, я знаю, она cocaina shorty (Yeah, ho)
Удлинённый blicky, а мой хоуми поднял forty (Yeah, ho)
Кизи поднял nina, его Кайен на Спорте (Yeah, ho)
Ты скажешь, что я демон, я скажу тебе: «Да что ты?» (Yeah, ho)
Этот Sprite Cranberry cup, пускаю корни
Заны ща во мне, я ощущаю себя lovely
Мои трусы от Burbеrry, нахуй закон — я маверик
Мой хоуми сделал robbery, free хоуми, — он ща в камере
А помнишь, как мы слайдили? Мы снайперы и трапперы
Мы не были богатыми, Cartier для моей матери
Мы сказочно богаты, ща я ем краба на завтрак
Потратил пару лямов ща, они вернутся завтра (Yeah, ho)
You might also like
Ствол on my hip, pockеt full of chips
Спрячу в носках скалы, в зубах горит сплиф
Сделал ещё хит для этих streets
Кто ты такой, белый? Don't fuck with me
Да, я Big Dillah, также money flippa
Они смотрят в ахуе, когда проходят мимо
Да, мама, я for real-a, микрофон килла
Так будет, так сейчас, и всё останется, как было

200к, 300к, 500к, миллион
Easy come, easy go, трачу их, let it go
Let it go, let it go, let it go, let it go (Now I'm high, really—)
Миллион, миллион, миллион, миллион
200к, 300к, 500к, миллион
Easy come, easy go, трачу их, let it go
Let it go, let it go, let it go, let it go
Миллион, миллион, миллион, миллион (Yeah, ho)

Now I'm high, really-really—
Now I'm high, really high-high
Now I'm high, really-really—
Now I'm high, really—40Embed","[['annoyance', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['excitement', 'pride', 'neutral'], ['excitement', 'neutral'], ['excitement', 'pride', 'neutral'], ['excitement', 'neutral'], ['excitement', 'pride', 'neutral'], ['excitement', 'neutral'], ['excitement', 'pride', 'neutral'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['excitement', 'pride', 'neutral'], ['neutral'], ['neutral']]"
6,6,shadowraze - astral step,"96 ContributorsTranslationsRomanizationEnglish​astral step Lyrics

Void incarnate

Кидаю step, лечу прям вверх
Мой красный сет убил их всех
У них в башке один preset
Я покажу тоннельный свет
Им не найти меня, я скрылся
Я пропавший в dissimilate
Я не оставлю им и следа
Из ниоткуда выйду в late

Разрубаю глефой ноги, я бегу, за спиной Боги, а-а
Как на ринге, только в лобби, ты подох, бля, ха-ха
Я стреляю — это step, бро, you low, пау-пау
Я быстрее этих lame'ов, you slow, братан
Я юзаю эти спеллы — это мой lifesteal
Я сипую эти step'ы — это жёсткий стиль
Долбоёб назвал НН-ом, я его простил
Я убил их, даже не завейстил сил
Погасил этих псин, курю бензин, I'm steal
Показал им старый стиль, добил их всех, а кто спросил?
Astral step поразил долбоёбов и терпил
У меня сотка гулей, посмотри — ты вновь один
You might also like
Вот ты прикинь, челы чё-то там на Дота-рэп гонят, да
А я за один квартал лям рублей получил, бля
Лимон за Дота-рэп, ха-ха-ха-ха

В моих глазах горит квазар
Иду вперёд, ни шагу назад
Кидаю step, бегу на старт
Весь твой профит идёт на спад
Стреляю метко, как солдат
Мой step сияет — это факт
И я step'ую прямо в такт
Им не убить меня, so hard

Кидаю step, лечу прям вверх
Мой красный сет убил их всех
У них в башке один preset
Я покажу тоннельный свет
Им не найти меня, я скрылся
Я пропавший в dissimilate
Я не оставлю им и следа
Из ниоткуда выйду в late

Hunter on ghoul, я убил их всех
Уворот от пуль, у меня есть вес
Нахуй граммовка, у меня есть весы
Я не злодей, но у меня свои бесы
Много валюты, имею и песо
Мало хп, я накину им вессел
Много энергии, я будто Тесла
Стреляю так метко, все пули прям в висок, а
В моих глазах горит квазар
Иду вперёд, ни шагу назад
Кидаю step, бегу на старт
Весь твой профит идёт на спад
Стреляю метко, как солдат
Мой step сияет — это факт
И я step'ую прямо в такт
Им не убить меня, so hard91Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
7,7,Big Baby Tape - Bandana,"83 ContributorsTranslationsБеларускаяRomanizationEnglishBandana Lyrics

Deep enough for you?
Deep enough for you?
Deep enough for you?
Deep enough for you?
Deep enough for you?
Deep enough for you?

Помню времена, когда мне было мало
Сделал гуалу и похавал в Benihana (Deep enough for you?)
Пару лямов — много пармезана
Молодой Сусаноо, я Учиха после зана
Всё идёт по плану, на бите Montana
Голова — бандана, банде не нужна охрана
Полосы на мне, о да, я начал бегать рано
Нахуй кошельки, stack выпирает из кармана
Да, мы курим lala, да, мы курим zaza
Да, мы курим shabba, и глазам пизда от газа
Миша съел ксанакс, Миша после занов
Миша после bar'ов, слышишь, Миша после bar'ов
И на мне банда (Банда?)
Что в моём стакане? Это не простая Fanta
Она так сосёт — ей надо на шоу талантов
Но мы с ней не пара — понял после пары блантов, сука
Ты не мой partner
У меня был белый за последней партой (Deep enough for you?)
Да, я тот белый (У-у-у), сделал это, мама
Всё идёт по плану, это бандана
You might also like
Помню времена, когда не было LEGO
Теперь они хотят сидеть на члене у Олега
Всё, что я делаю, — fuego
Они не врубают в это, парень, mula бустит моё эго
Улицы не спят, я солдат, это бандана
Мои кусты слева и кирпичи справа
Мускулы на пачки, есть пресс на карманах
Ты не об этом, белый, — не могу тебя понять, окей
Много снега даже в середине лета
Их рэп не стоит даже моего браслета
¿Qué pasa? Te quiero, gualito, dinero
Mas uno número, я про queso, есть чеддер
Много сплетен, но мне поебать на них
Mula во-первых, а также во-вторых
Да, я плаг, она влюбилась в dope dick
Она катает этот dick, да, она ride'ит этот dick, эй
Bitch, это бандана
Я босс, не dope runner, да, я top stunna
Не перестану, я начал так рано
На Бога, да, это oh my mama

Ла-ди-ди-да, да, да-да-да-да
Ла-ди-ди-да, да, да-да-да-да (Deep enough for you?)
Ла-ди-ди-да, да, да-да-да-да
Ла-ди-ди-да, да, да-да-да-да (У), гр-р-ра
Банда, на, на-на-на-на (Ву)
Бандана, на, на-на-на-на (Эй)
Банда, на, на-на-на-на
Бандана, на, на-на-на-на (Бандана, ву-ху)
О мой Бог, хорошая работа, Олег116Embed","[['curiosity', 'neutral'], ['curiosity', 'neutral'], ['curiosity', 'neutral'], ['curiosity', 'neutral'], ['curiosity', 'neutral'], ['curiosity', 'neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
8,8,Korol i Shut - Кукла колдуна,"15 ContributorsКукла колдуна (Sorcerer’s Doll) Lyrics

Тёмный, мрачный коридор
Я на цыпочках, как вор
Пробираюсь, чуть дыша
Чтобы не спугнуть
Тех, кто спит уже давно
Тех, кому не всё равно
В чью я комнату тайком
Желаю заглянуть
Чтобы увидеть…

Как бессонница в час ночной
Меняет, нелюдимая, облик твой
Чьих, невольница, ты идей?
Зачем тебе охотиться на людей?

Крестик на моей груди
На него ты погляди
Что в тебе способен он
Резко изменить?
Много книжек я читал
Много фокусов видал
Свою тайну от меня
Не пытайся скрыть!
Я это видел!
You might also like
Как бессонница в час ночной
Меняет, нелюдимая, облик твой
Чьих, невольница, ты идей?
Зачем тебе охотиться на людей?

Очень жаль, что ты тогда
Мне поверить не смогла
В то, что новый твой приятель
Не такой, как все!
Ты осталась с ним вдвоём
Не зная ничего о нём
Что для всех опасен он
Наплевать тебе!
И ты попала!

К настоящему колдуну
Он загубил таких, как ты, не одну!
Словно куклой, в час ночной
Теперь он может управлять тобой!

Всё происходит, будто в страшном сне
И находиться здесь опасно мне!9Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
9,9,Miyagi & Andy Panda - Minor,"32 ContributorsMinor Lyrics

(Угу-угу, е, е, е
Тупо доверять, е-е, е, е, е
На-на-на, м, е, е, е
Тупо доверять, доверять, доверять)
А, я, а

Я сам будто себя наказал этим непониманием, е, е, е
Перестал себе тупо доверять и без устали жаловался на людей
Караван гремел, и негодяй потешал себя баснями о воде
Но то были миражи, ты — покаяние моё, найди-ка меня скорей
Пустынями верными я кочевал, да песок глотал следы
И не надо быть тут пророком, чтобы понимать суету беды
Сам приволок эти пули, чё мыслями-выстрелами судьбы
Убивали во мне этого бога, чё по сути был поводырь

(М-м—) Моё тело — минор, боле не жалей ты тело, минор
Грязными пальцами боле не трожь мою душу недоношенную
Тело — минор
Здесь для тоски вереницами пульса
Недоброжелатели точили топор
Я скоротаю те дни, что велела судьба-негодяйка, сам, в одного
You might also like
Настроение lo-fi, тело — минор, как и трек, зай
Понял, чувства эти подвели меня, я запомнил, 'till we die
Тело — минор, я не веселюсь, тело — минор
Ну-ка улыбнись, чтобы вспомнить жизнь, задышать полной грудью — и вон, ах
Знаю, что люди несут в своём body грустные судьбы, ах
Я тоже отчасти такой же — Ронин на перепутье, ах
Куда занесёт моё дело? И кто тот счастливчик, постойте, ах
В отражении радость, только не беспокойте

(М-м—) Моё тело — минор, боле не жалей ты тело, минор
Грязными пальцами боле не трожь мою душу недоношенную
Тело — минор
Здесь для тоски вереницами пульса
Недоброжелатели точили топор
Я скоротаю те дни, что велела судьба-негодяйка, сам, в одного
(М-м—) Моё тело — минор, боле не жалей ты тело, минор
Грязными пальцами боле не трожь мою душу недоношенную
Тело — минор
Здесь для тоски вереницами пульса
Недоброжелатели точили топор
Я скоротаю те дни, что велела судьба-негодяйка, сам, в одного

(О) Моё тело — минор (Тело — минор)
(О) Моё тело — минор (Тело — минор)
(О) Моё тело — минор (Тело — минор)
(О) Моё тело — минор (Тело — минор, тело — минор)11Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
