,Unnamed: 0,artist_title,lyrics,emotions
0,0,Calin - Hannah Montana,"7 ContributorsHannah Montana Lyrics

Venku v zimě, já jezdím městama
Gas za schodama, já a baby mama
Air Forcy na nohách, blokem Formula 1
Mám životy dva, Hannah Montana
Co nosí moje Prada? Sto jedna hříchů, možná víc
Tmou jede Qashqai, jedem pro krysu ke dvěřím
Vzhůru do rána, chica americana
Není čas na beef, duše temná jako vrána, ayy

Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a
Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a

Oi, oi, oi, California Love
V Sonu se mnou psychopati, bude válka, bude boj, yeah
Oi, oi, oi, říkaj mi Pretty Boy
Daytona ve vitríně žene vlky jako stroj, yeah
Hranice, koridor, díky tady za domov
Kdo nadává na Čechy, tak neví, kde se děje co
Na zadním sedadle jsem každý víkend, dej mi to
Píšu příběhy, co dělám, další město, další noc, yeah
You might also like
Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a
Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a

Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry a
Sjíždím kolama, řekni mi, kolik to bude stát
Ať baby mama kolem krku brilianty má
Kde je hlava má, stejně, když se braly karty a
Nechci nic než bratry, nechci nic než bratry aEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral']]"
1,1,Calin - Safír,"1 Contributor​safari Lyrics
Why do you treat me like an enemy
I wanna play you like a melody
You could be the string on my guitar
I could take you far away

Why do you treat me like I'm bad for you
My bedroom's gotta be the point of view
You could be the tourist I'm the guide
I can take you far away

I could play you night and day
I could play you night and day

I don't wanna work for your attention
I just wanna lose my mind tonight
I can give you satisfaction
You spin around my head like a satellite
Let me try and break off of your retention
I just wanna make love to you tonight
Maybe get just one reaction
Let us be animals at night
You might also like
Why do you treat me like I'm bad for you
My bedroom's gotta be the point of view
You could be the tourist I'm the guide
Let me play you

Let me play you night and day
I can take you far away
I could play you night and dayEmbed","[['annoyance'], ['desire', 'neutral'], ['neutral'], ['neutral'], ['annoyance'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['disapproval'], ['disappointment', 'neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['desire', 'love'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['annoyance'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
2,2,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed","[['approval', 'neutral'], ['neutral'], ['neutral'], ['love', 'optimism'], ['neutral'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['realization'], ['confusion', 'neutral'], ['disappointment', 'sadness', 'neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['neutral'], ['neutral'], ['caring', 'joy'], ['neutral'], ['disapproval'], ['excitement', 'neutral'], ['excitement', 'neutral'], ['neutral'], ['disapproval', 'neutral']]"
3,3,Separ - Sunset,"3 ContributorsVara în cartier Lyrics
CST!

Scot din plic, răsucesc olandez
Uită-te un pic ce frumos e vara în cartier
Uită-te un pic ce șic mi-o ard cu toți ai mei
Să fie vară eternă și pace-n cartiere
Ye, ye, e vara în cartier
E vara în cartier
E vara în cartier
Ye, ye, vara în cartier
Pe pământ e cer, ya

Unchiule!
Ies în șlapi cu șosete, cu băieții la oferte
Caractere defecte, îmi bate vântu' în plete
Bеre rece la rеce, viața vrea să ne-ncerce
Orice-i nașpa tot trece
La fel cum trece o răceală, bagi un mici, o vrăjeală
O liniuță, o pedală, dai o tablă la scară
Am tricoul pe umăr, astăzi nu vreau să mă supăr
Sunt pe jos, nu vreau Uber, ăștia de stau în casă nu ți-i sufăr
În buzunar un mare teanc, strada-i toată a mea
Mă știe o țară întreagă, trebuie să-i dau ce vrea
Anu’ ăsta poate am Benz și la anu' Logan
Da' rămân tot Unchiu Bless, nu doar un golan
You might also like
Scot din plic, răsucesc olandez
Uită-te un pic ce frumos e vara în cartier
Uită-te un pic ce sic mi-o ard cu toți ai mei
Să fie vară eternă și pace-n cartiere
Ye, ye, e vara în cartier
E vara în cartier
E vara în cartier
Ye, ye, vara în cartier
Pe pământ e cer, ya

Mă trezesc și deschid geamu’ să-mi iau vitamina D
Razele soarelui bat prin florile de tei
Văd copii cum țipă și bat mingea pe alei
În colțu' blocului la bârfă câteva femei
Mai încolo plec și io să mă răcoresc puțin
Mă duc iar pe gârlă, n-am intrare de bazin
Am câțiva leuți în buzunar, da' tre să-i țin
Până diseară când mă văd cu frații mei să mă combin
Da' nu în fiecare zi are fiecare
Și nu în fiecare zi se strânge de grătare
Dau io azi o bere, dai tu o țigare
Facem și de-o pungă de semințe d-aia mare

Scot din plic, răsucesc olandez
Uită-te un pic ce frumos e vara în cartier
Uită-te un pic ce șic mi-o ard cu toți ai mei
Să fie vară eternă și pace-n cartiere
Ye, ye, e vara în cartier
E vara în cartier
E vara în cartier
Ye, ye, vara în cartier
Pe pământ e cer, ya
Sunt 40 de grade vere și e mult prea hot
Regele din Militari ies afară într-un halat
Cobor din cribu' meu zici că cobor din palat
Mă duc s-o scot la înghețată frate nu mai pot de cald (Huh)
Știi că-mi place viața
Cu femei până dimineața
Mă vezi îți pică fața
Mă vezi îți moare zdreanța
Nu fumez zaza
Sparg bani pe o tipă-n Plaza
Tata și Angelo e baza
Militari ca-n fâșia Gaza
Pizdo sunt Beto, știi că vin din Militari
A venit vara în junglă știi că suntem cei mai tari
Jucăm fotbal toată ziua avem adidașii murdari
Tată te așteptăm acasă, c-ai crescut numai golani (Free Vali)

Scot din plic, răsucesc olandez
Uită-te un pic ce frumos e vara în cartier
Uită-te un pic ce șic mi-o ard cu toți ai mei
Să fie vară eternă și pace-n cartiere
Ye, ye, e vara în cartier
E vara în cartier
E vara în cartier
Ye, ye, vara în cartier
Pe pământ e cer, yaEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
4,4,Nerieš - Viac,"3 ContributorsViac Lyrics
Chce to viac lóve
Daj mi ich viac
Nech mám o čom písať, nech si závidím sám
Dojdi na pohreb, tak za 10
Rokov, lebo týmto tempom viacej nedám
Tak vraveli mi mal by si spomaliť lebo vraj sa tak žiť nedá
Okay, tak nedá
A ja im naspäť hovorím že keď nemusíš tak sa nepozeraj, tam kam nemáš
Chcem nech sa točí svet okolo mňa
Každý deň je výhra
V noci sa rozbijem z flaše vína
Nemôžeš to stíhať

Môže sa ti zdať, že môžem všetko mať
To vôbec, ja chcem viac
To vôbec, ja chcem viac
Môže sa ti zdať, kým ty budeš spať
Ja pôjdem stále viac
Pôjdem stále viac

Niekedy sa cítim tak, jak chodiaci bankomat
Život stojí také lóve že raz musím skrachovať
Minem toľko za mesác že to nestíham mapovať
Keď dostanú tovar luxury mi zvyknú zavolať
Ja sa viem opustiť tak, že nechám desinu
Hocikedy hocikde za bár jakú pičovinu
Ktorú nepotrebujem, spievam a šoférujem
Auto čo stojí jak byt, večer sa pôjdem rozbiť
A tie veci jak malý chlapec aj tak zošrotujem
Ja tie lóve proste neviem odložiť
Čo ti poviem, chcem si ich trocha užiť
Tento moment tu nebude navždy
Tak to vôbec, toto sú moje dôvody
You might also like
Môže sa ti zdať, že môžem všetko mať
To vôbec, ja chcem viac
To vôbec, ja chcem viac
Môže sa ti zdať, kým ty budeš spať
Ja pôjdem stále viac
Pôjdem stále viac

Rozmýšľam že kam som sa to narodil
Minem stále viac ako si zarobím (Cash)
Učím sa s tím žiť, často musím sa s tím biť
A tak idem až kým ma to celé nezlomí
Ja chcem viac, viac, viac nestačí mi to čo mám
Ja chcem viac času mať, viacej lóve
Ja chcem viac, viac, viac nestačí mi to čo mám
A preto kúpil som z ničoho auto nové (kráľ)Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,Viktor Sheen - Až na měsíc,"16 ContributorsAž na měsíc Lyrics

Uvízl jsem, nevim jak, pod září nočních lamp
Ve fontáně, co jsem já, naplnil po okraj
Vzpomínek, jak jsem nám bral lístek do oblak
Vzpomínek, jak jsem nám hrál city na strunách
Nejsi ničí, páč nejsi má
Jestli uvidím někoho se dotýkat tě
Vyjdu z hlubin duše, kde je tma
Abych mohl toho zkurvysyna rozmrdat
Pár měsíců si olivy nedám
Páč, co jsem navařil, se špatně tráví
Já směřuju z bytu, přitom nevím kam
Z bytu, kde jsi stihla vyměnit zámky

V tvejch očích
Snažím se číst
Vidim celej vesmír
Padá skaf a ne sníh
Nikdy jsme nebyli takhle deep
Nikdy jsme nebyli takhle high
Já a ty už to víš
Že už nikdy nemusim bejt sám
You might also like
Jsme výš, pak níž, dál, blíž
Až na měsíc, až na měsíc
Jsme výš, pak níž, dál, pak blíž
Až na měsíc, až na měsíc

Já si tě nahrávám, nahrávám, zabíráš mi místo v cloudu
Všechny ty drogy a cigára o tobě mi řeknou pravdu
Tvý tělo na mě tančí, i v tý tmě tě najdu
Já jenom zpomalim, přidávám, chci tvý číslo, než odejdu
Ale já ještě nejdu pryč (Nejdu pryč)
Všechno to, co můžu dostat u těch kurev, dej mi ty (Dej mi ty)
Všechno, co dělají mí lidi v noci, jsou vzpomínky (Vzpomínky)
Ve dvě ráno mi opilý holky koukají na rty, černý oči a zlý návyky (Návyky)

Ty a já
Nikdy jsme nebyli tam, kde jsme chtěli, ayy
Nikdy jsme nebyli to, co jsme chtěli bejt
Nikdy jsme neměli to, co jsme chtěli mít, yau
Nikdy jsme nebyli tam, kde jsme chtěli, ayy
Nikdy jsme nebyli to, co jsme chtěli bejt
Nikdy jsme neměli to, co jsme chtěli mít, yau
Vesmír
Říká: ""My patříme k sobě, otevřel mý oči""
Teď je otevřu já tobě
Jsme blíž, dál, níž, pak blíž, pojď blíž, sundej kříž
A přestaň se modlit, dneska večer budem tančit, dneska večer budem pít
Jde se mnou výš, dokud to hraje
Děláme zlo, když slunce zajde
I v tý tmě se vždycky najdem, yeah
Pojď se mnou dál a nech to na mně
Všechny ty dny mi začínají splývat, když jsi u mě blíž
A pak jsme

Výš, pak níž, dál (Dál), blíž
Až na měsíc, až na měsíc (Mhmm)
Jsme výš, pak níž, dál, pak blíž
Až na měsíc (Yeah), až na měsíc
Jsme výš, pak níž, dál, blíž
Až na měsíc, až na měsíc
Jsme výš, pak níž, dál, pak blíž
Až na měsíc, až na měsíc3Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['anger', 'neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,Glass Animals - Heat Waves,"161 ContributorsTranslationsItalianoDeutschFrançaisEspañolHeat Waves Lyrics
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
See Glass Animals LiveGet tickets as low as $29You might also like
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror84Embed","[['neutral'], ['caring', 'neutral'], ['caring', 'disapproval', 'neutral'], ['pride', 'relief'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['caring'], ['caring'], ['disapproval', 'neutral'], ['sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['annoyance', 'disapproval'], ['neutral'], ['neutral'], ['caring'], ['sadness', 'neutral'], ['sadness'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['curiosity', 'surprise'], ['neutral'], ['desire'], ['sadness'], ['neutral'], ['neutral'], ['disgust'], ['disgust'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
7,7,Tom Odell - Another Love,"106 ContributorsTranslationsالعربيةУкраїнськаDeutschPortuguêsFrançaisЎзбекTürkçeAnother Love Lyrics
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights

I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
See Tom Odell LiveGet tickets as low as $59You might also like
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
(Oh, need a love, now)
(My heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed","[['caring'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['desire', 'neutral'], ['neutral'], ['desire', 'love'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['anger'], ['disappointment'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'love'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['desire'], ['neutral'], ['desire', 'sadness'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral']]"
8,8,Calin - Praha/Vídeň,"8 ContributorsPraha/Vídeň Lyrics

Na Polaroid chytám zas
Praha/Vídeň, baby, jestli máš čas
A po autě lítá gas
A pull over, vidíme se za pár
Na Polaroid chytám zas
Praha/Vídeň, baby, jestli máš čas
A po autě lítá gas, on pass, co chceš
A na noc andělskej prach

Srdce z chromu a můj tým, moje boo a můj cash
Další město, kam jedeme, proměníme v Breaking Bad
Shawty malá jako Pluto, shawty šílená jak Taz
Úsměv vždy, když vidím čísla, baby, pojď se s náma svézt
Praha na tři dny, tři chicas, můj svět
Dívej z Brna jak to roste, koukej, baby, v čem jedem
Praha na tři dny, tři chicas, můj svět
Na-na-nana-na-na

Na Polaroid chytám zas
Praha/Vídeň, baby, jestli máš čas
A po autě lítá gas
A pull over, vidíme se za pár
Na Polaroid chytám zas
Praha/Vídeň, baby, jestli máš čas
A po autě lítá gas, on pass, co chceš
A na noc andělskej prach
You might also like
Tu-du-du-tu-tu, tu-du-du-tu-tu
Tu-du-du-tu-tu, tu-du-du-tu-tu
Tu-du-du-tu-tu, tu-du-du-tu-tu
Tu-du-du-tu-tu
(Na Polaroid chytám zas)
(Na Polaroid chytám zas)Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
9,9,Lost Frequencies - Where Are You Now,"1 ContributorNew Music Friday 7/30/21 LyricsBillie Eilish - Happier Than Ever
Silk Sonic - Skate
Dermot Kennedy - Better Days
Isaiah Rashad - From The Garden (feat. Lil Uzi Vert)
The Kid LAROI - BEST FOR ME
Billie Eilish - Oxytocin
Bleachers - Secret Life (feat. Lana Del Rey)
Jhay Cortez - En Mi Cuarto
Terry Presume - Act Up
Logic - Theme For The People
Tyga - Mrs. Bubblegum
Sleepy Hallow - 2055 (feat. Coi Leray)
SEB - killer lover boy
Jelani Aryeh - A Piece Of Your Mind
Prentiss - hazel eyes
Billie Eilish - Billie Bossa Nova
G-Eazy - At Will (feat. EST Gee)
Skepta - Nirvana
Dan + Shay - Lying
Ant Clemons - Appreciation
Yung Fazo - Adding
Stunna Gambino - ZAZA
Toosii - spin music (feat. Fivio Foreign)
Parmalee - Only You
Don Diablo - Tears For Later
TOKiMONSTA - Naked 🕒
Jungle - Truth
Mickey Guyton - Remember Her Name
Yola - Dancing Away In Tears
Jacquees - Not Jus Anybody (feat. Future)
Nicky Jam - Miami
Arizona Zervas - STILL BREATHING
Jackson Wang - Drive You Home
DallasK - Try Again (feat. Lauv)
Clean Bandit - Drive (feat. Wes Nelson)
glaive - bastard
Powfu - tinted green (feat. Mila Moon & Jomie)
Ryan Caraveo - Holly
X Ambassadors - Okay
Parker McCollum - Wait Outside
Dierks Bentley - Beers On Me
Tink - Rebel (feat. Jeremih)
Stove God Cooks - Run It Up
Scorey - Guardian Angel
Amindi - slideshow 🕒
jamesjamesjames - It's Not You, It's Me - Club Mix
DJ Snake - You Are My High
WizTheMc - Everything
Au/Ra - Screw Feelings
UPSAHL - Time of my Life
Aidan Bissett - So High
Wrabel - back to back
Mark Ronson - Show Me 🕒
Alok - In My Mind
MØ - Kindness
Yebba - Louie Bag (feat. Smino)
Nao - And Then Life Was Beautiful
IV JAY - Vibrate (feat. Pink Sweat$)
Kash Doll - Like A Pro (feat. Juicy J)
Travis Thompson - Dead Prezis (feat. G-Eazy)
Young T & Bugsey - Prada Bae (feat. Nafe Smallz)
Gera MX - Se Me Olvidó
Brett Dennen - Paul Newman Daytona Rolex 🐚
Ryan Hurd - Coast
NEEDTOBREATHE - I Am Yours
All Time Low - PMA (feat. Pale Waves)
contradash - Superficial
SAIAH - Cheater (feat. Tom The Mail Man)
Mild High Club - Me Myself and Dollar Hell
August Royals - Blue Football
Forrest Nolan - Hotel Room
Serena Isioma - Really, Really
Duckwrth - 4K
A1 x J1 - Baby (feat. Deno)
FISHER - Just Feels Tight
Aluna - Summer Of Love
Lost Frequencies - Where Are You Now
Jasmine Thompson - happy for you
ayokay - Better With You
Shalom Margaret - bro, i like u
Destiny Rogers - What I Like
JELEEL! - JELEEL JUICE!
Kalisway - Like That
Hotboy Wes - Soldier
Maxo Kream - Local Joker
9lokknine - Freeze Me 🕒
Cameron Forbes - Send Nudes
Jany Green - Magic
Danny Ocean - Apartamento
L Devine - Priorities
PVRIS - Monster
Sleigh Bells - Locust Laced
Hillsong Young & Free - Freedom Is Coming - Live
Bri Steves - GAF (feat. Guapdad 4000)
Bktherula - Not Wock
Malachiii - Love Me
Jimi Somewhere - Headlights (feat. Bülow)
AHI - Danger
Angels & Airwaves - Losing My Mind
KID BRUNSWICK - Skin 🕒Embed","[['neutral'], ['neutral'], ['neutral'], ['admiration', 'approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'optimism'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['confusion', 'disappointment', 'neutral'], ['caring', 'neutral'], ['approval', 'neutral'], ['love'], ['excitement', 'love', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['disappointment', 'neutral'], ['neutral']]"
