,Unnamed: 0,artist_title,lyrics,emotions
0,0,Victor Leksell - Svag,"16 ContributorsSvag Lyrics
Visa dem hur stark du är
Låt dem aldrig se dig fälla tårar
Det är så jag växte upp
Var bara en man och ta det
Allting är okej om någon frågar
Det är så det vart för mig
Och jag kan lyfta flera tusen kilo
Och jag kan ta mig över hav och land
Kan göra nästan allt de ber om

Men jag kan inte va i samma rum som dig
Utan att jag tappar andan
Och varje gång du ser på mig
Känns som att mitt hjärta stannar
Försöker spela svår och stå emot
Men du river mina murar
Jag vet inte vad du gör
Men allting som du gör, det gör mig svag

Våga släppa taget nu
Sluta vara rädd för att bli sårad
Det är så det måste va
Det är väl bara så det är
Kan ändå inte fatta det
För jag kan göra nästan allt de ber om
See Victor Leksell LiveGet tickets as low as $59You might also like
Men jag kan inte va i samma rum som dig
Utan att jag tappar andan
Och varje gång du ser på mig
Känns som att mitt hjärta stannar
Försöker spela svår och stå emot
Men du river mina murar
Jag vet inte vad du gör
Men allting som du gör, det gör mig svag

Aldrig våga visa mig svag
Men med dig blir det en annan sak
Med dig finns inget annat val
Med dig så vill jag vara svag
Nu vill jag bara va i samma rum som dig
Och jag vågar tappa andan
Och varje gång du ser på mig
Vill jag bara att tiden stannar

Men jag kan inte va i samma rum som dig
Utan att jag tappar andan
Och varje gång du ser på mig
Känns som att mitt hjärta stannar
Försöker spela svår och stå emot
Men du river mina murar
Jag vet inte vad du gör
Men allting som du gör, det gör mig svag1Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
1,1,Babblarna - Babblarnas vaggvisa,"1 ContributorBabblarnas vaggvisa Lyrics
Kom lilla du, kudden väntar nu
Inte läsa mer, Badda dags att lägga sig
Vila en stund, ta en liten blund
Sov sov somna in, klappa Babbas kind

Kom lilla du, kudden väntar nu
Inte lyssna mer, Bibbi dags att lägga sig
Vila en stund, ta en liten blund
Sov sov somna in, klappa Bibbis kind

Kom lilla du, kudden väntar nu
Inte leka mer, Bobbo dags att lägga sig
Vila en stund, och ta en liten blund
Sov sov somna in, klappa Bobbos kind

Kom lilla du, kudden väntar nu
Inte klättra mer, Dadda dags att lägga sig
Vila en stund, ta en liten blund
Sov sov somna in, klappa Daddas kind

Kom lilla du, kudden väntar nu
Inte rita mer, Diddi dags att lägga sig
Vila en stund, ta en liten blund
Sov sov somna in, klappa Diddis kind
You might also like
Kom lilla du, kudden väntar nu
Inte busa mer, Doddo dags att lägga sig
Vila en stund, ta en liten blund
Sov sov somna in, klappa Doddos kind

Slumra vännen minEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
2,2,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed","[['approval', 'neutral'], ['neutral'], ['neutral'], ['love', 'optimism'], ['neutral'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['realization'], ['confusion', 'neutral'], ['disappointment', 'sadness', 'neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['neutral'], ['neutral'], ['caring', 'joy'], ['neutral'], ['disapproval'], ['excitement', 'neutral'], ['excitement', 'neutral'], ['neutral'], ['disapproval', 'neutral']]"
3,3,Avicii - Without You,"100 ContributorsTranslationsDeutschWithout You Lyrics
You said that we would always be
Without you I feel lost at sea
Through the darkness you'd hide with me
Like the wind we'd be wild and free

You said you'd follow me anywhere
But your eyes tell me you won't be there

I've gotta learn how to love without you
I've gotta carry my cross without you
Stuck in the middle and I'm just about to
Figure it out without you
And I'm done sitting home without you
Fuck, I'm going out without you
I'm gonna tear this city down without you
I'm goin' Bonnie and Clyde without you

Now I'm running away, my dear
From myself and the truth I fear
My heart is beating I can't see clear
How I'm wishing that you were here
You might also like
You said you'd follow me anywhere
But your eyes tell me you won't be there

I've gotta learn how to love without you
I've gotta carry my cross without you
Stuck in the middle and I'm just about to
Figure it out without you
And I'm done sitting home without you
Fuck, I'm going out without you
I'm gonna tear this city down without you
I'm goin' Bonnie and Clyde without you39Embed","[['approval', 'neutral'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'love', 'optimism'], ['neutral'], ['neutral'], ['neutral'], ['annoyance'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['fear'], ['confusion', 'neutral'], ['desire', 'neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['desire', 'love', 'optimism'], ['neutral'], ['neutral'], ['neutral'], ['annoyance'], ['anger'], ['neutral'], ['neutral']]"
4,4,Ed Sheeran - Shape of You,"352 ContributorsTranslationsTürkçeEspañolPortuguêsΕλληνικάDeutschFrançaisItalianoالعربيةShape of You Lyrics
A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body
See Ed Sheeran LiveGet tickets as low as $74You might also like
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you409Embed","[['disapproval'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval'], ['annoyance'], ['excitement', 'neutral'], ['love'], ['love'], ['approval', 'neutral'], ['approval', 'excitement'], ['neutral'], ['caring', 'neutral'], ['approval', 'neutral'], ['approval', 'neutral'], ['love'], ['neutral'], ['sadness', 'neutral'], ['love'], ['neutral'], ['disgust'], ['neutral'], ['love'], ['optimism', 'neutral'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['excitement', 'neutral'], ['annoyance'], ['neutral'], ['neutral'], ['curiosity'], ['neutral'], ['neutral'], ['love'], ['love'], ['approval', 'neutral'], ['approval', 'excitement'], ['neutral'], ['caring', 'neutral'], ['approval', 'neutral'], ['approval', 'neutral'], ['love'], ['neutral'], ['sadness', 'neutral'], ['love'], ['neutral'], ['disgust'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['sadness', 'neutral'], ['love'], ['neutral'], ['disgust'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['love']]"
5,5,Hov1 - Hon dansar vidare i livet,"33 ContributorsHon dansar vidare i livet Lyrics
Nu står hon där med vitsippor i håret
Tänker på allt ont, allt kan bli förlåtet
Visst har mörka perioder genomsyrat året
Ser på gamla bilder, brukade va sår
Men allting jag, allting jag, allting jag var
Försvann där och då, yeah, du likaså
Som man bäddar får man ligga, ingen bädda när vi låg
Ligger lågt, där i sängen var vi en, nu är vi ba två
Från alfa till omega, vi låg nog för att hela
Men stänger av varje gång någon spelar vår sång
Det här är överlevnad, det är klart vi bytte skepnad
Och vi förlorade varann med några hundradelar
Inget jag vill ha tillbaks, det är klart inget går i kras
Det är klart, det var du
Men förevigt var aldrig för oss, hjärtat
Och det vet vi nu

Hon dansar vidare i livet
Jag sparkar backspeglar på vägen hem
Hon har allt för dyra kläder
Men hon var min

Hon sa, ""Kasta bort din blyertspenna, båda klär i bläck""
Skriver du mitt namn så kan du få mig nu direkt
Alla vet att hon är vacker men finns mer: ett intellekt
Och ingen annan toppar vårat sex
Tårarna ska spruta, inte rinna, hon sa, ""Ligga inte luta""
Så vi gråter inte längre nu i regnet på en julafton
Och alla våra smycken va i plast
Men ändå vart det dyraste jag haft
Så nästa gång vi ses kommer jag att minnas för oss båda
Och du vet att jag klipper bilar på din gata
Men diskret kommer jag att hålla på oss två i hemlighet
Och inget är försent
Så förneka oss för alltid, kommer alltid va din första
Kanske inte bästa men jag hoppas på det största
Vi kanske ses igen när vi är vuxna
Och ligger som vi låg när vi va unga
See Hov1 LiveGet tickets as low as $59You might also like
Hon dansar vidare i livet
Jag sparkar backspeglar på vägen hem
Hon har allt för dyra kläder
Men hon var min

Yo
Det var så länge sen jag såg dig, hur mår du nu?
Jag hörde att du träffa nån och att ni har kul
Inte för att snoka men jag vet ju vad du gör
Alla här i staden gillar skvaller så jag hör
Lyssnar du på radio och vad tycker du om oss?
Berätta nu om världen, var det bättre än du trott?
Stockholm är ju samma, varför kommer du tillbaks?
Fan, nu är vi gamla, vet du vad?
Vägen hit va lång men inte som vi trott
Vi kollade på lägenheter där vi ville bo
Din mamma skicka hem mig, hon sa, ""Nu har jag fått nog""
Du släppte ut ditt hjärta genom fönstret som en bok
Och det var blommor under kudden, båda drömde om varann
Det sprakar nog om er, men jag vill minnas att vi brann
Du sa att vi förlora men mitt hjärta, vet du vad?
Vi båda har ju vunnit vi mår bra

Hon dansar vidare i livet
Jag sparkar backspeglar på vägen hem
Hon har allt för dyra kläder
Men hon var min
För hon har blommor där i sitt hår
Tror hon har glömt hur det var då
Men jag ska minnas för oss två
Så bara gå8Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['optimism', 'neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['excitement', 'neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,Avicii - Wake Me Up,"153 ContributorsTranslationsEspañolPortuguêsΕλληνικά中文DeutschWake Me Up Lyrics
Feelin' my way through the darkness
Guided by a beatin' heart
I can't tell where the journey will end
But I know where to start
They tell me I'm too young to understand
They say I'm caught up in a dream
Well, life will pass me by if I don't open up my eyes
Well, that's fine by me

So wake me up when it's all over
When I'm wiser and I'm older
All this time, I was findin' myself and I
Didn't know﻿ I was lost
So wake me up when it's all over
When I'm wiser and I'm older
All this time, I was findin' myself and I
Didn't know﻿ I was lost



I tried carryin' the weight of the world
But I only have two hands
Hope I get the chance to travel the world
But I don't have any plans
Wish that I could stay forever this young
Not afraid to close my eyes
Life's a game﻿ made for everyone
And love is the prize
You might also like
So wake me up when it's all over
When I'm wiser and I'm older
All this time, I was findin' myself and I
Didn't know﻿ I was lost
So wake me up when it's all over
When I'm wiser and I'm older
All this time, I was findin' myself and I
I didn't know I was lost

I didn't know I was lost
I didn't know I was lost
I didn't know I was lost
I didn't know, I didn't know, I didn't know

174Embed","[['neutral'], ['neutral'], ['confusion'], ['confusion', 'realization'], ['neutral'], ['neutral'], ['neutral'], ['approval'], ['neutral'], ['neutral'], ['neutral'], ['disappointment', 'realization'], ['neutral'], ['neutral'], ['neutral'], ['disappointment', 'realization'], ['neutral'], ['neutral'], ['optimism'], ['disapproval'], ['desire'], ['fear'], ['approval', 'neutral'], ['love', 'neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['disappointment', 'realization'], ['neutral'], ['neutral'], ['neutral'], ['disappointment', 'realization', 'sadness'], ['disappointment', 'realization', 'sadness'], ['disappointment', 'realization', 'sadness'], ['disappointment', 'realization', 'sadness'], ['confusion'], ['neutral']]"
7,7,Bolaget - Kan Inte Gå,"6 ContributorsKan Inte Gå Lyrics
Säg vad har du gett mig, jag kan inte stå nu
Ramlar runt på borden, föll omkull, men det förstår du
Alla här har sett mig, jag kan inte gå nu
Börjar tappa orden, är för full och skriker fuck you
Jag vill ha en, två, tre men jag tål nog mer
Och jag lovar dig att jag mår bra när jag ser en bar

Men jag kan inte gå, ingen fattar hur jag mår
Jag är fucked up från igår igen, vad har du gett mig?
Nåt jag inte tål, snälla säg mig var du står
Jag minns inget från igår min vän, vad har du gett mig?
Jag kan inte gå, ingen fattar hur jag mår
Jag är fucked up från igår igen, vad har du gett mig?
Nåt jag inte tål, snälla säg mig var du står
Jag minns inget från igår min vän, vad har du gett mig?
Vad gör jag nu?

Jag kan inte se om du är den som vill hjälpa mig hem
Eller vill du se mig falla igen, när du vet hur det känns
Jag kan lika gärna vara själv, så du kan lämna mig här är du snäll
För jag vill aldrig mera vara den som bara bang bang, bangar igen
Jag vil vara den som tar hela staden hem och tillbaka
Du som bad mig att följa med
Jag måste säga dig att jag snart kommer falla så hårt
Ingen fattar hur jag mår
Kommer aldrig klara mig utan hjälp, för
You might also like
Jag kan inte gå, ingen fattar hur jag mår
Jag är fucked up från igår igen, vad har du gett mig?
Nåt jag inte tål, snälla säg mig var du står
Jag minns inget från igår min vän, vad har du gett mig?
Jag kan inte gå, ingen fattar hur jag mår
Jag är fucked up från igår igen, vad har du gett mig?
Nåt jag inte tål, snälla säg mig var du står
Jag minns inget från igår min vän, vad har du gett mig?
Vad gör jag nu?

För jag kan inte gå
För jag kan inte gå ingen fattar hur jag mår
Kommer aldrig klara mig utan hjälp för jag kan inte

Jag kan inte gå, ingen fattar hur jag mår
Jag är fucked up från igår igen, vad har du gett mig?
Nåt jag inte tål, snälla säg mig var du står
Jag minns inget från igår min vän, vad har du gett mig?
Vad gör jag nu1Embed","[['anger', 'neutral'], ['neutral'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral']]"
8,8,Tones And I - Dance Monkey,"162 ContributorsTranslationsTürkçeEspañolРусскийDeutschFrançaisفارسیDance Monkey Lyrics
They say, ""Oh my god, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again""

I said, ""Oh my god, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin’ my whole life
But you just beg to see me dance just one more time
See Tones and I LiveGet tickets as low as $82You might also like
Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""

Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah
They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I’ll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again
All again""115Embed","[['surprise', 'neutral'], ['caring', 'love', 'neutral'], ['neutral'], ['neutral'], ['joy', 'love', 'neutral'], ['admiration', 'love'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['surprise'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['joy', 'love', 'neutral'], ['admiration', 'love'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['neutral'], ['excitement'], ['neutral'], ['excitement'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral']]"
9,9,Lewis Capaldi - Someone You Loved,"222 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisTürkçeالعربيةSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed","[['fear'], ['confusion', 'disappointment', 'surprise'], ['desire', 'neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['fear'], ['love'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['love'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['confusion', 'neutral'], ['sadness', 'neutral'], ['caring', 'love', 'neutral'], ['caring'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['neutral'], ['love', 'neutral']]"
