,Unnamed: 0,artist_title,lyrics,emotions
0,0,Lewis Capaldi - Someone You Loved,"222 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisTürkçeالعربيةSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed","[['fear'], ['confusion', 'disappointment', 'surprise'], ['desire', 'neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['fear'], ['love'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['love'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['confusion', 'neutral'], ['sadness', 'neutral'], ['caring', 'love', 'neutral'], ['caring'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['sadness', 'neutral'], ['disappointment', 'disapproval'], ['neutral'], ['love', 'realization'], ['neutral'], ['love', 'neutral']]"
1,1,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed","[['approval', 'neutral'], ['neutral'], ['neutral'], ['love', 'optimism'], ['neutral'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['realization'], ['confusion', 'neutral'], ['disappointment', 'sadness', 'neutral'], ['disappointment'], ['neutral'], ['neutral'], ['disapproval'], ['neutral'], ['realization', 'surprise'], ['neutral'], ['neutral'], ['caring', 'joy'], ['neutral'], ['disapproval'], ['excitement', 'neutral'], ['excitement', 'neutral'], ['neutral'], ['disapproval', 'neutral']]"
2,2,Tones And I - Dance Monkey,"162 ContributorsTranslationsTürkçeEspañolРусскийDeutschFrançaisفارسیDance Monkey Lyrics
They say, ""Oh my god, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again""

I said, ""Oh my god, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin’ my whole life
But you just beg to see me dance just one more time
See Tones and I LiveGet tickets as low as $82You might also like
Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""

Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah
They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I’ll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again
All again""115Embed","[['surprise', 'neutral'], ['caring', 'love', 'neutral'], ['neutral'], ['neutral'], ['joy', 'love', 'neutral'], ['admiration', 'love'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['surprise'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['joy', 'love', 'neutral'], ['admiration', 'love'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['neutral'], ['excitement'], ['neutral'], ['excitement'], ['excitement', 'neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral']]"
3,3,Tom Odell - Another Love,"106 ContributorsTranslationsالعربيةУкраїнськаDeutschPortuguêsFrançaisЎзбекTürkçeAnother Love Lyrics
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights

I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
See Tom Odell LiveGet tickets as low as $59You might also like
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
(Oh, need a love, now)
(My heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed","[['caring'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['desire', 'neutral'], ['neutral'], ['desire', 'love'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['sadness'], ['anger'], ['disappointment'], ['neutral'], ['neutral'], ['neutral'], ['desire', 'love'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['desire'], ['neutral'], ['desire', 'sadness'], ['sadness'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['love'], ['realization', 'sadness', 'neutral'], ['neutral']]"
4,4,Glass Animals - Heat Waves,"161 ContributorsTranslationsItalianoDeutschFrançaisEspañolHeat Waves Lyrics
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
See Glass Animals LiveGet tickets as low as $29You might also like
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror84Embed","[['neutral'], ['caring', 'neutral'], ['caring', 'disapproval', 'neutral'], ['pride', 'relief'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['caring'], ['caring'], ['disapproval', 'neutral'], ['sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['annoyance', 'disapproval'], ['neutral'], ['neutral'], ['caring'], ['sadness', 'neutral'], ['sadness'], ['sadness'], ['neutral'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['curiosity', 'surprise'], ['neutral'], ['desire'], ['sadness'], ['neutral'], ['neutral'], ['disgust'], ['disgust'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['disgust'], ['disapproval', 'joy'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,Lady Gaga - Shallow,"256 ContributorsTranslationsEspañolNederlandsΕλληνικάFrançaisDeutschNorsk (bokmål / riksmål)Shallow Lyrics
Tell me somethin', girl
Are you happy in this modern world?
Or do you need more?
Is there somethin' else you're searchin' for?

I'm fallin'
In all the good times, I find myself longin'
For change
And, in the bad times, I fear myself

Tell me something, boy
Aren't you tired tryna fill that void?
Or do you need more?
Ain't it hard keepin' it so hardcore?

I'm falling
In all the good times, I find myself longing
For change
And, in the bad times, I fear myself

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now
You might also like
In the sha-ha, sha-hallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, sha-hallow
We're far from the shallow now

Oh, ha, ah, ha
Oh-ah, ha

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now

In the sha-ha, shallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, shallow
We're far from the shallow now362Embed","[['neutral'], ['curiosity'], ['confusion'], ['curiosity'], ['neutral'], ['joy'], ['neutral'], ['fear'], ['curiosity', 'neutral'], ['curiosity'], ['confusion'], ['curiosity', 'neutral'], ['sadness'], ['desire', 'sadness'], ['neutral'], ['fear'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'joy'], ['amusement', 'joy'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,Ed Sheeran - Shape of You,"352 ContributorsTranslationsTürkçeEspañolPortuguêsΕλληνικάDeutschFrançaisItalianoالعربيةShape of You Lyrics
A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body
See Ed Sheeran LiveGet tickets as low as $74You might also like
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you409Embed","[['disapproval'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval'], ['annoyance'], ['excitement', 'neutral'], ['love'], ['love'], ['approval', 'neutral'], ['approval', 'excitement'], ['neutral'], ['caring', 'neutral'], ['approval', 'neutral'], ['approval', 'neutral'], ['love'], ['neutral'], ['sadness', 'neutral'], ['love'], ['neutral'], ['disgust'], ['neutral'], ['love'], ['optimism', 'neutral'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['excitement', 'neutral'], ['annoyance'], ['neutral'], ['neutral'], ['curiosity'], ['neutral'], ['neutral'], ['love'], ['love'], ['approval', 'neutral'], ['approval', 'excitement'], ['neutral'], ['caring', 'neutral'], ['approval', 'neutral'], ['approval', 'neutral'], ['love'], ['neutral'], ['sadness', 'neutral'], ['love'], ['neutral'], ['disgust'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['sadness', 'neutral'], ['love'], ['neutral'], ['disgust'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['love']]"
7,7,Billie Eilish - lovely,"304 ContributorsTranslationsРусскийDanskEspañolPortuguêsDeutschFrançaisالعربية​lovely Lyrics
Thought I found a way
Thought I found a way out (Found)
But you never go away (Never go away)
So I guess I gotta stay now

Oh, I hope some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear

Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Walking out of time
Looking for a better place (Looking for a better place)
Something's on my mind
Always in my head space

But I know someday I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear
You might also like
Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Woah, yeah
Yeah, ah
Woah, woah
Hello, welcome home394Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['optimism'], ['neutral'], ['neutral'], ['fear'], ['curiosity'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'desire', 'optimism'], ['neutral'], ['neutral'], ['optimism'], ['neutral'], ['neutral'], ['fear'], ['confusion', 'neutral'], ['curiosity'], ['neutral'], ['neutral'], ['neutral'], ['surprise'], ['neutral'], ['surprise'], ['neutral']]"
8,8,Lost Frequencies - Where Are You Now,"1 ContributorNew Music Friday 7/30/21 LyricsBillie Eilish - Happier Than Ever
Silk Sonic - Skate
Dermot Kennedy - Better Days
Isaiah Rashad - From The Garden (feat. Lil Uzi Vert)
The Kid LAROI - BEST FOR ME
Billie Eilish - Oxytocin
Bleachers - Secret Life (feat. Lana Del Rey)
Jhay Cortez - En Mi Cuarto
Terry Presume - Act Up
Logic - Theme For The People
Tyga - Mrs. Bubblegum
Sleepy Hallow - 2055 (feat. Coi Leray)
SEB - killer lover boy
Jelani Aryeh - A Piece Of Your Mind
Prentiss - hazel eyes
Billie Eilish - Billie Bossa Nova
G-Eazy - At Will (feat. EST Gee)
Skepta - Nirvana
Dan + Shay - Lying
Ant Clemons - Appreciation
Yung Fazo - Adding
Stunna Gambino - ZAZA
Toosii - spin music (feat. Fivio Foreign)
Parmalee - Only You
Don Diablo - Tears For Later
TOKiMONSTA - Naked 🕒
Jungle - Truth
Mickey Guyton - Remember Her Name
Yola - Dancing Away In Tears
Jacquees - Not Jus Anybody (feat. Future)
Nicky Jam - Miami
Arizona Zervas - STILL BREATHING
Jackson Wang - Drive You Home
DallasK - Try Again (feat. Lauv)
Clean Bandit - Drive (feat. Wes Nelson)
glaive - bastard
Powfu - tinted green (feat. Mila Moon & Jomie)
Ryan Caraveo - Holly
X Ambassadors - Okay
Parker McCollum - Wait Outside
Dierks Bentley - Beers On Me
Tink - Rebel (feat. Jeremih)
Stove God Cooks - Run It Up
Scorey - Guardian Angel
Amindi - slideshow 🕒
jamesjamesjames - It's Not You, It's Me - Club Mix
DJ Snake - You Are My High
WizTheMc - Everything
Au/Ra - Screw Feelings
UPSAHL - Time of my Life
Aidan Bissett - So High
Wrabel - back to back
Mark Ronson - Show Me 🕒
Alok - In My Mind
MØ - Kindness
Yebba - Louie Bag (feat. Smino)
Nao - And Then Life Was Beautiful
IV JAY - Vibrate (feat. Pink Sweat$)
Kash Doll - Like A Pro (feat. Juicy J)
Travis Thompson - Dead Prezis (feat. G-Eazy)
Young T & Bugsey - Prada Bae (feat. Nafe Smallz)
Gera MX - Se Me Olvidó
Brett Dennen - Paul Newman Daytona Rolex 🐚
Ryan Hurd - Coast
NEEDTOBREATHE - I Am Yours
All Time Low - PMA (feat. Pale Waves)
contradash - Superficial
SAIAH - Cheater (feat. Tom The Mail Man)
Mild High Club - Me Myself and Dollar Hell
August Royals - Blue Football
Forrest Nolan - Hotel Room
Serena Isioma - Really, Really
Duckwrth - 4K
A1 x J1 - Baby (feat. Deno)
FISHER - Just Feels Tight
Aluna - Summer Of Love
Lost Frequencies - Where Are You Now
Jasmine Thompson - happy for you
ayokay - Better With You
Shalom Margaret - bro, i like u
Destiny Rogers - What I Like
JELEEL! - JELEEL JUICE!
Kalisway - Like That
Hotboy Wes - Soldier
Maxo Kream - Local Joker
9lokknine - Freeze Me 🕒
Cameron Forbes - Send Nudes
Jany Green - Magic
Danny Ocean - Apartamento
L Devine - Priorities
PVRIS - Monster
Sleigh Bells - Locust Laced
Hillsong Young & Free - Freedom Is Coming - Live
Bri Steves - GAF (feat. Guapdad 4000)
Bktherula - Not Wock
Malachiii - Love Me
Jimi Somewhere - Headlights (feat. Bülow)
AHI - Danger
Angels & Airwaves - Losing My Mind
KID BRUNSWICK - Skin 🕒Embed","[['neutral'], ['neutral'], ['neutral'], ['admiration', 'approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'optimism'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['confusion', 'disappointment', 'neutral'], ['caring', 'neutral'], ['approval', 'neutral'], ['love'], ['excitement', 'love', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['disappointment', 'neutral'], ['neutral']]"
9,9,David Guetta - I'm Good (Blue),"65 ContributorsTranslationsPortuguêsEspañolTürkçeDeutschI’m Good (Blue) Lyrics
I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright

Don't you know I'm good, yeah, I'm feelin' alright

You know I'm down for whatever tonight
I don't need the finer things in life
No matter where I go, it's a good time, yeah
And I, I don't need to sit in VIP
Middle of the floor, that's where I'll be
Don't got a lot, but that's enough for me, yeah

'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
You might also like
I'm good
Good
I'm good
Don't you know I'm good, yeah, I'm feelin' alright

So I just let it go, let it go
Oh, na-na-na-na-na
No, I don't care no more, care no more
Oh, na-na-na-na-na
So come on, let me know, let me know
Put your hands up, na-na-na
No, baby, nothing's gonna stop us tonight

'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright37Embed","[['approval'], ['anger'], ['approval', 'excitement'], ['approval'], ['approval'], ['anger'], ['approval', 'excitement'], ['approval'], ['approval'], ['neutral'], ['disapproval'], ['admiration', 'approval'], ['disapproval', 'neutral'], ['neutral'], ['neutral'], ['approval'], ['anger'], ['approval', 'excitement'], ['approval'], ['confusion', 'neutral'], ['admiration'], ['admiration'], ['admiration'], ['approval'], ['neutral'], ['neutral'], ['anger'], ['neutral'], ['neutral'], ['neutral'], ['disapproval'], ['approval'], ['anger'], ['approval', 'excitement'], ['neutral']]"
