,Unnamed: 0,artist_title,lyrics,emotions
0,0,Madrigal - Seni Dert Etmeler,"21 ContributorsTranslationsEnglishSeni Dert Etmeler Lyrics

Bazen bana gelir, gider seni dert etmeler
Seni rüyalarımda hapsetmeler
Yıldızların hırsızları mı var?
Tutamam, tutamam, hep yeni bir gün doğar

Başka bi' evrende en güzel hâlinle
Sen hayata karış, ben daha da biteceğim
Kırgınım kendime, üşüyorum gölgende
Henüz bilmesen de belki bir gün gideceğim

Hiç gerek yok daha fazlasına
Zamanı tutmaya, fezaya uçmaya
Geride kaldılar (Geride kaldılar)
Geride kaldı o günler
Sen varken taptığım kasvetli şehirler

Başka bi' evrende en güzel hâlinle
Sen hayata karış, ben daha da biteceğim
Kırgınım kendime, üşüyorum gölgende
Henüz bilmesen de belki bir gün gideceğim
You might also like

Başka bi' evrende en güzel hâlinle
Sen hayata karış, ben daha da biteceğim
Kırgınım kendime, üşüyorum gölgende
Henüz bilmesen de belki bir gün gideceğim1Embed","[['neutral'], ['neutral'], ['curiosity'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
1,1,KÖFN - Bi' Tek Ben Anlarım,"5 ContributorsBi’ Tek Ben Anlarım Lyrics

Teninin üzerinden kayan bi' buzdur uzak bakışlarım
Hiç izlememiş olsaydım bu filmi canımı acıtırdı

Ama seni bilmek, seni bilmek
Seni bilmek beynimde bi kurşun
Seni bilmek, seni bilmek
Seni bilmek en büyük ceza

Her anın aklımda, her kıvrımın
Sanmasınlar asla seni benden ayrı
Savrulur savrulur saçlarında hayatın
Seni sorsunlar benden, bi' tek ben anlarım
Her anın aklımda, her kıvrımın
Sanmasınlar asla seni benden ayrı
Savrulur savrulur saçlarında hayatın
Seni sorsunlar benden, bi' tek ben anlarım

Teninin üzеrinden kayan bi' buzdur uzak bakışlarım
Hiç izlememiş olsaydım bu filmi canımı acıtırdı
You might also like
Ama sеni bilmek, seni bilmek
Seni bilmek beynimde bi kurşun
Seni bilmek, seni bilmek
Seni bilmek en büyük ceza

Her anın aklımda, her kıvrımın
Sanmasınlar asla seni benden ayrı
Savrulur savrulur saçlarında hayatın
Seni sorsunlar benden, bi' tek ben anlarım
Her anın aklımda, her kıvrımın
Sanmasınlar asla seni benden ayrı
Savrulur, savrulur saçlarında hayatın
Seni sorsunlar benden, bi' tek ben anlarım1Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
2,2,Simge - Aşkın Olayım,"13 ContributorsAşkın Olayım Lyrics

İnsan yalnız doğar da
Yalnız ölmezmiş n'aber?
Bizden uzak olsun keder
Sormana hiç gerek yok
Yanmışım, tarifi zor
Söylerim günde bin kere

Yüzün gülünce güneş doğar ya
Gözlerimi kısarım, güller açar bir anda
İşte seninle bir ömür böyle
Güller, güneşler dolu ellerimizde

Söylenmedi hiç sana layık düşler benden önce
Tutsak yüreğim, biliyorsun sende ince ince
Yangın yeri hep buralar sayende, yok şikâyet
Gel bi' sarayım, aşkın olayım

İnsan yalnız doğar da
Yalnız ölmezmiş n'aber?
Bizden uzak olsun keder
Sormana hiç gerek yok
Yanmışım, tarifi zor
Söylerim günde bin kere
You might also like
Yüzün gülünce güneş doğar ya
Gözlerimi kısarım, güller açar bir anda
İşte seninle bir ömür böyle
Güller, güneşler dolu ellerimizde

Söylenmedi hiç sana layık düşler benden önce
Tutsak yüreğim, biliyorsun sende ince ince
Yangın yeri hep buralar sayende, yok şikâyet
Gel bir sarayım, aşkın olayım
Söylenmedi hiç sana layık düşler benden önce
Tutsak yüreğim, biliyorsun sende ince ince
Yangın yeri hep buralar sayende, yok şikâyet
Gel bir sarayım, aşkın olayım2Embed","[['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
3,3,Yüzyüzeyken Konuşuruz - Dinle Beni Bi',"11 ContributorsDinle Beni Bi’ Lyrics

Tut elimi buradan gidelim
Olmaz demeden dinle beni bi'
Rüzgarım söndü, dindi ateşim
Ah, bebeğim ben hâlâ deliyim

Sen yokken ne gece ne de gündüz
Ne ay var ne tek bi' yıldız
Her yer karanlık ve ıssız
Göremiyorum
Sen yokken ne gece ne de gündüz
Ne ay var ne tek bi' yıldız
Her yer karanlık ve ıssız
Göremiyorum

Tut elimi buradan gidelim
Olmaz demeden dinle beni bi'
Rüzgarım söndü, dindi ateşim
Ah, bebeğim ben hâlâ deliyim

Sen yokken ne gece ne de gündüz
Ne ay var ne tek bi' yıldız
Her yer karanlık ve ıssız
Göremiyorum
Sen yokken ne gece ne de gündüz
Ne ay var ne tek bi' yıldız
Her yer karanlık ve ıssız
GöremiyorumYou might also like5Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
4,4,Dolu Kadehi Ters Tut - Gitme,"13 ContributorsGitme Lyrics

Gitme, kal
Gitme, kal
Ya da beni de yanına al da kalmayayım
Bir başıma bu diyarda
Sensiz olamam, yapamam
Beni de al yanına

Kokun artık yok buralarda
Duyabilmemin bi' yolu var da
Korkuyorum çok, yitiriyorum aklımı
Derdim çok büyük, anla
Kalbim her teklediği anda heyecan basıyor umudunla
Gelemiyorum sana
Ne yapayım bana?
Bi' anlatın ama çaresi yok daha

Yanıyor, yanıyor, yanıyor içer'de
Kanıyor, kanıyor, kanıyor sensiz
Yanıyor, yanıyor, yanıyor içer'de
Kanıyor, kanıyor, kanıyor kalbim
You might also like
Gitme, kal
Gitme, kal
Ya da beni de yanına al da kalmayayım
Bir başıma bu diyarda
Sensiz olamam, yapamam
Beni de al yanına

Senin kollarında başlayan sabahlara, biten gecelere doyamadım hâlâ
Huzur bulduğunda kıskanırmış işte hayat
Garip ama sen n'olur üzülme artık
Değilsin yalnız
Bu bir veda değil
Mutluyum, inan
Anladım, bi' şanstı bu
Aşkınla dolu bir gün bile bir ömür yeter bize

Gitme, kal
Gitme, kal
Ya da beni de yanına al da kalmayayım
Bir başıma bu diyarda
Sensiz olamam, yapamam
Beni de al yanına3Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['amusement', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,mor ve ötesi - Bir Derdim Var,"26 ContributorsBir Derdim Var Lyrics

Bir derdim var, artık tutamam içimde
Gitsem nereye kadar?
Kalsam neye yarar?
Hiç anlatamadım
Hiç anlamadılar

Herkes neden düşman?
Herkes neden düşman?
Unuttuk hepsini, Nuh'un nefesini
Gelme yanıma; sen başkasın, ben başka


Bir derdim var, artık tutamam içimde
Gitsem nereye kadar?
Kalsam neye yarar?
Hiç anlatamadım
Hiç anlamadılar

Bak, bu son perde
Oyun yok bundan sonra
Işık yok, hiçbir şey yok
Yok, yok, yok
You might also like
Bir derdim var
Bir derdim var
Bir derdim var
Bir derdim var
Bir derdim var
Bir derdim var tutamam içimde

Bir derdim var, artık tutamam içimde5Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['optimism', 'neutral'], ['neutral'], ['excitement', 'neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,Mavi Gri - Altüst Olmuşum,"5 ContributorsAltüst Olmuşum Lyrics

Nasıl başlarsa öyle bitermiş aşklar da
Yaşım başım olmadan bildiğim bir tek şey var
Unutma, seni benden daha çok seven asla bulamazsın
Bulamazsın her yerde arasan da

İnsan sahipsiz kalır ya, anlar o zaman
Hep sendin, hep özeldin, nefes almak zor

Üstüm başım altüst olmuşum
Bana verilen candan hesap sormuşum
Bir varmışım, bir yokmuşum
Acı çekerek ölmek için doğmuşum
Ömrümün en güzel yıllarında
Bir deli kara sevdaya tutulmuşum
Haberin yok mu zalim?
Ben sen diye kalbimi mahvedip durmuşum


İnsan sahipsiz kalır ya, anlar o zaman
Hep sendin, hep özeldin, nefes almak zor
You might also like
Üstüm başım altüst olmuşum
Bana verilen candan hеsap sormuşum
Bir varmışım, bir yokmuşum
Acı çekerek ölmеk için doğmuşum
Ömrümün en güzel yıllarında
Bir deli kara sevdaya tutulmuşum
Haberin yok mu zalim?
Ben sen diye kalbimi mahvedip durmuşum1Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral']]"
7,7,Mert Demir - Antidepresan,"4 ContributorsTranslationsEnglishAntidepresan Lyrics

Bazen geceleri oturup ağlıyorum
Yorganın içine girip karalar bağlıyorum

En yakın dostum şişelerin dibi
Onun da bi' sonu var, tıpkı senin gibi
Bitmesin istedim, uğraştım deli gibi
Hâlâ son bi' sözüm var, dinlersin beni, di' mi?

Gitme bur'dan
Sen olmadan ben asla yaşayamam
Kesmiyo' ne ilaç ne antidepresan
Çözemedim valla', çok enteresan
Yalvarıyorum, gitme bur'dan
Sen olmadan ben asla yaşayamam
Kesmiyo' ne ilaç ne antidepresan
Çözemedim valla', çok enteresan
Kafayı yiyorum

Her türlü yaşanır
Bensiz de, iyi biliyo'sun
Biraz ağla, gеçer
Biraz da tutmalı yosun
You might also like
En yakın dostum şişelerin dibi
Onun da bi' sonu var, tıpkı sеnin gibi
Bitmesin istedim, uğraştım deli gibi
Hâlâ son bi' sözüm var, dinlersin beni, di' mi?

Gitme bur'dan
Sen olmadan ben asla yaşayamam
Kesmiyo' ne ilaç ne antidepresan
Çözemedim valla', çok enteresan
Yalvarıyorum, gitme bur'dan
Sen olmadan ben asla yaşayamam
Kesmiyo' ne ilaç ne antidepresan
Çözemedim valla', çok enteresan
Kafayı yiyorumEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
8,8,UZI - SENIN UGRUNA,"2 ContributorsTranslationsTürkçeUZI - SENIN UGRUNA ft. Mavi (English Translation) Lyrics
(Ka-Ka-Kaleen)

Please, go away, I'm tired of this
It was like I was in a cage
I finally broke out of it
I was awake and lonely
I've dealt with the Devil
Do not think that's why I wear these watches
I got out of the misery

Woah, for you
Baby, believe me
Woah, to the victory
I've been walking, I won't stop

I spoke clearly
Girl, I'm one of a kind
I can't make you ornament with tulips
You don't know what I'm going through
You ornamented everything with excuses
I'm not silent, I'm still for real
You want to know where's the party at
I've been tiring my body too much
You might also like
I see you still don't have it
I'vе lost my mind, everything is an illusion
I kept my sеcrets in you
My mind's side streets are not safe
See, my identity changed for the sake of you
Woah, please

Please, go away, I'm tired of this
It was like I was in a cage
I finally broke out of it
I was awake and lonely
I've dealt with the Devil
Do not think that's why I wear these watches
I got out of the misery

Woah, for you
Baby, believe me
Woah, to the victoryEmbed","[['neutral'], ['annoyance', 'disappointment', 'sadness'], ['neutral'], ['sadness'], ['sadness'], ['neutral'], ['neutral'], ['sadness'], ['surprise'], ['neutral'], ['surprise'], ['neutral'], ['neutral'], ['admiration', 'approval'], ['disapproval', 'neutral'], ['neutral'], ['annoyance', 'neutral'], ['neutral'], ['curiosity'], ['nervousness'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['disapproval'], ['desire'], ['surprise'], ['annoyance', 'disappointment', 'sadness'], ['neutral'], ['sadness'], ['sadness'], ['neutral'], ['neutral'], ['sadness'], ['surprise'], ['neutral'], ['excitement', 'surprise']]"
9,9,Güneş - Dua,"21 ContributorsDua Lyrics

Hislere bırak, sarsın seni
İşledi ruhuma, bildiğin gibi değil (Ah, ah)
(Segah)
Hissediyorum rockstar biri ama yaşıyorum tam serseri gibi (Ah, ah)

Yedimdeki gibi yirmimdeyim
Bileğim pek de güçlü değil
Değişmedi içimdeki masum peri
Ama kovaladım yine her gün daha deli
Seçemem yolu ama çıkarır beni bi' şekil
Gideceğim yere kadar
Benim için kolay, değil olay (Ah, ah)

İnan ama, neye dua ettim ben her gece yine, bak
İnadına dene, yalpalayıp bulamasan evinin yolunu bile, ah
İnan ama, neye dua ettim ben her gece yine, bak
İnadına dene yalpalayıp bulamasan evinin yolunu bile, bak

Hislere bırak, sarsın seni
İşledi ruhuma, deli yürüdüğüm yol bile beni ezberledi
Sorunumuz yok değil, bu kez ezberledik
Geri döner adımları, ediyorum sanma sakın pes
Koşarım, durmam kalsa bile tek içimdeki ses
Karşı çıktım bak dünyaya, edemedi bile pes
Bununlayım, dönmüyorum geri, çekiyorum rest size
You might also like
İnan ama, neye dua ettim ben her gece yine, bak
İnadına dene, yalpalayıp bulamasan evinin yolunu bile, bak

İnan ama, neye dua ettim ben her gece yine, bak
İnadına dene, yalpalayıp bulamasan evinin yolunu bile, ah
İnan ama, neye dua ettim ben her gece yine, bak
İnadına dene yalpalayıp bulamasan evinin yolunu bile, bak

Yine dene, inadına dene
Sarhoş oldum unuturum diye, gidemedim eve
Benimle misin bebek? Takıl peşime
Bundan sonra bi' sana bakarım, bi' de işime
Boş konuşmam hiç, dinle istersen
İnan, onu yapıca'z ben ne istersem
Listeleri doldururuz kalbinle dinlersen
Bi' gün bu semt göstericek ebemizi tersten
Korkusuz yaşarım, genç ölürüm, ya
Görürsem şaşarım gün yüzünü, ey
Huzur kırmızı, ben renk körüyüm sanki
Dostum çok yine de tek yürürüm, cano
Tükürürüm gümüş dişlerimin arasından sana
Güldürürüm bu dünyada çocukları sadece
Sığınırım her gece o duaların arkasına
Kırk yaşına gelsem bile takılırım mahallede
İnan ama, neye dua ettim ben her gece yine, bak
İnadına dene, yalpalayıp bulamasan evinin yolunu bile, ah
İnan ama, neye dua ettim ben her gece yine, bak
İnadına dene yalpalayıp bulamasan evinin yolunu bile, bak

(Segah)4Embed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['curiosity', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
