,Unnamed: 0,artist_title,lyrics,emotions
0,0,Manuel Turizo - La Bachata,"2 ContributorsTranslationsEspañolDeutschManuel Turizo - La Bachata (English Translation) Lyrics
I blocked you from Insta, but I watch your stories from a different account (Oh-oh-oh)
I deleted your number; I don't know why, I know it by heart
You hurt me and I still miss you
And although I know I'll forget you someday
I still don't, it's complicated
I like to remember everything we did

I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

To protect me from someone that's just like you
I don't want to fall like I did for you
I hope you fall in love, so they do to you what you did to me
You taught me not to love just anyone
And how I don't want to be loved
No-oh-oh, we were three in a relationship of two
I don't forgive you, ask God for forgiveness
I said I forgot you and the truth is I, oh-oh
I, oh-oh
You might also like
I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

Manuel TurizoEmbed","[['neutral'], ['confusion'], ['sadness'], ['neutral'], ['confusion', 'disapproval'], ['approval', 'love'], ['love', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['optimism'], ['caring', 'neutral'], ['caring'], ['optimism'], ['neutral'], ['disappointment'], ['disapproval', 'neutral'], ['anger', 'annoyance', 'neutral'], ['realization', 'neutral'], ['neutral'], ['confusion', 'neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['optimism'], ['neutral']]"
1,1,"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52","1 ContributorNew Music Friday 07/08/22 LyricsBurna Boy - For My Hand (feat. Ed Sheeran)
The 1975 - Part Of The Band
Brent Faiyaz - ALL MINE
Fivio Foreign - Paris to Tokyo
TINI - La Loto
Blackbear - the idea
Joey Bada$$ - Survivors Guilt
Kygo - Lost Without You (with Dean Lewis)
Alvvays – Pharmacist
Kota the Friend - SOHO HOUSE (feat. Hello O'shay)
Chris Brown – Petty
Zoe Wees - Third Wheel
Murda Beatz - NO MÁS (feat. Quavo, J. Balvin, Anitta, and Pharrell)
Killer Mike - RUN 
Dillon Francis - Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA)
Ciara - JUMP (feat. Coast Contra)
Rei brown – Solar
JID - 29 (Freestyle)
Doechii - Bitch I'm Nice
Aespa – Girls
DNCE - Got Me Good
King Princess - Change the Locks
SG Lewis - Missing You
Nancy Ajram - Sah Sah
SiR - Life Is Good (feat. Scribz Riley)
Yo Gotti – Steppers
Yuna - Risk It All
Bring Me The Horizon – sTraNgeRs
James Bay - Save Your Love
Keith Urban - Brown Eyes Baby
Hotboii - Live Life Die Faster (with Kodak Black)
Key Glock – Diapers
Ken Carson - The End
Brakence - venus fly trap
Easy life – OTT
Renforshort - hate the way you love me
AURORA - The Devil Is Human
Tyga - Ay Caramba
French Montana - I Got A Feeling
Loud Luxury - These Nights
Emotional Oranges – Bounce
Cuco – Aura
Wet - Turn the Lights Down Low
$NOT - MS PORTER (feat. Night Lovell)
NLE Choppa - In The UK
AUGUST 08 - Water Sign (with Jhené Aiko)
Pitbull - Café Con Leche
Devon Cole - W.I.T.C.H
MASN – Adrenaline
Noah Kahan - Stick Season
Sipper - pretty funny
Madeline The Person - Why I Broke Up With You
Tyler Rich - Thinkin' We're In Love
Kameron Marlowe - We Were Cowboys
DOMi & JD BECK - TAKE A CHANCE (feat. Anderson .Paak)
SSGKobe - (N) INE
Westside Gunn - Derrick Boleman
PGF Nuk - Not Opps (feat. EST Gee)
Midwxst – broken
Arden Jones - 4 walls (with Sarcastic Sounds)
Mckenna Grace - Post Party Trauma
ELIO - 9 Lives
Låpsley - 32 Floors
Hope Tala - Is It Enough
Paris Texas - cyanide (feat. cryogeyser)
YBN Nahmir – Bows
Tendai – Pressure
Metric - False Dichotomy
Giant Rooks - Morning Blue
TobyMac - Everything About You (feat. Marlee)
ENHYPEN - Future Perfect (Pass the MIC)
Bizarrap & Quevedo - Bzrp Music Sessions, Vol. 52
Oliver Sim – GMT
Summet - rationality // faith☑️
Chri$tian Gate$ - Dangerous State of Mind
NIKI - Oceans & Engines
Sydney Rose - Cutting Corners
Watkins Family Hour - (Remember Me) I'm the One Who Loves You
FLO – Immature
BRS Kash - Mad At Her ☑️
Metro Marrs - Violence🐚
CHAI - HERO JOURNEY (feat. Superorganism)
Julien Baker – Guthrie
Loyle Carner – Hate
Danny Ocean – Volare
Tye Tribbett - We Need You
Zeina - Give Me Time
Mallory Merk - Isolate Myself
Laura Marano - Smoke Alarm
Temecula Road - Heartbreak In Boots
Muscadine Bloodline - Me On You
She loves boon - feel the feeling☑️
Bathe Alone - Once More
Badda TD - Put In Work (feat. Dusty Locane)🐚
NoSo - Man Who Loves You
Bear's Den - A Good Love, Pt. 2
Clara Lars - Don't Leave
Phoebe Go - The KidYou might also likeEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['remorse', 'neutral'], ['disappointment', 'sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['annoyance'], ['neutral'], ['admiration', 'neutral'], ['neutral'], ['sadness', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['caring', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['anger', 'love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'amusement'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['optimism', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['disapproval'], ['admiration', 'neutral'], ['neutral'], ['neutral']]"
2,2,Big One - Un Finde | CROSSOVER #2,"6 ContributorsUn Finde CROSSOVER #2 Lyrics

Las flores que te regalé ya se marchitaron
Las canciones que te dediqué pasaron de moda
(This is the Big One)
Siempre que hablo de amor lo hago en tiempo pasado
Pero me mata el deseo de tenerte ahora

Y yo sigo con ganas de tenerte en mi cama
Y que cuando estés mal, me cuentes tus dramas
Mientras voy aceptando que tú ya no me amas
Al menos regálame tu amor un fin de semana
Que yo sigo extrañando ese culito en mi cama
Y que cuando estés mal, me cuentes tus dramas
Mientras voy aceptando que tú ya no me amas
Al menos regálame tu amor un fin de semana

El tiempo no es un BM pa' ponerlo en reversa
Antes era ""te amo"", pero hoy estamo' a la inversa
Estoy pa' escribir la historia de los dos
Las ganas me sobran pero faltas vos
Y antes era sexo daily, como Justin y Hailey
Dos botellas de Baileys para hacerte mi baby
Te ponías la mini, te quedaba divi
Y ahora to' los trend' son ""Cupido"" de TINI
You might also like
No hay nadie más que pueda darle vida a este corazón
Y aunque sea la soledad
Me duele menos que estar junto sin tu amor

Y yo sigo con ganas de tenerte en mi cama
Y que cuando estés mal, me cuentes tus dramas
Mientras voy aceptando que tú ya no me amas
Al menos regálame tu amor un fin de semana

No hay nadie más que pueda darle vida a este corazón
Y aunque sea la soledad
Me duele menos que estar junto sin tu amor

Me olvidé como besabas, vení a recordármelo
Tal vez el viernes, vos quieras verme y me des tu amorEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
3,3,TINI - Miénteme,"1 ContributorNew Music Friday 4/30/21 LyricsBillie Eilish - Your Power
DJ Khaled - I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)
girl in red - Body And Mind
The Kid LAROI - WITHOUT YOU (with Miley Cyrus)
Machine Gun Kelly - love race (feat. Kellin Quinn)
Lil Baby - On Me (Remix) (with Megan Thee Stallion)
Baby Keem - durag activity (with Travis Scott)
Olivia Rodrigo - Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""
Bebe Rexha - Die For a Man (feat. Lil Uzi Vert)
Anitta - Girl From Rio
DJ Khaled - LET IT GO (feat. Justin Bieber & 21 Savage)
Joyner Lucas - Ramen & OJ
Twenty One Pilots - Chokеr
Julia Michaels - Little Did I Know
Alec Bеnjamin - The Way You Felt
WILLOW - t r a n s p a r e n t s o u l feat.Travis Barker
Jack Larsen - Saving Grace
Cake Pop - Boom
Nio Garcia - Sin Panty
NLE Choppa - Final Warning
Gucci Mane - Shit Crazy (feat. BIG30)
Still Woozy - Kenny
Joy Oladokun - sorry isn't good enough
Adam Melchor - Light Year (feat. Lennon Stella)
Daya - Montana
Thomas Rhett - More Time Fishin’
Burna Boy - Kilometre
Lil Eazzyy - Why
Morray - Can’t Use Me
21 Savage - Spiral
Shelley FKA DRAM - All Pride Aside with Summer Walker
AG Club - QUESO
ITZY - In the morning
Royal Blood - Oblivion
The Marías - Hush
Rag'n'Bone Man - Crossfire
Jessie Ware - Please - Single Edit
Louis The Child - So What (with A R I Z O N A)
Afrojack - Hero
Cali Y El Dandee - Despiértate
Lil Skies - My Baby (feat. Zhavia Ward)
Yung Baby Tate - Eenie Meenie
Tiny Meat Gang - Daddy (feat. Quinn XCII)
Max Leone - Escape
PnB Rock - Need Somebody
Justine Skye - Twisted Fantasy
Vedo - For Me
contradash - 222pm
Marc E. Bassy - Atmosphere
Charlie Houston - 19
ZHU - Yours
Diplo - One By One (feat. Elderbrook & Andhim)
Priscilla Block - Heels In Hand
Mitchell Tenpenny - To Us It Did
Jillian Rossi - Fever Dream
Bow Anderson - Hate That I Fell In Love With You
Carin Leon - More Than Words - Spotify Singles
spill tab - Anybody Else
Jordan Suaste - Hookup Culture
Snøw - Spilled My Coffee (feat. Rxseboy & Jack Cullen)
Manchester Orchestra - Telepath
Lord Huron - I Lied (with Allison Ponthier)
Crumb - Gone
Chiiild - Gone
LoveLeo - TUNG TIED
Yung Bae - Woman On The Moon (feat. UPSAHL)
SIDEPIECE - Acrobatic
bennytheghost - Papercut
The Alchemist - TV Dinners (feat. Boldy James & Sideshow)
TOBi - Family Matters (feat. Flo Milli)
Mereba - Rider
TINI - Miénteme
Hayley Kiyoko - Found My Friends
44phantom - gray!
Ai Bendr - Coffee
Madeline The Person - I Talk to the Sky
Brynn Cartelli - If I Could
Lily Rose - Overnight Sensation
Elevation Worship - Old Church Basement (feat. Dante Bowe)
Birdy - The Otherside
Niko Rubio - You Could Be The One
Britton - To My Younger Self
Terrell Hines - Who Do You Love?
Wavy Navy Pooh - Money On My Head
Tru Carr - Beat It Up
OCTAVIO the Dweeb - Someday I'll Be Happy
JayXander - Stuck in the Burbs
sunsetto - don't leave
Leo Bhanji - Damaged
kmoe - gloves
Lunay - LE GUSTA QUE LA VEAN
CLOVES - Nightmare
Amy Shark - Worst Day of My Life
Elley Duhé - Kids Of The Night
KUČKA - Your World
FRVRFRIDAY - OKAY (feat. Vory)
Kuttem Reese - No Statements (feat. Lil Durk)
Spice - Go Down Deh (feat. Shaggy and Sean Paul)
kryptogram - OlvidarEmbed","[['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['admiration', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['admiration', 'neutral'], ['neutral'], ['remorse'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['joy', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['approval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['optimism', 'neutral'], ['neutral'], ['curiosity', 'neutral'], ['excitement', 'neutral'], ['neutral'], [], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['fear', 'neutral'], [], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
4,4,Big One - En la Intimidad,"6 ContributorsEn La Intimidad CROSSOVER #1 Lyrics

Siempre estamo' a escondida’, no hay quien nos impida
Que esta noche nos volvamos a ver (This is the Big One)
Es un amor fugitivo, nos gusta lo prohibido, oh-oh
Sin testigo el castigo, para mí es un placer

En la intimidad dice que soy su debilidad
Pero se hace el otro cuando hay que disimular
Y me pasa a buscar cuando su novia se va, ah-ah
Creo que la estamo' flasheando, pero está cheto mal

Pásame-Pásame-Pásame el fuego, una jarra 'e hielo
De la mesa al suelo, de la calle al telo
No me cela, no la celo
Pero si te gusta, turrita, hacelo
Y decile
Que te gustan los rocho’ como yo, no gile'
En la calle nos damo' piquito', corte guachine'
Pero en la cama tiene banda de berretine', vos decile
Que hoy está de suerte, ando sin miedo a la muerte
Haceme llegar la ubi, que yo paso a recogerte
Atrévete-te-te, y de espalda ponete
Más chuky que Ze Pequeño, la presión se siente
You might also like
En la intimidad dice que soy su debilidad
Pero se hace el otro cuando hay que disimular
Y me pasa a buscar cuando su novia se va, ah-ah
Creo que la estamo' flasheando, pero está cheto mal

'Toy esperando a que me pase’ a buscar
Si nos vemos, escapamos, esa e’ la única que hay
Te hice una canción y te la quiero dedicar
Te regalo amore', como RKM y Ken Y
Nos bajamo’ del auto, estacionamo' en mi cuarto
Nos mantenemos en el anonimato
Se está portando mal y tengo que castigarlo
Que no se escape porque voy a cazarlo

En la intimidad dice que soy su debilidad
Pero se hace la otra cuando hay que disimular
Y la paso a buscar cuando su novio no está, ah-ah
Creo que la estamos flasheando, pero está cheto mal
En la intimidad dice que soy su debilidad
Pero se hace el otro cuando hay que disimular
Y me pasa a buscar cuando su novia se va, ah-ah
Creo que la estamo' flasheando, pero está cheto malEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
5,5,Luck Ra - La Morocha,"6 ContributorsLa Morocha Lyrics

Camisa transpirada, melena mojada
Me puse los zapatos, me pegué una perfumada
Me voy a la bailanta a tomarme unas cuantas
Soy el rey de la noche y hoy salgo con la banda
Voy con los muchacho', pero están medio lento'
Yo en la cacería, siempre enfocado, atento
Hay una morocha sola, se está moviendo
Quiere un cuartetazo violento

Que alguien saque a bailar a la morocha
Que se muere de ganas
No puede hacer todo el campeón
Quiero que juegue la banda
Que alguien saque a bailar a la morocha
Que se muere de ganas
No puede hacer todo el campeón
Quiero que juegue la banda

A mí me gusta' la' morocha' bien bonitas
Y mi amigo busca una rubiecita
Ella quiere un cuartetazo violento
Y si ponen reguetón que baje lento
Lento, lento, pero siempre atento
Me gusta que te guste pero cero sentimientos
Mi amor, yo soy así, no quiero meter cuento
Pero si te digo que no te entro, yo te miento
Baby, yo soy el hombre que tu cuerpo necesita
Yo soy el que sabe que tenés ganitas
De que te saque a tirar unos paso'
Vamos paso a paso, me tomo un par de vaso'
You might also like
Y saco, saco a bailar a la morocha que se muere de ganas
No puede hacer todo el campeón
Quiero que juegue la banda
Y que alguien saque a bailar a la morocha
Que se muere de ganas
No puede hacer todo el campeón
Quiero que juegue la banda

L-U-C-K
Phontana
Dimelo Renzo
BM
RompiendoEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
6,6,Luck Ra - Ya No Vuelvas (Versión Cuarteto),"2 ContributorsYa No Vuelvas (Versión Cuarteto) Lyrics

Y este tema va dedicado para todos
Los que alguna vez sufrimos del corazón roto
Y dice

Miénteme otra vez, una, dos o tres
Lastimame de vuelta, que me acostumbré
Que haré como que te olvidé, como que lo supere
Rómpeme el corazón sin sentido y razón
Aunque sepas lo que sufro en mi habitación
Que haré como que no me dolió
Como que nunca pasó

Porque en realidad no sabes lo que duele, darlo todo por alguien que no te quiere
Devuelve todo el tiempo que perdí
El que con tanto amor te compartí
Porque no sabes lo mucho que yo quería
Que pasaran los años a la par mía
Devuelve todo el tiempo que perdí
El que con tanto amor te compartí

Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo, pedime perdón
Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo, pedime perdón
You might also like
Ey
Como siempre
Luck Ra
La Konga
Y Ke Personajes
Las manitos arriba

Porque en realidad no sabes lo que duele, darlo todo por alguien que no te quiere
Devuelve todo el tiempo que perdí
El que con tanto amor te compartí
Porque no sabes lo mucho que yo quería
Que pasaran los años a la par mía
Devuelve todo el tiempo que perdí
El que con tanto amor te compartí

Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo pedime perdón
Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo, pedime perdón
Miénteme otra vez, al igual que ayer
Y ni en tus sueños te perdonaré (¡Arriba las palmas, vamo'!)

Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo pedime perdón
Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo pedime perdónEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
7,7,Rei - Tu Turrito,"6 ContributorsTu Turrito Lyrics

¿Y quién iba a saber que era mi mujer?
Pero, mami, me dejaste tan solo y te pienso cada día que enrolo
Y dibujé en una pared tus iniciale'
De mi mente no sales

Y ahora te me hacé' la divina
Cuando te cruzo por la esquina
Y me acuerdo tus grito'
Diciendo que yo era tu turrito, ah
Y ahora te me hacé' la divina
Cuando te cruzo por la esquina
Y me acuerdo tus grito'
Diciendo que yo era tu turrito

En una pare' tu nombre junto al mío
Ahora pienso y digo ""si ya no hay más motivo'""
Y las cancione' que tе hago son porque te pienso
Si tuviеra dimensione' este amor, sería inmenso
Te amo desde que empezamo', o sea, el comienzo
No es que sea tóxico, soy un poquito intenso
Somos un clásico como la .40 y Kendo
Vo' so' mi inspiración, so' lo más puro que tengo
Vos so' los recuerdo' en los renglone' de lo que 'toy escribiendo y te estoy diciendo
Ahora vo' decime si esto se corta o sigue
El que quiera con vo' que se ajuste los botine'
Que yo no te escribo rima', yo te escribo lo que mi corazón pide
Yo soy CF, mami
You might also like
¿Y quién iba a saber que era mi mujer?
Pero, mami, me dejaste tan solo y te pienso cada día que enrolo
Y dibujé en una pared tus iniciales
De mi mente no sale'

Y ahora te me hacé' la divina
Cuando te cruzo por la esquina
Y me acuerdo tus grito'
Diciendo que yo era tu turrito, ah
Y ahora te me hacé' la divina
Cuando te cruzo por la esquina
Y me acuerdo tus grito'
Diciendo que yo era tu turrito

¿Y quién iba a saber que era mi mujer?
Pero, mami, me dejaste tan solo y te pienso cada día que enrolo
Y dibujé en una pared tus iniciale'
De mi mente no sales2Embed","[['curiosity'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], [], ['neutral'], ['neutral'], ['neutral'], [], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['curiosity'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], [], ['neutral'], ['neutral'], ['neutral'], [], ['neutral'], ['curiosity'], ['neutral'], ['neutral'], ['neutral']]"
8,8,Taiu - Rara Vez,"6 ContributorsRara Vez Lyrics

Negra, rara vez te vi bien estando con aquel
No lo sé, no me vo'a a meter, pero te noté algo mentirosa
Cuando te besé sentí que vos sentiste cosa'
Entonces supe que

Sos lo que me da paz, lo que andaba buscando
Y esa felicidad que hace que ande sonriendo
Quiero verte feli', mejor si es al la'o de mí
Love incondicional, como perro a su amo, te sigo amando
Sos lo que me da paz, lo que andaba buscando
Y esa felicidad que hace que ande sonriendo
Quiero verte feli', mejor si es al la'o de mí
Love incondicional, como perro a su amo, te sigo amando

Dama con fama 'e cama alta gama y corazón partido
Fono lleno 'e fane' que llaman y solo atiende el mío
Vamo' a verno' con frío o calor, picnic, Netflix, voy en tren
En ten o fifteen estoy, y siendo honesto, baby

Negra, rara ve' te vi bien estando con aquel
No lo sé, no me vo'a a meter, pero te noté algo mentirosa
Cuando te besé sentí que vos sentiste cosa'
Entonces supe que
You might also like
Sos lo que me da paz, lo que andaba buscando
Y esa felicidad que hace que ande sonriendo
Quiero verte feli', mejor si es al la'o de mí
Love incondicional, como perro a su amo, te sigo amando
Sos lo que me da paz, lo que andaba buscando
Y esa felicidad que hace que ande sonriendo
Quiero verte feli', mejor si es al la'o de mí
Love incondicional, como perro a su amo, te sigo amandoEmbed","[['neutral'], ['disapproval', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['disapproval', 'neutral'], ['neutral'], ['neutral'], ['confusion', 'neutral'], ['neutral'], ['neutral'], ['neutral'], ['love'], ['neutral'], ['neutral'], ['neutral'], ['love', 'neutral']]"
9,9,BM - Ni Una Ni Dos,"2 ContributorsNi Una Ni Dos Lyrics

Hace un par de fecha', no sé dónde está'
Te llamo por teléfono, no me contestá'
Me dejaste tirado y no hablamos nunca ma'
Es obvio, todavía no te dejo de amar
Pero ya te voy a superar
Te juro que por vos yo no vuelvo a llorar
Me voy a tomar
Con alguna te vo'a reemplazar

Pero ni una, ni dos, ni tres, ni cuatro
Va a comparar lo que hicimo' en el cuarto
Si te cruzo de nuevo te parto
Pero mi cora no te lo comparto
Ni una, ni dos, ni tres, ni cuatro
Va a comparar lo que hicimo' en el cuarto
Si te cruzo de nuevo te parto
Pеro mi cora no te lo comparto

Y te olvidaste dе las vece'
De todas las risa' y de toda' la' estupidece'
Luego del sexo me pedía' que te bese'
Para mí no fueron uno' simple' mese'
You might also likeMe comí la mocha, yo rubia y morocha
El viernes pa' la cheta, el sábado pa' la rocha
Nada me llena como vos, más vale
Me siento vacío aunque tengo a una' pare'

Pero mejor vete
Que ya no quiero creerte
Será mejor perderte
Baby te deseo suerte
Aunque como vos no haya...

Ni una, ni dos, ni tres, ni cuatro
Va a comparar lo que hicimo' en el cuarto
Si te cruzo de nuevo te parto
Pero mi cora no te lo comparto
Ni una, ni dos, ni tres, ni cuatro
Va a comparar lo que hicimo' en el cuarto
Si te cruzo de nuevo te parto
Pero mi cora no te lo comparto
BM
Panchito Records, pa
Dice
Hace un par de fecha', no sé dónde está'
Te llamo por teléfono, no me contestá'
Me dejaste tirado y no hablamos nunca ma'
Es obvio, todavía no te dejo de amar
Pero ya te voy a superar
Te juro que por vos yo no vuelvo a llorar
Me voy a tomar
Con alguna te vo'a reemplazar

Pero ni una, ni dos, ni tres, ni cuatro
Va a comparar lo que hicimo' en el cuarto
Si te cruzo de nuevo te parto
Pero mi cora no te lo compartoEmbed","[['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral'], ['neutral']]"
