,artist_title,lyrics
0,Marília Mendonça - Leão,"8 ContributorsTranslationsEnglishLeão Lyrics

Beijo, Xamã
Segura, Xamã

Que o Sol da manhã te dissolva, seu vampiro de filmes pastelão
Mas quem vai nos julgar?!
Sou seu despenteado leão

Sei que 'cê me entende bem
Sempre foge quando namora
Se você não ama ninguém
Por que tá me escutando agora?
Sua linda, tão louca, minha Mona Lisa, tira a minha roupa
Me fascina nessa sina, me beija na boca
Minha mulher menina, me ensina ser vida louca
Teu olho piscina, me afoga e faz boca a boca
Renova minha rima, vem dе garfo que hoje é sopa, menina

Mas quеm vai nos julgar?
Vilão particular
You might also like
Se eu subo nesse palco aqui
Foi Deus que me criou assim
E os holofotes vêm ao meu encontro
É que eu te amo e nem te conto
Não, não posso ser seu santo
Sou fato ou hipótese
Sou rei, cigano ou nômade
Desculpe esse meu jeito soberano
Mas hoje é por você que eu canto
É por você que eu canto (Vem)

Sei que 'cê me quer também
Marília leoa gostosa
Posso te ligar, meu bem?
Que que 'cê tá fazendo agora?
Tão lindo, tão louco, meu grande amigo
Depois de você, os outros são outros
'Cê tá fodido, vamo fazer amor
Cantar um sertanejo antigo e beijar na boca, amor
Pode ser até que você não me dê moral
Até me ver no espaço pela banca de jornal

Paparapá, papa, papara, papara, paparará
Paparapá, papa, papara, papara, papararáEmbed"
1,AgroPlay - Nosso Quadro,"1 ContributorTranslationsPortuguêsAgroPlay - Nosso Quadro ft. Ana Castela (English Translation) Lyrics
Everyone has a love that when they lie down and look at the ceiling
The question comes up, ""Would it work out if it were today?""
In an episode that will never be released, an incomplete album
A story that stopped halfway through, can you imagine the rest

Eh, longing that takes, that takes, that takes over me
And it gives me no remorse, no anger, no hatred of the pity, of the end

Now our picture, gеtting married in the church
Won't be hung, only еxists in my head
The two of us herding cattle, the drover daughter
Our life in the bush, only exists in my head
But is it love even if it's not a lifetime?
But is it love even if it's not a lifetime?
(Ay, ay, ah, ay)

Is it love or isn't it?

There are things we can't forget even if we want to
End of the year 2017
I'm starting dental school and you're in vet school
Your jeans shirt in my truck
My friends ask ""what happened to you?
My father doesn't give up, still wants to be a grandfather
Time hasn't been so kind to both of us
It could have been, but it wasn't
You might also like
Now our picture, getting married in the church
Won't be hung, only exists in my head
The two of us herding cattle, the drover daughter
Our life in the bush, only exists in my head
But is it love even if it's not a lifetime?
But is it love even if it's not a lifetime?
(Ay, ay ah, ay)

But hey, love
Even if it's not a lifetime it'll be loveEmbed"
2,Israel & Rodolffo - Bombonzinho - Ao Vivo,"1 ContributorTranslationsEnglishBombonzinho (Ao Vivo) Lyrics

Bombonzinho
Vem, meu

Por que tudo que eu quero ou é proibido ou faz gostoso?
Sua boca tem um mel deixa eu me lambuzar de novo

Na cama 'cê tem talento, 'cê manja dos movimento
Tem de tudo, mas não tem sentimento
Na cama 'cê tem talento, 'cê manja dos movimento
(Vamo assim, ó)

Ah, esse corpão moreno aí
Derrete na boca igual bombonzinho
Pena que 'cê é pra frente tem uma porrada de gente
Que 'cê pega além de mim
Esse corpão moreno aí
Derrete na boca igual bombonzin'
Pena que 'cê é pra frente tem uma porrada de gente
Que 'cê pega além de mim
You might also like
As que presta a gente nem se envolve
E as que não vale nada nós apaixona e sofre
Os que presta a gente nem se envolve
E os que não vale nada nós apaixona e sofre

Ana Castela
Oh
Chama, Goiânia
Vem

Na cama 'cê tem talento, 'cê manja dos movimento
Tem de tudo, mas não tem sentimento
Na cama 'cê tem talento, 'cê manja dos movimento 

Ah, esse corpão moreno aí
Derrete na boca igual bombonzinho
Pena que 'cê é pra frente tem uma porrada de gente
Que 'cê pega além de mim
Esse corpão moreno aí
Derrete na boca igual bombonzin'
Pena que 'cê é pra frente tem uma porrada de gente
Que 'cê pega além de mim
As que presta a gente nem se envolve
E as que não vale nada nós apaixona e sofre
Os que presta a gente nem se envolve
E os que não vale nada nós apaixona e sofre

Vem, vem, vem, Goiâna, vem
E as que não vale nada nós apaixona e sofreEmbed"
3,Simone Mendes - Erro Gostoso - Ao Vivo,"4 ContributorsErro Gostoso (Ao Vivo) Lyrics

Calma, deixa eu respirar um pouco
Nós somos dois loucos
Olha a gente nessa cama de novo
O que 'cê sente quando 'cê mente
Na minha cara pra ter uma hora de cama suada?
E eu percebo a cada visita
'Cê não gosta de mim, 'cê gosta é da conquista
(Quero ver)

Ah, e agora como eu fico nessa casa
Com sorriso ou choro no rosto?
'Cê vem aqui, me acostuma errado
Cola meus pedaços pra quebrar de novo
Eu preciso aprender a falar não um pouco
Pra esse erro gostoso
Ah, e agora como eu fico nessa casa
Com sorriso ou choro no rosto?
'Cê vem aqui, me acostuma errado
Cola mеus pedaços pra quebrar de novo
Eu prеciso aprender a falar não um pouco
Pra esse erro gostoso
You might also like
Calma, deixa eu respirar um pouco
Nós somos dois loucos
Olha a gente nessa cama de novo
O que 'cê sente quando 'cê mente
Na minha cara pra ter uma hora de cama suada?
E eu percebo a cada visita
'Cê não gosta de mim, 'cê gosta é da conquista

Ah, e agora como eu fico nessa casa
Com sorriso ou choro no rosto?
'Cê vem aqui, me acostuma errado
Cola meus pedaços pra quebrar de novo
Eu preciso aprender a falar não um pouco
Pra esse erro gostoso
Ah, e agora como eu fico nessa casa
Com sorriso ou choro no rosto?
'Cê vem aqui, me acostuma errado
Cola meus pedaços pra quebrar de novo
Eu preciso aprender a falar não um pouco
Pra esse erro gostosoEmbed"
4,Henrique & Juliano - Arranhão - Ao Vivo,"1 ContributorTop Groups of 2021 LyricsBTS - Butter
Maroon 5 - Memories
Imagine Dragons - Follow You
One Direction - Best Song Ever
Queen - Bohemian Rhapsody
The Beatles - Let It Be (Remastered 2009)
Måneskin - Beggin'
Arctic Monkeys - Why'd You Only Call Me When You're High?
Linkin Park - In the End
BLACKPINK - Ice Cream (with Selena Gomez)
Twenty One Pilots - Shy Away
$uicideboy$ - ...And to Those I Love, Thanks for Sticking Around
The Neighbourhood - Sweater Weather
Red Hot Chili Peppеrs - Scar Tissue
AC/DC - Thunderstruck
Black Eyed Pеas - I Gotta Feeling
OneRepublic - Someday
Metallica - Enter Sandman
Little Mix - Sweet Melody
Zé Felipe & Os Barões Da Pisadinha - Senta Danada
The Chainsmokers, ILLENIUM & Lennon Stella - Takeaway
Glass Animals - Heat Waves
TWICE - The Feels
Nirvana - Come As You Are
Migos - Straightenin
Banda MS de Sergio Lizárraga - La Casita
Reik & Maluma - Perfecta
Grupo Firme - Ya Supérame (En Vivo)
Green Day - Boulevard of Broken Dreams
5 Seconds of Summer - Youngblood
ABBA - Chiquitita
The Rolling Stones - Start Me Up (Remastered 2009)
Panic! At The Disco - High Hopes
Pink Floyd - Wish You Were Here (2011 Remaster)
Bob Marley & The Wailers - Is This Love
Guns N' Roses - Sweet Child O' Mine
Jorge & Mateus - Namorando Com Saudade
Internet Money - His & Hers (feat. don Toliver, Lil Uzi Vert & Gunna)
Tame Impala - Borderline
Wisin & Yandel, Chris Brown & T-Pain - Algo Me Gusta De Ti
Daft Punk - One More Time
Jonas Brothers - Sucker
Aventura & Bad Bunny - Volví
U2 - Beautiful Day
Bring Me The Horizon - DiE4u
Bon Jovi - It's My Life
Led Zeppelin - Whole Lotta Love (1990 Remaster)
Calibre 50 - A La Antigüita
Henrique & Juliano - Arranhão (Ao Vivo)
Stray Kids - ThunderousEmbed"
5,Gustavo Mioto - Eu Gosto Assim - Ao Vivo,"1 ContributorEu Gosto Assim (Ao Vivo) Lyrics

 A gente se entende assim
Porque nenhum dos dois é de ""pra sempre""
(Eu quero ouvir bem)

Mas eu gosto assim
Ela não me ama, mas eu gosto assim
A gente se pega sem se apegar
A gente usa a cama só pra se usar
(Joga lá em cima e canta alto) Sem amar
Mas eu gosto assim
Gustavo não me ama, mas eu gosto assim
A gente se pega sem se apegar
A gente usa a cama só pra se usar
Sem amar

Sem amar
Sem amar

Mas eu gosto assim
Senhoras e senhores, essa mulher maravilhosa, Ana Castela, com vocêsYou might also likeEmbed"
6,Hugo & Guilherme - Mal Feito - Ao Vivo,"4 ContributorsMal Feito (Ao Vivo) Lyrics

Essa música eu fiz pra você
Nem perder seu tempo tentando me convencer
Peço paciência, escuta até o fim
Vai ficar claro pra você, como ficou claro pra mim
O seu beijo ficou ruim assim do nada
Frequentemente compara seu ex comigo
De repente pegou gosto por balada
Isso não faz sentido

Você começou a me tratar mal
E na hora de fazer amor
Sempre diz que não tá bem, não tá legal
Lembra quando eu perguntei se tinha outro alguém, você negou
Chegou na parte principal

Você me traiu
Levou um tempo, mas eu descobri
Você não vale nada, tá claro pra mim
Seu plano era bom, era quase perfeito
Pena que tudo que 'cê faz, 'cê faz mal feito
Me traiu
Levou um tempo, mas eu descobri
Você não vale nada, tá claro pra mim
Seu plano era bom, era quase perfeito
Pena que tudo que 'cê faz, 'cê faz mal feito
You might also like
Você começou a me tratar mal
E na hora de fazer amor
Sempre diz que não tá bem, não tá legal
Lembra quando eu perguntei se tinha outro alguém, você negou
Chegou na parte principal

Você me traiu
Levou um tempo, mas eu descobri
Você não vale nada, tá claro pra mim
Seu plano era bom, era quase perfeito
Pena que tudo que 'cê faz, 'cê faz mal feito
Me traiu
Levou um tempo, mas eu descobri
Você não vale nada, tá claro pra mim
Seu plano era bom, era quase perfeito
Pena que tudo que 'cê faz, 'cê faz mal feito
Me traiu
Levou um tempo, mas eu descobri
Você não vale nada, tá claro pra mim
Seu plano era bom, era quase perfeito
Pena que tudo que 'cê faz, 'cê faz mal feito

Pena que tudo que 'cê faz, 'cê faz mal feito
Que penaEmbed"
7,Grupo Menos É Mais - Lapada Dela - Ao Vivo,"3 ContributorsLapada Dela - Ao Vivo LyricsMe apaixonei por uma menina que tem 1 metro e 60 e uma tatuagem do seu ex
Ela é do tipo que acaba uma família, basta encostar nela uma vez
Eu caí no corpo dela e me viciei
Agora eu tô apaixonado, olha onde eu entrei
E todo dia, eu quero pegar ela
Não consegui dormir pensando na lapada dela
Tô aqui pensando em cada movimento dela
Tu não pega ela, ela é quem te pega
(Todo dia eu quero pegar ela)
Não consegui dormir pensando na lapada dela
Tô aqui pensando em cada movimento dela
Tu não pega ela, ela é quem te pega
Me apaixonei por uma menina que tem 1 metro e 60 e uma tatuagem do seu ex
E ela é do tipo que acaba uma família, basta encostar nela uma vez
Eu caí no corpo dela e me viciei
Agora eu tô apaixonado, olha onde eu entrei, diz!
Todo dia eu quero pegar ela
Não consegui dormir pensando na lapada dela
Fico aqui pensando em cada movimento dela
Tu não pega ela, ela é quem te pega
Todo dia eu quero pegar ela
Não consegui dormir pensando na lapada dela
Tô aqui pensando em cada movimento dela
Tu não pega ela, ela é quem te pega
You might also likeTodo dia eu quero pegar ela
Não consegui dormir pensando na lapada dela
Tô aqui pensando em cada movimento dela
Tu não pega ela, ela é quem te pega
Todo dia eu quero pegar ela
Não consigo dormir pensando na lapada dela
Tô aqui pensando em cada movimento dela
Tu não pega ela, ela é quem te pega
Todo dia eu quero pegar ela
Não consigo dormir pensando na lapada dela
Eu tô aqui lembrando cada movimento dela
Tu não pega ela, ela é quem te pegaEmbed"
8,Guilherme & Benuto - Duas Três,"2 ContributorsDuas Três Lyrics

Segura o hit
Guilherme e Benuto
Ana Castela
E Adriano Rhod
Vamo' assim, ó

Ai, se eu achasse uma boca igual sua, era bom demais
Ai ai ai, se eu achasse um beijo bem parecido eu ficava em paz

Eu até caço na noite resenha em balada
Mas a boca não dá mais liga com fumaça e cachaça
Aí eu ligo pra você de madrugada
Você atende e tira uma com a minha cara e fala

'Cê não acha um beijo desse nunca
Um cabelão batendo na bunda
Um corpão de um metro e setenta
Que dá duas três foda e 'guеnta
'Cê não acha um beijo desse nunca
Um cabеlão batendo na bunda
Um corpão de um metro e setenta
Que dá duas três foda e 'guenta
You might also like
É a Boiadeira, bebê
Alô, Adriano
A muié quando ela é boa ela sabe que ela é boa
É, Guilherme e Benuto, uma boiadeira dessa nós não acha mais não

Ai, se eu achasse uma boca igual sua, era bom demais
Ai ai ai, se eu achasse um beijo bem parecido eu ficava em paz

Eu até caço na noite resenha em balada
Mas a boca não dá mais liga com fumaça e cachaça
Aí eu ligo pra você de madrugada
Você atende e tira uma com a minha cara e fala

'Cê não acha um beijo desse nunca
Um cabelão batendo na bunda
Um corpão de um metro e setenta
Que dá duas três foda e 'guenta
'Cê não acha um beijo desse nunca
Um cabelão batendo na bunda
Um corpão de um metro e setenta
Que dá duas três foda e 'guenta
'Cê não acha um beijo desse nunca
Um cabelão batendo na bunda
Um corpão de um metro e setenta
Que dá duas três foda e 'guenta
Ai ai ai, ai ai ai, ai ai ai
É saudade demais
É, muié, hein
Bagunçou com nós tudo, viu, os menino'?
VishEmbed"
9,Israel & Rodolffo - Seu Brilho Sumiu - Ao Vivo,"1 ContributorSeu Brilho Sumiu (Ao Vivo) Lyrics

Israel e Rodolfo
Falando de amor

Terminou e espalhou pra todo mundo
Encheu a boca dizer que tá feliz em me perder
E que seu beijo vai virar assunto

Mas o assunto fui eu
Aparecendo de mãos dadas com outro alguém
Jogando na sua cara que eu te superei
Doeu eu sei
Até parou de conversar
Fechou a cara e não parava de me olhar
Eu vi de longe sua volta por cima
Indo água a baixo assistindo minha
(E por que? Vem)

Por que quando 'cê me viu seu brilho sumiu (Chama)
Sua noitе acabou
Passar vergonha ao vivo é pouco pra falador
Por que quando 'cê me viu, sеu brilho sumiu
E pra minha sorte
Cão que late não morde
Cão que late não morde
You might also like
Israel e Rodolfo
Mari Fernandez

Mas o assunto fui eu
Aparecendo de mãos dadas com outro alguém
Jogando na sua cara que eu te superei
Doeu eu sei
Até parou de conversar
Fechou a cara e não parava de me olhar
Eu vi de longe sua volta por cima
Indo água a baixo assistindo minha
(Pra cima)

Por que quando 'cê me viu (Seu brilho sumiu)
Sua noite acabou
Passar vergonha ao vivo é pouco pra falador (É pouquinho, viu Mari?)
Por que quando 'cê me viu, seu brilho sumiu
E pra minha sorte
Cão que late não morde
Cão que late não morde

E pra minha sorte
Cão que late não morde
Israel e Rodolfo (Cão que late não morde)
E Mari Fernandez
Linda demaisEmbed"
