,artist_title,lyrics
0,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
1,Molec - 7 Dni,"3 Contributors7 Dni Lyrics
Хайде, викай ме по име
Просто погледни ме
Тоя живот ще преминем и после пак избирам теб
Хайде, викай ме по име
Просто погледни ме
Тоя живот ще преминем и после пак избирам...

Душите танцуват без допир и дума
Червеният албум и ме връща
Още малко да остана
Безвремие за двама
Сега тичам за притча и вричам се, пиша и кича се пищно
И пита ме някакъв чичко ""Наред ли е всичко?""
А как да му кажа, че ме обичаш и в понеделник?
И в мойта страшна зима ти поле от слънчогледи, и макар
Икар високо съм но ти си моят сенник
Моят душевен мир къде те намерих
Дай ми 7, дни да си припомняме спомени
7 дни, да седим и да спорим
7 дни, безгрижни, разсеяни..

Ако те пипна, няма да пусна
Ако те вкуся, ще пия, ще се пръсна
Ако те видя, секундата сцепвам за да те попия
Ако те пипна, няма да пусна
Ако те вкуся, ще пия, ще се пръсна
Ако те видя, секундата сцепвам за да те попия
You might also like
Хайде, викай ме по име
Просто погледни ме
Тоя живот ще преминем и после пак избирам теб
Хайде, викай ме по име
Просто погледни ме
Тоя живот ще преминем и после пак избирам...

Не те мразя, цвете мое, просто не се обичаме
Родени от чужда болка пак на себе си се вричаме и пак си обещаваме какви няма да бъдем секунди след срока на годност пак смиламе горчивия въглен
Кураж, кураж мое мило сърце си казвам всеки път, когато трябва да ме носиш на ръце
Още сричам, а искам да пиша
Още тичам, а искам да дишам още дърпам, а трябва да пусна Още само надушвам, а искам да вкуся от послето ми от послето ми

Като клони на дърво преплетени в молитва, пръстите ми във едно пак към тебе викат
Като клони на дърво преплетени в молитва, пръстите ми във едно пак, ей

Ако те пипна, няма да пусна
Ако те вкуся, ще пия, ще се пръсна
Ако те видя, секундата сцепвам за да те попия
Ако те пипна, няма да пусна
Ако те вкуся, ще пия, ще се пръсна
Ако те видя, секундата сцепвам за да те попия

Хайде, викай ме по име
Просто погледни ме
Тоя живот ще преминем и после пак избирам теб
Хайде, викай ме по име
Просто погледни ме
Тоя живот ще преминем и после пак избирам...

Ако те пипна
Ако те вкуся
Ако те видя...Embed"
2,Djordan - К'ъв съм як,"1 ContributorК’ъв Съм Як (K’uv Sam Yak) Lyrics

Кажи у нас или у вас ще ти е сладко
(У нас или у вас, кажи у нас или у вас сме)
На въртележка да те кача, ще е яко
(Ще те завъртя и ще ти стане много яко)

Така ми е таман-ман-ман-ман (Така ми е таман, ей!)
Направо ща изям-ам-ам-ам (Направо ща изям, ей!)
Ти ще си ми лодка, аз съм капитан
Дай ми още водка, ня'а те е срам! (Рррря!)

Виж ме к'ъв съм як, як, як
Виж ме к'ъв съм тър-тър-тър-тарикат
Дръж се здраво, че яко ще тресе
Да не чувам ""не, не, не, не, не!""

Да чувам само
Тър, цак, цак, цак, цак, цак
Мамо
Тър, цак, цак, цак, цак
Да чувам само
Тър, цак, цак, цак, цак, цак
Мамо
Тър, цак, цак, цак, цак, цак, цак
You might also like
(Хееей!)
(Да! Да! Да!)
(Топ!Топ! Топ!)
(Да! Да! Да!)
(Топ!Топ! Топ!)

Кажи отпред или на задната седалка
(Отпред или отзад, кажи отпред или отзад сме)
И ти си като мене яка откачалка
(И ти си като мен много яка откачалка)

Направи ме пишман-ман-ман-ман-ман (Направи ме пишман, ей!)
Направо ща изям-ам-ам-ам (Направо ща изям, ей!)
Ти ще си ми лодка, аз съм капитан
Дай ми още водка, ня'а те е срам!

Виж ме к'ъв съм як, як, як
Виж ме к'ъв съм тър-тър-тър-тарикат
Дръж се здраво, че яко ще тресе
Да не чувам ""не, не, не, не, не!""

Да чувам само
Тър, цак, цак, цак, цак, цак
Мамо
Тър, цак, цак, цак, цак
Да чувам само
Тър, цак, цак, цак, цак, цак
Мамо
Тър, цак, цак, цак, цак, цак, цак
Идвам да те вдигна до тавана
С мен си взимай някой за охрана
Като бебе ще ревеш за мама
Пак! Пак! Пак! Пак! Пак! Пак!
С мене ти омекват коленете
Твърдо днес ще си ми в ръцете (Рррра!)
И на пета да ми бягаш ще те хвана
Пак! Пак! Пак! Пак! Пак! Пак!

(Хееей!)
(Да! Да! Да!)
(Топ!Топ! Топ!)
(Да! Да! Да!)
(Топ!Топ! Топ!)

Виж ме к'ъв съм як, як, як
Виж ме к'ъв съм тър-тър-тър-тарикат
Дръж се здраво, че яко ще тресе
Да не чувам ""не, не, не, не, не!""

Да чувам само
Тър, цак, цак, цак, цак, цак
Мамо
Тър, цак, цак, цак, цак
Да чувам само
Тър, цак, цак, цак, цак, цак
Мамо
Тър, цак, цак, цак, цак, цак, цак (Рррра!)Embed"
3,Emilia - Alcohol,"1 ContributorEmily alcoholic Lyrics
I quit the band guys, (Alright) fuck that
Fuck you, give me the pick, give me the pick
Cock sucker, I can CNG
I'm not, I'm not no cock sucker (Alright)
Say it for me, say Alex (Okay) ain't no cock sucker
Alex ain't no cock sucker

Once upon a time (Oo~)
I went out and had some lunch here

Oi, it's different, medic is at keyboard
That doesn't matter, (Aah) that doesn't match

That's pretty trippy, It's getting trippy in here

And then these fuckers pieces of short gauge, fucking basters!
I fucking hate their fucking!You might also likeEmbed"
4,The Neighbourhood - Sweater Weather,"195 ContributorsTranslationsTürkçePortuguêsDanskРусскийPortuguêsFrançaisDeutschالعربيةItalianoSweater Weather Lyrics
And all I am is a man
I want the world in my hands
I hate the beach, but I stand
In California with my toes in the sand
Use the sleeves of my sweater, let's have an adventure
Head in the clouds, but my gravity's centered
Touch my neck and I'll touch yours
You in those little high-waisted shorts, oh

She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue 'cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside, this place is warm
Outside, it starts to pour
You might also like
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothin' that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
Woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
Let me hold both your hands in the holes of my sweater
And it's too cold, it's too cold
The holes of my sweater516Embed"
5,The Weeknd - Starboy,"521 ContributorsTranslationsTürkçeEspañolРусскийPortuguêsFrançaisDeutschStarboy Lyrics
Ayy

I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli point two just to hurt you, ah
All red Lamb' just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yah
Main bitch outta your league too, ah
Side bitch outta your league too, ah
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
You might also like
Every day, a nigga try to test me, ah
Every day, a nigga try to end me, ah
Pull off in that Roadster SV, ah
Pockets overweight, gettin' hefty, ah
Comin' for the king, that's a far cry, I
I come alive in the fall time, I
The competition, I don't really listen
I'm in the blue Mulsanne, bumpin' New Edition
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
Let a nigga brag Pitt
Legend of the fall, took the year like a bandit
Bought Mama a crib and a brand new wagon
Now she hit the grocery shop lookin' lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
A hundred on the dash get me close to God
We don't pray for love, we just pray for cars
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy628Embed"
6,V:RGO - AZ I TI,"3 ContributorsAz i Ti Lyrics
Само да можех да осъзная красотата дето ми носиш, дето ми даваш, дето ме води, дето ме вади от места неподобаващи, хранещи моите рани - Самадхи
Нека бъда твоя подслон, бейби, сама си
Нека Бог е нашия дом, нека жена си ми
Моменти прекрасни, още влага държи тва дето каза ми, аз и ти …
И виждам пак ме гледаш плахо със сълзи на очи
Носиш тиха носталгия, а вън вали
Тва дето го имаш ти hardly believable
И пак във тебе майче ше ми поседи акъла
Само лист остана
Само белег от рана
А под белега отдолу емоционална травма
Няма нищо няма
Има само промяна
А тва е всичко ама с тебе всичко трудно става

Аа, аа, затворя ли очи пак си ти там
Отворя ли си ги пак не виждам
Друго и не знам дали искам да питам
Дали истински е този ми сън
You might also likeДъха си във мен като дишам
Таланта си в мене щом пиша
Сърцето ми с тебе пулсира и спира

И под едно небе
Търсим едно и също
Ти ми кажи къде
Залеза е изкуство
Комуто много е простено той много и ще обича
Като трудно се върви през сълзи почвам да тичам
Накъде
Накъдето очите видят
Накъдето слънцето изгрява с най-сладкия припев
Накъдето всяка болка избирам да бъде смисъл
Накъде
Гади ли ти се
И на мене ми се гади
Едната причина май, е че сме арогантно млади
Другата е просто, че се тъпчем със стимуланти
Дано не го помним тва като станем дедовци и баби
Накъдето настрани остават всички самоти
Накъдето след цялата болка оставаш само ти

Аа, аа, затворя ли очи пак си ти там
Отворя ли си ги пак не виждам
Друго и не знам дали искам да питам  Дали истински е този ми сън
Дъха си във мен като дишам
Таланта си в мене щом пиша
Сърцето ми с тебе пулсира и спира

Довери ми се, ще ти дам всичко
Довери ми се, давам всяка частица
Ранили са те, с моите сълзи ще почистя
Всяка рана, може би щипе и не ще престана
Ти зъби стискай и тва е, повече няма
Да позволя повече няма
И аз и ти да
И да си ида
Отгоре ще шепна, ще викам
Ще шепна, ще викам
С тебе ще стигна
Пак с тебе ще стигна
И давам ти сила
Щом нямаш давам ти сила

Аа, аа, затворя ли очи пак си ти там
Отворя ли си ги пак не виждам
Друго и не знам дали искам да питам
Дали истински е този ми сън
Дъха си във мен като дишам
Таланта си в мене щом пиша
Сърцето ми с тебе пулсира и спира

Затворя ли очи пак си ти там
Отворя ли си ги пак не виждам
Друго и не знам дали искам да питам
Дали истински е този ми сън
Дъха си във мен като дишам
Таланта си в мене щом пиша
Сърцето ми с тебе пулсира и спираEmbed"
7,Tsvetelina Yaneva - Филм за нас,"1 ContributorФилм за нас (Film za nas) Lyrics

Любовта ми като престъпник на свобода е —
Съвест няма, милост няма…
Че не трябва да те обичам, не ще да знае
Ти си тръгваш, тя остава…

Ако някой ден има филм за нас
Хората ще плачат с глас
Как без теб не дишам
Но си тръгвам аз...

В мойта стая имаш дрехи, да ти ги дам ли?
Вземай квото вземаш,  въздуха ми да ти дам ли?
Съня единствено ми върни,  да сънувам пак децата
Дето нямаме, но ги искахме...
А сега да живея ли, да умирам ли?
Живея ли, да умирам ли?
Живея ли, да умирам ли?

Ако видиш някой изпаднал, пиян до кости
Да знаеш аз съм, да знаеш аз съм!
Като чуеш за луда дето живее с котки
Да знаеш аз съм, да знаеш аз съм…
You might also like
Ако някой ден има филм за нас
Хората ще плачат с глас
Как без теб не дишам
Но си тръгвам аз...

В мойта стая имаш дрехи, да ти ги дам ли?
Вземай квото вземаш,  въздуха ми да ти дам ли?
Съня единствено ми върни,  да сънувам пак децата
Дето нямаме, но ги искахме...
А сега да живея ли, да умирам ли?
Живея ли, да умирам ли?
Живея ли, да умирам ли?


В мойта стая имаш дрехи, да ти ги дам ли?
Вземай квото вземаш,  въздуха ми да ти дам ли?
Съня единствено ми върни,  да сънувам пак децата
Дето нямаме, но ги искахме...
А сега да живея ли, да умирам ли?Embed"
8,Metro Boomin - Creepin',"148 ContributorsTranslationsPortuguêsEspañolTürkçeفارسیDeutschCreepin’ Lyrics
(Just can't believe this, man)
(Metro Boomin want some more, nigga)
Somebody said they saw you
The person you were kissing wasn't me
And I would never ask you
I just kept it to myself

I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you creepin', please don't let it show
Oh, baby, I don't wanna know

I think about it when I hold you
When lookin' in your eyes, I can't believe
And I don't need to know the truth
Baby, keep it to yourself

I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you creepin', please don't let it show
Oh, baby, I don't wanna know
You might also like
Did he touch you better than me? (Touch you better than me)
Did he watch you fall asleep? (Watch you fall asleep)
Did you show him all those things that you used to do to me?
If you're better off that way (Better off that way)
There ain't more that I can say (More that I can say)
Just go on and do your thing and don't come back to me

Woah, woah, woah, 21
Had me crushin', I was cuffin' like the precinct
How you go from housewife to a sneaky link?
Got you riding 'round in all type of Benzes and Rovers
Girl, you used to ride in the rinky-dink
I'm the one put you in Eliantte (On God)
Fashion Nova model, I put you on the runway (On God)
You was rockin' Coach bags, got you Chane'-ne'
Side bitch in Frisco, I call her my Bay-bae (21)
I got a girl, but I still feel alone (On God)
If you playin' me that mean my home ain't home (On God)
Havin' nightmares of goin' through your phone (21)
Can't even record, you got me out my zone

I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you creepin', please don't let it show
Oh, baby, I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you creepin', please don't let it show
Oh, baby, I don't wanna know
If you creepin', just don't let me find out (On God)
Get a hotel, never bring 'em to the house (On God)
If you're better off that way
Baby, all that I can say
If you're gonna do your thing, then don't come back to me39Embed"
9,V:RGO - PARALIA,"6 ContributorsPARALIA Lyrics
Ма-ма-махалата ме зове
S-SKG и Team 02 (2-2-2Bona)
Ма-махалата ме зове
SKG и Team 02

Пара-пара-пара-пап, паралия (Паралия)
Harry Potter, лева пра'я на магия
Па-па-пап (Пау) бараш ли кажи, а (Бараш ли)
Mr. Proper, винаги съм чист в тия
Схеми безкрайни, тря'а хапнем още гладни
Ба-балкан, ах-айде, моят клан-клан непобедим
Не e English girl name Fiona, от Каспичан силиконка
Sorry-sorry, babe, не мога, квартала ма зове и ше ходя (Ау)

Два процента на телефона (Трр)
С тея два процента пра'я два бона
Има тръс, да ве друса пода, има сос, а йе, топа-топа-а
Как играеш ти така-а-а-а
Хвана ли та няма да са спра-а-а
Твойта пак ми са навърта около врата-а-а
Иска снимка, 'ма не е тука за това-а-а (Не е тука за това)
Finesse, Steph Curry (А-a)
Толкоз hype виждам blurry (А-a)
Аз съм млад, а парите ми dirty (А-a)
Раздай, върти, дай да са къртим (Ау)
You might also like
Пара-пара-пара-пап, паралия (Паралия)
Harry Potter, лева пра'я на магия
Па-па-пап (Пау) бараш ли кажи, а (Бараш ли)
Mr. Proper, винаги съм чист в тия
Схеми безкрайни, тря'а хапнем още гладни
Ба-балкан, ах-айде, моят клан-клан непобедим
Не e English girl name Fiona, от Каспичан силиконка
Sorry-sorry, babe, не мога, квартала ма зове и ше ходя (Ау)

BMW автоматик, във него евро (В него евро)
На Балканите не бачкаме на дребно (Дребно)
Тук от малки знаем да правим зелено
Газ на червено (Сус), всичко забранено (Па-па-па)
Банда (Банда), тук сме с цялата банда (Цялата банда)
Балкан, тук сме с моите братя (Братя)
Да сме живи здрави и пари да правим (Да правим)
За който е след нас нещо да оставим (TRF)

Ba-baby, crazy, ba-
Baby, crazy, к'во искаш от мен? Не наглей ми, fuck you, pay me
Говорят ли ти, за мен в джоба ми тия цифри? (Трр)
То-то толко пъти съм влизал в грях
Но и на един дори не завидях
Но дори един човек не преебах
Договора с дявола скъсан върнах (Ша)
Влизам мега свеж дори и да не нося марки
Ти си крив като джанта с 300 заварки
Казвам Nike не ка'ам Nike-y, некви курви искат да ги пра'я майки
Baby, ти не си Madonna, FYRE plus dolla sign - ВНЛ
Шерифа гони Yamaha-та, кай как разпадна се астрата
Ще натискам докато не спре в мен сърцето
'Щото обещал съм им на тия на небето (Амин)
Моя град е сив, моя град е гето
Моя джоб на гейнер, твоя е на кето
Скъсаняк, докат не ударя милиона (Трр)
На drill-a в БГ аз съм Tion-a
Baby, ти не си никва икона
Real ти е само силикона (Парцал)
Пара-пара-пара-пап, паралия (Паралия)
Harry Potter, лева пра'я на магия
Па-па-пап (Пау) бараш ли кажи, а (Бараш ли)
Mr. Proper, винаги съм чист в тия
Схеми безкрайни, тря'а хапнем още гладни
Ба-балкан, ах-айде, моят клан-клан непобедим
Не e English girl name Fiona, от Каспичан силиконка
Sorry-sorry, babe, не мога, квартала ма зове и ше ходя (Ау)

А ова flow не е од London
Балкан, Балкан, wave pronto (Брр, ало-ало)
Ми пазат грб и после полноќ само спартанско
Тоа се браќa, срце полно, балканско
Cannabis ротираме, не сопираме
А ти копираj ме, не, не ме допира, не
Habibi on my lap, alibi on my mind
Caribi добар ден, ти да си доволна
Аjде, аjде, аjде мама, ти си идеална
Ghetto, ghetto дама, jа чува цела банда
Аjде, аjде, аjде мама, ти си идеална
Ghetto, ghetto дама, jа чува цела банда

Пара-пара-пара-пап (Па), паралия
Harry Potter, лева пра'я на магия
Па-па-пап (Пау) бараш ли кажи, а (Бараш ли)
Mr. Proper, винаги съм чист в тия
Схеми безкрайни, тря'а хапнем още гладни
Ба-балкан, ах-айде, моят клан-клан непобедим
Не e English girl name Fiona, от Каспичан силиконка
Sorry-sorry, babe, не мога, квартала ма зове и ше ходя (Ау)Embed"
