,artist_title,lyrics
0,Bad Bunny - Me Porto Bonito,"33 ContributorsTranslationsEnglishDeutschFrançaisMe Porto Bonito Lyrics

Yeah-yeah-yeah-yeah-yeah-yeah, ey
En la guagua se quedó el olor de tu perfume
Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une
Ella sabe que está buenota y no la presumen
Si yo fuera tu gato, subiera una foto los vierne' y los lune' (So)

Pa' que to' el mundo vea lo rica que tú está', que tú está'
Contigo tengo que apretar
Y еn la calle ando suelto, pero por ti mе quito
Si tú me lo pide', yo me porto bonito
Y subo un selfie pa' que vean lo rica que tú está', que tú está'
Las otras tienen que apretar
En la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito (Ey, ey)

Tú no ere' bebecita, tú ere' bebesota
Frikitona, ma', se te nota
Le gustan los trío' cuando está en la nota
Si el novio no sirve, de una lo bota
Y wow, mami, dime dónde dejo el résume (Résume)
Sé que te dejaste hace un me' (Ey, ey)
Y de una de pecho me zumbé
Si quiere' te hago un bebé o te traigo la plan B
Uff, mami, qué rica tú te ve'
Pa' los 2000 escuchaba RBD
Y ahora quiere perreo, to'a la noche en la pared
THC, no CBD
You might also like
Mami, tú ere' élite (Ey), no te me limite' (Okey)
Déjame hacerte lo que amerite y te levite
Dale pa'l escondite (Ey), no te me arisque' (So)
Que aquí no va a poder llegar lo' satélite' (Oh)
Mami, sube algo, dame contenido
Ese culo súbelo má' seguido
Me paso jangueando, a ver si coincido, ey
Y por fin doy contigo
Mai, nuestra' bellaquera' nunca la' olvido
Ninguna como tú a mí me ha complacido
Tú cree' que a toda' siempre les digo lo mismo
Quiere chingar, pero no quiere na' fijo, ey
Pero en confianza me confiesa
Dice que nadie le interesa
Pero cuando sale, se pone traviesa (Ey)

Pa' que to' el mundo vea lo rica que tú está', que tú está', ey
Contigo tengo que apretar
Y en la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito8Embed"
1,Manuel Turizo - La Bachata,"2 ContributorsTranslationsEspañolDeutschManuel Turizo - La Bachata (English Translation) Lyrics
I blocked you from Insta, but I watch your stories from a different account (Oh-oh-oh)
I deleted your number; I don't know why, I know it by heart
You hurt me and I still miss you
And although I know I'll forget you someday
I still don't, it's complicated
I like to remember everything we did

I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

To protect me from someone that's just like you
I don't want to fall like I did for you
I hope you fall in love, so they do to you what you did to me
You taught me not to love just anyone
And how I don't want to be loved
No-oh-oh, we were three in a relationship of two
I don't forgive you, ask God for forgiveness
I said I forgot you and the truth is I, oh-oh
I, oh-oh
You might also like
I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

Manuel TurizoEmbed"
2,Bad Bunny - Yonaguni,"52 ContributorsTranslationsDeutschEnglishYonaguni Lyrics

Yeah-yeah-yeah-yeah
Yeah-yeah-yeah-yeah-yeah-yeah
Yeah-yeah-yeah-eh, yeah

Una noche más y copas de más
Tú no me dejas en paz, de mi mente no te vas

Aunque sé que no debo, ey
Pensar en ti, bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, oh
Aunque sé que no debo, ey
Pensar en ti, bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, ey

No me busque' en Instagram, mami, búscame en casa
Pa' que vea' lo que pasa, ey
Si tú me prueba', te casa', ey
Ese cabrón ni te abraza
Y yo loco por tocarte
Pero ni me atrevo a textearte
Tú con cualquier outfit la parte'
Mami, tú ere' aparte
Shorty, tiene' un culo bien grande, eh
De-Demasia'o grande
Y yo lo tengo estudia'o, ya mismo me gradúo
Y en la cara me lo tatúo
Vi que viste mi story y subiste una pa' mí
Yo que me iba a dormir, ey
En la disco habían mil
Y yo bailando contigo en mi mente
See Bad Bunny LiveGet tickets as low as $34You might also like
Aunque sé que no debo
Pensar en ti, bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego

Si me da' tu dirección, yo te mando mil carta'
Si me da' tu cuenta de banco, un millón de peso'
To'a la noche arrodillado a Dio' le rezo
Pa' que ante' que se acabe el año tú me de' un beso
Y empezar el 2023 bien cabrón
Contigo y un blunt
Tú te ve' asesina con ese mahón (¡Wuh!)
Me matas sin un pistolón
Y yo te compro un Banshee
Gucci, Givenchy
Un poodle, un frenchie
El pasto, lo' munchie'
Te canto un mariachi
Me convierto en Itachi, eh

Yeah-yeah-yeah-yeah
Bad Bunny, baby, bebé
Bad Bunny, baby, bebé
今日はセックスしたい
でもあなたとだけ
どこにいますか？
どこにいますか？
今日はセックスしたい
でもあなたとだけ
どこにいますか？
どこにいますか？Eh52Embed"
3,Bad Bunny - DÁKITI,"3 ContributorsTranslationsEspañolTürkçePortuguêsEnglishBad Bunny & Jhayco - DÁKITI (Deutsche Übersetzung) Lyrics

Baby, ich habe es schon erkannt, man merkt es, wenn du mich ansiehst
Dort, wo du noch nicht warst, du weißt, dass ich dich hinbringe
Und sag mir, was du trinken willst, denn du bist mein Baby
Und wer wird über uns sprechen, wenn wir uns nicht sehen lassen?

Und manchmal ist es Dolce, manchmal ist es Bulgari
Wenn ich es dir nach den Partys ausziehe
Die Weingläser, die Weed-Kilos
Du bist sehr locker, ich bin auf Safari
Du bewegst deinen Arsch phänomenal
Damit ich dich verschlinge wie ein Tier
Wenn du nicht gekommen bist, werde ich auf dich warten
In meinem Bett und werde es feiern

Baby, ich bin nicht gegen dich
Und ich gebe es dir immer
Und wenn du mich rufst, schwimmen wir in der Tiefe
Wenn es nach mir geht, geb ich's dir
Von September bis August
Und ich gebe keinen Fick darauf, was deine Freundinnen sagen
You might also like
Ich habe es schon erkannt, man merkt es, wenn du mich ansiehst
Dort, wo du noch nicht warst, du weißt, dass ich dich hinbringe
Und sag mir, was du trinken willst, denn du bist mein Baby
Und wer wird über uns sprechen, wenn wir uns nicht sehen lassen? (Folgst du mir?)

Mami, du hast mich in deinem Bann, ja
Wenn du ein Urus wärst, hättest du mich geparkt
Spaziere durch Condado, immer high mit dir
Du bist nicht meine Frau, aber
Nimm fünftausend, gib es für Sephora aus
Louis Vuitton, sie kauft nicht mehr bei Pandora ein
Wie ein Piercing sticht sie Löcher in Männer, ey-ey-ey

Vor einiger Zeit brachen sie ihr das Herz (Das Herz)
Studierte, bereit Ärztin zu werden (Ärztin)
Aber (Aber), ihr gefallen die Witzfiguren, die Wheelies auf Motorrädern machen (Motorrädern)
Ich bin alle vierundzwanzig Stunden für dich da

Baby, ich bin nicht gegen dich
Und ich gebe es dir immer (-be es dir immer)
Und wenn du mich rufst, schwimmen wir in der Tiefe(Schwimmen wir in der Tiefe)
Von September bis August
Und ich gebe keinen Fick darauf, was deine Freundinnen sagen
Ich habe es schon erkannt, man merkt es, wenn du mich ansiehst
Dort, wo du noch nicht warst, du weißt, dass ich dich hinbringe
Und sag mir, was du trinken willst, denn du bist mein Baby
Und wer wird über uns sprechen, wenn wir uns nicht sehen lassen?

Und manchmal ist es Dolce, manchmal ist es Bulgari
Wenn ich es dir nach den Partys ausziehe
Die Weingläser, die Weed-Pfunde
Du bist sehr locker, ich bin auf Safari
Du bewegst deinen Arsch phänomenal
Damit ich dich verschlinge wie ein Tier
Wenn du nicht gekommen bist, werde ich auf dich warten
In meinem Bett und werde es feiernEmbed"
4,Danny Ocean - Me Rehúso,"39 ContributorsMe Rehúso Lyrics

Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Para todos aquellos amores que, que fueron obligados a ser separados
Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Esta canción es para ti

Dime cómo le explico a mi destino que ya no estás ahí
Dime cómo haré para desprenderme de este frenesí
Esta locura que siento por ti
Con esta química que haces en mí
Y ya no puedo, girl, ya no puedo, girl

Nena discúlpame si te ilusioné yo no lo quise hacer
Sé que en el amor cuando es real ese vuelve, vuelve (Vuelve, vuelve)
Pero cómo olvidar tu piel y cómo olvidarte mujer
Ya no puedo, girl, ya no puedo, girl

Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo (Haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby
See Danny Ocean LiveGet tickets as low as $29You might also like
Sin mirar atrás, sin buscar a nadie más
Sólo quiero estar contigo, wouh
Si no te tengo aquí conmigo yo no quiero ser tu amigo
Porque tú eres mi camino, wouh
Y yo sólo quiero estar junto a ti
Nena, por favor entiéndelo
Sólo dame tu mano y confía en mí
Si te pierdes sólo sigue mi voz
Y dale tiempo (Tiempo), mami, al tiempo (Tiempo)
Que tú, que yo, estamos hechos para estar los dos
Y dale tiempo (Tiempo), baby, al tiempo (Tiempo)
Que tú y yo, que tú y yo
Estamos hechos para estar los dos

Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo (Haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby
Baby, no
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta, baby
Así, así, así como te gusta, baby

Baby no
Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta baby
Y baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así
Así como te gusta baby21Embed"
5,"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52","1 ContributorNew Music Friday 07/08/22 LyricsBurna Boy - For My Hand (feat. Ed Sheeran)
The 1975 - Part Of The Band
Brent Faiyaz - ALL MINE
Fivio Foreign - Paris to Tokyo
TINI - La Loto
Blackbear - the idea
Joey Bada$$ - Survivors Guilt
Kygo - Lost Without You (with Dean Lewis)
Alvvays – Pharmacist
Kota the Friend - SOHO HOUSE (feat. Hello O'shay)
Chris Brown – Petty
Zoe Wees - Third Wheel
Murda Beatz - NO MÁS (feat. Quavo, J. Balvin, Anitta, and Pharrell)
Killer Mike - RUN 
Dillon Francis - Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA)
Ciara - JUMP (feat. Coast Contra)
Rei brown – Solar
JID - 29 (Freestyle)
Doechii - Bitch I'm Nice
Aespa – Girls
DNCE - Got Me Good
King Princess - Change the Locks
SG Lewis - Missing You
Nancy Ajram - Sah Sah
SiR - Life Is Good (feat. Scribz Riley)
Yo Gotti – Steppers
Yuna - Risk It All
Bring Me The Horizon – sTraNgeRs
James Bay - Save Your Love
Keith Urban - Brown Eyes Baby
Hotboii - Live Life Die Faster (with Kodak Black)
Key Glock – Diapers
Ken Carson - The End
Brakence - venus fly trap
Easy life – OTT
Renforshort - hate the way you love me
AURORA - The Devil Is Human
Tyga - Ay Caramba
French Montana - I Got A Feeling
Loud Luxury - These Nights
Emotional Oranges – Bounce
Cuco – Aura
Wet - Turn the Lights Down Low
$NOT - MS PORTER (feat. Night Lovell)
NLE Choppa - In The UK
AUGUST 08 - Water Sign (with Jhené Aiko)
Pitbull - Café Con Leche
Devon Cole - W.I.T.C.H
MASN – Adrenaline
Noah Kahan - Stick Season
Sipper - pretty funny
Madeline The Person - Why I Broke Up With You
Tyler Rich - Thinkin' We're In Love
Kameron Marlowe - We Were Cowboys
DOMi & JD BECK - TAKE A CHANCE (feat. Anderson .Paak)
SSGKobe - (N) INE
Westside Gunn - Derrick Boleman
PGF Nuk - Not Opps (feat. EST Gee)
Midwxst – broken
Arden Jones - 4 walls (with Sarcastic Sounds)
Mckenna Grace - Post Party Trauma
ELIO - 9 Lives
Låpsley - 32 Floors
Hope Tala - Is It Enough
Paris Texas - cyanide (feat. cryogeyser)
YBN Nahmir – Bows
Tendai – Pressure
Metric - False Dichotomy
Giant Rooks - Morning Blue
TobyMac - Everything About You (feat. Marlee)
ENHYPEN - Future Perfect (Pass the MIC)
Bizarrap & Quevedo - Bzrp Music Sessions, Vol. 52
Oliver Sim – GMT
Summet - rationality // faith☑️
Chri$tian Gate$ - Dangerous State of Mind
NIKI - Oceans & Engines
Sydney Rose - Cutting Corners
Watkins Family Hour - (Remember Me) I'm the One Who Loves You
FLO – Immature
BRS Kash - Mad At Her ☑️
Metro Marrs - Violence🐚
CHAI - HERO JOURNEY (feat. Superorganism)
Julien Baker – Guthrie
Loyle Carner – Hate
Danny Ocean – Volare
Tye Tribbett - We Need You
Zeina - Give Me Time
Mallory Merk - Isolate Myself
Laura Marano - Smoke Alarm
Temecula Road - Heartbreak In Boots
Muscadine Bloodline - Me On You
She loves boon - feel the feeling☑️
Bathe Alone - Once More
Badda TD - Put In Work (feat. Dusty Locane)🐚
NoSo - Man Who Loves You
Bear's Den - A Good Love, Pt. 2
Clara Lars - Don't Leave
Phoebe Go - The KidYou might also likeEmbed"
6,Cris Mj - Una Noche en Medellín,"8 ContributorsUna Noche en Medellín Lyrics

Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym

Te voy a hacerte completa
'Tá buscando que yo le meta
Ya llegamo' a la meta
Ahora nadie aprieta
Y ahí me puse las Balenciaga
Mami, no te haga', vente pa'cá, tú ere' brava
Me gusta porque ere' malvada
No está operada y así mata las mirada'
Y me ayuda a contar billete'
Saca su juguete, to' ya saben que le mete
Tú sabe', no ando al garete
Encima mío te quito el brazalete
See Cris Mj LiveGet tickets as low as $59You might also like
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym

Si tú quiere' yo te pago el gym
Te llevo al Mandarín y te hago blin-blin
Mi iPhone suena ""ring, ring""
Me está llamando el dinero fácil, goteando mi drip
Esa gata lo que busca e' guayeteo, fumeteo
Que yo me la robe y formemo' el partyseo
A mí me gusta el rebuleo, a ti te gusta el bellaqueo
Como yo a ti te leo, así que toma guaracheo
Que si yo me enre'o y ahora mismo te volteo, ma'
Tú ere' la única que sabe mis deseo'
A ti yo no te bromeo
Baby, hagámoslo sin miedo (Brr)

Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym
Ey, ey
Cris Mj, el má' que suena
Pa' que sepa'
Dímelo, Fran C in the beat
Matando a lo' má' lechón
Prra
Perreo pa' que lo bailen
Fran C in the beat
Ya saben qué lo que
Stars Music2Embed"
7,Jhayco - No Me Conoce - Remix,"1 ContributorTranslationsEspañolEnglishJhayco, J Balvin & Bad Bunny - No Me Conoce (Remix)  Lyrics

(Sie tut so, als würde sie mich nicht kennen
Aber in meinem Bett wurde sie eine Sucht wie die 5-12)
(Yeh-yeh-yeh-yeh; kannst du mir folgen?)
Sie lässt sich nie sehen (Sie lässt sich nie sehen; ¡no!)
Sie weiß, wie man es vertuscht (Sie weiß, wie man es vertuscht)
Sie hat eine Beziehung und es läuft gut
Aber nachts bei mir, da benimmt sie sich gerne daneben (Wuh-huh!)
Sie kommt und was sie tun will ist sündigen, eh (Ayy)
Sie ist bereit, geil zu werden, eh (Die Präzision)
Ich halte sie nicht auf, und manchmal schaut sie sich seltsam um (Rrra!)

Sie tut so als würde sie mich nicht kennen (Als würde sie mich nicht kennen; nein, nein, nein)
Aber in meinem Bett wurde sie eine Sucht wie die 5-12 (Wie die 5-12)
Ich fresse sie voll auf und niemand findet es heraus
Ein paar Freunde (Ein paar Freunde; wuh-huh)
Alle Single, sie passen immer auf sie auf, damit sie weitermacht (sie weitermacht)
Sie tut so als würde sie mich nicht kennen (Als würde sie mich nicht kennen)
Aber in meinem Bett wurde sie eine Sucht wie die 5-12 (Wie die 5-12)
Wir lieben uns ausgiebig und niemand findet es heraus
Ein paar Freunde (Kannst du mir folgen?)
Alles Singles, sie passen immer auf sie auf, damit sie weitermacht
You might also like
Huh-huh, eh
Wenn Blicke töten könnten, deines hat mich geliebt (Eh)
Du siehst aus als wärst du high
Sie tötet mit einem Kleid und wenn sie sich zum Sport anzieht (Wuh)
Sie hat den Hintern XL, aber sie benutzt kleine Höschen
Einige, die ihrem Druck nicht standhalten können und sie blockieren, eh
Ein paar Psychos, die ihr nachstellen (Eh)
Sie hängt nicht auf der Straße rum, aber sie wird unterstützt (Nein)
Das Mädchen ist wirklich heiß, ich glaube, sie wird gehackt (Eh), eh
Klein aber oho, gute Noten am College, eh
Ein gutes Mädchen, man sieht es (Eh, eh), aber der Rausch lässt sie explodieren und (Ayy)

Sie tut so als würde sie mich nicht kennen (Als würde sie mich nicht kennen; nein, nein, nein)
Aber in meinem Bett, habe ich es ihr auf allen Vieren und in allen Stellungen gegeben (In allen Stellungen), eh
Ich verschlinge sie völlig, niemand findet es heraus
Mit ein paar Freunden (Mit ein paar Freunden; wuh-huh)
Alle alleinstehend, sie passen immer auf sie auf, damit sie weitermacht (Damit sie weitermacht; eh, eh-eh, eh)
Sie tut so als würde sie mich nicht kennen (Als würde sie mich nicht kennen; nein, nein, nein)
Aber in meinem Bett wurde sie eine Sucht wie die 5-12 (Wie die 5-12)
Ich esse sie voll und niemand findet es heraus, ein paar Freunde (Komm schon)
Alle alleinstehend, sie passen immer auf sie auf, damit sie weitermacht
(damit sie weitermacht; kannst du mir folgen?)

Sie ruft mich an, damit ich sie ausprobieren kann und (Yah)
Wenn ich sie berühre, regnet es da drüben (-ns da drüben)
Sie hat sich angezogen und ich habe sie ausgezogen (Ja)
Sie sagt nie: ""Nein"", sie sagt immer: ""Ja"" (Wuh)
Wenn sie tanzen will, peitscht der Dembogen sie (Was?)
Sie wird verrückt
Was sie tun will, ist ihr Haar (Wuh), und sich in Ordnung bringen (Wuh)
Sie kommt in den Club, um sich auszutoben (Ah)
Ob sie mich kennt, sagt sie: ""Nein"", aber sie weiß genau, dass sie mich kennt
Sie mischt es mit Alkohol, wie damals, als ich es ihr gab
In allen Positionen fragt man sie, und sie sagt: ""Ich weiß es nicht""
Bei Kontakten hat sie ""José"", und immer nach 11 oder 12 Uhr
Sie macht mich an, damit ich sie probieren kann
Sie macht sich parfümiert und ich mag, wie es riecht (Wie es riecht)
Privat auf Instagram, damit niemand über sie wacht
Sie hat sich hübsch gemacht, weil sie weiß, dass es heute ums Trinken geht
Benimmt sich daneben, um sich gut zu fühlen (Gut)
Sie wollte nicht rauchen, aber sie hat den Stift gedrückt (Ja)
Eine Barbie, aber sie sucht nicht nach einem Ken (Nein)
Ich gehe immer rüber, wenn sie sagt: ""Komm""
Um sich schlecht zu benehmen, zieht sie sich gut an (Gut)
Sie sagt die Wahrheit und manchmal lügt sie auch
Schalte die Benachrichtigungen auf dem Telefon aus
Sie hat eine Beziehung, aber heute will sie ficken

Ich hab's ihr auf den Hintern gegeben
Ich füllte ihren Hals mit Küssen
Ich habe als Gefangener gesessen
Wenn du sie siehst, sprich nicht mit ihr darüber, denn

Sie tut so als würde sie mich nicht kennen (Als würde sie mich nicht kennen)
Aber in meinem Bett wurde sie eine Sucht wie die 5-12 (Wie die 5-12)
Ich esse sie komplett auf und niemand findet es heraus
Ein paar Freunde (Ein paar Freunde)
Alle Single, sie passen immer auf sie auf, damit sie weitermacht (Sie macht weiter; ah, ah, ah)
Sie tut so, als würde sie mich nicht kennen (Als würde sie mich nicht kennen)
Aber in meinem Bett wurde sie eine Sucht wie die 5-12 (Wie die 5-12)
Ich esse sie voll aus, niemand findet es heraus
Ein paar Freunde (Ein paar Freunde)
Alle alleinstehend, sie passen immer auf sie auf, damit sie weitermacht
(Damit sie weitermacht; kannst du mir folgen?)
(J Balvin, man; eh)
Yo, wie geht's Balvin?
Bad Bunny
Latino-Gang
Kannst du mir folgen?
Die Präzision
Jhayco, Jhay Cortez
Jhayco, Jhay Cortez, eh (Oasis-Team)
Bad Bunny (Eh)
Na, na, na, Bad Bunny und J Balvin
(Yeh-yeh-yeh-yeh
Bad Bunny, Baby-Baby)
(Jhay Cortez)
Nichts, es wird nicht an euch liegen (Bad Bunny, baby-baby, eh-eh-eh)
Kannst du mir folgen oder kannst du mir noch nicht folgen?
Ich denke, dass du es tust
Wenn Mvsis noch einmal so einen Beat spielt, werde ich wieder hart drauf sein, was ist passiert? Haha
Oasis, Oasis
Das TrioEmbed"
8,Bad Bunny - Callaita,"1 ContributorBad Bunny Callaita (Remix) LyricsUh

Summer-vibe reminisce the summer-time
Cause I know these past few days haven't been so nice
Trying to meet my expectations but they don't suffice
Feel like quitting but I owe it to myself to try
A different technique, new flow same beat
Promise you it's still heat, opposite of obsolete
Yo Michael don't you copy me, nah chill you know I body beats
Give myself a breather cuz I know you'd rather hear me speak
Spanish so fluently, this is what influence me
Latin sounds with R&B and all these sounds regarding me but
Pardon me, I've hardly seen the payoff of what's a part of me
Still watering my gardening, my inner roots are hardening
And begging to be news now, on the come up we don't lose now
In the maxima we cruise out, ain't no way we gonna snooze now
Gotta press the gas and zoom out, get me out of this shit
Bored of rapping in English so we gon-go ahead and switch like
El no fue asi, el no fue asi no se que lo cambio
El no fue asi, el no fue asi no se que lo cambio
Pero, I know I'm on my grind just like a mocajete
Porque quiero que la gente me respete por mi arte solo gracias a Dios
Que tengo el apollo de mi gente, saludos a J Balvin
""no la crean inocente"" Como dice El Bad Bunny pero tampoco yo
Y no lo digo por presumir, pero simplemente eso ser mi
En el party divertid y en sol a sonreir porque eso es vivir
De la via, la bebida, la amiga y el amigo pinche Onomatopoeia
Como formo esta rima, tan caliente que te cambio yo el clima
Y me hecho todo ensima, dame hate, dame like, dame lo que usted
Opina de El MIC ON MIC, shit I'm gon be alright, partying all night
Getting lit we hype, ain't no worry in sight, letting loose on each verse. Cause when it comes to being quite man you know that I'm the worse C'mon
E E E E E El no es Callaito pero pa la musica es vivo y lo se
Tienes que ver lo vivo, como no me olvido quien el es
El no es Callaito pero pa la musica es vivo y lo se
Tienes que ver lo vivo, como no me olvido quien el es
Inolvidable cuz I always leave my mark, grind during the day party in the dark. Dejo traigo una botella pa que me la beba
Solo los Losers se van pa la escuela
Si ay sol ay playa
Si ay playa ay shows
Si ay shows ay oportunidades para mi
Si ay sol ay playa
Si ay playa ay shows
Si ay shows ay oportunidades para mi
Noche de luces vamos a ir , voy hacer todo para salir
A los que me odian voy a convertir, sus malas vibras a una sonrisa
Yea aye , this the remix c'mon, yea yea take it home
Shout out Bad Bunny, MIC ON MIC c'mon, Latin shit right hereYou might also likeEmbed"
9,J Balvin - LA CANCIÓN,"2 ContributorsNew Music Friday 06/28/19 LyricsEd Sheeran - Beautiful People (feat. Khalid)
Daniel Caesar - LOVE AGAIN
Chris Brown - Don't Check On Me (feat. Justin Bieber & Ink)
The Black Keys - Walk Across The Water
Ellie Goulding - Hate Me (with Juice WRLD)
J Balvin - QUE PRETENDES
Mustard - Ballin' (feat. Roddy Ricch)
Rich Brian - Yellow (feat. Bekon)
mxmtoon - high & dry
Kygo - Higher Love
H.E.R. - Racks (feat. YBN Cordae)
Daniel Caesar - SUPERPOSITION
Julia Michaels - Hurt Again
BENEE - Glitter
Marshmello - Room to Fall
Carnage - Wait For Me (feat. G-Eazy & Wiz Khalifa)
Delacey - The Subway Song
Grace VanderWaal - Ur So Beautiful
Joyner Lucas - Broke and Stupid
BTS - Heartbeat (BTS World Original Soundtrack)
NF - When I Grow Up
Clairo - Closer To You
Conan Gray - Checkmate
Evie Irie - Bitter
Red Hearse - Red Hearse
Vampire Weekend - I'm Goin' Down - Recorded at Electric Lady Studios NYC
Annie Hamilton - Kitchen
serpentwithfeet - Receipts (feat. Ty Dolla $ign)
Daniel Caesar - FRONTAL LOBE MUZIK
Chris Brown - Need A Stack
Freddie Gibbs - Palmolive feat. Pusha T. & Killer Mike (feat. Pusha T & Killer Mike)
Daddy Yankee - Si Supieras
J Balvin - LA CANCIÓN
G-Eazy - Spectacular Now
Céline Dion - Flying On My Own
Why Don't We - Come To Brazil
Andy Grammer - Some Girl
Ingrid Michaelson - Young and in Love
Leah Kate - Girl on Girl
Chris Lane - Big, Big Plans
Brittany Howard - History Repeats
Thom Yorke - I Am a Very Rude Person
Lucy Dacus - Forever Half Mast
Liam Gallagher - The River
Juicy J - Three Point Stance (feat. City Girls & Megan Thee Stallion)
Rich The Kid - Party Bus
Fat Joe - Pullin
Phora - Forgive Me
Neck Deep - She's A God
Bring Me The Horizon - mother tongue - Recorded at Spotify Studios NYC
Furious Monkey House - Echoes
Sasha Sloan - Dancing With Your Ghost
Tori Kelly - Sorry Would Go A Long Way
Yuna - Pink Youth
Trixxie - All Of My Life
CNCO - De Cero
Big K.R.I.T. - Addiction (feat. Lil Wayne & Saweetie)
Mez - Upset
A$AP Ferg - Wigs (feat. City Girls & ANTHA)
Lil Yachty - Go Krazy, Go Stupid Freestyle
Bhad Bhabie - Get Like Me (feat. NLE Choppa)
Kevin Gates - Push It
Baby Rose - All To Myself
Marlhy - Claustrophobic
Adam Lambert - Comin In Hot
Kassi Ashton - Field Party
JP Saxe - Same Room
Meghan Trainor - Hurt Me - From ""Songland""
Johnta Austin - Love Angel
Ty James - Heartbreak City
Slushii - Far Away
Caravan Palace - Plume
ayokay - Things Fall Apart
Boston Bun - Don't Wanna Dance
Alok - The Wall
K.Flay - Not In California
Silverstein - Burn It Down
Korn - You'll Never Find Me
Jeremy Renner - Heaven Don't Have a Name
Digital Farm Animals - Without You Now (feat. AJ Mitchell)
Kim Petras - Icy
Wifisfuneral - WYA, Pt. 2
Landon Cube - 17
RIZ LA VIE - Saturn
Michael Brun - Eda
Conor Maynard - Hate How Much I Love You
Stanaj - Love Me
Gigi Cesare - Obsessed
Felix Jaehn - Love On Myself
Global Dan - Runaway
Runaway June - We Were Rich
Josie Dunne - Ooh La La
Njomza - No One Is Spared
Frawley - Losers
Isle Of You - Hard to Forget
Ajani Jones - Lucid
Zero - Aim Steady
Jaydayoungan - Dead Man Walking
Foley - Can't Help the WayEmbed"
