,artist_title,lyrics
0,J Balvin - LA CANCIÓN,"2 ContributorsNew Music Friday 06/28/19 LyricsEd Sheeran - Beautiful People (feat. Khalid)
Daniel Caesar - LOVE AGAIN
Chris Brown - Don't Check On Me (feat. Justin Bieber & Ink)
The Black Keys - Walk Across The Water
Ellie Goulding - Hate Me (with Juice WRLD)
J Balvin - QUE PRETENDES
Mustard - Ballin' (feat. Roddy Ricch)
Rich Brian - Yellow (feat. Bekon)
mxmtoon - high & dry
Kygo - Higher Love
H.E.R. - Racks (feat. YBN Cordae)
Daniel Caesar - SUPERPOSITION
Julia Michaels - Hurt Again
BENEE - Glitter
Marshmello - Room to Fall
Carnage - Wait For Me (feat. G-Eazy & Wiz Khalifa)
Delacey - The Subway Song
Grace VanderWaal - Ur So Beautiful
Joyner Lucas - Broke and Stupid
BTS - Heartbeat (BTS World Original Soundtrack)
NF - When I Grow Up
Clairo - Closer To You
Conan Gray - Checkmate
Evie Irie - Bitter
Red Hearse - Red Hearse
Vampire Weekend - I'm Goin' Down - Recorded at Electric Lady Studios NYC
Annie Hamilton - Kitchen
serpentwithfeet - Receipts (feat. Ty Dolla $ign)
Daniel Caesar - FRONTAL LOBE MUZIK
Chris Brown - Need A Stack
Freddie Gibbs - Palmolive feat. Pusha T. & Killer Mike (feat. Pusha T & Killer Mike)
Daddy Yankee - Si Supieras
J Balvin - LA CANCIÓN
G-Eazy - Spectacular Now
Céline Dion - Flying On My Own
Why Don't We - Come To Brazil
Andy Grammer - Some Girl
Ingrid Michaelson - Young and in Love
Leah Kate - Girl on Girl
Chris Lane - Big, Big Plans
Brittany Howard - History Repeats
Thom Yorke - I Am a Very Rude Person
Lucy Dacus - Forever Half Mast
Liam Gallagher - The River
Juicy J - Three Point Stance (feat. City Girls & Megan Thee Stallion)
Rich The Kid - Party Bus
Fat Joe - Pullin
Phora - Forgive Me
Neck Deep - She's A God
Bring Me The Horizon - mother tongue - Recorded at Spotify Studios NYC
Furious Monkey House - Echoes
Sasha Sloan - Dancing With Your Ghost
Tori Kelly - Sorry Would Go A Long Way
Yuna - Pink Youth
Trixxie - All Of My Life
CNCO - De Cero
Big K.R.I.T. - Addiction (feat. Lil Wayne & Saweetie)
Mez - Upset
A$AP Ferg - Wigs (feat. City Girls & ANTHA)
Lil Yachty - Go Krazy, Go Stupid Freestyle
Bhad Bhabie - Get Like Me (feat. NLE Choppa)
Kevin Gates - Push It
Baby Rose - All To Myself
Marlhy - Claustrophobic
Adam Lambert - Comin In Hot
Kassi Ashton - Field Party
JP Saxe - Same Room
Meghan Trainor - Hurt Me - From ""Songland""
Johnta Austin - Love Angel
Ty James - Heartbreak City
Slushii - Far Away
Caravan Palace - Plume
ayokay - Things Fall Apart
Boston Bun - Don't Wanna Dance
Alok - The Wall
K.Flay - Not In California
Silverstein - Burn It Down
Korn - You'll Never Find Me
Jeremy Renner - Heaven Don't Have a Name
Digital Farm Animals - Without You Now (feat. AJ Mitchell)
Kim Petras - Icy
Wifisfuneral - WYA, Pt. 2
Landon Cube - 17
RIZ LA VIE - Saturn
Michael Brun - Eda
Conor Maynard - Hate How Much I Love You
Stanaj - Love Me
Gigi Cesare - Obsessed
Felix Jaehn - Love On Myself
Global Dan - Runaway
Runaway June - We Were Rich
Josie Dunne - Ooh La La
Njomza - No One Is Spared
Frawley - Losers
Isle Of You - Hard to Forget
Ajani Jones - Lucid
Zero - Aim Steady
Jaydayoungan - Dead Man Walking
Foley - Can't Help the WayEmbed"
1,Bad Bunny - Me Porto Bonito,"33 ContributorsTranslationsEnglishDeutschFrançaisMe Porto Bonito Lyrics

Yeah-yeah-yeah-yeah-yeah-yeah, ey
En la guagua se quedó el olor de tu perfume
Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une
Ella sabe que está buenota y no la presumen
Si yo fuera tu gato, subiera una foto los vierne' y los lune' (So)

Pa' que to' el mundo vea lo rica que tú está', que tú está'
Contigo tengo que apretar
Y еn la calle ando suelto, pero por ti mе quito
Si tú me lo pide', yo me porto bonito
Y subo un selfie pa' que vean lo rica que tú está', que tú está'
Las otras tienen que apretar
En la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito (Ey, ey)

Tú no ere' bebecita, tú ere' bebesota
Frikitona, ma', se te nota
Le gustan los trío' cuando está en la nota
Si el novio no sirve, de una lo bota
Y wow, mami, dime dónde dejo el résume (Résume)
Sé que te dejaste hace un me' (Ey, ey)
Y de una de pecho me zumbé
Si quiere' te hago un bebé o te traigo la plan B
Uff, mami, qué rica tú te ve'
Pa' los 2000 escuchaba RBD
Y ahora quiere perreo, to'a la noche en la pared
THC, no CBD
You might also like
Mami, tú ere' élite (Ey), no te me limite' (Okey)
Déjame hacerte lo que amerite y te levite
Dale pa'l escondite (Ey), no te me arisque' (So)
Que aquí no va a poder llegar lo' satélite' (Oh)
Mami, sube algo, dame contenido
Ese culo súbelo má' seguido
Me paso jangueando, a ver si coincido, ey
Y por fin doy contigo
Mai, nuestra' bellaquera' nunca la' olvido
Ninguna como tú a mí me ha complacido
Tú cree' que a toda' siempre les digo lo mismo
Quiere chingar, pero no quiere na' fijo, ey
Pero en confianza me confiesa
Dice que nadie le interesa
Pero cuando sale, se pone traviesa (Ey)

Pa' que to' el mundo vea lo rica que tú está', que tú está', ey
Contigo tengo que apretar
Y en la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito8Embed"
2,Manuel Turizo - La Bachata,"2 ContributorsTranslationsEspañolDeutschManuel Turizo - La Bachata (English Translation) Lyrics
I blocked you from Insta, but I watch your stories from a different account (Oh-oh-oh)
I deleted your number; I don't know why, I know it by heart
You hurt me and I still miss you
And although I know I'll forget you someday
I still don't, it's complicated
I like to remember everything we did

I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

To protect me from someone that's just like you
I don't want to fall like I did for you
I hope you fall in love, so they do to you what you did to me
You taught me not to love just anyone
And how I don't want to be loved
No-oh-oh, we were three in a relationship of two
I don't forgive you, ask God for forgiveness
I said I forgot you and the truth is I, oh-oh
I, oh-oh
You might also like
I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

Manuel TurizoEmbed"
3,Bad Bunny - Ojitos Lindos,"7 ContributorsTranslationsEspañolDeutschItalianoBad Bunny & Bomba Estéreo - Ojitos Lindos (English Translation) Lyrics
I have listened to my heart for a long time
And the days and months pass, thinking of your smell (Your smell, your smell)
The time has come to start reasoning
Before it's too late and I accidentally break in half (Break in half)

Before the sun comes up, step on the gas
Even if you don't have a brake and lose control
It'll only be us two, you and I caressing each other
In the midst of time, not saying goodbye

And just look at me with those pretty eyes
'Cause with that, I am finе, today I have been reborn

I haven't hеld somebody's hand in a while
I haven't sent a ""Good morning, I love you"" in a while
But you've got me entangled, I got involved
I was on my own way and I got lost (Ayy, ayy)
My gaze changed when I saw your eyes (Your eyes)
Bye-bye to the booties, I didn't even say goodbye to them
I didn't look for you, no, we bumped into each other through our path
Your soul is the one I connect with (Street)
Stay calm, it doesn't have to be perfect, no
There are no sins here and making mistakes is beautiful
Mistakes are pleasures, just like all your little kisses
You might also like
And just look at me with those pretty eyes
'Cause with that I am fine, today I have been reborn
And just look at me with those pretty eyes
'Cause with that I am fine, today I have been reborn

You and I, you and I, you and I
You and I, you and I
You and I, you and I, you and I
You and I, you and I
You and I, you and I
You and I, you and I

I don't allow myself to be carried away
I only get carried away by your smile
And the mole near your lips
If I'm crazy, you're crazier
But baby, there's nobody like you, no
I want to give you sunflowers
Go to the beach and get seashells for you
When I'm with you, I don't look at the Role'
Let's dance to two hundred songs
Nobody turns me on the way you do
Mm-mmm, mm-mmm-mmm-mmm
Mm-mmm, mm-mmm-mmm-mmm
I talk to God and you are his answer
I learned that pretty moments are priceless
Like when you gift me your gaze
And the sun its setting and the sun its setting
Hey, hey, when I'm on top of you, of you
Mami, I forget everything, everything
Nobody is needed here, just you and me
Before the sun comes up, step on the gas
Even if you don't have a brake and lose control
It'll only be us two, you and I caressing each other
In the midst of time, not saying goodbye

And just look at me with those pretty eyes
'Cause with that I am fine, today I have been reborn
And just look at me with those pretty eyes
'Cause with that I am fine, today I have been rebornEmbed"
4,Bad Bunny - Efecto,"9 ContributorsTranslationsEspañolDeutschItalianoBad Bunny - Efecto (English Translation) Lyrics
Yeah-yeah-yeah-yeah-yeah-yeah
Eh-eh-eh-eh

I don't know if it's a coincidence that I feel this way
Every time you're close to me
Tell me what you did to me, what drug did you give me
'Cause I haven't been the same ever since that night
You look at me and I start sweating
I feel like I can fly

Baby, the high is starting to kick in
My world is fucked up and I feel perfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight
Bеcause the high is starting to kick in
My world is fucked up and I feel pеrfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight

Not this one, this one
Not this one, this one
Not this one, this one
Not this one, this one
You might also like
That man of yours lost you due to negligence
And I don't believe in abstinence
Tonight in bed there'll be turbulence
How good you suck on it, I'll give you permanency
That pussy is the eminence
I have a license to give it to her
Ever since we went to Florence
She got meaner, but she hasn't lost her essence
No, no, from Carola
No, no, no, she's not alone
No, no, don't say ""Hi"" to her
Or you'll be another one in line
I like your attitude
I'm fan of that pussy (Mwah, mwah)
Besides the weed, the Xanax, the coke and the molly (Nothing else)
You're the one that controls me, ah (Ayy, hehe)

In your eyes I see the sea, mami, carry me in your wave (You're reckless)
Today I feel like a slut, so good, ayy

Because the high is starting to kick in
My world is fucked up and I feel perfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight1Embed"
5,Danny Ocean - Me Rehúso,"39 ContributorsMe Rehúso Lyrics

Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Para todos aquellos amores que, que fueron obligados a ser separados
Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Esta canción es para ti

Dime cómo le explico a mi destino que ya no estás ahí
Dime cómo haré para desprenderme de este frenesí
Esta locura que siento por ti
Con esta química que haces en mí
Y ya no puedo, girl, ya no puedo, girl

Nena discúlpame si te ilusioné yo no lo quise hacer
Sé que en el amor cuando es real ese vuelve, vuelve (Vuelve, vuelve)
Pero cómo olvidar tu piel y cómo olvidarte mujer
Ya no puedo, girl, ya no puedo, girl

Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo (Haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby
See Danny Ocean LiveGet tickets as low as $29You might also like
Sin mirar atrás, sin buscar a nadie más
Sólo quiero estar contigo, wouh
Si no te tengo aquí conmigo yo no quiero ser tu amigo
Porque tú eres mi camino, wouh
Y yo sólo quiero estar junto a ti
Nena, por favor entiéndelo
Sólo dame tu mano y confía en mí
Si te pierdes sólo sigue mi voz
Y dale tiempo (Tiempo), mami, al tiempo (Tiempo)
Que tú, que yo, estamos hechos para estar los dos
Y dale tiempo (Tiempo), baby, al tiempo (Tiempo)
Que tú y yo, que tú y yo
Estamos hechos para estar los dos

Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo (Haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby
Baby, no
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta, baby
Así, así, así como te gusta, baby

Baby no
Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta baby
Y baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así
Así como te gusta baby21Embed"
6,Grupo Frontera - un x100to,"1 ContributorNew Music Friday 04/21/23 LyricsGrupo Frontera - un x100to
The Weeknd - Double Fantasy (with Future)
Ed Sheeran - Boat
Latto - Put It On Da Floor
Moneybagg Yo - Motion God
Kim Petras - Alone (with Nicki Minaj)
Christine and the Queens - True love (feat. 070 Shake)
Foo Fighters - Rescued
MUNA - One That Got Away
YoungBoy Never Broke Again - What You Say (feat. Post Malone & The Kid LAROI)
The Chainsmokers - Up & Down
Tiësto - Chills (LA Hills)
Chris Lake - Beggin'
Feid - Niña Bonita
The Kid LAROI - WHERE DOES YOUR SPIRIT GO?
iann dior - start again
Arlo Parks - Blades
Bree Runway - Be The One (with Khalid)
Peso Pluma - Rosa Pastel
Bebe Rexha - Satellite
Florence + Thе Machine - Mermaids
AJR - The Dumb Song
Agust D - Haеgeum
Q - UNDERSTAND (feat. Baby Rose)
Mac DeMarco - 20200817 Proud True Toyota
Old Dominion - I Should Have Married You
Jackson Wang - Slow (with Ciara)
Rita Ora - Praising You (feat. Fatboy Slim)
Iniko - Jericho
VIC MENSA - $WISH ft. G-Eazy and Chance The Rapper
Armani White - SILVER TOOTH. (with A$AP Ferg)
Olamide - Trumpet
Joy Oladokun - Taking Things For Granted
Gus Dapperton - Don't Let Me Down
corook - if i were a fish (feat. Olivia Barton)
Sofi Tukker - Jacaré
Goth Babe - Alone in the Mountains
Alanis Morissette - You Oughta Know (feat. Ingrid Andress, Lainey Wilson, Madeline Edwards, Morgan Wade) - Spotify Singles
Morgan Evans - Hey Little Mama
Nicki Nicole - qué le pasa conmigo?
DDG - I'm Geekin
Swizz Beatz - Say Less (feat. Lil Durk & A Boogie Wit da Hoodie)
Belly - American Nightmare
Ari Abdul - You
Dreamer Isioma - Gimmie A Chance
joan - superglue
Madison Ryann Ward - A New Thing🕒
The Japanese House - Sad to Breathe
it's murph - Youthful Kids
Godly the Ruler - revenge
Yng Lvcas - Perdonémonos
Tee Grizzley - B&E Pt. 1
Mike Dimes - OFF THE PORCH (feat. BigXthaPlug & Maxo Kream)
Jack Kays - Highlight Reel
Sleep Token - DYWTYLM
The Band CAMINO - What Am I Missing?
Barns Courtney - Golden
Verzache - Never Gets Old☑️
JON VINYL - No Feelings
Peezy - FW That
Killer Mike - Don't Let The Devil (Feat. thankugoodsir)
Wisin - MI EXXX
Rudimental - Dancing is Healing
SBTRKT - L.F.O.
New West - in my city
PawPaw Rod - Is It Magic?
Roy Woods - Young Boy Problems
Astrid S - Darkest Hour
Thomas Day - MASOCHIST
Madelline - dopamine
JORDY - Good Not Great
IDK - Mr. Police
redveil - captain
Sam Austins - Oatmeal Pancakes
bludnymph - Watch Me
Charlotte de Witte - High Street - Edit🐚
Spiritbox - The Void
Rancid - Tomorrow Never Comes
Mas Musiq - Nini Nannini feat. Daliwonga & Howard Gomba🕒
Heembeezy - Beat The Yacci (feat. Blueface & Mike Crook)🐚
Kid Ink - LTW☑️
Kim Loaiza - Kitty
Rodrigo y Gabriela - True Nature
The Last Dinner Party - Nothing Matters
Leith Ross - Music Box
St. Paul & The Broken Bones - Oporto-Madrid Blvd
Hunter Hayes - Feelings
Tenille Townes - Home to Me
Frawley - Crying My Eyes Out
Wrabel - feel it now (alive)
Superviolet - Dream Dating
George FitzGerald - Mother
The Used - Numb
Bella White - Numbers
Nep - Rocket Ship
Loren Gray - Enough For You
sophie meiers - okay w/ that
Dave Matthews Band - Monsters
Buju Banton - High Life
PGF Nuk - The NextEmbed"
7,Bad Bunny - Yonaguni,"52 ContributorsTranslationsDeutschEnglishYonaguni Lyrics

Yeah-yeah-yeah-yeah
Yeah-yeah-yeah-yeah-yeah-yeah
Yeah-yeah-yeah-eh, yeah

Una noche más y copas de más
Tú no me dejas en paz, de mi mente no te vas

Aunque sé que no debo, ey
Pensar en ti, bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, oh
Aunque sé que no debo, ey
Pensar en ti, bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, ey

No me busque' en Instagram, mami, búscame en casa
Pa' que vea' lo que pasa, ey
Si tú me prueba', te casa', ey
Ese cabrón ni te abraza
Y yo loco por tocarte
Pero ni me atrevo a textearte
Tú con cualquier outfit la parte'
Mami, tú ere' aparte
Shorty, tiene' un culo bien grande, eh
De-Demasia'o grande
Y yo lo tengo estudia'o, ya mismo me gradúo
Y en la cara me lo tatúo
Vi que viste mi story y subiste una pa' mí
Yo que me iba a dormir, ey
En la disco habían mil
Y yo bailando contigo en mi mente
See Bad Bunny LiveGet tickets as low as $34You might also like
Aunque sé que no debo
Pensar en ti, bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego

Si me da' tu dirección, yo te mando mil carta'
Si me da' tu cuenta de banco, un millón de peso'
To'a la noche arrodillado a Dio' le rezo
Pa' que ante' que se acabe el año tú me de' un beso
Y empezar el 2023 bien cabrón
Contigo y un blunt
Tú te ve' asesina con ese mahón (¡Wuh!)
Me matas sin un pistolón
Y yo te compro un Banshee
Gucci, Givenchy
Un poodle, un frenchie
El pasto, lo' munchie'
Te canto un mariachi
Me convierto en Itachi, eh

Yeah-yeah-yeah-yeah
Bad Bunny, baby, bebé
Bad Bunny, baby, bebé
今日はセックスしたい
でもあなたとだけ
どこにいますか？
どこにいますか？
今日はセックスしたい
でもあなたとだけ
どこにいますか？
どこにいますか？Eh52Embed"
8,Jay Wheeler - La Curiosidad,"1 ContributorTres Tragos LyricsSi te escribo hola no es pa saludarte
Es mi disimulo de que quiero darte
Una noche buena por que buena estas tu
Toa esa ropita negra fuera y chao la luz
Tambien me diste alas con ese tatuaje
Cupido me llevo sin regreso a un viaje
Aunque no confia vine a recordarte
No voy a se el proximo que falle
Un trago (un trago), dos tragos
Tomamos tres y nos vamos pa el carajo
Que raro, no tiene caso
Ella es timida pero conmigo da el paso
Un trago (un trago), dos tragos
Tomamos tres y nos vamos pa el carajo
Que raro, no tiene caso
Ella es timida pero conmigo da el paso
Como Jay Wheler matemos la curiosidad
Cerremos el libro cien años de soledad
Conmigo na casual te voy a dar seguridad
Y tu toa tranquilita puedes contarle todo a tu mai
Ponte ese bikini verde ya
Muestrame ese bronceadito y ponte contra la pared
Contigo to los amaneceres
Enamorarme si que te sale bien
You might also likeSi te escribo hola no es pa saludarte
Es mi disimuulo de que quiero darte
Una noche buena por que buena estas tu
Toa esa ropita negra fuera y chao la luz
Un trago (un trago), dos tragos
Tomamos tres y nos vamos pa el carajo
Que raro, no tiene caso
Ella es timida pero conmigo da el paso
Un trago (un trago), dos tragos
Tomamos tres y nos vamos pa el carajo
Que raro, no tiene caso
Ella es timida pero conmigo da el paso
Ay paloma llevame hasta el cielo
Dejame caer en la red de tus besos
Si tu eres un uno yo soy tu comodin
Si tu eres verano yo soy tu gin tonic
Ese cafecito de tus ojos
Te deje una nota y dice vamonos (vamonos, vamonos)
Dame un besito que me estoy volviendo loco
Uno de esos ay mi amor (ay mi amor, ay mi amor)
Ese cafecito de tus ojos
Te deje una nota y dice vamonos (vamonos, vamonos)
Dame un besito que me estoy volviendo loco
Uno de esos ay mi amor (ay mi amor, ay mi amor)
Si te escribo hola no es pa saludarte
Es mi disimulo de que quiero darte
Una noche buena por que buena estas tu
Toa esa ropita negra fuera y chao la luz (luz, luz, luz)
Mami Ernes en la casa, dimelo Lijtmaer
La frabica del cangrejo mi amor, ArgentinaEmbed"
9,Carin Leon - Que Vuelvas,"4 ContributorsQue Vuelvas Lyrics

Te escribo mensajes
Todas las noches
Pero los borro
Pa' quedar en visto
Ese mal rato
Mejor me lo ahorro

Mi orgullo es tan grande
Y abajo me pesa
No pienso humillarme
Pero igual quiero que sepas

Deberías estar aquí, aquí donde te quiero
Pero, al contrario, estás allá donde te extraño
Quisiera pedirte, que vuelvas, que vuelvas
Deberías estar aquí, aquí dondе te quiero
Pero, al contrario, еstás allá donde te extraño
Quisiera pedirte que vuelvas, que vuelvas
Para que a mi cuerpo el alma le devuelvas

Y esto es
Grupo Frontera
Y el compa Carín León
You might also like
Mi orgullo es tan grande
Y abajo me pesa
No pienso humillarme
Pero igual quiero que sepas

Deberías estar aquí, aquí donde te quiero
Pero, al contrario, estás allá donde te extraño
Quisiera pedirte que vuelvas, que vuelvas
Deberías estar aquí, aquí donde te quiero
Pero, al contrario, estás allá donde te extraño
Quisiera pedirte que vuelvas, que vuelvas
Para que a mi cuerpo el alma le devuelvas
Quisiera pedirte que vuelvas, que vuelvas
Para que a mi cuerpo el alma le devuelvasEmbed"
