,artist_title,lyrics
0,Eden Hason - שקיעות אדומות,"3 ContributorsShki’ot Adumot - שקיעות אדומות Lyricsככה בלילות אני יושב לכתוב מילים
ככה באותו מבוך עולים געגועים
כדי שלא יחזור שוב המבול, אני שוטף את הפנים
וזורק את האבק מהחיים
ככה לא לבחור בדרך שכולם הולכים
בעיניים עצומות אני רואה את השבילים
בעולם הזה מי מחבר ומי נותן חיים
יש אמת אחת כתובה לה בספרים
לראות את הטוב
אסור לעצור את השמש עכשיו
שקיעות אדומות
מול כל העולם
משליך את הכל אל הים
ככה לפעמים אני נזכר באנשים
מי היה לי כשנשברתי, מי סגר לי בפנים?
ועד שיום חדש פתאום יבהיר הכל
יפיג בי כעסים, אגלה שאין לי מה לשמור בפנים
לראות את הטוב
אסור לעצור את השמש עכשיו
שקיעות אדומות
מול כל העולם
משליך את הכל אל הים
You might also likeכבר שנים עברה הנפש טעונה ברגשות
כשיורקים עליה אש היא משיבה בלהבות
היא תמיד רוצה לצרוח על מנת למצוא שתיקות
כמה מחשבות עברו בי, עוד שואל מה לעשות
מה נשאר?
לראות את הטוב
אסור לעצור את השמש עכשיו
שקיעות אדומות
מול כל העולם
משליך את הכל אל הים
יותר לא אפול
יותר לא אפול כי ניצחתי עכשיו
זריחות אדומות
מול כל העולם
משליך את הכל אל היםEmbed"
1,Tuna - היי בייב,"19 ContributorsHey Babe - היי בייב Lyrics

אה, שוב טייט, שוב פרש, סמ""ך ת""ו מ""ם שי""ן קו""ף רי""ש
ואם ראיתם פה גברים שבשחור, אה, למה מתאים לי איזה פאפ-הו-פלאש
אה, בסוף טוב בא רק בתנאי, שהסיפור לא קל מידי
קשוח בעסקי הלבבות, את יודעת, את שברת איזה מיליארד אולי
היי, ראן טונה ראן, אין לאן, יו, אנ'לא יכול להישאר כאן, בלאגן
בכיתי כל הדרך לאולפן, מכיר את הנושא, יקח זמן
עכשיו אני הולך כמו תינוק בעולם, כן, כן, לא מתפתל כמו מעוואל
אין לי מה לתת עכשיו למרות שאת וואו, אין לי מה לתת עכשיו למרות שאת ווהו

וכמה שתנסה ללחוץ סייב, וכמה שתנסה לסובב (היי בייב)
אין דרך קלה לשבור לב (היי בייב), אין דרך קלה לשבור (אה, אה)
וכמה שתנסה ללחוץ סייב, וכמה שתנסה לסובב (היי בייב)
אין דרך קלה לשבור לב (היי)
(Oh, baby!)

יה, נשבע לך שזה לא מה שרציתי, היינו טייט כמו תיכוניסטים בסיקסטיז
שנקלעו לאיזו דרמה של דיסני, מחכים לאיזה טוויסט הומוריסטי
וכמו בקטע מיסטי - סגר עולמי, (אני) יהודה ברקן בסרט מדע בדיוני
חבל לי רק שהתסריט הוא בינוני, והבדיחות על חשבונה וחשבוני
(יה, יה, יה)
אל תפחדי מהמרחק, מה שיהיה יהיה טוב
Love אוהב אותך בלב הסערה, כפרה אנקונדישנר
וכמה שניסיתי להיות גבר, להאמין בזה ולעשות סדר
ניסיתי גם לשחרר את הקשר לפוראבר, ולהפך - ניסיתי גם לחזור אחרי נובמבר
You might also like
היי, וכמה שתנסה ללחוץ סייב, וכמה שתנסה לסובב (היי בייב)
אין דרך קלה לשבור לב (היי בייב), אין דרך קלה לשבור (אה, אה)
וכמה שתנסה ללחוץ סייב, וכמה שתנסה לסובב (היי בייב)
אין דרך קלה לשבור לב (היי)
(Oh, baby!)

(אין דרך קלה לשבור)
(אין דרך קלה לשבור, אה)
(זו-טו-טו-טו)Embed"
2,Hanan Ben Ari - אלוף העולם,"9 ContributorsAluf Ha’olam - אלוף העולם Lyrics
אני אלוף העולם בלהדחיק
כל מה שמפחיד אותי, כל מה שמלחיץ, אני משתיק
אני אלוף העולם בלאהוב
קודם את עצמי, אחר כך בבמה וברחוב
הכי קשה לתת למישהו קרוב
אני אלוף העולם בלא להיות
בלא לפתור לך את הבעיות
אפילו התמונות שבקירות
זה לא אני תליתי
אני אחראי רק על המנגינות

אני אלוף העולם בליפול
ולקום כמו גדול
את תראי, כמו עוף חול
אני נשרף, אבל בוחר בכל יום להמשיך לחיות
אני אלוף העולם בלרצות
לפחות לנסות
את תראי, איך בסוף
אחרי ההפסדים הניצחון הרבה יותר מתוק
אני אלוף העולם

אני אלוף העולם בלהצדיק
חולשות ותאוות
היצר הוא מכר ותיק
מכיר כל טריק עתיק שהוא מחזיק בתיק
אבל תראי, יום אחד אהיה צדיק
עמוק בפנים כל מה שיש לי לא מספיק בעליל
אני עכבר קטן והחיים חליל
נופל לבור כי לא מצליח להבדיל
בין טוב לרע ולאן כל זה מוביל
את משדרת עסקים כרגיל
אבל תכף ייגמר לנו הפתיל
You might also like
אני אלוף העולם בליפול
ולקום כמו גדול
את תראי, כמו עוף חול
אני נשרף, אבל בוחר בכל יום להמשיך לחיות
אני אלוף העולם בלרצות
לפחות לנסות
את תראי, איך בסוף
אחרי ההפסדים הניצחון הרבה יותר מתוק
אני אלוף העולם

(אלוף העולם)

אני אלוף העולם בלפצות
להתנצל ולרצות
לחטוא, להתנקות
לחשוף, להתכסות
תגידי, איך כותבים שירים עם אלף ציפיות
מיליוני צפיות

אני אלוף העולם בליפול
ולקום כמו גדול
את תראי, כמו עוף חול
אני נשרף, אבל בוחר בכל יום להמשיך לחיות
אני אלוף העולםEmbed"
3,Ishay Ribo - לשוב הביתה,"6 ContributorsLashuv Habaita - לשוב הביתה Lyrics

הגיע הזמן להתעורר
לעזוב הכל, להתגבר
לשוב הביתה, לא לחפש מקום אחר
הגיע הזמן להשתנות
גם אם פספסנו תחנות
אפשר לרדת, יש רכבת חזרה לשכונות

הכל אפשר רק אם נרצה
המחפש תמיד מוצא
גם אם הוא נמצא אי שם הרחק בקצה
דלתות שמיים לא ננעלו
""כשהבן קורא, ""הצילו
אבא שבשמיים מגיע אפילו

אפילו שעשינו משהו רע
הוא מוחל וסולח, מוחל וסולח
מושיט ידו לעזרה ונותן ברחמיו
את הכוח לתקן ולשוב אליו

You might also like
הגיע הזמן להתחרט
אם כבר לברוח, אז מהחטא
אם כבר לקחת, אז לקחת בשביל לתת
וזה הזמן להתקרב
לא לפחד מהכאב
ואם לתת, אז כבר לתת מכל הלב

הכל אפשר רק אם נרצה
המחפש תמיד מוצא
גם אם הוא נמצא אי שם הרחק בקצה
דלתות שמיים לא ננעלו
""כשהבן קורא, ""הצילו
אבא שבשמיים מגיע אפילו

אפילו שעשינו משהו רע
הוא מוחל וסולח, מוחל וסולח
מושיט ידו לעזרה ונותן ברחמיו
את הכוח לתקן ולשוב אליו

אפילו שעשינו משהו רע
הוא מוחל וסולח מוחל וסולח
מושיט ידו לעזרה ונותן ברחמיו
את הכוח לתקן ולשוב אליו

הגיע הזמן להתעורר
לעזוב הכל, להתגבר
לשוב הביתהEmbed"
4,Marina Maximilian - ביחד,"2 ContributorsBeyahad - ביחד Lyrics
ביחד כל הזמן
עכשיו זה רגע האמת
מה כל אחד מוכן לתת
בלי פחד, לא כאן
הלך הכסף, שיילך
הזמן איתך שייתארך
איתך גם סוף העולם
לא מפחיד אותי
אני חורטת על הלב תמונה
על המיטה
איך שהאור נופל עליך
כמו בהזמנה

ביחד כל הזמן
מוצאים ת'עצמינו
משחקים עם החיים במחבואים
פותחים דף לבן
ומציירים לילדות
איש מטפס על הקירות
איתך גם סוף העולם
לא מפחיד אותי
אני חורט על הלב תמונה
על המיטה
איך שהאור נופל עלייך
כמו בהזמנה
You might also like
איתך גם סוף העולם
לא מפחיד אותי
אני חורטת על הלב תמונה
על המיטה
איך שהאור נופל עליך
כמו בהזמנה

איתך גם סוף העולם
לא מפחיד אותי
אני חורטת על הלב תמונה (את חורטת על הלב תמונה)
על המיטה
איך שהאור נופל עליך
כמו בהזמנה
איתך גם סוף העולם
לא מפחיד אותי
אני חורט על הלב תמונה
על המיטה
איך שהאור נופל עלייך
כמו בהזמנהEmbed"
5,Eden Hason - עושה לי צרות,"1 ContributorOsa Li Zarot - עושה לי צרות Lyrics
חיים שלי נראה לי שנפסיק לדבר
נראה לי זה עושה לי רע יותר
ממה שזה עושה לי טוב
חיים שלי די לקרוא לי ככה
אני לא ""מי אמור"" ואת לא באה
אם אני נמצא לא בטוב

כבר התרגלתי להמתין בין הודעה להודעה
אנ'לא יודע אם אני מכור אלייך או להרגשה
שאת מבשלת אותי ככה כבר תקופה על אש קטנה

את עושה לי צרות
מופיעה בלילות
איך בחיבוק את מעלה בי אלפי שאלות
האם את אוהבת אותי
כמו שאני לפחות?
מאמי זה סתם איתי
אל תעשי לי דמעות

חיים שלי קיפלתי את הכול כדי לא לראות אותך
מצד שני פתאום לכולם יש עכשיו ת'ריח שלך
אוטו כמו שלך בול עובר פה כל דקה
האצבע על ההדק רק לשלוח הודעה
You might also like
התרגלתי להמתין בין הודעה לאודיה
אנ'לא יודע אם אני מכור אלייך או להרגשה
שאת מבשלת אותי ככה כבר תקופה על אש קטנה

את עושה לי צרות
מופיעה בלילות
איך בחיבוק את מעלה בי אלפי שאלות
האם את אוהבת אותי
כמו שאני לפחות?
מאמי זה סתם איתי
אל תעשי לי דמעות

זה לא עניין של זוויות (לא לא), את
קצת גורמת לי להיות (לא לא), מי
שאני לא רוצה להיות (לא לא)
מחפש אותך באחרות
תתני לי פעם אחת למות
בלי שתלחצי סייב בסוף
אני אקום מזה לבד
אנ'לא צריך שיחזיקו לי ת'יד

את עושה לי צרות
מופיעה בלילות
איך בחיבוק את מעלה בי אלפי שאלות
האם את אוהבת אותי
כמו שאני לפחות?
מאמי זה סתם איתי
אל תעשי לי דמעות
חיים שלי אולי נדבר?
הניתוק הזה עושה לי רע יותר
ממה שהוא עושה לי טובEmbed"
6,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
7,Eden Hason - את חסרה לי,"3 ContributorsAt Hasera Li - את חסרה לי Lyrics
אותו הבר אותן שטויות
אני צייד של בעיות
והסיפור שלי מתחיל בזה שיש אותך
אני נפתח קצת בקלות
ובדיוק כאן עשיתי שטות
והנראה לאחרונה שלי היה איתך

אחחח ים חלומות זרקנו לפח
שק חבטות דברים שפתחת
ומאז הראש שלי רק מסתובב

ונכנסת אל תוך חיי
אני לא זוכר מתי
ככה כאב לי
בואי נשב ונדבר
לא שומר בפנים יותר
את חסרה לי

אותו הבר אותן פרידות
הבאת לי מוזות הזויות
והסיפור הזה ממשיך בזה שאין אותך
הלכת ובא לי דיכאון
מסטלות אין לי תיאבון
כשהלב רעב לטעם המאוס שלך
You might also like
אחחח ים חלומות זרקנו לפח
שק חבטות דברים שפתחת
ומאז הלב שלי טיפה ברח

ונכנסת אל תוך חיי
אני לא זוכר מתי
ככה כאב לי
בואי נשב ונדבר
לא שומר בפנים יותר
את חסרה לי
(אה-אה, אה)


שתיתי לי כוס שתיתי שלוש
תכף הערק ייתן לי בראש
באתי שעה והלכתי
לשכוח את זאת שאהבתי
הקצב דופק וכולם עצובים
איך מישהי אחרת נראה לי מתאים
מיטה מסתובבת נפלתי
נזכרתי בזאת שאהבתי
ונכנסת אל תוך חיי
אני לא זוכר מתי
ככה כאב לי
בואי נשב ונדבר
לא אוהב אותך יותר
את חסרה לי

ונכנסת אל תוך חיי
אני לא זוכר מתי
ככה כאב לי
בואי נשב ונדבר
לא אוהב אותך יותר
את חסרה ליEmbed"
8,Raviv Kaner - רסיסים,"5 ContributorsResisim - רסיסים Lyrics

לא רואים בעיניים רק קופצים לאש
מה כבר רצינו לבקש
לקבל ולתת מה שיש
להחזיק בידיים כל יום שעובר
תמיד הוא ככה ממהר
אני איש מאחר

רק בלילות
עולים קולות
שאלות אבודות
מחפשות תשובה
מה שעוד לא בא

רסיסים
למה זיכרונות נמסים
כמה שאני לא כיסיתי, זה נכנס לי בתריסים
אין על מי לשים את הראש
גם אם לא שברתי, שילמתי
לך תמצא על מי לכעוס

אין אוויר בשמיים איך אפשר לנשום
הכל תקוע במקום
אבל עוד לא הפסקתי לחלום
אז קפצתי למים כי צריך לשחות
במים לא רואים דמעות
במים ישקעו חולות שזוכרים
You might also like
רק בלילות
עולים קולות
שאלות אבודות
מחפשות תשובה
בקרוב זה בא

רסיסים
למה זיכרונות נמסים
כמה שאני לא כיסיתי, זה נכנס לי בתריסים
אין על מי לשים את הראש
גם אם לא שברתי, שילמתי
לך תמצא על מי לכעוס

שאלות אבודות מחפשות תשובה
ועכשיו זה בא

רסיסים
למה זיכרונות נמסים
כמה שאני לא כיסיתי, זה נכנס לי בתריסים
אין על מי לשים את הראש
גם אם לא שברתי, שילמתי
לך תמצא על מי לכעוס
רסיסים
למה זיכרונות נמסים
כמה שאני לא כיסיתי, זה נכנס לי בתריסים
אין על מי לשים את הראש
גם אם לא שברתי, שילמתי
לך תמצא על מי לכעוסEmbed"
9,Benaia Barabi - קרן שמש,"2 ContributorsKeren Shemesh - קרן שמש Lyrics

אל תלכי, קרן שמש
לא נגמר לנו היום
?למה את, מסתתרת
עננים בכל מקום

אל תבכי, כמו הגשם
?לא חבל על הדמעות
יד חמה, מבקשת
לחבק אותך שעות

אשים שירים שאת אוהבת
אתן לך יום להירגע
אני נגנב כשאת צוחקת
ככה אליי
?תגידי, מה את מבקשת
?שלא יהיה לי שום תירוץ
כשאין מילים את מתרגשת
ככה אליי

תחייכי, זה יפה לך
זה עושה לי את היום
אם פתאום את נרדמת
תחייכי גם בחלום
You might also like
מטוסים בשמיים
אנשים על רכבות
אל תבכי, קרן שמש
זה הזמן שלך לחיות

אשים שירים שאת אוהבת
אתן לך יום להירגע
אני נגנב כשאת צוחקת
ככה אליי
?תגידי, מה את מבקשת
?שלא יהיה לי שום תירוץ
כשאין מילים את מתרגשת
ככה אליי


אל תבכי, קרן שמש
קחי לך בית אחרון
?איך תמיד את אומרת
""ניפגש עם אור ראשון""

אשים שירים שאת אוהבת
אתן לך יום להירגע
אני נגנב כשאת צוחקת
ככה אליי
?תגידי, מה את מבקשת
?שלא יהיה לי שום תירוץ
כשאין מילים את מתרגשת
ככה אלייEmbed"
