,artist_title,lyrics
0,Yuuri - ドライフラワー,"6 ContributorsTranslations日本語English優里 (Yuuri) - ドライフラワー (Dried Flower) (Romanized) Lyrics
Tabun, watashi janakute ii ne
Yoyuu no nai futari datta shi
Kizukeba kenka bakkari shite sa
Gomen ne

Zutto hanasou to omotteta
Kitto watashitachi awanai ne
Futari kiri shika inai heya de sa
Anata bakari hanashite ita yo ne

Moshi itsuka dokoka de aetara
Kyou no koto wo waratte kureru kana
Riyuu mo chanto hanasenai keredo
Anata ga nemutta ato ni naku no wa iya

Koe mo kao mo bukiyou na toko mo
Zenbu zenbu kirai janai no
Dorai furawaa mitai
Kimi to no hibi mo
Kitto kitto kitto kitto
Iroaseru
You might also like
Tabun, kimi janakute yokatta
Mou nakasareru koto mo nai shi
""Watashi bakari"" nante kotoba mo nakunatta

Anna ni kanashii wakare demo
Jikan ga tateba wasureteku
Atarashii hito to narabu kimi wa
Chanto umaku yarete iru no kana

Mou kao mo mitakunai kara sa
Hen ni renraku shite konaide hoshii
Tsugou ga ii no wa kawattenain da ne
Demo mushi dekizu ni mata sukoshi henji

Koe mo kao mo bukiyou na toko mo
Tabun ima mo kirai janai no
Dorai furawaa mitaku
Jikan ga tateba
Kitto kitto kitto kitto
Iroaseru

Tsuki akari ni mamono ga yureru
Kitto watashi mo douka shiteru
Kurayami ni shikisai ga ukabu
Aka ki aiiro ga mune no oku
Zutto anata no namae wo yobu
Suki to iu kimochi mata kaoru
Koe mo kao mo bukiyou na toko mo
Zenbu zenbu daikirai da yo
Mada karenai hana wo
Kimi ni soete sa
Zutto zutto zutto zutto
Kakaete yo

Ah-ah, ah-ah7Embed"
1,YOASOBI - 夜に駆ける,"29 ContributorsTranslations日本語EnglishChinese TraditionalالعربيةEspañolYOASOBI - 夜に駆ける (Yoru Ni Kakeru/Racing Into The Night) (Romanized) Lyrics
Shizumu you ni tokete yuku you ni
Futari dake no sora ga hirogaru yoru ni

""Sayonara"" dake datta
Sono hitokoto de subete ga wakatta
Hi ga shizumi dashita sora to kimi no sugata
Fensu goshi ni kasanatte ita
Hajimete atta hi kara
Boku no kokoro no subete o ubatta
Dokoka hakanai kuuki o matou kimi wa
Sabishii me o shitetanda

Itsu datte chikkutakku to
Naru sekai de nando datte sa
Fureru kokoro nai kotoba urusai koe ni
Namida ga koboresou demo
Arikitari na yorokobi kitto futari nara mitsukerareru

Sawagashii hibi ni waraenai kimi ni
Omoitsuku kagiri mabushii asu o
Akenai yoru ni ochite yuku mae ni
Boku no te o tsukande hora
Wasurete shimaitakute tojikometa hibi mo
Dakishimeta nukumori de tokasu kara
Kowakunai yo itsuka hi ga noboru made
Futari de iyou
You might also like
Kimi ni shika mienai
Nanika o mitsumeru kimi ga kirai da
Mitorete iru ka no you na koi suru you na
Sonna kao ga kirai da

Shinjiteitai kedo shinjirenai koto
Sonna no dou shita tte kitto
Korekara datte ikutsu mo atte
Sono tanbi okotte naiteiku no
Sore demo kitto itsuka wa kitto bokura wa kitto
Wakari aeru sa shinjiteru yo

Mou iya datte tsukareta ndatte
Gamushara ni sashinobeta boku no te o furiharau kimi
Mou iya da tte tsukareta yo nante
Hontou wa boku mo iitai nda

Ah hora mata chikkutakku to
Naru sekai de nando datte sa
Kimi no tame ni yooi shita kotoba dore mo todokanai
""Owari ni shitai"" da nante sa
Tsurarete kotoba ni shita toki
Kimi wa hajimete waratta
Sawagashii hibi ni waraenaku natte ita
Boku no me ni utsuru kimi wa kirei da
Akenai yoru ni koboreta namida mo
Kimi no egao ni tokete iku

Kawaranai hibi ni naiteita boku o
Kimi wa yasashiku owari e to sasou
Shizumu you ni tokete yuku you ni
Shimi tsuita kiri ga hareru
Wasurete shimaitakute tojikometa hibi ni
Sashinobete kureta kimi no te o toru
Suzushii kaze ga sora o oyogu you ni ima fukinukete yuku
Tsunaida te o hanasanaide yo
Futari ima, yoru ni kakedashite iku22Embed"
2,BTS - Dynamite,"305 ContributorsTranslationsفارسیالعربيةУкраїнськаTürkçeEspañolРусскийPortuguês日本語한국어हिन्दीDeutschFrançaisDansk中文ShqipDynamite Lyrics
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing-song when I'm walkin' home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh
You might also like
Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn (Hey)
Ladies and gentlemen, I got the medicine, so you should keep ya eyes on the ball (Huh)

This is gettin' heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money, huh
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh

Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Dyn-na-na-na, na-na, na-na, ayy
Light it up like dynamite
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite
(This is ah) 'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Alight, oh)
Shinin' through the city with a little funk and soul
So I'ma light (Light) it (It) up (Up) like (Like) dynamite (Dynamite), woah-oh-oh

Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Life is dynamite)
Dyn-na-na-na, na-na-na-na-na, na-na-na, life is dynamite (Oh)
Shinin' through the city with a little funk and soul
So I'ma light it up like dynamite, woah-oh-oh298Embed"
3,OFFICIAL HIGE DANDISM - Pretender,"8 ContributorsTranslations日本語Official HIGE DANdism - Pretender (Romanized) Lyrics
Kimi to no love story
Sore wa yosou doori
Iza hajimareba hitorishibai da
Zutto soba ni itatte
Kekkyoku tada no kankyaku da

Kanjou no nai I'm sorry
Sore wa itsumo doori
Narete shimaeba waruku wa nai kedo
Kimi to no romansu wa jinsei gara
Tsuzuki wa shinai koto wo shitta

Motto chigau settei de
Motto chigau kankei de
Deaeru sekaisen erabetara yokatta
Motto chigau seikaku de
Motto chigau kachikan de
Ai wo tsutaeraretara ii na
Sou negattemo muda dakara

Goodbye
Kimi no unmei no hito wa boku janai
Tsurai kedo inamenai
Demo hanaregatai no sa
Sono kami ni fureta dake de
Itai ya iya demo
Amai na iya iya
Goodbye
Sore ja boku ni totte kimi wa nani?
Kotae wa wakaranai
Wakaritaku mo nai no sa
Tatta hitotsu
Tashika na koto ga aru to suru no naraba
""Kimi wa kirei da""
You might also like
Dareka ga erasou ni
Kataru renai no ronri
Nani hitotsu toshite pin to konakute
Hikouki no mado kara mioroshita
Shiranai machi no yakei mitai da

Motto chigau settei de
Motto chigau kankei de
Deaeru sekaisen erabetara yokatta
Itatte jun na kokoro de
Kanatta koi wo dakishimete
Suki da to ka musekinin ni ietara ii na
Sou negattemo munashii no sa

Goodbye
Tsunaida te no mukou ni endorain
Hikinobasu tabi ni
Uzukidasu mirai ni wa
Kimi wa inai, sono jijitsu ni cry
Sorya kurushii yo na

Goodbye
Kimi no unmei no hito wa boku janai
Tsurai kedo inamenai
Demo hanaregatai no sa
Sono kami ni fureta dake de
Itai ya iya demo
Amai na iya iya
Goodbye
Sore ja boku ni totte kimi wa nani?
Kotae wa wakaranai
Wakaritaku mo nai no sa
Tatta hitotsu
Tashika na koto ga aru to suru no naraba
""Kimi wa kirei da""

Sore mo kore mo romansu no sadame nara
Waruku nai yo na
Eien mo yakusoku mo nai keredo
""Totemo kirei da""1Embed"
4,YOASOBI - 群青,"9 ContributorsTranslations日本語EnglishYOASOBI - 群青 (Gunjou) (Romanized) Lyrics
Ah, itsumo no you ni
Sugiru hibi ni akubi ga deru
Sanzameku yoru, koe, kyou mo
Shibuya no machi ni asa ga furu
Dokoka munashii you na
Sonna kimochi tsumaranai na
Demo sore de ii sonna mon sa kore de ii

Shirazu shirazu kakushiteta
Hontou no koe wo hibikasete yo, hora
Minai furi shiteitemo
Tashika ni soko ni aru

Ah, kanjita mama ni egaku
Jibun de eranda sono iro de
Nemui kuuki matou asa ni
Otozureta aoi sekai
Suki na mono wo suki da to yuu
Kowakute shikatanai kedo
Hontou no jibun
Deaeta ki ga shitan da

Ah, te wo nobaseba nobasu hodo ni
Tooku e yuku
Omou you ni ikanai, kyou mo
Mata awatadashiku mogaiteru
Kuyashii kimochi mo tada nasakenakute
Namida ga deru fumikomu hodo
Kurushiku naru itaku mo naru
You might also like
Ah, kanjita mama ni susumu
Jibun de eranda kono michi wo
Omoi mabuta kosuru yoru ni
Shigamitsuita aoi chikai
Suki na koto wo tsuzukeru koto
Sore wa ”tanoshii” dake janai
Hontou ni dekiru? Fuan ni naru kedo

Ah, nanmai demo, hora nanmai demo
Jishin ga nai kara egaitе kitan da yo
Ah, nankai demo, hora nankai demo
Tsumiagetе kita koto ga buki ni naru
Mawari wo mitatte dare to kurabe tatte
Boku ni shika dekinai koto wa nanda
Ima demo jishin nanka nai soredemo

Kanjita koto nai kimochi
Shirazu ni ita omoi
Ano hi fumidashite
Hajimete kanjita kono itami mo zenbu
Suki na mono to mukiau koto de
Fureta mada chiisana hikari
Daijoubu, ikou, ato wa tanoshimu dake da
Ah, subete wo kakete egaku
Jibun ni shika dasenai iro de
Asa mo yoru mo hashiri tsuzuke
Mitsukedashita aoi hikari
Suki na mono to mukiau koto
Ima datte kowai koto dakedo
Mou ima wa ano hi no toumei na boku janai
Ah, ari no mama no
Kakegae no nai boku da

Shirazu shirazu kakushiteta
Hontou no koe wo hibikasete yo, hora
Minai furi shiteitemo
Tashika ni soko ni ima mo soko ni aru yo
Shirazu shirazu kakushiteta
Hontou no koe wo hibikasete yo, saa
Minai furi shiteitemo
Tashika ni soko ni kimi no naka ni7Embed"
5,Mrs. GREEN APPLE - 点描の唄,"2 ContributorsTranslationsRomanization点描の唄 (Tenbyou no Uta) Lyrics

貴方の声で解れてゆく
忘れたくないと心が云う
思い出ばっか増えてゆく
ずっと側に居たい

泣き虫でもいいかな
強がらないでいいよ
限りある恋だとしても
出逢えて幸せです

いつまでも
いつまでも
続いて欲しいと願っている
手を取ることは出来ずとも
私は貴方を好いている

貴方の夢で心安らぐ
目覚めたくないと僕は云う
思い出ばっか増えてゆく
明日も側に居たい
You might also like
どこまでも
どこまでも
鈍感な僕を叱って欲しい
当たり前が壊れることに
気づけないくらいに子供だけど
ちゃんと僕は貴方を好いている

私の (僕の)
時間が止まればいいのに

ほらまた期待をしてしまう
グッと堪えてみるからさ
もし溢れ出したら
瞳をちゃんと見てよ 見てよ 見て
貴方の影だけ伸びてゆく
消えてしまわないで
ずっと この思いは変わらない

いつまでも
いつまでも
続いて欲しいと願っている
手を取ることは出来ずとも
過ぎていく現在に抱きしめられている
私の (僕の)
時間が止まればいいのに

今日を噛み締めていよう
終わるな
夏よ、終わるなEmbed"
6,OFFICIAL HIGE DANDISM - 115万キロのフィルム,"3 ContributorsTranslations日本語Romanization115万キロのフィルム (115 Million Kilometer Film) Lyrics

これから歌う曲の内容は僕の頭の中のこと
主演はもちろん君で
僕は助演で監督でカメラマン
目の奥にあるフィルムで作る映画の話さ Ah

くだらないなと笑ったんなら掴みはそれで万事OK!
呆れていないでちょっと待って
きっと気に入ってもらえると思うな
ここまでのダイジェストを少しだけ見せるよ

初めて喧嘩した夜の涙
個人的に胸が痛むけれど
そのまま見続けよう
ごめんねと言って仲直りして手を握って

ほら, ここで君が笑うシーンが見どころなんだからさ Ah
写真にも映せやしないとても些細なその仕草に
どんな暗いストーリーも覆す瞬間が溢れてる
どれかひとつを切り取って
サムネイルにしようとりあえず今の所は
You might also like
きっと10年後くらいにはキャストが増えたりもするんだろう
今でも余裕なんてないのにこんな安月給じゃもうキャパオーバー!
きっと情けないところも山ほど見せるだろう

苗字がひとつになった日も
何ひとつ代わり映えのない日も
愛しい日々尊い日々
逃さないように忘れないように焼き付けていくよ

今, 目を細めて恥じらいあって永遠を願った僕たちを
すれ違いや憂鬱な展開が引き裂こうとしたその時には
僕がうるさいくらいの声量でこの歌何度も歌うよ
だからどうかそばにいて
エンドロールなんてもん作りたくもないから

クランクアップがいつなのか僕らには決められない
だから風に吹かれていこう (風に吹かれていこう)
フィルムは用意したよ (フィルムは用意したよ)
一生分の長さを ざっと115万キロ

ほら, ここで君が笑うシーンが見どころなんだからさ Ah
写真にも映せやしないとても些細なその仕草に
どんな暗いストーリーも覆す瞬間が溢れてる
どれかひとつを切り取って
サムネイルにしよう
さあ, これから生まれる名場面を探しにいこうよ
酸いも甘いも寄り添って
一緒に味わおうフィルムがなくなるまで
撮影を続けようこの命ある限りEmbed"
7,Vaundy - 怪獣の花唄,"8 ContributorsTranslations日本語EnglishVaundy - 怪獣の花唄 (Kaijuu No Hanauta) (Romanized) Lyrics
Omoidasu no wa kimi no uta
Kaiwa yori mo senmeida
Doko ni itteshimattano
Itsumo sagasu ndayo
Omoidasu no wa
Kimi no uta
Utai warau kao ga senmeida
Kimi ni niau ndayo
Zutto miteitaiyo

Demo saigo ni mitai no wa
Kitto mou kimi no yume no naka
Mouichido
Mata kikasetekureyo
Kikitai nda

Motto
Sawage kaijuu no uta
Mada kienai
Yume no uta tonaete
Kimi ga itsumo
Utau kaijuu no uta
Mada kienai
Kuchizu sande shimauyo
You might also like
Omoidasu no wa
Kimi ga ita
Gitaa motteru
Kimi ga ita
Wasurerarenai ndayo
Dakara boku ga utauyo

Demo saigo ni mitai no wa
Kitto mou kimi no yume no naka
Mouichido
Mata kikasetekureyo
Kikitai nda

Motto
Sawage kaijuu no uta
Mada kienai
Yume no uta tonaete
Kimi ga itsumo
Utau kaijuu no uta
Mada kienai
Kuchizu sande shimauyo

Ochiteku kako wa senmeide
Misetai mirai wa sensaide
Sugiteku hibi ni wa donkanna kimi e
Ochitеku kako wa senmeide
Misеtai mirai wa sensaide
Sugiteku hibi ni wa donkanna kimi e
Nee, motto
Sawage kaijuu no uta
Mada kienai
Yume no uta tonaete
Kimi ga itsumo
Utau kaijuu no uta
Mada kienai
Kuchizu sande shimauyo

Nee, bokura
Nemurenai yoru ni te o nobashite
Nemuranai yoru o mata nobashite
Nemukunai madane
Sonna hibi de itainonina
Korizu ni
Nemurenai yoru ni te o nobashite
Nemuranai yoru o mata nobashite
Nemukunai madane
Sonna yoru ni utau
Kaijuu no utaEmbed"
8,back number - 水平線,"3 ContributorsTranslations日本語English​back number - 水平線 (suiheisen) (Romanized) Lyrics

Dekiru dake uso wa nai you ni
Donna tokimo yasashiku areru you ni
Hito ga itami o kanjita tokiniwa
Jibun no koto no you ni omoeru you ni

Tadashisa o betsu no tadashisa de
Nakusu kanashimi ni mo deau keredo

Suiheisen ga hikaru asa ni
Anata no kibou ga kuzureochite
Kaze ni tobasareru kakera ni
Dareka ga kirei to tsubuyaiteru
Kanashii koe de utai nagara
Itsushika umi ni nagaretsuite hikatte
Anata wa sore o miru deshou

Jibun no senaka wa mienai no dakara
Hazukashi garazu hito ni tazuneru to ii
Kokoro wa darenimo mienai no dakara
Mieru mono yori mo daiji ni suru to ii
You might also like
Mainichi ga kasanaru koto de
Aenaku naru hito mo dekiru keredo

Sukitooru hodo awai yoru ni
Anata no yume ga hitotsu kanatte
Kansei to hakushu no naka ni
Dareka no himei ga kakurete iru
Taeru riyuu o sagashinagara
Ikutsu mo kotae o kakaenagara nayande
Anata wa jibun o shiru deshou

Dare no kokoro ni nokoru koto mo
Meni yakitsuku kotomo nai kyou mo
Zatsuon to ashioto no oku de
Watashi wa koko da to sakende iru

Suiheisen ga hikaru asa ni
Anata no kibou ga kuzureochite
Kaze ni tobasareru kakera ni
Dareka ga kirei to tsubuyaiteru
Kanashii koe de utainagara
Itsushika umi ni nagaretsuite hikatte
Anata wa sore o miru deshou
Anata wa sore o miru deshou5Embed"
9,Tani Yuuki - W / X / Y,"4 ContributorsTranslationsRomanizationW / X / Y Lyrics

垂れ流したテレビの音
溜めてしまった洗濯物は今日こそ
晴れでもあえて外には出ないでいよう
映えないスナックとアルコールで乾杯をしよう

二人酸いも甘いも
噛み合わないとしても
お互い寄り添うように
少しずらしてみようよ
君がくれた太陽
月で隠れないよう
輝き弛まぬように歌うメロディ

戯れる slowly flowing day
愛してるも通り越して
似た者同士こうして
年老いるまで笑っていたいね
君がいなきゃ lonely, lonely day
夢の中 fall asleep in bed
起こすからmorning callで
I'll protect you from nightmares, baby
You might also like
脱ぎっぱなしの足跡辿ると
不意をついて 後ろから抱きつくの
つい、繰り返すと 忘れてしまいそうになるよ
振り返ると 日々が当たり前じゃないこと

二人対の細胞 絡み合う特別を
噛み締めて生きたいと
思ったまどろみ抱く正午
吐息、漏れた体温
微塵も逃さないよう
頭の中刻む甘いメモリー

戯れる slowly flowing day
愛してるも通り越して
違う者同士こうして
年老いるまで笑っていたいね
君がいなきゃ lonely, lonely day
夢の中 fall asleep in bed
起こすからmorning callで
I'll protect you from nightmares, baby

重ねた手はね離さないでいて
ごめん、これそばに居たいだけだね
抱えた想いはお互い様でしょ
ほら、おあいこでしょ
すれ違い、間違いもあるし
筋書き通り行かない打診、悲しみだって
半分こにしよう 別れじゃない希望
独りよがりにならないように、いつも
君がいなきゃ今もどこかで
動けないままの僕で
ありがとうを伝えたいのです
これからは僕が支えてくって
呆れてしまうくらいにね
愛が増していくday by day
面と向かうとどうしても
素直になれないな、ごめんね

戯れる slowly flowing day (Slowly flowing day)
愛してるも通り越して
似た者同士こうして (こうして)
年老いるまで笑っていたいね
君がいなきゃ lonely, lonely day (Lonely day, lonely day)
夢の中 fall asleep in bed
起こすからmorning callで
I'll protect you from nightmares, babyEmbed"
