,artist_title,lyrics
0,Ed Sheeran - Shape of You,"352 ContributorsTranslationsTürkçeEspañolPortuguêsΕλληνικάDeutschFrançaisItalianoالعربيةShape of You Lyrics
A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body
See Ed Sheeran LiveGet tickets as low as $74You might also like
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you409Embed"
1,Luis Fonsi - Despacito - Remix,"437 ContributorsTranslationsNederlandsไทย / Phasa ThaiSvenskaРусскийPortuguêsDeutschEnglishDespacito (Remix) Lyrics

Comin' over in my direction
So thankful for that, it's such a blessin', yeah
Turn every situation into heaven, yeah
Oh-oh, you are
My sunrise on the darkest day
Got me feelin' some kind of way
Make me wanna savor every moment slowly, slowly
You fit me tailor-made, love how you put it on
Got the only key, know how to turn it on
The way you nibble on my ear, the only words I wanna hear
Baby, take it slow so we can last long

¡Oh! Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (Oh, yeah)
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube
Sube, sube)
You might also like
Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bom, bom
Sabes que esa beba está buscando de mi bom, bom
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje

Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube
Sube, sube)

Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

Despacito
This is how we do it down in Puerto Rico
I just wanna hear you screaming, ""¡Ay, bendito!""
I can move forever cuando esté contigo
¡Báilalo!
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (Fonsi)
Y que olvides tu apellido (DY)
Despacito416Embed"
2,The Chainsmokers - Closer,"244 ContributorsTranslationsPortuguêsDeutschFrançaisفارسیNederlandsCloser Lyrics
Hey, I was doing just fine before I met you
I drink too much and that's an issue, but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now you're lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older
See The Chainsmokers LiveGet tickets as low as $57You might also like
You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that blink-182 song
That we beat to death in Tucson, okay

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no call
Now I'm lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
No, we ain't ever gettin' older
We ain't ever gettin' older
No, we ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
No, we ain't ever gettin' older

Older
We ain't ever gettin' older
Older
No, we ain't ever gettin' older207Embed"
3,The Chainsmokers - Something Just Like This,"3 ContributorsNew Music Friday 02/17/17 LyricsThe Chainsmokers - Something Just Like This feat. Coldplay
Lana Del Rey - Love
Linkin Park & Kiiara - Heavy
Kygo & Selena Gomez - It Ain’t Me
Maroon 5 - Cold feat. Future
Ed Sheeran - How Would You Feel (Paean)
Mike Posner - In The Arms Of A Stranger (Grey Remix)
James TW - Ex
Pitbull - Options feat. Stephen Marley
Future - Draco
Nav - Some Way feat. The Weeknd
Cashmere Cat - Love Incredible feat. Camila Cabello
All Time Low - Dirty Laundry
MisterWives - Machine
Maty Noyes - London
Flume - Enough feat. Pusha T
Jidenna - Helicopters / Beware
Trey Songz - Nobody Else But You
Mr. Probz - Till You're Loved
Judah & the Lion - Suit and Jacket
Ryan Adams - Prisoner
Incubus - Nimble Bastard
James Hersey - Everyone's Talking
Little Big Town - When Someone Stops Loving You
Maggie Rogers - Better
R.LUM.R - Love Less
Lady Gaga - Million Reasons (KVR Remix)
The Chainsmokers - Paris (FKYA Remix)
NoMBe - Young Hearts
Bebe Rexha - Small Doses
Flo Rida - Game Time feat. Sage the Gemini
We The Kings - Sad Song (RJ Remix) feat. Olivia Holt
Deorro - Tell Me Lies feat. Lesley Roy
Galantis - Rich Boy
Olivia O'Brien - Empty
Hamilton Leithauser + Rostam - In a Black Out (Cassius Remix)
Shaggy - Seasons feat. OMI
Fat Joe & Remy Ma - Heartbreak feat. The-Dream & Vindata
Kodak Black - Tunnel Vision
Mokita - Heaven
Noah Cyrus - Make Me (Cry) feat. Labrinth (Marshmello Remix)
BLAISE MOORE - FRIENDS
Johnny Yukon - Laptop
BJ The Chicago Kid - Roses
Tinie Tempah - Something Special
New Found Glory - Happy Being Miserable
WATERS - Hiccups
Papa Roach - Help
Strand of Oaks - Radio Kids
Electric Guest - Back & Forth
Devin Dawson - All On Me
James Blunt - Time of Our Lives
Steve Moakler - Wheels
Joey Bada$$ - Victory
Lecrae - River of Jordan feat. Breyan Isaac
Astronomyy - Rest in Paradise
Rich Gang - Bit Bak feat. Birdman & Young Thug
Imad Royal - Dust
Jessie James Decker - Gold
Jack Johnson - Fragments
The Orwells - Fry
CyHi The Prynce - Nu Africa
Mew - 85 Videos
Hoops - Rules
Blond Ambition - Stupid Boy / Girl
TeamMate - Damage
Johnossi - Hands
Zipper Club - Breath
Nikki Lane - Highway Queen
Emma Jensen - Closer
The Shins - Mildenhall
Mt. Wolf - The ElectricEmbed"
4,Drake - One Dance,"305 ContributorsTranslationsTürkçeEspañolPolskiDeutschFrançaisOne Dance Lyrics
Baby, I like your style

Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray

That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
Baby, I like your style
You might also like
Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time, and that's why

I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Got a pretty girl and she love me long time
Wine it, wine it, she love me long time
Oh, yeah, very long time
Back up, back up, back up, and wine am
Back up, back up, and wine am, girl, just
Back up, back up, back up, and wine am
Oh, yeah, very long time
Back, up, back up and wine am, girl
Oh, tell me, I need to know
Where do you wanna go?
'Cause if you're down, I'll take it slow
Make you lose control

Where, where, where
Where, where, where, where (Oh, yeah, very long time)
Where, where, where (Back up, back up, and wine am, girl)
Where, where, where, where
'Cause if you're down (Back up, back up, and–)
'Cause if you're down (Back up, back up, and–)
'Cause if you're down (Back up, back up, and–)

I need a one dance (Where, where, where)
Got a Hennessy in my hand (Where, where, where, where)
One more time 'fore I go (Where)
Higher powers taking a hold on me (Where, where, where, where)
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
How do you spell ""Hennessy?""
I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn...
It's definitely not showing up
I know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s234Embed"
5,The Weeknd - Starboy,"521 ContributorsTranslationsTürkçeEspañolРусскийPortuguêsFrançaisDeutschStarboy Lyrics
Ayy

I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli point two just to hurt you, ah
All red Lamb' just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yah
Main bitch outta your league too, ah
Side bitch outta your league too, ah
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
You might also like
Every day, a nigga try to test me, ah
Every day, a nigga try to end me, ah
Pull off in that Roadster SV, ah
Pockets overweight, gettin' hefty, ah
Comin' for the king, that's a far cry, I
I come alive in the fall time, I
The competition, I don't really listen
I'm in the blue Mulsanne, bumpin' New Edition
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
Let a nigga brag Pitt
Legend of the fall, took the year like a bandit
Bought Mama a crib and a brand new wagon
Now she hit the grocery shop lookin' lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
A hundred on the dash get me close to God
We don't pray for love, we just pray for cars
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy628Embed"
6,Mike Posner - I Took A Pill In Ibiza - Seeb Remix,"57 ContributorsTranslationsFrançaisPortuguêsDeutschI Took A Pill In Ibiza (Seeb Remix) Lyrics
I took a pill in Ibiza to show Avicii I was cool
And when I finally got sober, felt 10 years older
But fuck it, it was something to do
I'm living out in LA, I drive a sports car just to prove
I'm a real big baller 'cause I made a million dollars
And I spend it on girls and shoes
But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs

I-I know are sad songs
I-I know are sad songs
I-I know are sad songs
I-I know are sad songs

I'm just a singer who already blew his shot
I get along with old timers
'Cause my name's a reminder of a pop song people forgot
And I can't keep a girl, no
'Cause as soon as the sun comes up
I cut 'em all loose and work's my excuse
But the truth is I can't open up
You might also like
But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs

I-I know are sad songs
I-I know are sad songs
Sad songs
I-I know are sad songs
Sad songs
I-I know are sad songs28Embed"
7,The Chainsmokers - Don't Let Me Down,"129 ContributorsTranslationsPortuguêsDon’t Let Me Down Lyrics
Crashin', hit a wall
Right now, I need a miracle
Hurry up now, I need a miracle
Stranded, reachin' out
I call your name, but you're not around
I say your name, but you're not around

I need ya, I need ya, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losin' my mind now
It's in my head, darlin', I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-Don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down
Don't let me down, down, down

R-R-Runnin' out of time
I really thought you were on my side
But now there's nobody by my side
See The Chainsmokers LiveGet tickets as low as $57You might also like
I need ya, I need ya, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losin' my mind now
It's in my head, darlin', I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-Don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down
Don't let me down, down, down

Ooh, I think I'm losin' my mind now, yeah
Ooh, I think I'm losin' my mind now, yeah

I need ya, I need ya, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losin' my mind now
It's in my head, darlin', I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down
Yeah, don't let me down
Yeah, don't let me down
Don't let me down, oh, no
Said don't let me down
Don't let me down, no, oh

Don't let me down
Don't let me down, down, down63Embed"
8,Kygo - It Ain't Me,"5 ContributorsSongs in Real Life 3 LyricsHandy fallen lassen
(Kygo „It Ain't Me”)

Drei Jahre schon
Hab'n wir zusammen gewohnt
Deine Haut im Silberton
Hab'n so oft gelacht …
Smartphones sind populär
Doch für mich warst du viel mehr
War dein Akku auch mal leer
Gab ich dir neue Kraft …
Ich bin nichts ohne dich
Geld für 'n Neues hab' ich nicht
Bitte lass mich nicht im Stich
Wenn dein Display bricht!

Wer ist da und lässt mich abends besser schlafen?
Und wessen Klang weckt mich jetzt jeden Morgen auf?
Wie frag' ich meine Freunde dann, wo ich heute pennen kann?
Wer ist da und lässt mich abends besser schlafen?
Liebeserklärung
(Luis Fonsi & Daddy Yankee „Despacito” (Remix))
You might also like
Sie, sie ist einfach wirklich unbeschreiblich schön
Ich könnt' schwören, ich hätt' sie im Traum geseh'n
Ihre Kurven lassen mein Herz höher schlagen
Oh yeah, yeah
Äußerlich gesehen ist sie eine Zehn
Sie ist fast perfekt, es gibt nur ein Problem
Doch mir fällt kein Weg ein, ihr das nett zu sagen …

Sie ist dämlich!
Faselt unaufhörlich Schwachsinn und sie schämt sich
Nicht und ihre Ignoranz ist unerträglich
Ich will weg hier, denn jetzt dämmert mir allmählich:
Sie ist dämlich!
Sie und Einstein sind in keiner Weise ähnlich
Ihre Schönheit ist erwiesen, beinah sträflich
Doch im Oberstübchen scheint es leider kläglich

Wie kann ein so schönes Wesen nur so endlos hohl sein?
Hält die Speisekarte falsch rum
Sie kann doch nicht ganz bei Trost sein
Sie ist neuerdings vegan, darum bestellt sie Chicken
Zieht an Türen statt zu drücken
Ihre Gehirn besteht aus Lücken
Tollpatsch sein
(Jax Jones „You Don't Know Me”)

Uhh, das tat weh!
Ich hab' solche Schmerzen, solche Schmerzen
Das tat weh
Da gibt's nix zu scherzen, nichts zu
Uhh, das tat weh!
Ich hab' solche Schmerzen, solche Schmerzen
Das tat weh
Das tat echt weh (what you, what you gon' do?)

Oh, yeah
Beinah täglich stoß' ich mir den Zeh
Das kann doch nicht sein, es tut richtig weh
Warum bin ich so ein Tollpatsch, hat da wer 'ne Idee?
Oh!
Die Herdplatte war ja noch höllisch heiß!
Ich brauche jetzt schnell mal kühlendes Eis
Man könnte fast sagen „Bad Karma”, ich weiß

Grade wieder den Kopf gestoßen
Und danach vom Longboard geflogen
Türklinken-Stromschock – das hat gezogen
Und das alles war erst heut – ungelogen
Uhh, das tat weh!
Ich hab' solche Schmerzen, solche Schmerzen
Das tat weh
Da gibt's nix zu scherzen, nichts zu
Uhh, das tat weh!
Ich hab' solche Schmerzen, solche Schmerzen
Das tat weh
Das tat echt weh (what you, what you gon' do?)
Mein Statement an …
(Imagine Dragons „Believer”)

Hört gut zu
Was ich euch heute zu erzählen hab'
Die Sache, die ich hasse
Stört mich schon mein Leben lang, uh-uuh
Stört mich schon mein Leben lang, uh-uuh
Es betrifft
Nicht nur mich, sag mir nicht, Ich sei allein
Damit, dieser Hype!
Mann, das kann doch echt nicht sein, uh-uuh
Das kann doch echt nicht sein, uh-uuh

Man benutzt sie für die Lippen
Sogar beim Putzen – entzückend
Oder auch Schutz vor den Mücken
Universal, anwendbar, und sogar für das Haar
Farblich gibt's grün oder auch schwarz
Voll Vitamine für den Salat
Selbst im Martini – phänomenal
Doch meine Meinung dazu bleibt …

Bah!
Wer mag denn schon, wer mag denn schon Oliven, Oliven?
Bah!
Sie schmecken echt unglaublich schlecht, Oliven, Oliven?
Bah!
Sie sind unappetitlich ganz und gar

Oliven find' ich wirklich einfach

Bah!
Wer mag denn schon, wer mag denn schon Oliven, Oliven?
Meine Allergie
(Kendrick Lamar „HUMBLE.”)

Will in mein Zimmer!
Draußen ist's schlimmer!
Wäääääh
Haa-tschu

Ey, hab' 'ne Fehlfunktion des körpereigenen Immunsystems
Nun reagiert es überempfindlich auf Pollen, außerdem
Denkt mein Körper jetzt, ich hab' ein gesundheitliches Problem
Dabei sind's harmlose Stoffe – Pollen sind ein Phänomen
Tabletten machen müde, kann dann nicht mal mehr gerade steh'n
Das Einzige, was wirklich was bringt, ist Duschen vorm Schlafengehen
Damit die Pollen nicht im Bett oder sogar am Kissen kleben
Und trotzdem wird dir morgen Wind die Pollen in die Fresse wehen
Wenn die Nase anfängt loszulaufen und man nie
Die Tränen in den Augen wegwischen kann, irgendwie
Juckt's dich am ganzen Körper, du kriegst Ausschlag und du niest
Dann bist du wie ich, Bruder, du hast Pollenallergie!
Hab auch Allergie gegen Äpfel …
Durch Luftverschmutzung wird es noch bekräftigt
Schocktherapie und die Heilpflanzen helfen echt nicht
Ohne Cortison wird's hässlich

Bei Heuschnupfen (hatschu, Pollenaller-, Pollen, Pollen)
Heuschnupfen, hatschu (Pollenaller-, -allergie)
Heuschnupfen, hatschu (hatschu, Pollenaller-, Pollen, Pollen)
Heuschnupfen, hatschu (hatschu, Pollenaller-, Pollen, Pollen)
Heuschnupfen, hatschu
Wenn man wap-bap, da da di da da
(BibisBeautyPalace „How it is (Wap Bap...)”)

Ich würd' so gerne Sänger sein
Nur kann ich gar nicht sing'n
Ich würd' so gerne Texte schreiben
Doch krieg das nicht hin
Für den Erfolg fehlt nur noch ein
Refrain, den man erkennt
Dafür lad' ich mir Tiere ein
Denn ich hab' kein Talent

Sie sing'n:
*Waff-waff*, *waff-waff-wiff-wa-waff*
*Miau-miau*, *ma-miau-miau-mau-mau-mau*
*Quak-quak*, *quak-quak-quak-quak-quak-quak*
Alle Tiere sing'n:
*Muh-muh*, *muh-muh-möh-muh-muh*
*Tröt-tröt*, *trö-trö-trö-trö-trö-trö*
*Wramm-wramm*, *wrammammrmamr …*

UND JETZT 'N REMIX!

Embed"
9,DJ Snake - Let Me Love You,"164 ContributorsTranslationsPortuguêsFrançaisLet Me Love You Lyrics
I used to believe
We were burnin' on the edge of somethin' beautiful (Somethin' beautiful)
Somethin' beautiful (Somethin' beautiful)
Sellin' a dream
Smoke and mirrors keep us waitin' on a miracle (Oh)
On a miracle (Oh)

Say, go through the darkest of days
Heaven's a heartbreak away
Never let you go, never let me down
Oh, it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down

Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Oh, no, no, no, no, no
Oh, no, no, no, no
See DJ Snake LiveGet tickets as low as $42You might also like
(Oh-oh)
(Oh-oh)
(Oh-oh-oh)

Don't fall asleep (Ooh)
At the wheel, we've got a million miles ahead of us
Miles ahead of us
All that we need (Oh)
Is a rude awakening to know we're good enough
(Yeah) Know we're good enough

Say, go through the darkest of days
Heaven's a heartbreak away
Never let you go, never let me down
Oh it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down

Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Oh, no, no, no, no, no
Oh, no, no, no, no
(Oh-oh)
(Oh-oh)
(Oh-oh-oh)

Never let you go, never let you go, go
Never let you go, never let you go, go
Never let you go, woah
No, never let you go, woo
Never let you go, never let you go, go
Never let you go, never let you go, go
Oh, no, no, no, no
Never let you go, yeah, yeah
No, never let you go

Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you88Embed"
