,artist_title,lyrics
0,Danny Ocean - Me Rehúso,"39 ContributorsMe Rehúso Lyrics

Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Para todos aquellos amores que, que fueron obligados a ser separados
Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Esta canción es para ti

Dime cómo le explico a mi destino que ya no estás ahí
Dime cómo haré para desprenderme de este frenesí
Esta locura que siento por ti
Con esta química que haces en mí
Y ya no puedo, girl, ya no puedo, girl

Nena discúlpame si te ilusioné yo no lo quise hacer
Sé que en el amor cuando es real ese vuelve, vuelve (Vuelve, vuelve)
Pero cómo olvidar tu piel y cómo olvidarte mujer
Ya no puedo, girl, ya no puedo, girl

Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo (Haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby
See Danny Ocean LiveGet tickets as low as $29You might also like
Sin mirar atrás, sin buscar a nadie más
Sólo quiero estar contigo, wouh
Si no te tengo aquí conmigo yo no quiero ser tu amigo
Porque tú eres mi camino, wouh
Y yo sólo quiero estar junto a ti
Nena, por favor entiéndelo
Sólo dame tu mano y confía en mí
Si te pierdes sólo sigue mi voz
Y dale tiempo (Tiempo), mami, al tiempo (Tiempo)
Que tú, que yo, estamos hechos para estar los dos
Y dale tiempo (Tiempo), baby, al tiempo (Tiempo)
Que tú y yo, que tú y yo
Estamos hechos para estar los dos

Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo (Haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby
Baby, no
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta, baby
Así, así, así como te gusta, baby

Baby no
Baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta baby
Y baby, no (Baby, no)
Me rehúso a darte un último beso así que guárdalo (Guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así
Así como te gusta baby21Embed"
1,J Balvin - LA CANCIÓN,"2 ContributorsNew Music Friday 06/28/19 LyricsEd Sheeran - Beautiful People (feat. Khalid)
Daniel Caesar - LOVE AGAIN
Chris Brown - Don't Check On Me (feat. Justin Bieber & Ink)
The Black Keys - Walk Across The Water
Ellie Goulding - Hate Me (with Juice WRLD)
J Balvin - QUE PRETENDES
Mustard - Ballin' (feat. Roddy Ricch)
Rich Brian - Yellow (feat. Bekon)
mxmtoon - high & dry
Kygo - Higher Love
H.E.R. - Racks (feat. YBN Cordae)
Daniel Caesar - SUPERPOSITION
Julia Michaels - Hurt Again
BENEE - Glitter
Marshmello - Room to Fall
Carnage - Wait For Me (feat. G-Eazy & Wiz Khalifa)
Delacey - The Subway Song
Grace VanderWaal - Ur So Beautiful
Joyner Lucas - Broke and Stupid
BTS - Heartbeat (BTS World Original Soundtrack)
NF - When I Grow Up
Clairo - Closer To You
Conan Gray - Checkmate
Evie Irie - Bitter
Red Hearse - Red Hearse
Vampire Weekend - I'm Goin' Down - Recorded at Electric Lady Studios NYC
Annie Hamilton - Kitchen
serpentwithfeet - Receipts (feat. Ty Dolla $ign)
Daniel Caesar - FRONTAL LOBE MUZIK
Chris Brown - Need A Stack
Freddie Gibbs - Palmolive feat. Pusha T. & Killer Mike (feat. Pusha T & Killer Mike)
Daddy Yankee - Si Supieras
J Balvin - LA CANCIÓN
G-Eazy - Spectacular Now
Céline Dion - Flying On My Own
Why Don't We - Come To Brazil
Andy Grammer - Some Girl
Ingrid Michaelson - Young and in Love
Leah Kate - Girl on Girl
Chris Lane - Big, Big Plans
Brittany Howard - History Repeats
Thom Yorke - I Am a Very Rude Person
Lucy Dacus - Forever Half Mast
Liam Gallagher - The River
Juicy J - Three Point Stance (feat. City Girls & Megan Thee Stallion)
Rich The Kid - Party Bus
Fat Joe - Pullin
Phora - Forgive Me
Neck Deep - She's A God
Bring Me The Horizon - mother tongue - Recorded at Spotify Studios NYC
Furious Monkey House - Echoes
Sasha Sloan - Dancing With Your Ghost
Tori Kelly - Sorry Would Go A Long Way
Yuna - Pink Youth
Trixxie - All Of My Life
CNCO - De Cero
Big K.R.I.T. - Addiction (feat. Lil Wayne & Saweetie)
Mez - Upset
A$AP Ferg - Wigs (feat. City Girls & ANTHA)
Lil Yachty - Go Krazy, Go Stupid Freestyle
Bhad Bhabie - Get Like Me (feat. NLE Choppa)
Kevin Gates - Push It
Baby Rose - All To Myself
Marlhy - Claustrophobic
Adam Lambert - Comin In Hot
Kassi Ashton - Field Party
JP Saxe - Same Room
Meghan Trainor - Hurt Me - From ""Songland""
Johnta Austin - Love Angel
Ty James - Heartbreak City
Slushii - Far Away
Caravan Palace - Plume
ayokay - Things Fall Apart
Boston Bun - Don't Wanna Dance
Alok - The Wall
K.Flay - Not In California
Silverstein - Burn It Down
Korn - You'll Never Find Me
Jeremy Renner - Heaven Don't Have a Name
Digital Farm Animals - Without You Now (feat. AJ Mitchell)
Kim Petras - Icy
Wifisfuneral - WYA, Pt. 2
Landon Cube - 17
RIZ LA VIE - Saturn
Michael Brun - Eda
Conor Maynard - Hate How Much I Love You
Stanaj - Love Me
Gigi Cesare - Obsessed
Felix Jaehn - Love On Myself
Global Dan - Runaway
Runaway June - We Were Rich
Josie Dunne - Ooh La La
Njomza - No One Is Spared
Frawley - Losers
Isle Of You - Hard to Forget
Ajani Jones - Lucid
Zero - Aim Steady
Jaydayoungan - Dead Man Walking
Foley - Can't Help the WayEmbed"
2,Bad Bunny - Me Porto Bonito,"33 ContributorsTranslationsEnglishDeutschFrançaisMe Porto Bonito Lyrics

Yeah-yeah-yeah-yeah-yeah-yeah, ey
En la guagua se quedó el olor de tu perfume
Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une
Ella sabe que está buenota y no la presumen
Si yo fuera tu gato, subiera una foto los vierne' y los lune' (So)

Pa' que to' el mundo vea lo rica que tú está', que tú está'
Contigo tengo que apretar
Y еn la calle ando suelto, pero por ti mе quito
Si tú me lo pide', yo me porto bonito
Y subo un selfie pa' que vean lo rica que tú está', que tú está'
Las otras tienen que apretar
En la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito (Ey, ey)

Tú no ere' bebecita, tú ere' bebesota
Frikitona, ma', se te nota
Le gustan los trío' cuando está en la nota
Si el novio no sirve, de una lo bota
Y wow, mami, dime dónde dejo el résume (Résume)
Sé que te dejaste hace un me' (Ey, ey)
Y de una de pecho me zumbé
Si quiere' te hago un bebé o te traigo la plan B
Uff, mami, qué rica tú te ve'
Pa' los 2000 escuchaba RBD
Y ahora quiere perreo, to'a la noche en la pared
THC, no CBD
You might also like
Mami, tú ere' élite (Ey), no te me limite' (Okey)
Déjame hacerte lo que amerite y te levite
Dale pa'l escondite (Ey), no te me arisque' (So)
Que aquí no va a poder llegar lo' satélite' (Oh)
Mami, sube algo, dame contenido
Ese culo súbelo má' seguido
Me paso jangueando, a ver si coincido, ey
Y por fin doy contigo
Mai, nuestra' bellaquera' nunca la' olvido
Ninguna como tú a mí me ha complacido
Tú cree' que a toda' siempre les digo lo mismo
Quiere chingar, pero no quiere na' fijo, ey
Pero en confianza me confiesa
Dice que nadie le interesa
Pero cuando sale, se pone traviesa (Ey)

Pa' que to' el mundo vea lo rica que tú está', que tú está', ey
Contigo tengo que apretar
Y en la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito8Embed"
3,Eslabon Armado - Ella Baila Sola,"3 ContributorsElla Baila Sola (RayBurger Remix)  Lyrics""]

Compa, ¿qué le parece esa morra?
La que anda bailando sola me gusta pa' mí
¡Bella! Ella sabe que está buena
Que todos andan mirándola cómo baila
Me acerco y le tiro todo un verbo
Tomamos tragos sin peros, solo tentación
Le dije: ""Voy a conquistar tu familia, que en unos días vas a ser mía""
Me dijo que estoy muy loco, pero le gusta
Que ningún vato como yo actúa

One
One, two
One, two
¡Bella!You might also likeEmbed"
4,Junior H - El Azul,"17 ContributorsTranslationsEnglishEl Azul Lyrics

Qué detallazo pa' mensajear con la muerte
Una colt siete chinos que de retrato trae
Al señor de la montaña, de los drones y demás
Cuernos del diablo junto a mi seguridad
Viejo lobo en verguiza para el polvo traficar
Dios siempre me cuida y mi gorrita de Elegua

En la sangre traigo el 701
Melena de león, pues vengo de uno
Siempre amafiado, pues no somos culos
Bajo perfil el chavalón y se le extraña
Aunque se fue, nunca se le olvida
Bélicos ya somos, bélicos morimos

Y con el corridón del Ángel Azul
A Dios le pido perdón por los pecados
Pero así es esto

Pura Doble P viejo
Puro Junior H viejo
You might also like
Rolls-Royce azul
Como el de aquellos botones
Que pa' la finiquera seguido ya han de brincar
Me enamoró el dinero, quiero, quiero y quiero más
Cuernos del diablo y un comando mi seguridad
Viejo lobo en verguiza para el polvo traficar
Dios siempre me cuida y mi gorrita de Elegua

En la sangre traigo el 701
Melena de un león, pues vengo de uno
Siempre amafiados, pues no somos culos
Bajo perfil el chavalón y se le extraña
A un RZR, el que nunca se olvida
Bélicos somos, bélicos morimos

Y con el corridón del ángel azul
Le pido perdón a mi Dios por los pecados
Pero así es esto

¡Ayayai!Embed"
5,Bad Bunny - Ojitos Lindos,"7 ContributorsTranslationsEspañolDeutschItalianoBad Bunny & Bomba Estéreo - Ojitos Lindos (English Translation) Lyrics
I have listened to my heart for a long time
And the days and months pass, thinking of your smell (Your smell, your smell)
The time has come to start reasoning
Before it's too late and I accidentally break in half (Break in half)

Before the sun comes up, step on the gas
Even if you don't have a brake and lose control
It'll only be us two, you and I caressing each other
In the midst of time, not saying goodbye

And just look at me with those pretty eyes
'Cause with that, I am finе, today I have been reborn

I haven't hеld somebody's hand in a while
I haven't sent a ""Good morning, I love you"" in a while
But you've got me entangled, I got involved
I was on my own way and I got lost (Ayy, ayy)
My gaze changed when I saw your eyes (Your eyes)
Bye-bye to the booties, I didn't even say goodbye to them
I didn't look for you, no, we bumped into each other through our path
Your soul is the one I connect with (Street)
Stay calm, it doesn't have to be perfect, no
There are no sins here and making mistakes is beautiful
Mistakes are pleasures, just like all your little kisses
You might also like
And just look at me with those pretty eyes
'Cause with that I am fine, today I have been reborn
And just look at me with those pretty eyes
'Cause with that I am fine, today I have been reborn

You and I, you and I, you and I
You and I, you and I
You and I, you and I, you and I
You and I, you and I
You and I, you and I
You and I, you and I

I don't allow myself to be carried away
I only get carried away by your smile
And the mole near your lips
If I'm crazy, you're crazier
But baby, there's nobody like you, no
I want to give you sunflowers
Go to the beach and get seashells for you
When I'm with you, I don't look at the Role'
Let's dance to two hundred songs
Nobody turns me on the way you do
Mm-mmm, mm-mmm-mmm-mmm
Mm-mmm, mm-mmm-mmm-mmm
I talk to God and you are his answer
I learned that pretty moments are priceless
Like when you gift me your gaze
And the sun its setting and the sun its setting
Hey, hey, when I'm on top of you, of you
Mami, I forget everything, everything
Nobody is needed here, just you and me
Before the sun comes up, step on the gas
Even if you don't have a brake and lose control
It'll only be us two, you and I caressing each other
In the midst of time, not saying goodbye

And just look at me with those pretty eyes
'Cause with that I am fine, today I have been reborn
And just look at me with those pretty eyes
'Cause with that I am fine, today I have been rebornEmbed"
6,Bad Bunny - Efecto,"9 ContributorsTranslationsEspañolDeutschItalianoBad Bunny - Efecto (English Translation) Lyrics
Yeah-yeah-yeah-yeah-yeah-yeah
Eh-eh-eh-eh

I don't know if it's a coincidence that I feel this way
Every time you're close to me
Tell me what you did to me, what drug did you give me
'Cause I haven't been the same ever since that night
You look at me and I start sweating
I feel like I can fly

Baby, the high is starting to kick in
My world is fucked up and I feel perfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight
Bеcause the high is starting to kick in
My world is fucked up and I feel pеrfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight

Not this one, this one
Not this one, this one
Not this one, this one
Not this one, this one
You might also like
That man of yours lost you due to negligence
And I don't believe in abstinence
Tonight in bed there'll be turbulence
How good you suck on it, I'll give you permanency
That pussy is the eminence
I have a license to give it to her
Ever since we went to Florence
She got meaner, but she hasn't lost her essence
No, no, from Carola
No, no, no, she's not alone
No, no, don't say ""Hi"" to her
Or you'll be another one in line
I like your attitude
I'm fan of that pussy (Mwah, mwah)
Besides the weed, the Xanax, the coke and the molly (Nothing else)
You're the one that controls me, ah (Ayy, hehe)

In your eyes I see the sea, mami, carry me in your wave (You're reckless)
Today I feel like a slut, so good, ayy

Because the high is starting to kick in
My world is fucked up and I feel perfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight1Embed"
7,Natanael Cano - AMG,"18 ContributorsTranslationsEnglishAmor Tumbado Lyrics

Para ser directo, no me arrepiento
Cosas de la vida o de la mía
Tú fuiste un momento y te agradezco
Pero no eras mía y lo sabías

No fue mucho tiempo, eso lo acepto
Pero creía lo que sentía
No respondías y me moría
Tú me tenías y lo sabías
Yo no soy aquel que te dio rosas
Pero te di mi corazón, y es más valiosa
La forma en que te trataba y lo superé

La canción se acaba y tú constante
El WhatsApp me lo estás llenando de mensajes
Que ya no llames
Que el amor también se vuelve odio recordé

Lil' bitch
Nata, ¡e-ah!
See Natanael Cano LiveGet tickets as low as $71You might also like
No fue mucho tiempo, eso lo acepto
Pero creía lo que sentía
No respondías y me moría
Tú me tenías y lo sabías
Yo no soy aquel que te dio rosas
Pero te di mi corazón, y es más valiosa
La forma en que te trataba y lo superé

La canción se acaba y tu constante
El WhatsApp me lo estás llenando de mensajes
Que ya no llames
Que el amor también se vuelve odio recordé15Embed"
8,Luis Miguel - Ahora Te Puedes Marchar,"16 ContributorsAhora Te Puedes Marchar Lyrics

Si tú me hubieras dicho siempre la verdad
Si hubieras respondido cuando te llamé
Si hubieras amado cuando te amé
Serías en mis sueños la mejor mujer
Si no supiste amar
Ahora te puedes marchar
Si tú supieras lo que yo sufrí por ti
Teniendo que olvidarte sin saber por qué
Y ahora me llamas, me quieres ver
Me juras que has cambiado y piensas en volver
Si no supiste amar
Ahora te puedes marchar

Aléjate de mí
No hay nada más que hablar
Contigo, yo perdí
Ya tengo con quién ganar


Ya sé que no hubo nadie que te diera lo que yo te di
Que nadie te ha cuidado como te cuidé
Por eso, comprendo que estas aquí
Pero ha pasado el tiempo y yo también cambié
Si no supiste amar
Ahora te puedes marchar
See Luis Miguel LiveGet tickets as low as $37You might also like
Aléjate de mí
No hay nada más que hablar
Contigo yo perdí
Ya tengo con quién ganar

Ya sé que no hubo nadie que te diera lo que yo te di
Que nadie te ha cuidado como te cuidé
Por eso, comprendo que estas aquí
Pero ha pasado tiempo y yo también cambié
Si no supiste amar
Ahora te puedes marchar

Si no supiste amar
Ahora te puedes marchar2Embed"
9,Peso Pluma - PRC,"1 ContributorPRC (Apple Music Live) Lyrics

Esto se llama ""PRC""


Me levanto, un baño y luego me pongo a forjar
Es veneno, da pa' arriba, de muy buena calidad
Los teléfonos no paran nunca de sonar
Si no es alguna plebita, es porque un cliente quiere más

Y bien forrados los paquetes van
No hay pendiente, no puedo fallar
Siempre estoy listo para cruzar
Polvo, ruedas y también cristal
Aquí el papelito viene y va
Las morritas bien locas se van
Disfrutemos, esté bien o mal
De esta vida no me vo'a quejar


Fino con las Balenciaga, corridos bien vergas sonaban
Las morritas muy bien bailaban, y yo ando Silver LV
Siento que ando volando ya, carnal
Y aquí nunca nos vamos a quejar
¿Para qué vamos a voltear pa'trás?
No hay pedo, yo le vo'a atorar
See Peso Pluma LiveGet tickets as low as $20You might also like
Y bien forrados los paquetes van
No hay pendiente, no puedo fallar
Siempre estoy listo para cruzar
Polvo, ruedas y también cristal

¡Arriba México!Embed"
