,artist_title,lyrics
0,CKay - love nwantiti,"46 ContributorsTranslationsDeutschEnglish​love nwantiti (ah ah ah) Lyrics
(Tu-tu-tu, tu-tu-tu-tu-tu)
(Tu-tu-tu-tu, tu-tu-tu-tu-tu) Yeah

My baby, my valentine, yeah
Girl, na you dey make my temperature dey rise
If you leave me, I go die, I swear
You are like the oxygen I need to survive
I'll be honest
Your loving dey totori me
I am so obsessed
I want to chop your nkwobi

Ule, your body dey gbakam isi
Ule, open am make I see
Ule, nyem love nwantiti
Wey fit make a bad man sing ""Oh-ahh""

Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
You might also like
Baby girl, where you from come? Yeah
Your body na follow come, yeah
No be silicon, uh
Baba God e finish work, eh-eh-eh-eh-eh
Without you, I go fit lose my mind
Without you, I go fit fall and die
Without you, I go give all my life
Without you, without you

Ule, your body dey gbakam isi
Ule, open am make I see
Ule, nyem love nwantiti
Wey fit make a bad man sing ""Oh-ahh""

Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah

You mean the world to me
You're my living fantasy
I-I-I, I love you
I-I-I put no one above of you
Lover, don't give this love to nobody
Lover, don't call another nigga ""honey""
Lover, lover, I wanna be your lover
Forever, forever
Tu-tu-tu, tu-tu-tu-tu-tu
Tu-tu-tu-tu, tu-tu-tu-tu-tu
(Tempoe) CKay, yo12Embed"
1,ElGrandeToto - Mghayer,"33 ContributorsTranslationsEnglishMghayer Lyrics
Bou7di kan3ani f'la vie , w 7ta 7aja ma bghat t9add
Salaire bou7do ma kafich, la kan zahri ma 3atich
10 Juillet cheftek mchiti, bla mangoul ""Bye Bye""
Galbi mennek ma sakhich ya mma, weldek ma nassikch (wow)
Rou7i west l'khafafich, ga3ma ted3e9ha matraque
Kayn gha ""Oui"" pas de ""c'est à dire"", Big Merco w pas d'citadine
Rez9i mes amis w ma plume, Marijuana w back-pack
Ktaba f'nssasat lil, bali dawi w ba9i

Mghayer, w mghayer
Bali ba9i mghayer, w mghayer
Soughri kamel daye3, w daye3
Mousta9bali m7eyyer, w m7eyer yeah

Quatorza te7t l'9amiss, parqué west l'block-block
Ch7al men mountif tabe3ni, sbabi les amphétamines
Derbi weldou ma sa7ich, baghi guimt l'Blackjack
B'miziria ma radich, nad kaytajer fel 7achich
Va Bene, ma 3la balich b'achnou gali babak
Gha zidi bla "" Walakin , Ghadi bia win awin ?""
Seyfi daz 3endi kharif, chta men 3eyni toc-toc
Kami f'nssasat lil, bali dawi w ba9i
See ElGrandeToto LiveGet tickets as low as $66You might also like
Mghayer, w mghayer
Bali baqi mghayer, w mghayer
Soughri kamel daye3, w daye3
Mousta9bali m7eyyer, w m7eyer yeah

Tout l'temps kan rappi ma vie, Grande Tony comme Sosa
Sous-écoute, chaque samedi, y'a la Popo qui demande ""Qué Pasa""
Jwani mdowi, dmagh tafi moula coffré fchi Passat
Tout l'temps kat fake f'ta vie, wili cono dis pas ça
Ouais dis pas ça, motherfucker dis pas ça, (eh)
Koul disque 3endi ki le ""Dernier Jour d'un Condamné""
4 piges déjà que la vie d'artiste m'a gâté
C'est pas ton cœur, c'est la musique qui m'a bazardé

Ga3ma bghawni n3ich à l'aise, b'mountif balaise
Ntla7 m3ahoum foug chi falaise ouais
Ra bayna twe7echt tes caresses, 3eynik gha f'mon salaire
Ze3ma gelna bent nass, ouais
Dommage ma3endich Tokarev
F'blad l'Marijuana j'fais qu'me noyer dans mes rêves ouais
Kan3ich ma vida b'mada9 amer
Dima f'bali ma mère, kami jwani face la mer ouais
Mghayer, mghayer mghayer
Flous d'l'3am katji f'la semaine, eheh
Mghayer, mghayer mghayer
Sebri m'kali rasso b'Pollen
Mghayer, daye3 daye3
Bouhdi kanfucki f'tes collègues
Mghayer, mghayer mghayer
Flous d'l'3am katji f'la semaine
Mghayer, w mghayer
Bali baqi mghayer, w mghayer
Soughri kamel daye3, w daye3
Mousta9bali m7eyyer, w m7eyer yeah5Embed"
2,Snor - Dawk Lya,"6 ContributorsDawk Liya Lyrics

Ah! emm! emm!

Liyam gheddara, chaghla bali w khelliti lamara
Kliti mali, w dbalet nowara
Hani bali, ra kaychouf Moulana (Moulana)
Wakha dmou3 tsali, f 3ayni dlam wa la 2ara
Wakha dmou3 tsali, f 3ayni dlam wa la 2ara
(Emm) Cagouli t9il wraya ghi dbaba
Ana w dmaghi nayda mgar3a nefsi karha
Kerchi kbira khtawti sghira wakha capable
3yaw ma ygoulouli la dir lfalta
Weldi ga3 ma ti9 kaywessi baba (kaywessi)
3yaw ma ygoulouli la dir lfalta
Weldi ga3 ma ti9 kaywessi baba

Weldi ga3 ma ti9 kaywessi baba
Kaywessi baba, kaywessi baba, yeah!

Ya wgha teb9a fel bal, wakha dawk liya
W bach gha ncheffi l3edyan, w dawk liya
Wakha ndo9 f ga3 l'bwab, dawk liya
Wakha ndour w ntouf l'blad, ya dawk liya
Ya wgha teb9a fel bal, wakha dawk liya
W bach gha ncheffi l3edyan, w dawk liya
Wakha ndo9 f ga3 l'bwab, dawk liya
Wakha ndour w ntouf l'blad, ya dawk liyaYou might also like1Embed"
3,Draganov - 3DABI,"19 Contributors3DABI Lyrics
W ch7al sbert w tal 3dabi
Ra mn 3inihom bayna keddabin
Chkon lli m3aya? w chkon sbabi?
Rmit saroute w sdit babi

3ayech f 3alam parallèle
F jibi morceau caramel
Machi nefss les paramètres
Li 9ebli le7sso la gamelle
L'psy diyali khasso psy
W l'9elb diyali khasso nti
L39el baghi les centimes
Ghadi w kan9tel les sentiments
Kolla nhar w feeling
Cheb 7essni fl vinyl
Wana tal 3dabi sinin
Mazal c'est pas fini
Kissaynoni haters fl habta
W sebt lila khabta
Khelli chabiba nachta
A makaynch li tab tab
Khrejt fl 7elma ngolik ""coucou""
3chiri 9assina beaucoup
Kanchouf l'futur machi rétro
Makaynch plan secours
Machi 7ajra machi robot
Ta mn 3damek ghadi doubou
Manssina la b canetta la b ittro
Ra ma3refnach nssogo
You might also like
W ch7al ssbert w tal 3dabi (tal 3dabi wllah)
Ra mn 3inihom bayna keddabin (kddabin wllah)
Chkon li m3aya? w chkon sbabi? (chkon sbabi? wllah)
Rmit saroute w sdit babi (sddit babi)

Sddit 9elbi ssafi
Ch3elt ddo li tafi
7it ta f derbi dlam lli ghalеb
W 9elbi Allah li 3alem
Sddit 9elbi ssafi
Ch3еlt ddo li tafi
7it ta f derbi dlam lli ghaleb
W 9elbi Allah li 3alem

Ma tme3ch f trophée (yeah!)
Noyer fl'ewssekh l'oseille
Khass li z3em o li osait
Rap marokki ça sent mauvais
B9ina coute que coute solide
Sa7bi mcha l'goût gbel couvid
Nkhalli blassti ki Kobe (yeah!)
F had l'base ana l'phobie
3aref rassi ana fautif
Wakha kanhreb mn l'mountif
Safi y'en a marre mn l'hmoum (yeah!)
Bnadem m9awed w mssmoum (yeah!)
Dima kayn wakha nbalek absent
Te3refni mnin jay ghi mn l'accent
Ghaba hadi wana tarzan
Safi mab9itch petit garçon
3yit nghwet ki rje3 ghi l'eco
Ba9i mdareb ghi m3a ro7 w l'ego
Twe7echt li 3acht f l'école
Tel3oli f kerri les comptes
3chiri jini face jini good
Zebbi twa7echt rassi ki kont
Soghri daz kaml ki Rico
W l'mouri fake silicone
W ch7al ssbert w tal 3dabi (tal 3dabi wllah)
Ra mn 3inihom bayna keddabin (kddabin wllah)
Chkon li m3aya? w chkon sbabi? (chkon sbabi? wllah)
Rmit saroute w sddit babi (sddit babi)

Sddit 9elbi ssafi
Ch3elt ddo li tafi
7it ta f derbi dlam lli ghaleb
W 9elbi Allah li 3alem
Sddit 9elbi ssafi
Ch3elt ddo li tafi
7it ta f derbi dlam lli ghaleb
W 9elbi Allah li 3alem

W ch7al sbert o tal 3dabi
Ra mn 3inihom bayna keddabin
Chkon li m3aya? w chkon sbabi?
Rmit saroute w sddit babi
Sddit 9elbi ssafi
Ch3elt ddo li tafi
7it ta f derbi dlam li ghaleb
W 9elbi lah li 3alem
Sddit 9elbi ssafi
Ch3elt ddo li tafi
7it ta f derbi dlam li ghaleb
W 9elbi Allah li 3alemEmbed"
4,Niro - Qui sait ?,"19 ContributorsQui sait ? Lyrics

Ambition Music
Voluptyk

C'est d'la faute à la Beluga et c'est la faute à la Ruinart si ce soir on leur fait rwina
Et bientôt, on reprend Palerme, N.I.R.O, Provenzano, ElGrandeToto Riina
On leur crée des dommages, ils parlent de stories normal, comme si leur daronne était là
J'ai grandi dans les favelas, tu m'fais le gros de Marbella, allez nique-moi ta mère de là, eh
Noche danger west l'mdina, tassa, Marie-Jeanne f yeddina, naqsana gha l'carabina
Ga3 ma tchofna 3la rkabina, mеntalité, comportement, N.I.R.O, Toto Riina
Jay men tiеks anormal, l'crimi 3endi normal même quand la daronne était là
Bambino weld l'favela, que des vero marocchino, fin ma mchina nayda rwina

On va s'relever, qui sait ?
W ana sbabi l'kissan
On va s'relever, qui sait ?
Kannessi f ma misère

Ils pourront pas dire qu'c'est pas mérité (ils pourront jamais l'faire)
Ils peuvent pas dire qu'c'est pas mérité (ils pourront jamais l'faire)
J'ai noyé mon cœur, il est resté à la cité
Il est resté à la cité
Ici, on a tous khalass des jours d'ITT
Tous khalass des jours d'ITT
La rue, quand ils y allaient, on y était
Quand ils y allaient, on y était
Berzettini, là, j'suis pété
S7ablek gha plan d'été
3la weddek sbe7t ana endetté
Donc, viens pas m'embêter
Semmitek f iPhoni ""mon bébé""
Semmitek ""mon bébé""
3la weddek sbe7t ana endetté
Donc, viens pas m'embêter
You might also like
On va s'relever, qui sait ?
W ana sbabi l'kissan
On va s'relever, qui sait ?
Kannessi f ma misère

Tu connaissais pas vraiment ma folie, tu m'as follow, tu m'as connu, tu m'as aimé bessif
J'ai du roro sur mon disque et sur ma Rollie, pourtant j'ai grandi au bled avec des serraq zit
Bébé tu connaissais pas vraiment ma folie, tu m'as follow, tu m'as connu, tu m'as aimé bessif
J'ai du roro sur mon disque et sur ma Rollie, pourtant j'ai grandi au bled avec des serraq zit
Bébé tu connaissais pas vraiment ma folie, tu m'as follow, tu m'as connu, tu m'as aimé bessif
J'ai du roro sur mon disque et sur ma Rollie, pourtant j'ai grandi au bled avec des serraq zitEmbed"
5,Mons - Lovini,"2 ContributorsLovini LyricsChicka, sokara
7na tzadina fo9ara
Droka, ghadi n3icho vida loca
Floka, dima fdahri chokara (eh ah)
Deghya kadouz liyam (coco)
Ba9i dima meyek (beaucoup)
Bébé 3a9li mkeyef (choko)
9albi li b9a fiya (beaucoup)
Jamais ghankoun taba3
Hado ghaydorouk wbidoun sabab
Hadi ghi la vie kando9o 3dabha
Tfakri dak lward ghayweli dabel
I love you baby
Nsit wrassi kandipanih daba
Hadi ghi la vie kando9o 3dabha
Tfakri dak lward ghayweli dabel
Bwa7di nit makach li ysovini
Droguini ghir rassi li lovini
W3a9li li movini movini
Lgalb 9sa7 nti jamais tsoguini
Wba9i ghir bwa7di nit mab9itich tsovini
Droguini ghir rassi li lovini
Bedlet esifa
Tban lik malak whiya LUCIFER
You might also like3achert lgamra wedlam lil
Gatlek bébé jamais ghankhalik
7ata men galbi cha3la fih fire
7ata men yedi raditha tefaya
W7ata bejuini 3a9li rah tayer
Jamais ghankoun taba3
Hado ghaydorouk wbidoun sabab
Hadi ghi la vie kando9o 3dabha
Tfakri dak lward ghayweli dabel
I love you baby
Nsit wrassi kandipanih daba
Hadi ghi la vie kando9o 3dabha
Tfakri dak lward ghayweli dabel
Bwa7di nit makach li ysovini
Droguini ghir rassi li lovini
W3a9li li movini movini
Lgalb 9sa7 nti jamais tsoguini
Wba9i ghir bwa7di nit mab9itich tsovini
Droguini ghir rassi li loviniEmbed"
6,ElGrandeToto - Haram (Pablo II),"13 ContributorsHaram (Pablo II) Lyrics

7ata 9bel la célébrité ch7al men bab de9ina
Ghadi b'ma politique m'akhirtha ghansali killa'
West men BNJ ch7al men soumoum khay dekkina
Teba3na lli zahi bina w nsina dik li mbekina
Ça vend d'la re-pu west men derbi kola lila
Darna chafouni peace jamais 3arfo Taha deala'
Meme west l'villa b'ga3 les pesos f'bali l'mima
Ma tkhafich ra l'bambino number uno f'koula mdina

Hey, cinq ans w ana mrisqui j'ai pas fait la fac
Zen9a me finance pas l'état kmiti khserti fallait pas
100k f'la kichta m'bombi l'agenda
Khserti budget f'coke et bar, motherfucker fallait pas ouais
Seum coca-cola west l'capitale
Puta visser sans les bas, motherfuckеr faut les barres ouais
Soldat BNJ Bloc C Solidad
Zen9a mе finance pas l'état motherfucker faut les barres

Qu'des jeunes agressifs
Kolchi ki blesser, chi kiybi3 chi kigrissi
Hachichi fassi, seum west l'adhésif
Ça vient d'la té-ci, rares sont ceux que m'apprécient
Qu'des jeunes agressifs, men Casa l'Guercif
Kolchi ki blesser, chi kiybi3 chi kigrissi
Hachichi fassi, seum west l'adhésif
Ça vient d'la té-ci, rares sont ceux que m'apprécient
See ElGrandeToto LiveGet tickets as low as $66You might also like
Yeah, Kolchi baghi dollar bills
Chemise d'été, Bissap Audi TT
Ta rassi m'kali b'cannabis
Avenue liberté, fissa3 kolchi pété
Kolchi baghi dollar bills
Chemise d'été, Bissap Audi TT
Ta rassi m'kali b'cannabis
Avenue liberté, fissa3 kolchi pété

7aram menkom 7aram
Foutouni, ta ra 3ayech gha f'dalam
Dalam west men dalam
Ghadi b'naddarat, tale3 fo9 haram
Haram fo9 men haram
F'3ayni li bgha l'7ob w l'gharam
7aram menkom 7aram
Foutouni, ta ra 3ayech gha f'dalam
Yeah, yeah! Sabotage b'alcool ou seum hollandais
Yeah, yeah! West la tess' on t'nique ta mère sans karaté

Qu'des jeunes agressifs, men Casa l'Guercif
Kolchi ki blesse, chi kiybi3 chi kigrissi
Hachichi fassi, seum west l'adhésif
Ça vient d'la té-ci, rares sont ceux que m'apprécient
Kolchi baghi dollar bills
Chemise d'été, Bissap Audi TT
Ta rassi m'kali b'cannabis
Avenue liberté, fissa3 kolchi pété
Kolchi baghi dollar bills
Chemise d'été, Bissap Audi TT
Ta rassi m'kali b'cannabis
Avenue liberté, fissa3 kolchi pété

Qu'des jeunes agressifs, men Casa l'Guercif
Kolchi ki blesse, chi kiybi3 chi kigrissi
Hachichi fassi, seum west l'adhésif
Ça vient d'la té-ci, rares sont ceux que m'apprécient
Qu'des jeunes agressifs, men Casa l'Guercif
Kolchi ki blesse, chi kiybi3 chi kigrissi
Hachichi fassi, seum west l'adhésif
Ça vient d'la té-ci, rares sont ceux que m'apprécient

Cinq ans w ana mrisqui j'ai pas fait la fac
Zen9a me finance pas l'état kmiti khserti fallait pas
100k f'la kichta m'bombi l'agenda
Khserti budget f'coke et bar, motherfucker fallait pas ouais
Seum coca-cola west l'capitale
Puta visser sans les bas, motherfucker faut les barres ouais
Soldat BNJ Bloc C Solidad
Zen9a me finance pas l'état motherfucker faut les barres3Embed"
7,Kouz1 - Magic,"6 ContributorsMagic LyricsI love you

Ana ou yak
Taqna f baedna ou masme3t li tgali ou galou lik
Tle3na mn endna daraj ou tbe3na l7olm li bninah
Wakha bmacha9a rsemna triq li bzoujna bdinah
Koulchi daba f idina
I love you
Bebe ki ndir ne3abr lik bly i love you
Gamra dawiti smaya ou lili nour ala nour
Sarna bjouj ghi wahed yeah
Katfehmini m3eyni mni kanchoufeq
Chi li khelani man fouteq
Oh waahaa
Oh wahaaa oh waaha
Oh waahaa
Oh waaha oh waaha
Oh waahaa

Chem3a wast geton
Nasi koulchi ou bali hani hani hani
Foq notat reggaeton
R9esna mea njoum liali liali liali
Hadchi ra fat la magie
Oh mama
Li 3aychinou oh my god
Lwaqt dayz mea baedna kawaka
Mqasmin koulchii bla charakaaaaaaa
Oooooh
Faracha west lwroud, china 3younha soud
Hiya bhale haqaaaaa unique mamenhach jouj
L3ayb fiha macheftouch, tal daba macheftouch
Baby i love you
Kindir n3aber lik bli ana i love you
Gamra dewiti smaya ou lili nour ala nour
Sarna bjouj ghi whaed yeah
Katfhmini m3eyni mni kanchufeq
Chi li khеlani man fouteqYou might also likeEmbed"
8,Mocci - Talet Lghiba,"1 ContributorTalet lghiba LyricsIntro :
Talet lghiba mashuft 3einek
Katjini ghriba nshuf fghirek
Ya lmossiba 9oli finek
Jatni s3iba Ana bash n9ilek
Wash 9darti tensa libini w binek
Ayi haja dirta dirta lilek
Ga3 nas t3raf Anaya Hbibek
Wana 3lik nkhaf w ga3 man sibek
Refrain ;Mocci
Talet Lghiba""
Galbi bgha menek la reponse
Welit ghir nselek j’ai pas de chance
Ma9dartshi n9olek Adios
Welit ne3cha9 fik a distance
W haaalala talet lghiba eliyaW
Halalaa masoweltish fiya
Whaaalala chkon li ba3dek eliya
W halala w halalaa
""Verse 2""
Finek alhub Danitek raja3 Zinek mel3oub
Wana m3ak 9ana3
Blastek Ba9a w ga3 mafat lfout
Ghir nshuf fik morali yweli tala3
Ghiyabek khala fi 9albi taaba3
Kanhes bhali khiyali meni daya3
Wallah manasik tеnsak lmout
Ghir b tefkiri fik m3amar swaya3
""Refrain""
Galbi bgha menеk la reponse
Welit ghir nselek j’ai pas de chance
Ma9dartshi n9olek Adios
Welit ne3cha9 fik a distance
W haaalala talet lghiba eliya
W halalaa masoweltish fiya
Whaaalala chkon li ba3dek eliya
W halala w halalaa
""Verse 3""
Netfekar L’histoire ydorni rassi
3ech9ek damar malek 7wassi
Nhar ghibti dlamet 3liya
W haya N7awel nensak w manensashi
Ma9dartshi ndirek ana fel passé
Wla nshuf ghirek w nremplace
Wash dbesah skhiti biya
W haya 9ola bchi logha manfehmashi
""Refrain""
Galbi bgha menek la reponse
Welit ghir nselek j’ai pas de chance
Ma9dartshi n9olek Adios
Welit ne3cha9 fik a distance
W haaalala talet lghiba eliya
W halalaa masoweltish fiya
Whaaalala chkon li ba3dek eliya
W halala w halalaYou might also likeEmbed"
9,Lartiste - Zarzour,"12 ContributorsZarzour Lyrics

Ach men jil hada ach men?
Wesh nta mrid, ach men 9awm?
Bnadem, khti bnadem, bih nadem

Bnadem, dareb 7etta del wile, kharej f'nsaset lile
Bghani ana nebghih, ya 7bibti ya mousta7ile
S7abek ana kavi, chayta 3liya la vie
Zinek ma kay sauver, ya 7bibti ya mousta7ile

Wa ya baba, wa ya sidi
Wa ya rijal l'blad hadi 7yati, hada mektab
Wa ya baba, wa ya sidi
Wa ya rijal l'blad hadi 7yati, hada mektab
Wah, yeah, yeah, yeah

J'peux faire du Chaâbi pour toi, chanter dans l'cabaret sans pourboire
Approche un peu juste pour voir, j'ai le calibre, j'ai l'pouvoir
J'sais pas c'qui me désole, qu'tu fasses kiffer mon coeur, qu'tu fasses kiffer les hommes
Dans ma tête c'est l'bordel, dans mon cœur c'est l'désordre, tu contrôles toute la zone
7biba dyali, tu sais j'suis fan de toi
Wah ya dyali, ah ouais, j'suis fan de toi
Ana wyak w lile, w barcha 7kayat fel bertouche
Tkayssi 3liya ya zin, rah khouk derwich ma 3endouch
Wa ya zarzour, 3tini jna7ek ndour
Wa ya sidi ra7al, wa rani jay nzour
You might also like
Wa ya baba, wa ya sidi
Wa ya rijal l'blad hadi 7yati, hada mektab
Wa ya baba, wa ya sidi
Wa ya rijal l'blad hadi 7yati, hada mektabEmbed"
