,artist_title,lyrics
0,Davina Michelle - Duurt Te Lang,"11 ContributorsDuurt Te Lang Lyrics

We konden over alles praten, alles
Maar alles ging over de liefde, we vergaten alles
In een brief, een sms'je, in een liedje schreef ik
""Ik zal alles voor je doen en voor je liefde leef ik""
En die liefde kreeg ik, en vaak in overmate
Je kon de drempels van het leven aan me overlaten
Je zag die meiden haten, want ik had m'n superheld
Je had je vrienden net te vaak over mij verteld
Nu staren we samen naar de tafel met de mondjes dicht
Blikken die vanzelf spreken in ons gezicht
Ik heb het overgrote deel van alles aangericht
Maar ik rijd te lang in deze tunnel en ik zie geen licht
Dus doe je ogen dicht voor onze laatste set
En denk terug aan het kleine huisje met het kleine bed
Shit, maar morgen is de pijn terug
Staan we uren op de halte, rijdt de trein terug

Het duurt te lang
We staan hier al een tijdje
En we moeten door
Dus voor de laatste keer, het spijt me
Het duurt te lang, woah
Het duurt te lang
We staan stil, wat jij wil, wat ik wil
Het duurt te lang
See Davina Michelle LiveGet tickets as low as $61You might also like
Twee stille mensen aan de tafel, het is geen gezicht
Ik kan die route niet belopen met m'n ogen dicht
Je weet precies wat ik ga zeggen, 'k weet het ook van jou
En op het eind vertel ik vast hoeveel ik van je hou
En daarna slaan de deuren weer en breekt er weer een glas
Daarna valt er weer een traan en pak ik weer m'n tas
En daarna hou ik je weer stevig vast
En leg m'n kleren weer terug in de kast
(Dus) Ik hou je nog een poosje vast
(Want) Dan vergeet je nog hoe boos je was
Maar de pijn blijft zitten, dus het helpt niet
Dus waarschijnlijk is het morgen weer hetzelfde lied
De tekst komt op hetzelfde neer in dezelfde beat
Een soort van gouden verf op een blok verdriet
Conflicten zijn normaal, maar het moet ons niet verstikken
M'n tranen vallen niet, dus ik laat het liedje snikken

Het duurt te lang
We staan hier al een tijdje
En we moeten door
Dus voor de laatste keer, het spijt me
Het duurt te lang, woah
Het duurt te lang
(We staan stil, wat jij wil, wat ik wil)
Het duurt te lang4Embed"
1,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
2,Lewis Capaldi - Someone You Loved,"222 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisTürkçeالعربيةSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed"
3,Danny Vera - Roller Coaster,"14 ContributorsRoller Coaster LyricsSongtekst van Danny Vera - ""Roller Coaster""

Here we go
On this rollercoaster life we know
With those crazy highs and real deep lows
I really don't know why
And I will go
To the farthest place on earth I know
I can travel all the roads, you see
’Cause I know you're there with me

You don't have to slow me down
’Cause I will always be around
I will find my way back home
Where magnolia grows, where magnolia grows

But I guess you know
Why I do, what I do and where I go
I try to fill an empty space inside
But I can't do that without you
You're even with me in my dreams
I see a sail, the seven seas
I will try to find my way
You're always there tomorrow, you're always there tomorrow
See Danny Vera LiveGet tickets as low as $97You might also like
Here we go
On this rollercoaster life we know
With those crazy heights and real deep lows
I really don't know why
And I will go
To the farthest place on earth I know
I can travel all the roads, you see
'Cause I know you there with me
You don't have to slow me down
’Cause I will always be around
I will find my way back home
Where magnolia grows, where magnolia grows
Here we go
On this rollercoaster life we know
With those crazy highs and real deep lows
I really don’t know why
And I will go
To the farthest place on earth I know
I can travel all the roads, you see
'Cause I know you’re there with me

Here we go
On this rollercoaster life we know
I can travel all the roads, you see
'Cause I know you're there with me
'Cause I know, oh I know
You’re there with me2Embed"
4,Lady Gaga - Shallow,"256 ContributorsTranslationsEspañolNederlandsΕλληνικάFrançaisDeutschNorsk (bokmål / riksmål)Shallow Lyrics
Tell me somethin', girl
Are you happy in this modern world?
Or do you need more?
Is there somethin' else you're searchin' for?

I'm fallin'
In all the good times, I find myself longin'
For change
And, in the bad times, I fear myself

Tell me something, boy
Aren't you tired tryna fill that void?
Or do you need more?
Ain't it hard keepin' it so hardcore?

I'm falling
In all the good times, I find myself longing
For change
And, in the bad times, I fear myself

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now
You might also like
In the sha-ha, sha-hallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, sha-hallow
We're far from the shallow now

Oh, ha, ah, ha
Oh-ah, ha

I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface where they can't hurt us
We're far from the shallow now

In the sha-ha, shallow
In the sha-ha, sha-la-la-la-low
In the sha-ha, shallow
We're far from the shallow now362Embed"
5,Tom Odell - Another Love,"106 ContributorsTranslationsالعربيةУкраїнськаDeutschPortuguêsFrançaisЎзбекTürkçeAnother Love Lyrics
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights

I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart
See Tom Odell LiveGet tickets as low as $59You might also like
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh-oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh-oh-oh
(Oh, need a love, now)
(My heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up144Embed"
6,Ed Sheeran - Shape of You,"352 ContributorsTranslationsTürkçeEspañolPortuguêsΕλληνικάDeutschFrançaisItalianoالعربيةShape of You Lyrics
A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body
See Ed Sheeran LiveGet tickets as low as $74You might also like
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you409Embed"
7,Tones And I - Dance Monkey,"162 ContributorsTranslationsTürkçeEspañolРусскийDeutschFrançaisفارسیDance Monkey Lyrics
They say, ""Oh my god, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again""

I said, ""Oh my god, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin’ my whole life
But you just beg to see me dance just one more time
See Tones and I LiveGet tickets as low as $82You might also like
Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""

Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah
They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I’ll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again
All again""115Embed"
8,Marco Borsato - Hoe Het Danst,"14 ContributorsHoe Het Danst Lyrics

Sleutels vast, de deurknop heb ik in m'n hand
Maar ik twijfel of ik nog wel echt naar binnen kan
Jouw iedere beweging lijkt bij mij vandaan
'k Heb je hart zo lang niet open meer zien staan

Wil je weten hoe het danst zonder mij?
Misschien heb je meer balans zonder mij
Als het moet zet ik een stapje opzij
Als het beter, als dat beter is

Heeft het leven dan meer glans zonder mij?
Krijgt de liefde weer een kans zonder mij?
Als dat echt zo is dan laat ik je vrij
Als het beter, als dat beter is
Wil niet zeggen dat ik jou niet mis

De voordeur die gaat open en ik sla weer dicht
Al staat wat ik wil zeggen wel op mijn gezicht, oh
Ik kan niet met je praten dus ik hou me stil
Maar het voelt of je voor mij niet vechten wil
You might also like
Wil je weten hoe het danst zonder mij?
Misschien heb je meer balans zonder mij
Als het moet zet ik een stapje opzij
Als dat beter, als dat beter is

Heeft het leven dan meer glans zonder mij?
Krijgt de liefde weer een kans zonder mij?
Als dat echt zo is dan laat ik je vrij
Als het beter, als dat beter is
Wil niet zeggen dat ik jou niet mis

Ga maar kijken hoe het danst
Ga maar kijken hoe het danst
Het is niet dat ik niet wil
Maar heel de weg lijk ik vergeten
Zou niet weten welke richting
Welke weg nog leidt naar jou

Sleutels vast, de deurknop heb ik in m'n hand

Ik leer vast wel hoe het danst zonder jou
Ook al mis ik de balans zonder jou
Oh, ik hoop dat ik het kan zonder jou
Als het beter, als dat beter is
Ga maar kijken hoe het danst zonder mij
Geef de liefde weer een kans zonder mij
Als het moet zet ik een stapje opzij
Als het beter, als het beter is

Ga maar kijken hoe het danst
Ga maar kijken hoe het danst
Wil je weten hoe het danst zonder mij?
Misschien heb je meer balans zonder mij
Als het moet zet ik een stapje opzij
Als het beter, als dat beter is

Wil niet zeggen dat ik jou niet mis2Embed"
9,Kris Kross Amsterdam - Hij Is Van Mij,"14 ContributorsHij Is Van Mij LyricsSongtekst van Kris Kross Amsterdam, Maan & Tabitha – ""Hij Is Van Mij"" ft. Bizzey

Voor het eerst in m'n leven
Kan ik iemand alles geven
Ik voel me veiliger bij hem
Ja hij heeft alles wat ik zoek
Ik hou 'm extra dicht bij me
Want al die meiden die kijken
Maar hij geeft me geen twijfel

Wat ik met hem wil begrijp jij niet
Verspil je tijd niet langer alsjeblieft
Jij bent in de war, hij hoort bij mij
Dat is niet wat hij zei tegen mij

Hij is van mij
Hij zegt dat ik alles voor hem ben
Dat ik hem het allerbeste ken
Dat hij aan mij denkt op elk moment
Hij is van mij
Het maakt niet uit wat je van mij dacht
Meisje, weet je niet dat 'ie op mij wacht?
Ik doe hem het beste elke nacht
Hij is van mij
You might also like
Hij is het voor mij
Geen ander heeft het
Hoe hij mij voelt kan niemand beter
Hij neemt me voorbij, beter weten
Hij heeft m'n hart, ik zeg het elke dag
Ik zeg het elke dag

Wat ik met hem wil begrijp jij niet
Verspil je tijd niet langer alsjeblieft
Jij bent in de war, hij hoort bij mij
Dat is niet wat hij zei tegen mij

Hij is van mij
Hij zegt dat ik alles voor hem ben
Dat ik hem het allerbeste ken
Dat hij aan mij denkt op elk moment
Hij is van mij
Het maakt niet uit wat je van mij dacht
Meisje, weet je niet dat 'ie op mij wacht?
Ik doe hem het beste elke nacht  (Uh, uh, ey, ey, Bizzey)
Hij is van mij

Ey, je zeurt aan m'n hoofd, mama
Kijk me in m'n ogen aan
Als je mij niet gelooft, mama (Ey, ey, ey)
Wat betekent dit dan allemaal?
Ik vind het moeilijk om te zeggen hoe het voelt
Dat er niks anders is wat ik mis, nee
Jou beschermen, dat is mijn doel
Courtois op die bitch, ik mis niks
Ik hou van make up seks, maar dit gaat te ver, uh
We don't need to go there (Ooh)
You don't wanna go there
Maan hij is van mij, oh
Niet van jou maar van mij, oh
Tabitha hij is van mij, oh
Alleen van mij

Alleen van mij
Hij zegt dat ik alles voor hem ben
Dat ik hem het allerbeste ken (Hij is van mij)
Dat hij aan mij denkt op elk moment
Hij is van mij
Het maakt niet uit wat je van mij dacht
Meisje, weet je niet dat 'ie op mij wacht?
Ik doe hem het beste elke nacht
Hij is van mij

Alleen, alleen van mij, oh
Hij is van mij
Hij is van mij
Ik doe hem het beste elke nacht
Hij is van mijEmbed"
