,artist_title,lyrics
0,J Balvin - LA CANCIÓN,"2 ContributorsNew Music Friday 06/28/19 LyricsEd Sheeran - Beautiful People (feat. Khalid)
Daniel Caesar - LOVE AGAIN
Chris Brown - Don't Check On Me (feat. Justin Bieber & Ink)
The Black Keys - Walk Across The Water
Ellie Goulding - Hate Me (with Juice WRLD)
J Balvin - QUE PRETENDES
Mustard - Ballin' (feat. Roddy Ricch)
Rich Brian - Yellow (feat. Bekon)
mxmtoon - high & dry
Kygo - Higher Love
H.E.R. - Racks (feat. YBN Cordae)
Daniel Caesar - SUPERPOSITION
Julia Michaels - Hurt Again
BENEE - Glitter
Marshmello - Room to Fall
Carnage - Wait For Me (feat. G-Eazy & Wiz Khalifa)
Delacey - The Subway Song
Grace VanderWaal - Ur So Beautiful
Joyner Lucas - Broke and Stupid
BTS - Heartbeat (BTS World Original Soundtrack)
NF - When I Grow Up
Clairo - Closer To You
Conan Gray - Checkmate
Evie Irie - Bitter
Red Hearse - Red Hearse
Vampire Weekend - I'm Goin' Down - Recorded at Electric Lady Studios NYC
Annie Hamilton - Kitchen
serpentwithfeet - Receipts (feat. Ty Dolla $ign)
Daniel Caesar - FRONTAL LOBE MUZIK
Chris Brown - Need A Stack
Freddie Gibbs - Palmolive feat. Pusha T. & Killer Mike (feat. Pusha T & Killer Mike)
Daddy Yankee - Si Supieras
J Balvin - LA CANCIÓN
G-Eazy - Spectacular Now
Céline Dion - Flying On My Own
Why Don't We - Come To Brazil
Andy Grammer - Some Girl
Ingrid Michaelson - Young and in Love
Leah Kate - Girl on Girl
Chris Lane - Big, Big Plans
Brittany Howard - History Repeats
Thom Yorke - I Am a Very Rude Person
Lucy Dacus - Forever Half Mast
Liam Gallagher - The River
Juicy J - Three Point Stance (feat. City Girls & Megan Thee Stallion)
Rich The Kid - Party Bus
Fat Joe - Pullin
Phora - Forgive Me
Neck Deep - She's A God
Bring Me The Horizon - mother tongue - Recorded at Spotify Studios NYC
Furious Monkey House - Echoes
Sasha Sloan - Dancing With Your Ghost
Tori Kelly - Sorry Would Go A Long Way
Yuna - Pink Youth
Trixxie - All Of My Life
CNCO - De Cero
Big K.R.I.T. - Addiction (feat. Lil Wayne & Saweetie)
Mez - Upset
A$AP Ferg - Wigs (feat. City Girls & ANTHA)
Lil Yachty - Go Krazy, Go Stupid Freestyle
Bhad Bhabie - Get Like Me (feat. NLE Choppa)
Kevin Gates - Push It
Baby Rose - All To Myself
Marlhy - Claustrophobic
Adam Lambert - Comin In Hot
Kassi Ashton - Field Party
JP Saxe - Same Room
Meghan Trainor - Hurt Me - From ""Songland""
Johnta Austin - Love Angel
Ty James - Heartbreak City
Slushii - Far Away
Caravan Palace - Plume
ayokay - Things Fall Apart
Boston Bun - Don't Wanna Dance
Alok - The Wall
K.Flay - Not In California
Silverstein - Burn It Down
Korn - You'll Never Find Me
Jeremy Renner - Heaven Don't Have a Name
Digital Farm Animals - Without You Now (feat. AJ Mitchell)
Kim Petras - Icy
Wifisfuneral - WYA, Pt. 2
Landon Cube - 17
RIZ LA VIE - Saturn
Michael Brun - Eda
Conor Maynard - Hate How Much I Love You
Stanaj - Love Me
Gigi Cesare - Obsessed
Felix Jaehn - Love On Myself
Global Dan - Runaway
Runaway June - We Were Rich
Josie Dunne - Ooh La La
Njomza - No One Is Spared
Frawley - Losers
Isle Of You - Hard to Forget
Ajani Jones - Lucid
Zero - Aim Steady
Jaydayoungan - Dead Man Walking
Foley - Can't Help the WayEmbed"
1,Bad Bunny - Me Porto Bonito,"33 ContributorsTranslationsEnglishDeutschFrançaisMe Porto Bonito Lyrics

Yeah-yeah-yeah-yeah-yeah-yeah, ey
En la guagua se quedó el olor de tu perfume
Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une
Ella sabe que está buenota y no la presumen
Si yo fuera tu gato, subiera una foto los vierne' y los lune' (So)

Pa' que to' el mundo vea lo rica que tú está', que tú está'
Contigo tengo que apretar
Y еn la calle ando suelto, pero por ti mе quito
Si tú me lo pide', yo me porto bonito
Y subo un selfie pa' que vean lo rica que tú está', que tú está'
Las otras tienen que apretar
En la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito (Ey, ey)

Tú no ere' bebecita, tú ere' bebesota
Frikitona, ma', se te nota
Le gustan los trío' cuando está en la nota
Si el novio no sirve, de una lo bota
Y wow, mami, dime dónde dejo el résume (Résume)
Sé que te dejaste hace un me' (Ey, ey)
Y de una de pecho me zumbé
Si quiere' te hago un bebé o te traigo la plan B
Uff, mami, qué rica tú te ve'
Pa' los 2000 escuchaba RBD
Y ahora quiere perreo, to'a la noche en la pared
THC, no CBD
You might also like
Mami, tú ere' élite (Ey), no te me limite' (Okey)
Déjame hacerte lo que amerite y te levite
Dale pa'l escondite (Ey), no te me arisque' (So)
Que aquí no va a poder llegar lo' satélite' (Oh)
Mami, sube algo, dame contenido
Ese culo súbelo má' seguido
Me paso jangueando, a ver si coincido, ey
Y por fin doy contigo
Mai, nuestra' bellaquera' nunca la' olvido
Ninguna como tú a mí me ha complacido
Tú cree' que a toda' siempre les digo lo mismo
Quiere chingar, pero no quiere na' fijo, ey
Pero en confianza me confiesa
Dice que nadie le interesa
Pero cuando sale, se pone traviesa (Ey)

Pa' que to' el mundo vea lo rica que tú está', que tú está', ey
Contigo tengo que apretar
Y en la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito8Embed"
2,Bad Bunny - Ojitos Lindos,"7 ContributorsTranslationsEspañolDeutschItalianoBad Bunny & Bomba Estéreo - Ojitos Lindos (English Translation) Lyrics
I have listened to my heart for a long time
And the days and months pass, thinking of your smell (Your smell, your smell)
The time has come to start reasoning
Before it's too late and I accidentally break in half (Break in half)

Before the sun comes up, step on the gas
Even if you don't have a brake and lose control
It'll only be us two, you and I caressing each other
In the midst of time, not saying goodbye

And just look at me with those pretty eyes
'Cause with that, I am finе, today I have been reborn

I haven't hеld somebody's hand in a while
I haven't sent a ""Good morning, I love you"" in a while
But you've got me entangled, I got involved
I was on my own way and I got lost (Ayy, ayy)
My gaze changed when I saw your eyes (Your eyes)
Bye-bye to the booties, I didn't even say goodbye to them
I didn't look for you, no, we bumped into each other through our path
Your soul is the one I connect with (Street)
Stay calm, it doesn't have to be perfect, no
There are no sins here and making mistakes is beautiful
Mistakes are pleasures, just like all your little kisses
You might also like
And just look at me with those pretty eyes
'Cause with that I am fine, today I have been reborn
And just look at me with those pretty eyes
'Cause with that I am fine, today I have been reborn

You and I, you and I, you and I
You and I, you and I
You and I, you and I, you and I
You and I, you and I
You and I, you and I
You and I, you and I

I don't allow myself to be carried away
I only get carried away by your smile
And the mole near your lips
If I'm crazy, you're crazier
But baby, there's nobody like you, no
I want to give you sunflowers
Go to the beach and get seashells for you
When I'm with you, I don't look at the Role'
Let's dance to two hundred songs
Nobody turns me on the way you do
Mm-mmm, mm-mmm-mmm-mmm
Mm-mmm, mm-mmm-mmm-mmm
I talk to God and you are his answer
I learned that pretty moments are priceless
Like when you gift me your gaze
And the sun its setting and the sun its setting
Hey, hey, when I'm on top of you, of you
Mami, I forget everything, everything
Nobody is needed here, just you and me
Before the sun comes up, step on the gas
Even if you don't have a brake and lose control
It'll only be us two, you and I caressing each other
In the midst of time, not saying goodbye

And just look at me with those pretty eyes
'Cause with that I am fine, today I have been reborn
And just look at me with those pretty eyes
'Cause with that I am fine, today I have been rebornEmbed"
3,Bad Bunny - Efecto,"9 ContributorsTranslationsEspañolDeutschItalianoBad Bunny - Efecto (English Translation) Lyrics
Yeah-yeah-yeah-yeah-yeah-yeah
Eh-eh-eh-eh

I don't know if it's a coincidence that I feel this way
Every time you're close to me
Tell me what you did to me, what drug did you give me
'Cause I haven't been the same ever since that night
You look at me and I start sweating
I feel like I can fly

Baby, the high is starting to kick in
My world is fucked up and I feel perfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight
Bеcause the high is starting to kick in
My world is fucked up and I feel pеrfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight

Not this one, this one
Not this one, this one
Not this one, this one
Not this one, this one
You might also like
That man of yours lost you due to negligence
And I don't believe in abstinence
Tonight in bed there'll be turbulence
How good you suck on it, I'll give you permanency
That pussy is the eminence
I have a license to give it to her
Ever since we went to Florence
She got meaner, but she hasn't lost her essence
No, no, from Carola
No, no, no, she's not alone
No, no, don't say ""Hi"" to her
Or you'll be another one in line
I like your attitude
I'm fan of that pussy (Mwah, mwah)
Besides the weed, the Xanax, the coke and the molly (Nothing else)
You're the one that controls me, ah (Ayy, hehe)

In your eyes I see the sea, mami, carry me in your wave (You're reckless)
Today I feel like a slut, so good, ayy

Because the high is starting to kick in
My world is fucked up and I feel perfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight1Embed"
4,Manuel Turizo - La Bachata,"2 ContributorsTranslationsEspañolDeutschManuel Turizo - La Bachata (English Translation) Lyrics
I blocked you from Insta, but I watch your stories from a different account (Oh-oh-oh)
I deleted your number; I don't know why, I know it by heart
You hurt me and I still miss you
And although I know I'll forget you someday
I still don't, it's complicated
I like to remember everything we did

I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

To protect me from someone that's just like you
I don't want to fall like I did for you
I hope you fall in love, so they do to you what you did to me
You taught me not to love just anyone
And how I don't want to be loved
No-oh-oh, we were three in a relationship of two
I don't forgive you, ask God for forgiveness
I said I forgot you and the truth is I, oh-oh
I, oh-oh
You might also like
I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

Manuel TurizoEmbed"
5,Bad Bunny - Yonaguni,"52 ContributorsTranslationsDeutschEnglishYonaguni Lyrics

Yeah-yeah-yeah-yeah
Yeah-yeah-yeah-yeah-yeah-yeah
Yeah-yeah-yeah-eh, yeah

Una noche más y copas de más
Tú no me dejas en paz, de mi mente no te vas

Aunque sé que no debo, ey
Pensar en ti, bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, oh
Aunque sé que no debo, ey
Pensar en ti, bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego, ey

No me busque' en Instagram, mami, búscame en casa
Pa' que vea' lo que pasa, ey
Si tú me prueba', te casa', ey
Ese cabrón ni te abraza
Y yo loco por tocarte
Pero ni me atrevo a textearte
Tú con cualquier outfit la parte'
Mami, tú ere' aparte
Shorty, tiene' un culo bien grande, eh
De-Demasia'o grande
Y yo lo tengo estudia'o, ya mismo me gradúo
Y en la cara me lo tatúo
Vi que viste mi story y subiste una pa' mí
Yo que me iba a dormir, ey
En la disco habían mil
Y yo bailando contigo en mi mente
See Bad Bunny LiveGet tickets as low as $34You might also like
Aunque sé que no debo
Pensar en ti, bebé, pero cuando bebo
Me viene tu nombre, tu cara, tu risa y tu pelo, ey
Dime dónde tú está', que yo por ti cojo un vuelo
Y a Yonaguni le llego

Si me da' tu dirección, yo te mando mil carta'
Si me da' tu cuenta de banco, un millón de peso'
To'a la noche arrodillado a Dio' le rezo
Pa' que ante' que se acabe el año tú me de' un beso
Y empezar el 2023 bien cabrón
Contigo y un blunt
Tú te ve' asesina con ese mahón (¡Wuh!)
Me matas sin un pistolón
Y yo te compro un Banshee
Gucci, Givenchy
Un poodle, un frenchie
El pasto, lo' munchie'
Te canto un mariachi
Me convierto en Itachi, eh

Yeah-yeah-yeah-yeah
Bad Bunny, baby, bebé
Bad Bunny, baby, bebé
今日はセックスしたい
でもあなたとだけ
どこにいますか？
どこにいますか？
今日はセックスしたい
でもあなたとだけ
どこにいますか？
どこにいますか？Eh52Embed"
6,Bad Bunny - DÁKITI,"3 ContributorsTranslationsEspañolTürkçePortuguêsEnglishBad Bunny & Jhayco - DÁKITI (Deutsche Übersetzung) Lyrics

Baby, ich habe es schon erkannt, man merkt es, wenn du mich ansiehst
Dort, wo du noch nicht warst, du weißt, dass ich dich hinbringe
Und sag mir, was du trinken willst, denn du bist mein Baby
Und wer wird über uns sprechen, wenn wir uns nicht sehen lassen?

Und manchmal ist es Dolce, manchmal ist es Bulgari
Wenn ich es dir nach den Partys ausziehe
Die Weingläser, die Weed-Kilos
Du bist sehr locker, ich bin auf Safari
Du bewegst deinen Arsch phänomenal
Damit ich dich verschlinge wie ein Tier
Wenn du nicht gekommen bist, werde ich auf dich warten
In meinem Bett und werde es feiern

Baby, ich bin nicht gegen dich
Und ich gebe es dir immer
Und wenn du mich rufst, schwimmen wir in der Tiefe
Wenn es nach mir geht, geb ich's dir
Von September bis August
Und ich gebe keinen Fick darauf, was deine Freundinnen sagen
You might also like
Ich habe es schon erkannt, man merkt es, wenn du mich ansiehst
Dort, wo du noch nicht warst, du weißt, dass ich dich hinbringe
Und sag mir, was du trinken willst, denn du bist mein Baby
Und wer wird über uns sprechen, wenn wir uns nicht sehen lassen? (Folgst du mir?)

Mami, du hast mich in deinem Bann, ja
Wenn du ein Urus wärst, hättest du mich geparkt
Spaziere durch Condado, immer high mit dir
Du bist nicht meine Frau, aber
Nimm fünftausend, gib es für Sephora aus
Louis Vuitton, sie kauft nicht mehr bei Pandora ein
Wie ein Piercing sticht sie Löcher in Männer, ey-ey-ey

Vor einiger Zeit brachen sie ihr das Herz (Das Herz)
Studierte, bereit Ärztin zu werden (Ärztin)
Aber (Aber), ihr gefallen die Witzfiguren, die Wheelies auf Motorrädern machen (Motorrädern)
Ich bin alle vierundzwanzig Stunden für dich da

Baby, ich bin nicht gegen dich
Und ich gebe es dir immer (-be es dir immer)
Und wenn du mich rufst, schwimmen wir in der Tiefe(Schwimmen wir in der Tiefe)
Von September bis August
Und ich gebe keinen Fick darauf, was deine Freundinnen sagen
Ich habe es schon erkannt, man merkt es, wenn du mich ansiehst
Dort, wo du noch nicht warst, du weißt, dass ich dich hinbringe
Und sag mir, was du trinken willst, denn du bist mein Baby
Und wer wird über uns sprechen, wenn wir uns nicht sehen lassen?

Und manchmal ist es Dolce, manchmal ist es Bulgari
Wenn ich es dir nach den Partys ausziehe
Die Weingläser, die Weed-Pfunde
Du bist sehr locker, ich bin auf Safari
Du bewegst deinen Arsch phänomenal
Damit ich dich verschlinge wie ein Tier
Wenn du nicht gekommen bist, werde ich auf dich warten
In meinem Bett und werde es feiernEmbed"
7,Bad Bunny - Tití Me Preguntó,"45 ContributorsTranslationsEnglishDeutschItalianoTití Me Preguntó Lyrics

Ey

Tití me preguntó si tengo mucha' novia', mucha' novia'
Hoy tengo a una, mañana otra, ey, pero no hay boda
Tití me preguntó si tengo mucha' novia', je, mucha' novia'
Hoy tengo a una, mañana otra

Me la' vo'a llevar a to'a pa' un VIP, un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese"", ey
Que sonrían las que ya les metí
En un VIP,  un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese""
Que sonrían las que ya se olvidaron de mí

Me gustan mucho las Gabriela
Las Patricia, las Nicole, las Sofía
Mi primera novia en kinder, María
Y mi primer amor se llamaba Thalía
Tengo una colombiana que mе escribe to' los día'
Y una mexicana quе ni yo sabía
Otra en San Antonio que me quiere todavía
Y las de PR que todita' son mía'
Una dominicana que es uva bombón
Uva, uva bombón
La de Barcelona que vino en avión
Y dice que mi bicho está cabrón
Yo dejo que jueguen con mi corazón
Quisiera mudarme con toda' pa' una mansión
El día que me case te envío la invitación
Muchacho, deja eso, ey
See Bad Bunny LiveGet tickets as low as $34You might also like
Tití me preguntó si tengo mucha' novia', mucha' novia'
Hoy tengo una, mañana otra, ey, pero no hay boda
Tití me preguntó si tengo mucha' novia', ey, ey, mucha' novia'
Hoy tengo una, mañana otra (Mañana otra; ¡rra!)

Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó (Qué pámpara)
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó (Pero ven acá, muchacho, ¿y para qué tú quiere' tanta' novia'?)

Me la' vo'a llevar a to'a pa' un VIP, un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese"", ey
Que sonrían las que ya les metí
En un VIP,  un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese""
Que sonrían las que ya se olvidaron de mí

Oye, muchacho 'el diablo azaroso
Suelta ese mal vivir que tú tiene' en la calle
Búscate una mujer seria pa' ti
Chacho 'el diablo, coño
Yo quisiera enamorarme
Pero no puedo, pero no puedo, eh, eh
Yo quisiera enamorarme
Pero no puedo, pero no puedo

Sorry, yo no confío, yo no confío
Nah, ni en mí mismo confío
Si quiere' quedarte hoy que hace frío
Y mañana te va', nah
Muchas quieren mi baby gravy
Quieren tener mi primogénito, ey
Y llevarse el crédito
Ya me aburrí, hoy quiero un totito inédito, je
Uno nuevo, uno nuevo, uno nuevo, uno nuevo (Ey)
Hazle caso a tu amiga, ella tiene razón
Yo vo'a romperte el corazón, vo'a romperte el corazón
Ey, no te enamore' de mí (No, no)
No te enamore' de mí (No, no), ey
Sorry, yo soy así (Así, así), ey
No sé por qué soy así (Ey)
Hazle caso a tu amiga, ella tiene razón
Yo vo'a romperte el corazón, vo'a romperte el corazón (Ey, ey)
No te enamore' de mí (No)
No te enamore' de mí (No), no
Sorry, yo soy así
Ya no quiero ser así, no
7Embed"
8,Plan B - Es un Secreto,"10 ContributorsEs Un Secreto Lyrics

Será cuestión de tiempo (Presentimiento)
De un lugar, de un momento
Conozco tu debilidad, cómo haces para envolverte
Si no es hoy mañana talvez, pero algún día voy a tenerte
Tengo la capacidad, sin que me hables entenderte
Yo sé lo que trae' en tu mente que estás loca por tenerme

Es un secreto de tu mirada y la mía, un presentimiento
Como un ángel que me decía
Es un secreto de tu mirada y la mía, un presentimiento
Como un ángel que me decía

Será cuestión de tiempo, de un lugar, de un momento
De una palabra, de un encuentro
De una noche, de un intento
Tranquilito, confiando en lo que creo
Tu mente me llama, me llama y yo le contesto
Mi mente te piensa y con el deseo la alimento
Yo sé que estamo' cerca de que pase el suceso
De una historia, de un recuerdo
You might also like
Es un secreto de tu mirada y la mía, un presentimiento
Como un ángel que me decía
Es un secreto de tu mirada y la mía, un presentimiento
Como un ángel que me decía

Tú sabes que naciste pa' mí
Tú eres mi gusto, mi flow
Lo mismo te pasa a ti, cuando estás cerquita de mí
El deseo es tanto que quema por dentro
Sin decir nada, haciéndolo lento
Mientras me deleito, aprovecha el momento
Mami, mami

Tú eres una Barbie, muñeca, princesa y no es de Mattel
Tú eres perfecta, tu cara, tu cuerpo, tus ojos también tu piel
Te quiero completa, ven, baila sensual
Así te quiero ver (Te quiero ver)
Juntito', solito' nos vamo' a complacer
Tú eres una Barbie, muñeca, princesa y no es de Mattel
Tú eres perfecta, tu cara, tu cuerpo, tus ojos también tu piel
Te quiero completa, ven, baila sensual
Así te quiero ver (Te quiero ver)
Juntito', solito' nos vamo' a complacer (-cer-cer)
Es un secreto de tu mirada y la mía, un presentimiento
Como un ángel que me decía
Es un secreto de tu mirada y la mía, un presentimiento
Como un ángel que me decía

Haze
(Plan B)
¡Pina!
(La casa del placer)
(Es un secreto de tu mirada y la mía
Un presentimiento)1Embed"
9,Jay Wheeler - La Curiosidad,"1 ContributorTres Tragos LyricsSi te escribo hola no es pa saludarte
Es mi disimulo de que quiero darte
Una noche buena por que buena estas tu
Toa esa ropita negra fuera y chao la luz
Tambien me diste alas con ese tatuaje
Cupido me llevo sin regreso a un viaje
Aunque no confia vine a recordarte
No voy a se el proximo que falle
Un trago (un trago), dos tragos
Tomamos tres y nos vamos pa el carajo
Que raro, no tiene caso
Ella es timida pero conmigo da el paso
Un trago (un trago), dos tragos
Tomamos tres y nos vamos pa el carajo
Que raro, no tiene caso
Ella es timida pero conmigo da el paso
Como Jay Wheler matemos la curiosidad
Cerremos el libro cien años de soledad
Conmigo na casual te voy a dar seguridad
Y tu toa tranquilita puedes contarle todo a tu mai
Ponte ese bikini verde ya
Muestrame ese bronceadito y ponte contra la pared
Contigo to los amaneceres
Enamorarme si que te sale bien
You might also likeSi te escribo hola no es pa saludarte
Es mi disimuulo de que quiero darte
Una noche buena por que buena estas tu
Toa esa ropita negra fuera y chao la luz
Un trago (un trago), dos tragos
Tomamos tres y nos vamos pa el carajo
Que raro, no tiene caso
Ella es timida pero conmigo da el paso
Un trago (un trago), dos tragos
Tomamos tres y nos vamos pa el carajo
Que raro, no tiene caso
Ella es timida pero conmigo da el paso
Ay paloma llevame hasta el cielo
Dejame caer en la red de tus besos
Si tu eres un uno yo soy tu comodin
Si tu eres verano yo soy tu gin tonic
Ese cafecito de tus ojos
Te deje una nota y dice vamonos (vamonos, vamonos)
Dame un besito que me estoy volviendo loco
Uno de esos ay mi amor (ay mi amor, ay mi amor)
Ese cafecito de tus ojos
Te deje una nota y dice vamonos (vamonos, vamonos)
Dame un besito que me estoy volviendo loco
Uno de esos ay mi amor (ay mi amor, ay mi amor)
Si te escribo hola no es pa saludarte
Es mi disimulo de que quiero darte
Una noche buena por que buena estas tu
Toa esa ropita negra fuera y chao la luz (luz, luz, luz)
Mami Ernes en la casa, dimelo Lijtmaer
La frabica del cangrejo mi amor, ArgentinaEmbed"
