,artist_title,lyrics
0,Asake - Lonely At The Top,"21 ContributorsLonely At The Top Lyrics
Ooh
OohBah

It's lonely at the top (Lonely, lonely, lonely)
Money on my mind (Money, money, money)
Don’t care what they yarning about me in particular
Ko kan mi, kan mi, kan mi
Out here on the road chasing my dream because I know
No one can chase it for me

Ọ́lọlọlade maa n gb'ọmọ lọ (Gb'ọmọ lọ)
Bọrọkọtọ idi ṣ’ọmọ lọ (Idi ş'ọmọ lọ)
Ẹ fi wọn s'ilẹ jẹ kan ma lọ
No dey find anybody na money I want (Me I want)
No dey hear wetin people dey talk (People dey talk)
Wọn ti ge Aṣakẹ l'eti lọ (L'eti lọ)
This life na one, I no get another one
I go takе am do wetin I love

Wetin you lovе o
No be wetin I love o
Wetin I love I go do am with all my heart o
Ogogoro no be vodka
Mr. Money ginger
But una know I no dey waste time
Mr. Money ginger
You might also like
Just carry on, baby no time (No time)
Bad boy dey me I dey fine
And at the same time, me I dey high (High)
Mo duro tan, mo stand out
Calm down , you go dey fine
Like fine wine, no decline
Sing about it, extraordinary things
Show me love, I go show you more
O pọ lọ pọ, pọ
Wo bo ṣe n ṣe, wo bo ṣe n ṣe
Ọmọ e don tey, ję 'a ṣ'ere kére
Mo n fọ f'aye, mo ti fọ f’aye
Ye, ye

Ọ́lọlọlade maa n gb’ọmọ lọ (Gb'ọmọ lọ)
Bọrọkọtọ idi ṣ’ọmọ lọ (Idi ş'ọmọ lọ)
Ẹ fi wọn s'ilẹ jẹ kan ma lọ
No dey find anybody na money I want (Me I want)
No dey hear wetin people dey talk (People dey talk)
Wọn ti ge Aṣakẹ l'eti lọ (L’eti lọ)
This life na one, I no get another one
I go take am do wetin I love

Wetin you love o
No be wetin I love o
Wetin I love I go do am with all my heart o
Ogogoro no be vodka
Mr. Money ginger
But una know I no dey waste time
Mr. Money gingerEmbed"
1,Shallipopi - Cast,"2 ContributorsCast Lyrics
Wait
They call me Shallipopi
(B', Busy)
Say, say-say-say (wahala)
Ehn
Say, say-say-say-say

Worldwide Plutomainians, that na normal thing (eh)
Presido with the big machine (confirm)
Your girlfriend friend wanna suck my thing (eh)
But, no be that kind person I be (mole eh)
If I puff smoke give you and you no pass (eh)
You no pass, that means say e don cast (e sharp)
No last chance (eh), e don cast oh (wahala)
E don cast oh, e don cast

Weii, e don cast (clear road oh)
E don cast, e don cast (say-say)
Say, e don cast (eh, no go dey)
Ehn, e don cast oh, e don cast (eh)
E don cast, e don cast (wahala)
Say, e don cast (no go dey)
Put your girl on phone, 12 o'clock for night (eh)
12:30, use Bolt, no flight oh (eh, confirm)
Shе locate my location (prraa)
Pluto, are you feeling the vibration? (Odumodublvck)
You might also like
Sеnsational, abobi condition am, eh
Willy-Willy practitioner
This one na seniorita abi na mamacita? (all)
Big Kala need your bunda, mama (Gun)
If she no fuck oh, if she no suck (prraa)
Who go pay for her wig and handbag? (none)
When e wan sup, she go halla Big Gun (never)
All along, she dey follow me boss, loss
Punish me like African mom (gbo)
Shallipopi, who go mount us? (gbo)
Comot body, we dey burn bref (eh)
For the contest, cash, cast
Obrigado, on a conquest

Worldwide Plutomainians, that na normal thing (eh, world wide)
Presido with the big machine (confirm)
Your girlfriend friend wanna suck my thing (ahh)
But, no be that kind person I be (mole eh)
If I puff smoke give you and you no pass (ehn)
You no pass, that means e don cast (no be sharp boy)
No last chance (eh), e don cast oh (wahala)
E don cast oh, e don cast

Weii, e don cast (clear road oh)
E don cast, e don cast (say-say)
Say, e don cast (ehn, no go dey)
Ehn, e don cast oh, e don cast (eh)
E don cast, e don cast (wahala)
Say, e don cast (no go dey)
Put your girl on phone, 12 o'clock for night
12:30, use Bolt, no flight oh (ah)
She locate my location
Pluto, are you feeling the vibration?Embed"
2,Davido - FEEL,"9 ContributorsFEEL Lyrics
I be on the phone
Calling you tonight
I wan make you show me
Make we no dey fight
I no wan sleep alone
Wanna hold you tight
Water full my eyes
But I'll be alright

Forever
O ma latan (Aya)
O ma gba, o ma kẹ'tan
Ibebe idi ẹ, mo maa ṣi tan o
Say dem go feel it
Dem go run it down
Dem go hold it
Dem go
Say dem go feel it
Dem go run it down
Dem go hold it
Dem go

I've been talking to myself
And I no even notice
She gat me feeling like a zombie
And she dey shoot like Chuck Norris
The way she put her body down
You got me falling truly
I just touch down
Wanna see you now
You might also like
'Cause I bе on the phone
Calling you tonight
I wan make you show mе
Make we no dey fight
I no wan sleep alone (No wan sleep alone)
Wanna hold you tight
Water full my eyes
But I'll be alright

Forever
O ma latan (Ayah)
O maa gba, o maa kẹ'tan
Ibebe idi ẹ, mo maa ṣi tan o
Say dem go feel it
Dem go run it down
Dem go hold it
Dem go
Say dem go feel it
Dem go run it down
Dem go hold it
Dem go

Ahn ahn ahn ahn ahn
Ahn ahn ahn ahn ahn
Ahn ahn ahn ahn ahn ahnEmbed"
3,Bnxn - GWAGWALADA,"11 ContributorsGwagwalada Lyrics
Beni kolobi, kuna ni mo bi
Ja ni su na gi shun
Kuna kolobi, kwasi kolobi
Omo mi ko mo ni shun
Beni kolobi, in that kolo shin
Sani kolobi shun
Gwagwalada, Gwagwalada
Ye
Beni kolobi, kuna ni mo bi
Ja ni su na gi shun
Kuna kolobi, kwasi kolobi
Omo mi ko mo ni shun
Beni kolobi, in that kolo shin
Sani kolobi shun
Gwagwalada, Gwagwalada

I enter from Abuja go Gwagwalada
Wọn ni mo taka sufe si, awọn ọta
I no fit force am if e don pass my power
I roll up my shawarma
I dey for Gwagwalada
I enter from Abuja go Gwagwalada (I enter)
Wọn ni mo taka sufe si, awọn ọta (Awọn ọta)
I no fit force, I no fit do pass my power
I roll up my shawarma
I dey for Gwagwalada
You might also like
Mi o foor
Molana
On God
Ile ni le mi, Asgard
Alif la mi
Ojẹ ma saami
Funmi lowo Iya Charley
Wahabi
Hallo, Hallo
Mukadam muvado
Can't you see
Olowo mo ba to
Koju ma ribi, I call manager
Drop the song tomorrow sha
If loving you is a crime
Baby don't you waste my time
Dance Makossa kupe (Kupe)
Ọmọ pe a sunle (Sunle)
I dey for Gwagwalada
Call me back mo dapadaa

I enter from Abuja go Gwagwalada (I enter)
Wọn ni mo taka sufe si, awọn ọta
I no fit force am if е don pass my power
I roll up my shawarma
I dey for Gwagwalada (Ki lẹ wi?)
On to the nеxt one
Give me ginger
Give me power ọmọ ẹlẹ
You surprise me
Harm me
Girl come try me
On to the next one
Give me ginger
Give me power ọmọ ẹlẹ
O ti sanwo fun mi
No be issue at all

I enter from Abuja go Gwagwalada (I enter)
Wọn ni mo taka sufe si, awọn ọta
I no fit force, I no fit do pass my power
I roll up my shawarma
I dey for Gwagwalada
I enter from Abuja go Gwagwalada (I enter)
Wọn ni mo taka sufe si, awọn ọta
I no fit force am if e don pass my power
I roll up my shawarma
I dey for Gwagwalada (Ki lẹ wi?)

Beni kolobi, kuna ni mo bi
Ja ni su na gi shun
Kuna kolobi, kwasi kolobi
Omo mi ko mo ni shun
Beni kolobi, in that kolo shin
Sani kolobi shunEmbed"
4,Asake - Terminator,"11 ContributorsTerminator Lyrics
Awe
Come make we talk
I no be killer, killer, hire, hire (Hire, hire)
This your loving get meaning for my body oh
I wan light my—
Wey my lighter? Ah-yah, ah-yah (Ah-yah, ah-yah)
This your colour no be fake oh, omo mummy

My banana, oh my bana' (Oh my bana')
Come chop my bana' (Come chop my bana')
Sh'oni power?
M'oni, kowa (M'oni, kowa)
Elemi l'oma last (Elemi l'oma last)
Eji malaika, eji malaika (Eji malaika)
Wey my sutana, ah-ahn?

'Cause you dey amaze
You dey amaze me
Your body amazing
Don't be late
Don't keep me waiting
No procrastinating
Terminator
We don get agreement oh
No terminating
Ngbo ngbo na ngbo ngbo
Nsuh suh na nsuh suh
You might also like
Miraino, ida leka moraino
Fada mokaino (Fada mo kaino)
Fami mora, baby, o kin shey minor
Omo ope ti gbera tan
K'oyе k'oma gbe'le ju
Mr. Money, mowa availablе
You bе my cross, my agbelebu
Emi ma gbе e de'be bi Gokada
I dey deliver stable

My banana, oh my bana' (Oh my bana')
Come chop my bana' (Come chop my bana')
Sh'oni power?
M'oni, kowa (M'oni, kowa)
Elemi l'oma last (Elemi l'oma last)
Eji malaika, eji malaika (Eji malaika)
Wey my sutana, ah-ahn?

'Cause you dey amaze
You dey amaze me
Your body amazing
Don't be late
Don't keep me waiting
No procrastinating
Terminator
We don get agreement oh
No terminating
Ngbo ngbo na ngbo ngbo
Nsuh suh na nsuh suh
Peperi, peperipe, ayy
Peperipe, peperipe-ipe-'pe-'pe
Fofori, fofori-fo, oh
Foforifo, foforifo-ifo-'fo (Oshey)
K'emi foh, ki'wo foh
K'ajo jokilijo, kilijo
If you no go mind
Make I be your omo odo
Emi governor
I ma s'omi dodoyo
Slow wineEmbed"
5,Omah Lay - reason,"19 Contributors​​​reason Lyrics
Uh, my dear
My dear e my dear, oh my dear
My dear ah, my dear, my dear

How long will it take you to realize?
I don't know who to run to right now
Army is opening heavy fire
I'm unsafe, but I'm still out here

(Fighting)
What are we doing, my dear, my dear? (Fighting)
I surrender you myself, myself (Fighting)
My hands are in the air, in the air (Fighting)
Only time will tell the difference clear

What is the reason you do not have your own peace of mind?
Are you having fun or are you doing this thing to survive?
Are you taking the pictures of every memories of your life?
What's the reason why we're still out here?

Shekeleke give me one, better thing or two
Make a nigga suit and tie, let him fly like you
Showing you the route, you tryna untie my shoes
Is that good?
You might also like
(Fighting)
What are we doing, my dear, my dear? (Fighting)
I surrender you myself, myself (Fighting)
My hands are in the air, in the air (Fighting)
Only time will tell the difference clear

What is the reason you do not have your own peace of mind?
Are you having fun or are you doing this thing to survive?
Are you taking the pictures of every memories of your life?
What's the reason why we're still out here?

Fighting (-ting, -ting, -ting, -ting, -ting)
Fighting (-ting, -ting, -ting, -ting, -ting)
Fighting (-ting, -ting, -ting, -ting, -ting)
Fighting (-ting, -ting, -ting, -ting, -ting)
Along came TuziEmbed"
6,Asake - 2:30,"21 Contributors2:30 Lyrics
Uh
Obah
What demma say?
Obah
Run
Hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm

Awa de, awa de de
Awa lọmọ to n sọ ti o seke, ye
Orimọlade gbemi debẹ
Jigan jigan
Ẹsẹ mi o delẹ, delẹ
Alaye mi stop shebẹ
O fẹ jenbi, otun fẹ jenbẹ
Opọ se
Agbawo, fẹnu fo fence
Sun sẹ yin
Amọrawa, sho get?
Abinibi yato s'ability
Ẹsọ fun wọn tan ba teri si
Wọn ma pa lori
Tẹnu kọ, emi promising
Awọn tẹ fọ fun, fọ fun mi
Tori ko sẹ lomi
Many many fẹ dabi mi
Eri bi
Ẹgbọlorun tobi
Mo da aso-ẹbi for my country
You can call me Mr Money
You might also like
Hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm
2:30 fẹlu
Oya ka turn up
Kilẹ to mọ
Hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm
Ye, ye, ye
2:30 fẹlu (Thirty fẹlu)
Oya ka turn up
Kilẹ to mọ

Ere moba wa kosi ja
Shokoto pen pe, ye
Ayenika, yebo, yeba
Formation logba, ye ja
Ọmọ'yami ko stay wise
Tranquility, tranquility
I no get time to dey form activity
Kole kalas, I dey find stability
Like abacha, monеy long infinity
What's the chances?
What's the probability?
To see a bеtter version of me with agility
No you can't fake reality
Ogun, principality and calamity
Mo ti lọ, mo ti pa iyen ti
Bẹbẹ no de for jiji
O shi wa n titi
Still get money like Fifty
Dripping like Fiji
I be real G
Hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm
2:30 fẹlu
Oya ka turn up
Kilẹ to mọ
Hmm, hmm, hmm, hmm
Hmm, hmm, hmm, hmm
Ye, ye, ye
2:30 fẹlu
Oya ka turn up
Kilẹ to mọEmbed"
7,Young Jonn - Xtra Cool,"15 ContributorsXtra Cool Lyrics
Jiggy
No, uh-no
(Bang)
Oh no-no, no-no-no
(Banga)

Uloma, I dey on my ten toe
And I don tell you tire, make we dey like Xtra Cool
Oh, can we go back to the time when this loving sese bèrè?
You know I love you but I'm always on the road

Girl na you put me in the mood
And I know you want am too
And I carry shoulder down for you
Jowo, ma fímí pa
I don make my spanner loose
(Omo, I don make my spanner loose)
I don carry shoulder down for you
Jọwọ, má fímí pa
So one more time  (Bang)

Omo, walahi
Omo, your ringing tone no wan comot for my head
No wan comot for my head
Omo, walahi
Never seen a girl so fine like in my life, I must confess
I must confess
You might also like
Pèmí l'orukọ, oya
Fàmí ni irungbọn, oh-na
S'oro sí mí anyhow oh, mama
(S'oro sí mí anyhow, my darling)
I know e no easy to understand me
You know I love you but I'm always on the road

Girl, na you put me in the mood
And, I know you want am too
And, I carry shoulder down for you
Jọwọ, ma fí mí pa
I don make my spanner loose
(Omo, I don make my spanner loose)
I don carry shoulder down for you
Jowo, ma fímí pa
So one more time

Omo, walahi
Omo, your ringing tone no wan comot for my head
No wan comot for my head
Omo, walahi
Never seen a girl so fine like in my life, I must confess
I must confess
Omo, walahi
Omo, your ringing tone no wan comot for my head
No wan comot for my head
Omo, walahi
Never seen a girl so fine like in my life, I must confess
(Bang)
(Banga)
(Dozer)Embed"
8,ODUMODUBLVCK - BLOOD ON THE DANCE FLOOR,"10 ContributorsBLOOD ON THE DANCE FLOOR Lyrics
Black sheep for life, black sheep forever
Izgaaju 'til we kpeme, Antiworld gangsters
GE records, you get me? ODUMODUBLVCK
NATIVE (Jimohsoundz killed this)
All I know, all I know, all I know

All I know is that when I dey cock, I hit and go (Hit and go)
All I know is that when I been shoot, I hit their own (Hit their own)
All I know is that when I dey cock, I hit and go (Hit and go, oh)
All they know is that when I been shoot, I hit their own, so

Why they wanna cause more?
Put 'em in a Crosstour
Kolobi their own blood
Did it on their own turf
So, why they wanna bring blood
Down to my front door?
I don't wanna drink more (Yeah)
Blood on the dance floor

Supposing I fall in with my kala like this and that (Okay), I'm dressed in black
Opportunity, no be wetin I go dey look then pass (My post)
So, I light my bass
Light that man with my pumpi (Ehn?)
Tear garanut on the monkey (Ehn?)
Shake her yansh for my money
ODUMODUBLVCK fala-folo, decipher konji (Spend)
You might also like
I go fill my glass cup (Mm nah-nah, mm nah-nah-nah)
Higher catch, fall
While I dey function (Mm nah-nah, mm nah-nah-nah)
My opps on a lost cause

All I know is that when I dey cock, I hit and go (I dey shoot and go)
All I know is that when I been shoot, I hit their own (I dey shoot and go, when them point and kill)
All I know is that when I dey cock, I hit and go (Who dey check my own?)
All they know is that when I been shoot, I hit their own (I go hit their own, I dey run my race), so

Why they wanna cause (Cause), more?
Put 'em in a Crosstour (Cross')
Kolobi their own (Own), blood
Did it on their own (Own), turf (Turf)
So, why they wanna bring (Bring), blood
Down to my front (Front) door? (Door)
I don't wanna drink (Drink), more
Blood on the dance floor (Dance floor, uh)

I dey always expect these things
Normally, normally, normally
You dey try us, you dey try me
Mhm, normally, normally
W-W-W-We came here to party, nah-nah
But you came here to find me (Gegege)
You came here to find me
The thing wey dey my mind but
I go fill my glass cup
Higher catch, fall (Cash fund, yeah)
While I dey function (Uh, function, Wale, Baba Folarin)
My opps on a lost cause (Lost cause)

Run for your life, they gon' come for your life
And my one true advice, bring a gun to the fight
Let it go, let it go
Kiss the kids and the wife
Over here shit get real, like for real could bad when they roll
I ain't 'bout to go out like a motherfucker, hoe
Bring it to my door, I'ma send you to the goat
The thing about war, you will never know closure
The windows close, they be in the back door
And I don't trust nothing but this God-given flow
Dobale to Folarin when you pass Ondo
They crash out for me, 'cause I ride for my folks
Take the chance if you want, we gon' dance if you go

All I know is that when I dey cock, I hit and go (That how it go, I dey shoot and go, NATIVE)
All I know is that when I been shoot, I hit their own (I dey shoot and go, when them point and kill)
All I know is that when I dey cock, I hit and go (Who dey check my own?)
All they know is that when I been shoot, I hit their own (I go hit their own, I dey run my race), so
Why they wanna cause (Cause), more?
Put 'em in a Crosstour (Cross')
Kolobi their own (Own), blood
Did it on their own (Own), turf (Turf)
So, why they wanna bring (Bring), blood
Down to my front (Front) door? (Door)
I don't wanna drink (Drink), more
Blood on the dance floor (Dance floor, uh)

Supposing I fall in with my kala like this and that (Okay), I'm dressed in black  (Mm nah-nah, mm-uh nah-nah, mm nah-nah-nah)
Opportunity, no go wetin I go dey look then pass
O, I light my bass
Light that man with my pumpi
Tear garanut on the monkey (Mm nah-nah, mm-uh nah-nah, mm nah-nah-nah)
Shake her yansh, yansh (Mm nah-nah, mm nah-nah-nah)
NATIVE Records, baby (Blood on the dance)
Blood on the dance floor (Mm nah-nah, mm nah-nah-nah, ooh-oh)
(Okay) Blood on the dance, eh (Mm nah-nah, mm nah-nah-nah)
Blood on the dance (Mm nah-nah, mm nah-nah-nah, ooh-oh)Embed"
9,Young Jonn - Aquafina,"5 ContributorsAquafina LyricsJiggy
Tune in to the king of sounds and blues
My aquafina
Kilode ton para uh no
Most nights I’m lonely oh
But nobody notice oh uh uh uh
My chinchila, ma fimisile you’re my painkiller
No go dey aggravate, the situation ko ma complicate
Most nights I’m lonely baby, you don’t even notice
Even-eventually even if you don’t love me again
You should just tell me like this (o like this)
Cause tomorrow if my feelings start to change
You go know I don tell you before
You know I don tell you before (before uh uh)
Even-eventually even if you don’t love me again
You should just tell me like this (o like this)
Cause tomorrow if my feelings start to change
You go know I don tell you before
You know I don tell you before

We cannot do this everytime oh
This love not anybody concern
Why do we argue every night oh
When you know sey I love you kpa
Oloyin toyin tomato
You know ori mi shano 24/7
So no go reason am too far
No go reason am too far (unh nuh nuh)
You might also likeMy chinchila, ma fimisile you’re my painkiller
No go dey aggravate, the situation ko ma complicate (ko ma complicate)
Most nights I’m lonely baby, you don’t even notice (you don’t even notice)
Even-eventually even if you don’t love me again
You should just tell me like this (o like this)
Cause tomorrow if my feelings start to change
You go know I don tell you before
You know I don tell you before (before unh unh)
Even-eventually even if you don’t love me again
You should just tell me like this (o like this)
Cause tomorrow if my feelings start to change
You go know I don tell you before
You know I don tell you before
My aquafina kilode ton para
Most nights I’m lonely baby, you don’t even notice
JiggyEmbed"
