,artist_title,lyrics
0,Wet Bed Gang - Devia Ir,"20 ContributorsDevia Ir Lyrics

(Tás aonde?)
Eu sei que o teu damo anda todo inseguro porque sabe que tu és mais minha do que dele
Eu sei que tu sonhas comigo, mas as tuas amigas me pintam como um pesadelo
Isso é porque elas não querem que a gente volte
Caga nas tuas amigas
Fica à minha espera na porta
(Mas chegas a que horas?)

Às 4 da manhã, ayy
Eu nem devia ir, mas a cabeça só diz ""Go, go, go""
Cabeça só diz ""Go, go, go""
Às 4 da manhã
Eu nem devia ir, mas a cabeça só diz ""Go, go, go""
Cabeça só diz ""Go, go, go"", yeah, yeah, yeah

Hã, às 4, a head só ouve a tua voice
Flashbacks meus e teus na bed após atuações
Sei que basta uma chamada e sou a tua choice, haha
Dick e vagina, assim se atua a dois
Dava p'a evitar situações dessas, mas juízo não entra nestes corações
Tornei-me a luz p'os caminhos p'os quais às escuras foste
Não é difícil fazer com que uma miúda goste
Agora gosto, após agosto ainda te fodo
O esposo aposta que fora há outro, já não o fodes, mas
O que importa é que às 4 o iPhone toca
Hora do coito, playboy e coelha na toca
Quando ela diz come, eu como
Madrugada abana a cama all night long
Modo voo, eu não vou tar mais online hoje
Eu vou te pôr on fire
You might also like
E eu sei que o teu damo anda todo inseguro
Porque sabe que tu és mais minha do que dele
Eu sei que tu sonhas comigo
Mas as tuas amigas me pintam como um pesadelo
Isso é porque elas não querem que a gente volte
Caga nas tuas amigas
Fica à minha espera na porta
Espera, que eu vou ter contigo

Às 4 da manhã, ayy
Não era suposto ir, mas a cabeça só diz ""Go, go, go""
Cabeça só diz ""Go, go, go""
Às 4 da manhã
Não era suposto ir, mas a cabeça só diz ""Go, go, go""
Cabeça só diz ""Go, go, go""

Mas se p'ra ti tá fixe assim
""Ride slow, ride slow, baby""
Depois diz-me ""Vai só, vai só, baby""
Depois diz-me ""Mais som, mais som""
Mas se p'ra ti tá fixe assim, yeah
Diz-me ""Ride slow"", depois ""Vai só""
Depois ""Vem só, mais forte"", oh God, yeah, yeah
E 'tás presente desde as bulas, não da fuga aos sugas
Uma mistura meio maluca, txutxuka budjurra
E quando eu chego a casa acaba-se a mania
E quando eu ponho a ""Melanina"", sambas, txuka-txutxuka-txutxuka
Yeah, eu sou um puto, sou bruto, eu machuco, yeah, já sei
Mas também sei que sou o maior motivo da discussão
Com esse boy que tens all day

Zara G, nigga
Não quero discutir contigo
Eu ontem tava em casa, devem ter-me confundido
Eu sei que é difícil fazer-te acreditar em mim
Eu posso te avisar se eu precisar de te trair
Sempre que 'tás chateada sou eu que te faço rir
A mim ninguém me pode dizer onde eu posso ir
Caga no teu namorado, são 4 da madrugada
Chama um táxi p'a minha casa, chega e tira as tuas calças
Tuas amigas são falsas
Tu sabes, só que disfarças
E cada vez que tu bazas
Elas mandam-me mensagem
Mas eu nem sequer respondo
Também nem sequer te conto
Tenho o cérebro cheio de fumo
'Tou em lojas sem desconto
Quem tem muito cash, compra
Amanhã se não voltares
Provavelmente eu vou 'tar
No estúdio com os meus rapazes
Até às 4 da manhã, haha, yeah
A fazer novas músicas p'o teu damo partilhar
Mas eu sei que o teu damo anda todo inseguro
Porque sabe que tu és mais minha do que dele
E sei que tu sonhas comigo
Mas as tuas amigas me pintam como um pesadelo
Isso é porque elas
Não querem que a gente volte
Caga nas tuas amigas
Fica à minha espera na porta
Espera, que eu vou ter contigo

Às 4 da manhã
Eu nem devia ir, mas a cabeça só diz ""Go, go, go""
Cabeça só diz ""Go, go, go""
Às 4 da manhã
Eu nem devia ir, mas a cabeça só diz ""Go, go, go""
Cabeça só diz ""Go, go, go""

Mas se p'ra ti tá fixe assim
""Ride slow, ride slow, baby""
Depois diz-me ""Vai só, vai só, baby""
Depois diz-me ""Mais som, mais som""
Mas se p'ra ti tá fixe assim, yeah
Diz-me ""Ride slow"", depois ""Vai só""
Depois ""Vem só, mais forte"", oh God, yeah, yeah
Em casa ou no bote
Eu quero que te mexas da mesma forma
Nem que eu tenha que te pagar um shot
Só não quero que venhas falar de love
Em casa ou no bote
Eu quero que te mexas da mesma forma
Nem que eu tenha que te pagar um shot
Só não quero que venhas falar de love
Tou cá em baixo2Embed"
1,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
2,Ivandro - Lua,"1 ContributorLua Lyrics
Ah-yeah, hum
Ah-yeah, hum

'Tou no cubico, shawty
Mais tarde eu vou no corre, qualquer coisa call me
Eu quero encher o bolso até mesmo ficar rico
Fazes parte do plano, enriquece então comigo, (Ah, yeah-yeah)
Mais uma luta, não é nada, a nossa ligação não muda
Quero Prada, quero Gucci p’ra minha miúda
Porque esta inspiração também é tua culpa
Apaga a luz, acende as velas
Fazer um clima tipo novela
Ela é só minha, e eu sou dela
Ela é só minha, e eu sou dela

Deixa levar-te à lua hoje
Eu vou levar-te à lua hoje
Eu vou levar-tе à lua hoje
Eu vou levar-te à lua hojе (Ah-yeah)
Eu vou levar-te à lua hoje (Ah-yeah)
Eu vou levar-te à lua hoje

Só com conversas ficamos pela metade
Se já estou cansada não foi da minha vontade
Fiquei pendurada, o dia virou madrugada
Dormia melhor contigo a fazer de almofada
E nunca vou esquecer as coisas que vivi contigo
Se falo bem de ti é porque um dia foste abrigo
Só me mentes em promessas, não sei porque é que ainda fico
Doi porque se eu for sei que não te levo comigo
You might also like
Mais uma luta, não quero nada, porque sei que nada muda
Quero certezas de que isto ainda resulta
Se não durar sei que não sou quem tem a culpa

Eu sei que vou à lua hoje
Tu vais levar-me à lua hoje
Deixa-me ir à lua hoje
Deixa-me ver-te nem que seja só por hoje  (Ah-yeah)
Tu vais levar-me à lua hoje (Ah-yeah)
Deixa-me ver-te nem que seja só por hoje (Ah-yeah)

Ah-yeah, humEmbed"
3,Calema - Te Amo,"8 ContributorsTe Amo Lyrics
Falhei contigo, eu assumo
Tu foste embora, eu entendo
Mas ficou tanto amor
Estou meio sem planos

Preciso ouvir (Preciso), ouvir que me queres
Sentir que ainda me queres
Que não foi desta que acabou
Todos falam de ti (Todos), de como fui um bobo
Te perdi por tão pouco, eh eheheheh

Já nem sei mais, como tu estás
Tudo se foi, saudade, saudade, saudade bô
Onde tu estás?
Preciso te ouvir, p'ra onde tu fores
Nga lêlê, Nga lêlê, Nga lêlê bô

Estou com receio que me falem que tens outro
Tu sabes que não vou aguentar se souber
Que mais alguém se colou a ti
Tu sabes que eu te amo
Não há espaço p'ra mais ninguém
Eu não agi certo não agi, mas preciso de ti eh
You might also like
Preciso ouvir (Preciso), ouvir que me queres
Sentir que ainda me queres
Que não é desta que acabou
Todos falam de ti, de como eu fui um bobo
Que te perdi por tão pouco eh
Wê lê, Wê lê, Wê

Já nem sei mais, como tu estás
Tudo se foi, saudade, saudade, saudade bô
Onde tu estás?
Preciso te ouvir, p'ra onde tu fores
Nga lêlê, Nga lêlê, Nga lêlê bô

Fidju femia
Sin ká odjau aós
Falam kuma kum podi odjau
Saudade na matam na matam dimas
Oh, olha bem no meu olho
E diz que já não me queres mais
Que tu não tens saudades de me namorar
É pedir demais
Que me ouças de novo
Que me abraces de novo
Só mais uma vez
É tão chato ouvir
De como fui um bobo
Que te perdi por tão pouco (Ehhh)
Wê lê, Wê lê, Wê
Já nem sei mais, como tu estás
Tudo se foi, saudade, saudade, saudade bô
Onde tu estás?
Preciso te ouvir, p'ra onde tu fores
Nga lêlê, Nga lêlê, Nga lêlê bô

Malê
Eu estou tão Malê
Não vou aguentar não
Volta só para mim, ohohoh
Malê
Eu estou tão Malê
Eu quero estar com o teu perdão
Volta só para mim

Diz como é que eu fico
É tão chato ouvir
Que tu não me queres
Que já não me amas
E tu já  não vais voltar
É tão chato ouvir
Que tu não me queres
Que já não me amas
Diz como é que eu fico3Embed"
4,Bárbara Bandeira - Como Tu,"7 ContributorsComo Tu Lyrics
Já não faz sentido
Não vejo um futuro contigo
O meu coração 'tá partido
Vai encontrar alguém como tu
Como tu, como tu
Vai encontrar alguém como tu
Como tu, como tu

Pode nem resultar, mas sei que és tu que eu quero
A vida é mesmo assim, aprendi com os meus erros
Só costumo cobiçar aquilo que não tenho
Agora que foste embora vês o meu empenho
Foste embora, mas tu levaste um bocado de mim
Nossa história não é de agora, então não acaba aqui
Como é que é suposto um gajo equilibrar-se assim?
'Tás-me a fazer tanta falta que hoje eu não dormi

Sinto saudade, sinto saudade
Dеsculpa ter aparecido, devia tеr ligado
Senti saudade, sinto saudade
Desculpa ter aparecido e não ter avisado

Já não faz sentido
Não vejo um futuro contigo
O meu coração 'tá partido
Vai encontrar alguém como tu
Como tu, como tu
Vai encontrar alguém como tu
Como tu, como tu
Vai encontrar alguém como...
You might also like
Então, se eu puser a face down (Down)
E balançar (—çar)
Esse é o teu ponto fraco (Fraco)
E a minha promoção (—ção)
Meu corpo é dose de caos na tua causa (Yeah)
E tu não poderes tocar é a tua caução (Mmm)
Reações nas tuas calças
Baby, dá pra ver que o teu corpo não 'tá de acordo (Não 'tá de acordo)
Tu disseste que eu dava trabalho a mais
Olha quantos voluntários querem trabalhar agora
Como tu
Querem me ter na prática (Yeah)
Tu em festas, eu ficava em cativeiro (Yeah)
Então esta é a minha after party, yeah, yeah
O teu amor já coube no meu peito (No meu peito)
O teu anel já coube no meu dedo (No meu dedo)
Mas a caminho do altar, eu joguei
Bem-me-quer, mal-me-quer
Com as pétalas do buquê e entendi que

Já não faz sentido
Não vejo um futuro contigo
O meu coração 'tá partido
Vai encontrar alguém como tu
Como tu, como tu
Vai encontrar alguém como tu
Como tu, como tu
(Vai encontrar alguém)
Sinto saudade, sinto saudade
Desculpa ter aparecido, devia ter ligado
Senti saudade, sinto saudade
Desculpa ter aparecido e não ter avisadoEmbed"
5,Harry Styles - As It Was,"213 ContributorsTranslationsTürkçeEspañolPortuguês日本語ItalianoΕλληνικάDeutschFrançaisTagalog / ᜆᜄᜎᜓᜄ᜔فارسیNederlandsShqipPolskiРусскийहिन्दीČesky한국어SlovenčinaAs It Was Lyrics
Come on, Harry, we wanna say goodnight to you

Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
You might also like
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

(Hey)
As it was
You know it's not the same as it was
As it was, as it was190Embed"
6,Bispo - Essa Saia,"8 ContributorsEssa Saia Lyrics

Uh-uh, yeah-yeah
Uh-uh, yeah-yeah

‘Tava-te a ver com bué de climas
Então fala what’s up shawty (yeah, yeah)
Agora que invadi o teu espaço
Podes falar what’s up shawty (yeah, yeah)

É que essa tua saia
Nessas curvas fica tão bem (yeah, yeah)
‘Tou-te a ver aí no teu canto
Hoje eu ‘tou sozinho e tu também (yeah, yeah)
É que essa tua saia
Nessas curvas fica tão bem (yeah, yeah)
‘Tou-te a ver aí no teu canto
Hoje eu ‘tou sozinho e tu também (yeah, yeah)

Baby beijava te na boca
Tu ias sentir te amada
Tirava a tua roupa
Sem tu te sentires usada
Mas a minha vida é outra
Tu sabes sou pirata
Rap e vida louca
Pouco tempo em casa
Deixava-te louca
Não ias querer mais nada
Dias iam parecer vidas
Nem falo das madrugadas
Mas a minha vida é outra
Tu sabes sou pirata
Princesa aponta
Não é conversa fiada
Podiam ser tantas coisas
Tanto na imaginação
Quanto fica por viver?
Tanto prazer além colchão
Falando nisso
Essa tua saia nessas curvas, tentação
Fica tão bem, não te aproximes
Se não tens ação
You might also like
‘Tava-te a ver com bué de climas
Então fala what’s up shawty (yeah, yeah)
Agora que invadi o teu espaço
Podes falar what’s up shawty (yeah, yeah)

É que essa tua saia
Nessas curvas fica tão bem (yeah, yeah)
‘Tou-te a ver aí no teu canto
Hoje eu ‘tou sozinho e tu também (yeah, yeah)
É que essa tua saia
Nessas curvas fica tão bem (yeah, yeah)
‘Tou-te a ver aí no teu canto
Hoje eu ‘tou sozinho e tu também (yeah, yeah)

Olha a oportunidade
Consigo desmontar-te
São muitos papos ‘tou a fazer o mambo “agilizar-se”
‘Tou me a sentir um astronauta eu vou levar-te a marte
Hoje, vem comigo
Deixo-te marcas porque posso
Pra tu não esqueceres quem sou
Ela quer conhecer o boss
Então vem aqui vem que eu sou
E essa tua saia nessas curvas fica tão bem
‘Tou ta ver no teu canto
Eu ‘tou sozinho e tu também
‘Tava-te a ver com bué de climas
Então fala what’s up shawty (yeah, yeah)
Agora que invadi o teu espaço
Podes falar what’s up shawty (yeah, yeah)

É que essa tua saia
Nessas curvas fica tão bem (yeah, yeah)
‘Tou-te a ver aí no teu canto
Hoje eu ‘tou sozinho e tu também (yeah, yeah)
É que essa tua saia
Nessas curvas fica tão bem (yeah, yeah)
‘Tou-te a ver aí no teu canto
Hoje eu ‘tou sozinho e tu também1Embed"
7,Harry Styles - Watermelon Sugar,"168 ContributorsTranslationsDeutschTürkçeEspañolPortuguêsPolskiNorsk (bokmål / riksmål)ČeskyDanskWatermelon Sugar Lyrics
Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want more berries and that summer feelin'
It's so wonderful and warm

Breathe me in, breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go without

Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar

Strawberries on a summer evenin'
Baby, you're the end of June
I want your belly and that summer feelin'
Getting washed away in you

Breathe me in, breathe me out
I don't know if I could ever go without
You might also like
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high

I just wanna taste it, I just wanna taste it
Watermelon sugar high

Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want your belly and that summer feelin'
I don't know if I could ever go without

Watermelon sugar high
Watermelon sugar high
Watermelon sugar high (Sugar)
Watermelon sugar high (Sugar)
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
I just wanna taste it, I just wanna taste it (Eh-eh-eh)
Watermelon sugar high
I just wanna taste it, I just wanna taste it (Ooh, yeah)
Watermelon sugar high
Watermelon sugar116Embed"
8,Lewis Capaldi - Someone You Loved,"222 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisTürkçeالعربيةSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed"
9,PEDRO SAMPAIO - DANÇARINA,"5 ContributorsTranslationsEnglishDANÇARINA Lyrics

Oh, eh, oh, eh, eh, oh, eh, oh

Essa menina é o puro talento descendo
Joga a mãozinha pro alto quem tá enlouquecendo
Essa menina é o puro talento descendo
Joga a mãozinha pro alto quem tá enlouquecendo

No bailão, ela gosta de bailar
No bailão, ela gosta de bailar

Mina gostosa, no beat ela encosta, rebola no pique Anitta
Escuta a batida e do nada ela vira dançarina
Ah, ah-ah-ah, ah-ah-ah, doida pra sentar
Ah-ah-ah, ah-ah-ah, doida pra sentar
Ah-ah-ah, ah-ah-ah, doida pra sentar
Ah-ah-ah, ah-ah-ah, ê

Eu vou provocar, vou descer, vou instigar
Eu vou provocar, vou descer, vou instigar (Joga pro alto)
You might also like
Essa menina é o puro talento descendo
Joga a mãozinha pro alto quem tá enlouquecendo
Essa menina é o puro talento descendo
Joga a mãozinha pro alto quem tá enlouquecendo

No bailão, ela gosta de bailar
No bailão, ela gosta de bailar

Mina gostosa, no beat ela encosta, rebola no pique Anitta
Escuta a batida e do nada ela vira dançarina
Ah, ah-ah-ah, ah-ah-ah, doida pra sentar
Ah-ah-ah, ah-ah-ah, doida pra sentar
Ah-ah-ah, ah-ah-ah, doida pra sentar
Ah-ah-ah, ah-ah-ah, ê

Eu vou provocar, vou descer, vou instigar
Eu vou provocar, vou descer, vou instigar

Doida pra sentar1Embed"
