,artist_title,lyrics
0,James Arthur - Say You Won't Let Go,"150 ContributorsTranslationsΕλληνικάTürkçePortuguêsDeutschالعربيةBahasa IndonesiaSay You Won’t Let Go Lyrics
I met you in the dark, you lit me up
You made me feel as though I was enough
We danced the night away, we drank too much
I held your hair back when you were throwin' up

Then, you smiled over your shoulder
For a minute, I was stone-cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, ""I already told ya
I think that you should get some rest""

I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
But I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I'll wake you up with some breakfast in bed
I'll bring you coffee with a kiss on your head
And I'll take the kids to school, wave them goodbye
And I'll thank my lucky stars for that night
See James Arthur LiveGet tickets as low as $38You might also like
When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, woah
And you look as beautiful as ever
And I swear that every day, you'll get better
You make me feel this way somehow

I'm so in love with you and I hope you know
Darlin', your love is more than worth its weight in gold
We've come so far, my dear, look how we've grown
And I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I wanna live with you even when we're ghosts
'Cause you were always there for me when I needed you most

I'm gonna love you till my lungs give out
I promise till death we part, like in our vows
So, I wrote this song for you, now everybody knows
That it's just you and me till we're grey and old
Just say you won't let go
Just say you won't let go
Just say you won't let go
Oh, just say you won't let go153Embed"
1,Lewis Capaldi - Someone You Loved,"222 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisTürkçeالعربيةSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed"
2,Ed Sheeran - Perfect,"331 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoΕλληνικάDeutschFrançaisفارسیالعربيةPerfect Lyrics
I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for me

'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But, darlin', just kiss me slow
Your heart is all I own
And in your eyes, you're holdin' mine

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, ""Darlin', you look perfect tonight""

Well, I found a woman stronger than anyone I know
She shares my dreams, I hope that, someday, I'll share her home
I found a love to carry more than just my secrets
To carry love, to carry children of our own
See Ed Sheeran LiveGet tickets as low as $74You might also like
We are still kids, but we're so in love
Fightin' against all odds
I know we'll be alright this time
Darlin', just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When I saw you in that dress, lookin' so beautiful
I don't deserve this, darlin', you look perfect tonight

No, no, no
Mm, no, no

Baby, I'm dancin' in the dark with you between my arms
We're barefoot on the grass, oh, listenin' to our favourite song
I have faith in what I see, now I know I have met
An angel in person and she looks perfect
I don't deserve this, you look perfect tonight265Embed"
3,The Chainsmokers - Something Just Like This,"3 ContributorsNew Music Friday 02/17/17 LyricsThe Chainsmokers - Something Just Like This feat. Coldplay
Lana Del Rey - Love
Linkin Park & Kiiara - Heavy
Kygo & Selena Gomez - It Ain’t Me
Maroon 5 - Cold feat. Future
Ed Sheeran - How Would You Feel (Paean)
Mike Posner - In The Arms Of A Stranger (Grey Remix)
James TW - Ex
Pitbull - Options feat. Stephen Marley
Future - Draco
Nav - Some Way feat. The Weeknd
Cashmere Cat - Love Incredible feat. Camila Cabello
All Time Low - Dirty Laundry
MisterWives - Machine
Maty Noyes - London
Flume - Enough feat. Pusha T
Jidenna - Helicopters / Beware
Trey Songz - Nobody Else But You
Mr. Probz - Till You're Loved
Judah & the Lion - Suit and Jacket
Ryan Adams - Prisoner
Incubus - Nimble Bastard
James Hersey - Everyone's Talking
Little Big Town - When Someone Stops Loving You
Maggie Rogers - Better
R.LUM.R - Love Less
Lady Gaga - Million Reasons (KVR Remix)
The Chainsmokers - Paris (FKYA Remix)
NoMBe - Young Hearts
Bebe Rexha - Small Doses
Flo Rida - Game Time feat. Sage the Gemini
We The Kings - Sad Song (RJ Remix) feat. Olivia Holt
Deorro - Tell Me Lies feat. Lesley Roy
Galantis - Rich Boy
Olivia O'Brien - Empty
Hamilton Leithauser + Rostam - In a Black Out (Cassius Remix)
Shaggy - Seasons feat. OMI
Fat Joe & Remy Ma - Heartbreak feat. The-Dream & Vindata
Kodak Black - Tunnel Vision
Mokita - Heaven
Noah Cyrus - Make Me (Cry) feat. Labrinth (Marshmello Remix)
BLAISE MOORE - FRIENDS
Johnny Yukon - Laptop
BJ The Chicago Kid - Roses
Tinie Tempah - Something Special
New Found Glory - Happy Being Miserable
WATERS - Hiccups
Papa Roach - Help
Strand of Oaks - Radio Kids
Electric Guest - Back & Forth
Devin Dawson - All On Me
James Blunt - Time of Our Lives
Steve Moakler - Wheels
Joey Bada$$ - Victory
Lecrae - River of Jordan feat. Breyan Isaac
Astronomyy - Rest in Paradise
Rich Gang - Bit Bak feat. Birdman & Young Thug
Imad Royal - Dust
Jessie James Decker - Gold
Jack Johnson - Fragments
The Orwells - Fry
CyHi The Prynce - Nu Africa
Mew - 85 Videos
Hoops - Rules
Blond Ambition - Stupid Boy / Girl
TeamMate - Damage
Johnossi - Hands
Zipper Club - Breath
Nikki Lane - Highway Queen
Emma Jensen - Closer
The Shins - Mildenhall
Mt. Wolf - The ElectricEmbed"
4,Ed Sheeran - Photograph,"166 ContributorsTranslationsPortuguêsΕλληνικάDeutschPhotograph Lyrics
Lovin' can hurt
Lovin' can hurt sometimes
But it's the only thing that I know
And when it gets hard
You know it can get hard sometimes
It is the only thing that makes us feel alive

We keep this love in a photograph
We made these memories for ourselves
Where our eyes are never closin'
Hearts are never broken
And time's forever frozen still

So you can keep me
Inside the pocket of your ripped jeans
Holdin' me closer till our eyes meet
You won't ever be alone
Wait for me to come home

Lovin' can heal
Lovin' can mend your soul
And it's the only thing that I know, know
I swear it will get easier
Remember that with every piece of ya
Mm, and it's the only thing we take with us when we die
See Ed Sheeran LiveGet tickets as low as $74You might also like
Mm, we keep this love in this photograph
We made these memories for ourselves
Where our eyes are never closin'
Hearts were never broken
And time's forever frozen still

So you can keep me
Inside the pocket of your ripped jeans
Holdin' me closer till our eyes meet
You won't ever be alone
And if you hurt me
Well, that's okay, baby, only words bleed
Inside these pages, you just hold me
And I won't ever let you go
Wait for me to come home

Wait for me to come home
Wait for me to come home
Wait for me to come home

Oh, you can fit me
Inside that necklace you got when you were sixteen
Next to your heartbeat, where I should be
Keep it deep within your soul
And if you hurt me
Well, that's okay, baby, only words bleed
Inside these pages, you just hold me
And I won't ever let you go
When I'm away, I will remember how you kissed me
Under the lamppost back on Sixth Street
Hearin' you whisper through the phone
""Wait for me to come home""275Embed"
5,Ed Sheeran - Shape of You,"352 ContributorsTranslationsTürkçeEspañolPortuguêsΕλληνικάDeutschFrançaisItalianoالعربيةShape of You Lyrics
A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body
See Ed Sheeran LiveGet tickets as low as $74You might also like
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you409Embed"
6,Jay Chou - 告白氣球,"10 ContributorsTranslationsRomanization告白氣球 (Love Confession) Lyrics

塞納河畔 左岸的咖啡
我手一杯 品嚐你的美
留下唇印的嘴, ooh-ooh
花店玫瑰 名字寫錯誰
告白氣球 風吹到對街
微笑在天上飛, huh, huh

你說你有點難追
想讓我知難而退
禮物不需挑最貴
只要香榭的落葉
營造浪漫的約會
不害怕搞砸一切
擁有你就擁有 全世界

親愛的愛上你
從那天起
甜蜜的很輕易
親愛的別任性
你的眼睛
在說我願意
See 周杰倫 (Jay Chou) LiveGet tickets as low as $351You might also like
塞納河畔 左岸的咖啡
我手一杯 品嚐你的美
留下唇印的嘴, ooh-ooh
花店玫瑰 名字寫錯誰
告白氣球 風吹到對街
微笑在天上飛, huh, huh

你說你有點難追
想讓我知難而退
禮物不需挑最貴
只要香榭的落葉
營造浪漫的約會
不害怕搞砸一切
擁有你就擁有 全世界

親愛的愛上你
從那天起
甜蜜的很輕易
親愛的別任性
你的眼睛
在說我願意

親愛的愛上你
戀愛日記
飄香水的回憶
一整瓶的夢境
全都有你
攪拌在一起
親愛的別任性
你的眼睛
在說我願意2Embed"
7,Eric Chou - 怎麼了,"2 Contributors怎麼了 (What’s Wrong) Lyrics你說藍色是你最愛的顏色
你說如果沒有愛那又如何
怎麼了 你怎麼了
看過你曾經最燦爛的笑容
看過你緊緊擁抱愛的面孔
怎麼了 你消失了
是不是我錯了 搞錯了
天灰了 雨下著 凝望著 你走了
都回不去了 像從前快樂
怎麼能輕易說要結束
怎麼會讓你抱著我哭
太努力的我們最後用力給祝福
怎麼看你笑著 我卻心如刀割
原來我們都一樣頑固
怎麼會誰都絕口不提要幸福
再也不能牽著你走未來每一步
我們懷念什麼 失去愛那一刻 才曉得
你說藍色是你最愛的顏色
你說如果沒有愛那又如何
怎麼了 你怎麼了
看過你曾經最燦爛的笑容
看過你緊緊擁抱愛的面孔
怎麼了 你消失了
See 周興哲 (Eric Chou) LiveGet tickets as low as $268You might also like是不是我錯了 搞錯了
越愛著 越痛著 苦笑著 你走了
我們約好了 要比我快樂
怎麼能輕易說要結束
怎麼會讓你抱著我哭
太努力的我們最後用力給祝福
祝福我最愛的 遇見更愛你的 飛翔著
我不想說 你不會懂 請別可憐我
受傷的我 究竟需要 一個人 多少年 去度過
我不想說 你不會懂 請別可憐我
誰說我 一定要 永遠笑著
我不想
怎麼能輕易說要結束
怎麼會讓你抱著我哭
太努力的我們最後用力給祝福
祝福我最愛的 能永遠飛翔著
原來我們都一樣頑固
怎麼會誰都絕口不提要幸福
再也不能牽著你走未來每一步
我們懷念什麼 失去愛那一刻 才曉得Embed"
8,The Chainsmokers - Closer,"244 ContributorsTranslationsPortuguêsDeutschFrançaisفارسیNederlandsCloser Lyrics
Hey, I was doing just fine before I met you
I drink too much and that's an issue, but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now you're lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older
See The Chainsmokers LiveGet tickets as low as $57You might also like
You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that blink-182 song
That we beat to death in Tucson, okay

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no call
Now I'm lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
No, we ain't ever gettin' older
We ain't ever gettin' older
No, we ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
No, we ain't ever gettin' older

Older
We ain't ever gettin' older
Older
No, we ain't ever gettin' older207Embed"
9,Shawn Mendes - Señorita,"2 ContributorsSeñorita (Demo) Lyrics
She loves it when I call her señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya

Land in Miami
The air was hot from summer rain
Sweat drippin' off me
Before I even knew her name, la-la-la
It felt like ooh-la-la-la, yeah, no
Sapphire moonlight
We danced for hours in the sand
Tequila Sunrise
Her body fit right in my hands, la-la-la
It felt like ooh-la-la-la, yeah

She loves it when I call her señorita
I wish I could pretеnd I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should bе runnin'
Ooh, I know you love it when I call you señorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya
You might also like
Locked in the hotel
We built a mansion in the sheets
I don't touch and tell
But I wanna scream out in the streets, la-la-la, ooh
It felt like la-la-la, ooh
Ooh, when your lips undress me, hooked on your tongue
Ooh, love, your kiss is deadly, don't stop
{Chorus: Ali Tamposi, Shawn Mendes, Both}
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you know I love it when I call you señorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya

All along, I've been coming for ya (For you)
And I hope it meant something to you (Oh)
Cause your love keeps my coming for ya
Coming for ya
For ya
For ya
For ya
Ooh, I should be runnin'
Ooh, you keep me coming for yaEmbed"
