,artist_title,lyrics
0,Kabza De Small - Imithandazo,"4 ContributorsImithandazo Lyrics
Khomelela mungana wa mino (Hm-hmm)
Nita vuya mungana wa mino (Oh, yayayayayayaya)
Unga rili mungana wa mino (Oh oh)
Swita lungha mungana wa mino (Oh yeah)

Bambelela mngani wami
(Khomelela mungana wa mino)
Sophumelela yizwa ngami
(Ni nge tleli, ni nge tleli)
Lento ngeyethu sinikiwe
(Ungarili mungana wa mino)
Sobuya k'sasa ngamany' amandla
(Hito vuya, hito vuya)
Bambelela mngani wami
(Khomelela mungana wa mino)
Sophumelela yizwa ngami
(Ni nge tleli, ni nge tleli)
Lento ngeyethu sinikiwe
(Ungarili mungana wa mino)
Sobuya k'sasa ngamany' amandla
(Hito vuya, hito vuya)

Oh! Nkosi
Yizwa imithandazo yabantwana bakho
Yehlis' umoya wakho we mphumelelo
Yizwa imithandazo yabantwana bakho
Nkosi, sikelela
Yizwa imithandazo yabantwana bakho
Yehlis' umoya wakho we mphumelelo
Yizwa imithandazo yabantwana bakho
Nkosi, sikelеla
You might also like
Khomelela mungana wa mino (Chela, chеla, chela)
Nito Vuya mungana wa mino (Chela, chela, chela)
Ungarili mungana wa mino (Chela, chela, chela)
Swito Lungha mungana wa mino (Chela, chela, chela)

Hambi masiku ya fano
Kambe xita vuya xi bambo
Jaha lero vuya ri fambo
Kambe rita vuya midya ngopfu
Ay- masiku ya fano
Kambe xita vuya xi bambo
Jaha lero vuya ri fambo
Kambe rita vuya midya ngopfu
Ndziri chela

Ah nanana (ay)
Kukhalw' esikaNandi isililo (isililo)
Ayi, liyokhala nini ke icilongo? (icilongo)
Uzozixolela zonke le zono
Ngoba silala kunzima, kunjani ngomso?
Moy' oyingcwele mawehle
Inyembezi zingabi namandla emihleni
NoSathane athuk'thele ajik' endleleni
Sicela injabulo engapheli
Noma ihlukene imindeni
Uthando Iwakho lusanele
Eh (Eh ehhh, eh ehhh)
Aw Baba! Baba
Ayi, Sicela injabulo engapheli
Noma ihlukene imindeni
Uthando Iwakho lusanele
Uthando Iwakho lufanele
Yizwa imithandazo yabantwana bakho (Eh)
Yehlis' umoya wakho we mpumelelo (Hawu)
Yizwa imithandazo yabantwana bakho
Nkosi, sikelela

Khomelela mungana wa mino (Chela, chela, chela)
Sikelela
Nito Vuya mungana wa mino (Chela, chela, chela)
Oh oh Sikelela
Unga Rili mungana wa mino (Chela, chela, chela)
Oh Sikelela
Swito Lungha mungana wa mino (Chela, chela, chela)
Oh Sikelela, Oh Sikelela

Imithandazo yabantwana bakho
Yehlis' umoya wakho we mphumelelo
Thanananana sikelelaEmbed"
1,Tyler ICU - Mnike,"4 ContributorsTranslationsEnglishMnike Lyrics
Yasizwa le'sgubhu sina mandla
Sazo killa
Bafun'ubumnandi no mdantso
Thina soba nika
Nika, nika, nika, nika
Yasizwa le 'sgubhu sina mandla
Sazo killa
Bafun'ubumnandi no mdantso
Thina soba nika
Nika, nika, nika, nika

Hey mahn aziwe
Mahn aziwe keh
Ziwe keh
Aziwe ziwe keh
Ziwe keh
Hey mahn aziwe
Mahn aziwe keh
Ziwe keh
Aziwe ziwe keh
Ziwe keh

Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haikе haike
Haike haike haikе haike haike
Haike haike haike haike haike
Haike haike haike haike haike
You might also like
(Weh Tyler mahn)
Yasizwa le'sgubhu sina mandla
Sazo killa (Haike haike haike haike haike)
Bafun'ubumnandi no mdantso
Thina soba nika (Haike haike haike haike haike)
Nika, nika, nika, nika (Haike haike haike haike haike)
Yasizwa le'sgubhu sina mandla
Sazo killa
Bafun'ubumnandi no madantso
Thina soba nika
Nika, nika, nika, nika

Yam mnika ngimnike ngimnike (Weh Tyler mahn)
Ndimnike ndimnike ndimnike
Ndimnike ndimnike ndimnike
Ndimnike ndimnike ndimnike
Ndimnike ndimnike ndimnike
Ndimnike ndimnike ndimnike

Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
Haike haike haike haike haike
(Weh Tyler mahn)
Yasizwa le'sgubhu sina mandla
Sazo killa (Haike haike haike haike haike)
Bafun'ubumnandi no mdantso
Thina soba nika (Haike haike haike haike haike)
Nika, nika, nika, nika (Haike haike haike haike haike)
Yasizwa le 'sgubhu sina mandla
Sazo killa (Haike haike haike haike haike)
Bafun'ubumnandi no mdantso
Thina soba nika (Haike haike haike haike haike)
Nika, nika, nika, nika

Yam mnika ngimnike ngimnike
Ndimnike ndimnike ndimnike
Ndimnike ndimnike ndimnike
Ndimnike ndimnike ndimnike
Ndimnike ndimnike ndimnike
Ndimnike ndimnike ndimnikeEmbed"
2,Dlala Thukzin - IPlan,"4 ContributorsTranslationsEnglish​iPlan Lyrics
Lapho ukhona we dali ngiyak'thanda
Msebenzi awukho ngishoda ngemali
Kodwa umasithandana
Ngiyohlala ngenz'iplan
Ma'funi ingoma
Ngizocula ezimnandi
Lapho ukhona we dali ngiyak'thanda
Msebenzi awukho ngishoda ngemali
Kodwa umasithandana
Ngiyohlala ngenz'iplan
Ma 'funi ingoma
Ngizocula ezimnandi

Lapho ukhona we dali ngiyak'thanda
Msebenzi awukho ngishoda ngemali
Kodwa umasithandana
Ngiyohlala ngenz'iplan
Ma'funi ingoma
Ngizocula ezimnandi
Lapho ukhona we dali ngiyak'thanda
Msebenzi awukho ngishoda ngemali
Kodwa umasithandana
Ngiyohlala ngenz'iplan
Ma'funi ingoma
Ngizocula ezimnandi
You might also like
Lapho ukhona we dali ngiyak'thanda
Msebenzi awukho ngishoda ngemali
Kodwa umasithandana
Ngiyohlala ngenz'iplan
Ma 'funi ingoma
Ngizocula ezimnandi
Lapho ukhona we dali ngiyak'thanda
Msebenzi awukho ngishoda ngemali
Kodwa umasithandana
Ngiyohlala ngenz'iplan
Ma 'funi ingoma
Ngizocula ezimnandi

Lapho ukhona we dali ngiyak'thanda
Msebenzi awukho ngishoda ngemali
Kodwa umasithandana
Ngiyohlala ngenz'iplan
Ma 'funi ingoma
Ngiyocula ezimnandi
Lapho ukhona we dali ngiyak'thanda
Msebenzi awukho ngishoda ngemali
Kodwa umasithandana
Ngiyohlala ngenz'iplan
Ma' funi ingoma
Ngizocula ezimnandi
Dlala Thukzin
Ngiyohlala ngenz'iplan
Lapho ukhona we dali ngiyak'thanda
Ngiyohlala ngenz'iplan
Dali ngiyak'thandaEmbed"
3,Mellow & Sleazy - Imnandi lento,"2 ContributorsImnandi lento Lyrics
Ingom'ingenza ng'phole, indlela inok'khohlwa
Ukuthi ke sonke sinemizwa
Lent'inokung'phonsa edamini lemkoka
Nomasekunjalo ng'yayizwa
Ingom'ingenza ng'phole, indlela inok'khohlwa
Ukuthi ke sonke sinemizwa
Lent'inokung'phonsa edamini lemkoka
Nomasekunjalo ng'yayizwa
Cishe ngaphula izinto zomsakazi wentombi yam
Ngenxa yalento bengiyizw'izolo
Cishe ngaphuk'intamo
Ngenxa yalento zam
Zokusukel'umdanso ngibhem'izolo
Cishe ngaphula izinto zomsakazi wentombi yam
Ngenxa yalento bengiyizw'izolo (Iyelele)
Cishe ngaphuk'intamo
Ngenxa yalento zam
Zokusukel'umdanso ngibhem'izolo

Ahh imnandi lento
Ingenza ng'fun'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun 'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun 'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng' fun'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun 'ukudlalis' i-Pay
You might also like
Ingom'ingenza ng'phole, indlela inok'khohlwa
Ukuthi ke sonke sinemizwa
Lent'inokung'phonsa edamini lemkoka
Nomasekunjalo ng'yayizwa
Ingom'ingenza ng'phole, indlela inok'khohlwa
Ukuthi ke sonke sinemizwa
Lent'inokung'phonsa edamini lemkoka
Nomasekunjalo ng'yayizwa
Cishe ngaphula izinto zomsakazi wentombi yam
Ngenxa yalento bengiyizw'izolo
Cishe ngaphuk'intamo
Ngenxa yalento zam
Zokusukel'umdanso ngibhem'izolo
Cishe ngaphula izinto zomsakazi wentombi yam
Ngenxa yalento bengiyizw'izolo (Iyelele)
Cishe ngaphuk'intamo
Ngenxa yalento zam
Zokusukel'umdanso ngibhem'izolo

Ahh imnandi lento
Ingenza ng'fun 'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun 'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng' fun'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun 'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun'ukudlalis' i-Pay
Ahh imnandi lento
Ingenza ng'fun 'ukudlalis' i-PayEmbed"
4,DJ Stokie - Awukhuzeki,"1 ContributorAwukhuzeki Lyrics
Yilabangan' bakhe, iyoyo
Yilabangan' bakhe, iyoyo
Yilabangan' bakhe, iyoyo
Yilabangan' bakhe, iyoyo
Yilabangan' bakhe, iyoyo

Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wena

Awukhuzeki, awusabuyi nasekhaya
(Wena ung'phatha kabi)
Awubambeki, awusalali nasekhaya
Awukhuzeki, awusalali nasekhaya
Awubambeki, awusabuyi nasekhaya

Yilabangan' bakhe, iyoyo
Yilabangan' bakhe, iyoyo
Akasalal' endlini yo
Akasalal' endlini yo
Uphuz' utshwala ub'suku bonke
Akasabuyi endlini
Uphuz' utshwala ub'suku bonke
Akasabuyi endlini
Yilabangan' bakhe, iyoyo
Yilabangan' bakhe, iyoyo
You might also like
Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wеna, wena, wena
Kanti wena, wеna, wena

Ngathi sekuba umkhuba
Lento yakho yoku zula zula
Bengithi usuyakhula
Kanti wena usagcwele ukudlala
Heh, buy'ekhaya
Buy'ekhaya, ayaya, ayayayayaya

Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wena
Kanti wena, wena, wenaEmbed"
5,Lewis Capaldi - Someone You Loved,"222 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisTürkçeالعربيةSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed"
6,Miguel - Sure Thing,"84 ContributorsTranslationsTürkçeDeutschالعربيةSure Thing Lyrics
Love you like a brother
Treat you like a friend
Respect you like a lover

Oh-ooh-oh, oh-ooh-oh, oh-ooh-oh (You could bet that, never gotta sweat that)
Oh-ooh-oh, oh-ooh-oh, oh (You could bet that, never gotta sweat that)
Yeah, yeah, yeah (You could bet that, never gotta sweat that)
(You could bet that, never gotta sweat that) Yeah

If you be the cash, I'll be the rubber band
You be the match, I will be a fuse, boom!
Painter, baby, you could be the muse
I'm the reporter, baby, you could be the news
'Cause you're the cigarette and I'm the smoker
We raise a bet 'cause you're the joker
Checked off, you are the chalk
And I could be the blackboard, you can be the talk
And I can be the walk, yeah-eah

Even when the sky comes fallin'
Even when the sun don't shine
I got faith in you and I
So put your pretty little hand in mine
Even when we're down to the wire, babe
Even when it's do or die
We could do it, baby, simple and plain
'Cause this love is a sure thing, yeah
You might also like
(You could bet that, never gotta sweat that) Oh yeah, yeah
(You could bet that, never gotta sweat that)
(You could bet that, never gotta sweat that)
(You could bet that, never gotta sweat that)

You could be the lover, I'd be the fighter, babe
If I'm the blunt (Uh), you could be the lighter, babe, fire it up!
Writer, baby, you could be the quote, yeah (Uh)
If I'm the lyric, baby, you could be the note (Uh), record that!
Saint, I'm a sinner, prize, I'm a winner
And it's you, what did I do to deserve that?
Paper, baby, I'll be the pen
Say that I'm the one 'cause you are a ten
Real and not pretend

Even when the sky comes fallin' (Yeah, yeah, yeah, yeah, yeah, yeah)
Even when the sun don't shine
I got faith in you and I
So put your pretty little hand in mine
(You could bet that, never gotta sweat that) Even when we're down to the wire, babe
(You could bet that, never gotta sweat that) Even when it's do or die
(You could bet that, never gotta sweat that) We could do it, baby, simple and plain
(You could bet that, never gotta sweat that) 'Cause this love is a sure thing, yeah
Uh, now rock with me, babe
And let me hold you in my arms, talk with me, babe, yeah-yeah
Uh, now rock with me, babe
And let me hold you in my arms, talk with me, babe, yeah-yeah
This love between you and I is simple as pie, baby
It's such a sure thing, it's such a sure thing
Oh, it's such a sure thing, yeah, yeah, yeah, yeah (It's such a sure thing)

(You could bet that, never gotta sweat that) Even when the sky comes fallin' (Yeah)
(You could bet that, never gotta sweat that) Even when the sun don't shine
(You could bet that, never gotta sweat that) I got faith in you and I
(You could bet that, never gotta sweat that) So put your pretty little hand in mine
(You could bet that, never gotta sweat that) Even when we're down to the wire, babe
(You could bet that, never gotta sweat that) Even when it's do or die
(You could bet that, never gotta sweat that) We could do it, baby, simple and plain
(You could bet that, never gotta sweat that) 'Cause this love is a sure thing

(You could bet that, never gotta sweat that) Love you like a brother
(You could bet that, never gotta sweat that) Treat you like a friend
(You could bet that, never gotta sweat that) Respect you like a lover
(You could bet that, never gotta sweat that) Oh-ooh-oh, oh-ooh-oh, oh-ooh-oh61Embed"
7,Soa Mattrix - Mina Nawe,"1 ContributorMina Nawe Lyrics
Tadi tadi ta
Tadadita tadita
Tadita dita

Kukho konke esindlule kuko
Izivunguvungu zavela
Kodwa uthando Iwabekezela
Aluzange lawela wela

Sohlezi sisonke, sohlezi sisonke
Mina nawe sadalelana
Sohlezi sisonke, sohlezi sisonke
Mina nawe sadalelana
Maye, maye
Hayi uthando lunje (Hayi uthando lunje)
Maye, maye
Hayi uthando lunje (Hayi uthando lunje)

Woza kumina ng'vele ngik'thule umthwalo
Phela mina ngubambo Iwakho
Ngoba ukhethe mina umhlaba ngowakho
Nako konke enginakho ngokwakho
Ayi uthathe
You might also like
Mina nawe sadalelana
Mina nawe sadalelana

Kukho konke esindlule kuko
Izivunguvungu zavela
Kodwa uthando Iwabekezela
Aluzange lawela wela

Sohlezi sisonke, sohlezi sisonke
Mina nawe sadalelana
Sohlezi sisonke, sohlezi sisonke
Mina nawe sadalelana
Maye, maye
Hayi uthando lunje (Hayi uthando lunje)
Maye, maye
Hayi uthando lunie (Hayi uthando lunje)
Sohlezi sisonke, sohlezi sisonke
Mina nawe sadalelana
Sohlezi sisonke, sohlezi sisonke
Mina nawe sadalelanaEmbed"
8,The Weeknd - Blinding Lights,"234 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch276Embed"
9,Mthandeni SK - Paris,5 ContributorsParis LyricsKuya ngokuthi ungubaniYou might also likeEmbed
