,artist_title,lyrics
0,高爾宣 OSN - Without You,"8 ContributorsWithout You Lyrics
I’m still the same 都好像沒有變
Nothing changed 還是討厭下雨天
還是不愛認錯
脾氣是硬了點
這我都清楚但我沒有辦法改變
我後悔高中花錢裝很吵的排氣管
想努力賺錢養妳 卻養成了壞習慣
我還想帶妳到處晃晃到處帶妳玩
'Cause me without you it feels like
情人節沒有愛人
像台相機沒有快門
像張書桌沒有檯燈
'Cause me without you it feels like

A sentence without no spaces
It be like youtube without no playlist
Or a chapter without no pages
'Cause me without you it feels just wrong

I don’t wanna live without you
I dont wanna be alone and
想念妳的每個角度
如果我們還能夠重來
Oh
You don’t know how I feel inside
So
I don’t wanna live without you
我沒有辦法
You might also like
'Cause I’ve been through that
重蹈覆徹 I can’t do that
沒得負責 Oh damn too bad
I need you right now, yo, where you at?
先把我的面子放兩邊
榨乾我就像搶劫
Goddamn, I got nothing left
掉進去 No fun down here
救救我 I call my friends
訴苦 說了好幾遍
他們叫我振作點
I know man but I fuckin can’t
幫我刪了 Instagram
Your post I don’t wanna see
想到妳曾promise me
我乾掉一支Hennessy

I just wanna know, baby, why you gonna go?
我們之間太多 的我捨不得放手 yeah
失去妳就像失去我的麥克風
我不要我的fans 不要IG的followers 'cause—

I don’t wanna live without you
I don‘t wanna be alone and
想念妳的每個角度
如果我們還能夠重來
Oh
You don’t know how I feel inside
So
I don’t wanna live without you
我沒有辦法
I don’t wanna live without you
I don‘t wanna be alone and
想念妳的每個角度
如果我們還能夠重來
Oh
You don’t know how I feel inside
So
I don’t wanna live without you
我沒有辦法Embed"
1,Ren Ran - 飞鸟和蝉,"1 Contributor飞鸟和蝉 Asuka And A Cicada Lyrics你说青涩最搭初恋
如小雪落下海岸线
第五个季节某一天上演
我们有相遇的时间
你说空瓶适合许愿
在风暖月光的地点
第十三月你就如期出现
海之角也不再遥远
你骄傲的飞远我栖息的夏天
听不见的宣言重复过很多年
北纬线的思念被季风吹远
吹远默念的侧脸吹远鸣唱的诗篇
你骄傲的飞远我栖息的叶片
去不同的世界却从不曾告别
沧海月的想念羽化我昨天
在我成熟的笑脸你却未看过一眼
你说空瓶适合许愿
在风暖月光的地点
更多更详尽歌词 在
第十三月你就如期出现
海之角也不再遥远
You might also like你骄傲的飞远我栖息的夏天
听不见的宣言重复过很多年
北纬线的思念被季风吹远
吹远默念的侧脸吹远鸣唱的诗篇
你骄傲的飞远我栖息的叶片
去不同的世界却从不曾告别
沧海月的想念羽化我昨天
在我成熟的笑脸你却未看过一眼
你骄傲的飞远我栖息的夏天
听不见的宣言重复过很多年
北纬线的思念被季风吹远
吹远默念的侧脸吹远鸣唱的诗篇
你骄傲的飞远我栖息的叶片
去不同的世界却从不曾告别
沧海月的想念羽化我昨天
在我成熟的笑脸你却未看过一眼Embed"
2,Eric Chou - 怎麼了,"2 Contributors怎麼了 (What’s Wrong) Lyrics你說藍色是你最愛的顏色
你說如果沒有愛那又如何
怎麼了 你怎麼了
看過你曾經最燦爛的笑容
看過你緊緊擁抱愛的面孔
怎麼了 你消失了
是不是我錯了 搞錯了
天灰了 雨下著 凝望著 你走了
都回不去了 像從前快樂
怎麼能輕易說要結束
怎麼會讓你抱著我哭
太努力的我們最後用力給祝福
怎麼看你笑著 我卻心如刀割
原來我們都一樣頑固
怎麼會誰都絕口不提要幸福
再也不能牽著你走未來每一步
我們懷念什麼 失去愛那一刻 才曉得
你說藍色是你最愛的顏色
你說如果沒有愛那又如何
怎麼了 你怎麼了
看過你曾經最燦爛的笑容
看過你緊緊擁抱愛的面孔
怎麼了 你消失了
See 周興哲 (Eric Chou) LiveGet tickets as low as $268You might also like是不是我錯了 搞錯了
越愛著 越痛著 苦笑著 你走了
我們約好了 要比我快樂
怎麼能輕易說要結束
怎麼會讓你抱著我哭
太努力的我們最後用力給祝福
祝福我最愛的 遇見更愛你的 飛翔著
我不想說 你不會懂 請別可憐我
受傷的我 究竟需要 一個人 多少年 去度過
我不想說 你不會懂 請別可憐我
誰說我 一定要 永遠笑著
我不想
怎麼能輕易說要結束
怎麼會讓你抱著我哭
太努力的我們最後用力給祝福
祝福我最愛的 能永遠飛翔著
原來我們都一樣頑固
怎麼會誰都絕口不提要幸福
再也不能牽著你走未來每一步
我們懷念什麼 失去愛那一刻 才曉得Embed"
3,Bestards - 不是因為天氣晴朗才愛你,"1 Contributor不是因為天氣晴朗才愛你 Lyrics不是因為天氣晴朗才愛你
不是因為看見星星才想你
不是因為剛好沒有別的事
才一直一直一直
在腦海裡複習
擁抱你 什麼角度最合適
其實我 常會想像我們老了的樣子
左邊牽著手 右手拉小狗
可能還有很多小孩子
其實我 不是因為好天氣才這麼說
牽著你走過
大雨盛開水花的路口
也是我一樣喜歡的夢
不是因為天氣晴朗才愛你
不是因為看見星星才想你
不是因為剛好沒有別的事
才一直一直一直
在腦海裡複習
擁抱你 什麼角度最合適
其實我 常會想像我們老了的樣子
左邊牽著手 右手拉小狗
可能還有很多小孩子
You might also like其實我 不是因為好天氣才這麼說
牽著你走過
大雨盛開水花的路口
也是我一樣喜歡的夢
牽著你走過
大雨盛開水花的路口
也是我一樣喜歡的夢Embed"
4,告五人 - 披星戴月的想你,"1 Contributor披星戴月的想你 Lyrics突如其來的美夢
是你離去時捲起的泡沫
踢著石頭 默默的走
公車從旁擦身而過
突如其來的念頭
幻想化成流星的你我
明亮的夜 漆黑的宇宙
通通來自夜空

我會披星戴月的想你
我會奮不顧身地前進
遠方煙火越來越唏噓
凝視前方身後的距離
我會披星戴月的想你
我會奮不顧身地前進
遠方煙火越來越唏噓
凝視前方 身後 的距離

啊－啊－啊－啊－
順其自然的藉口
像森林般圍繞著你我
消極的笑著 痛快的哭
生命真的很難形容
You might also like順其自然地回答
你要喝咖啡還是泡茶
下班後你 快樂的上哪
我是真的不想回答

我會披星戴月的想你
我會奮不顧身地前進
遠方煙火越來越唏噓
凝視前方身後的距離
我會披星戴月的想你
我會奮不顧身地前進
遠方煙火越來越唏噓
凝視前方 身後 的距離

我會披星戴月的想你
我會奮不顧身地前進
遠方煙火越來越唏噓
凝視前方身後的距離
我會披星戴月的想你
我會奮不顧身地前進
遠方煙火越來越唏噓
凝視前方 身後 的距離Embed"
5,Ronghao Li - 年少有為,"1 Contributor年少有为 (If I Were Young) Lyrics

电视一直闪
联络方式都还没删
你待我的好
我却错手毁掉
也曾一起想
有个地方睡觉吃饭
可怎么去熬 日夜颠倒
连头款也凑不到
墙板 被我砸烂
到现在还没修
一碗热的粥
你怕我没够
都留一半带走
给你形容
美好今后 你常常眼睛会红
原来心疼我
我那时候不懂

假如我年少有为 不自卑
懂得什么是珍贵
那些美梦
没给你 我一生有愧
假如我年少有为 知进退
才不会让你替我受罪
婚礼上 多喝几杯
和你现在那位
You might also like
也曾一起想
有个地方睡觉吃饭
可怎么去熬 日夜颠倒
连头款也凑不到
墙板 被我砸烂
到现在还没修
一碗热的粥
你怕我没够
都留一半带走
给你形容
美好今后 你常常眼睛会红
原来心疼我
我那时候不懂

假如我年少有为 不自卑
懂得什么是珍贵
那些美梦
没给你 我一生有愧
假如我年少有为 知进退
才不会让你替我受罪
婚礼上 多喝几杯
和你现在那位

假如我年少有为 不自卑
尝过后悔的滋味
金钱地位
搏到了却好想退回
假如我年少有为 知进退
才不会让你替我受罪
婚礼上 多喝几杯
和你现在那位
在婚礼上 多喝几杯
祝我年少有为Embed"
6,EggPlantEgg - 浪流連,"1 Contributor浪流連 Lyrics這個風風雨雨的社會
欲怎樣開花
少年家怎樣落地
咱攏是為著愛情來浪流連
( 敢有人愛我 )
我已經決定欲做一个善良的歹囝
薰莫閣食酒袂閣焦
想妳的彼暗 佇恁兜的亭仔跤
想妳的彼暗 佇恁兜的窗仔外
其實我生活甲無好我家己攏知影
恁攏了解我會掩崁我的軟汫
平凡的 歹命的 咱拼死做
哦 當做講笑詼
哦 攏是白賊話
猶原會記得我少年時所偷偷烏白寫的願望
彼當陣我已經當做這世界我早著已經看破
後世人 袂閣為著你來 浪流連You might also likeEmbed"
7,Fish Leong - 慢冷,"1 Contributor慢冷 Slow To Cool Down Lyrics说完了 好像话都说完了
总是沉默对坐着
眼里是浓浓夜色
感情是偏执的 越爱越是偏执的
不相信我看到的
硬要说裂缝不过 是皱褶
怎么先炽热的却先变冷了
慢热的却停不了还在沸腾著
看时光任性快跑随意就转折
慢冷的人啊 会自我折磨
冲动的人向来听不见挽留
这世界大得让你很难不旅游
浪漫让你温柔 也让你最惹人 泪流
牵你手 若无其事牵你手
你像被动的木偶
多狠多让人厌恶 的剧透
爱从不敌 性格 不死心最痛
奈何 我总是记得开始 被猛烈 爱的悸动You might also likeEmbed"
8,The Kid LAROI - Stay,"136 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoDeutschFrançaisفارسیРусскийSTAY Lyrics
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can’t find nobody else as good as you
I need you to stay, need you to stay, hey (Oh)

I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
Oh, I’ll be fucked up if you can't be right here

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
You might also like
When I’m away from you, I miss your touch (Ooh)
You’re the reason I believe in love
It's been difficult for me to trust (Ooh)
And I’m afraid that I'ma fuck it up
Ain't no way that I can leave you stranded
'Cause you ain’t ever left me empty-handed
And you know that I know that I can't live without you
So, baby, stay

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
Woah-oh
I need you to stay, need you to stay, hey115Embed"
9,EggPlantEgg - 閣愛妳一擺,"1 Contributor閣愛妳一擺 (Love You One More Time) Lyrics過了盈暗
欲和別人結婚
聽講妳已經有
別人的子孫
結果嘛是行到最後一步
著是妳有翁
我猶袂有某
想起彼時
妳是歹甲有賰
拄著我是
妳好命的天份
結果嘛是行到最後一步
著是越頭走
莫閣再耽誤
毋知妳是佇佗位
我想欲
聽妳溫柔的聲音
以後我會當做毋捌妳
無咱的過去
若是彼工
是我來牽起妳的手
著毋是這馬
是伊來完成妳的要求
You might also like若是彼工
是我對愛情無相讓
妳敢會轉來
做伙的所在
我愛妳無問題
問題是妳毋是我的
我有影毋知好歹
閣想欲愛妳一擺
過了盈暗
欲和別人結婚
聽講妳已經有
別人的子孫
結果嘛是行到最後一步
著是妳有翁
我猶袂有某
毋知妳是佇佗位
我想欲
聽妳溫柔的聲音
以後我會當做毋捌妳
無咱的過去
若是彼工
是我來牽起妳的手
著毋是這馬
是伊來完成妳的要求
若是彼工
是我對愛情無相讓
妳敢會轉來
做伙的所在
我愛妳無問題
問題是妳毋是我的
我有影毋知好歹
閣想欲愛妳一擺
若是彼工
是我來牽起妳的手
著毋是這馬
是伊來完成妳的要求
若是彼工
是我對愛情無相讓
妳敢會轉來
做伙的所在
我愛妳無問題
問題是妳毋是我的
我有影毋知好歹
閣想欲愛妳一擺
閣愛妳一擺
閣愛妳一擺
閣愛妳一擺
閣愛妳一擺
閣愛妳一擺
閣愛妳一擺
閣愛妳一擺
閣愛妳一擺
閣愛妳一擺Embed"
