,artist_title,lyrics
0,SadSvit - Силуети,"7 ContributorsСИЛУЕТИ (Апатія Remix) (SILHOUETTES (Apatiya Remix)) Lyrics

Люди йдуть, йдуть в пітьму
Нема слідів, але чому?
Вітер стих — Божі вісники
Та без сенсу кричать всі провісники
Це твій шлях, і він брехня
Це не ти, лиш зупинись
Поклонись святим вогням
Зорі там, лиш посміхнись
(Лиш посміхнись, лиш посміхнись)

Я поглянув тобі в очі
Силуети кажуть, що там спокій
Та згадав всі наші ночі
Силуети кажуть, що там спокій
Все ж надіюсь, що там добре
Силуети кажуть, що там спокій
Ще всі бачуть небо й море
Силуети кажуть, що там спокій

Емоційне вигорання, емоції — плями
На шляху емотивіст
Здарма зірве їх зубами
Невербальна участь сирот
Перетворить світ в порок
Більшість з нас росли без тата
Замість диму курим смок
Минулий рік був дійсно краще
Минула ніч нас зґвалтувала
Сьогодні день роззявив пащу
Щоб завтра точно не настало
You might also like
Я поглянув тобі в очі
Силуети кажуть, що там спокій
Та згадав всі наші ночі
Силуети кажуть, що там спокій
Все ж надіюсь, що там добре
Силуети кажуть, що там спокій
Ще всі бачуть небо й море
Силуети кажуть, що там спокій

Я поглянув тобі в очі
Силуети кажуть, що там спокій
Та згадав всі наші ночі
Силуети кажуть, що там спокій
Все ж надіюсь, що там добре
Силуети кажуть, що там спокій
Ще всі бачуть небо й море
Силуети кажуть, що там спокійEmbed"
1,The Neighbourhood - Sweater Weather,"195 ContributorsTranslationsTürkçePortuguêsDanskРусскийPortuguêsFrançaisDeutschالعربيةItalianoSweater Weather Lyrics
And all I am is a man
I want the world in my hands
I hate the beach, but I stand
In California with my toes in the sand
Use the sleeves of my sweater, let's have an adventure
Head in the clouds, but my gravity's centered
Touch my neck and I'll touch yours
You in those little high-waisted shorts, oh

She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue 'cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside, this place is warm
Outside, it starts to pour
You might also like
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothin' that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
Woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
Let me hold both your hands in the holes of my sweater
And it's too cold, it's too cold
The holes of my sweater516Embed"
2,KALUSH - Додому,"3 ContributorsДодому (Home) Lyrics

Де-де-де-де би не був, не забуду дім
Хочеш, закрути мене, як бігуді
Я з закритими очима знайду де мій двір
Бо де би не був, не забуду дім

Де-де-де-де би не був, не забуду дім
Хочеш, закрути мене, як бігуді
Я з закритими очима знайду де мій двір
Бо де би не був, не забуду дім

Де б не носило Скофа по чужих краях
Я вертатимусь додому по дорогах і полях
Боляче, коли побачив вдалині рідний маяк
І хочеш море переплить до нього, але нема як
Рідна хата пахне пирогами з вишнями із печі
Снилось, як світив фарами ближніми у ночі
І бачив баба з дідом в хаті, крутили калачі
От би зараз діда постукать би по плечі

Де-де-де-де би не був, не забуду дім
Хочеш, закрути мене, як бігуді
Я з закритими очима знайду де мій двір
Бо де би не був, не забуду дім
Де-де-де-де би не був, не забуду дім
Хочеш, закрути мене, як бігуді
Я з закритими очима знайду де мій двір
Бо де би не був, не забуду дім
You might also like
Скрипнув двері
Мама вдома
Квіти на стіл
Стіл, вечеря
Ситний маминий суп
Татові все мало солі
Спритно радий несу
Маминий суп
А знову світла ніч в мене в Калуші палала
Мовила мені, твого двору вже нема
Покоління мінялося, запам'ятали стіни
Як дитина ці писала імені на віки
А знову світла ніч, но без мене вже гуляла
А може коли-небудь, я вже би вже не жалів
За минуле, шо летіло в даль неначе ворон
А я вдома, зберігаю свою ностальгію

Я до тебе все прийду
П'яним уночі знайду
Хай не будеш на виду
Хай дорогу замете і з курсу не зб'є мене

Де-де-де-де би не був, не забуду дім
Хочеш, закрути мене, як бігуді
Я з закритими очима знайду де мій двір
Бо де би не був, не забуду дім
Де-де-де-де би не був, не забуду дім
Хочеш, закрути мене, як бігуді
Я з закритими очима знайду де мій двір
Бо де би не був, не забуду дімEmbed"
3,Kordhell - Murder In My Mind,"31 ContributorsMURDER IN MY MIND Lyrics
Jacking is the shit in the '94
Pack my nine millimeter 'cause I ain't finna go out
Like a busta-ass nigga and just lay down
I'ma run up on a nigga, shoot my nine with the fifteen rounds
Jacking is the shit in the '94
Pack my nine millimeter 'cause I ain't finna go out
Like a busta-ass nigga and just lay down
I'ma run up on a nigga, shoot my nine with the fifteen rounds

Jacking is the shit in the '94
Pack my nine millimeter 'cause I ain't finna go out
Like a busta-ass nigga and just lay down
I'ma run up on a nigga, shoot my nine with the fifteen rounds
Jacking is the shit in the '94
Pack my nine millimeter 'cause I ain't finna go out
Like a busta-ass nigga and just lay down
I'ma run up on a nigga, shoot my nine with the fifteen rounds

Got Lil' E on Cloud 9
Murder, murder in my mind
Got Lil' E on Cloud 9
Murder, murder in my mind
You might also like
Clip, extra clip, he so swift, in my sock, see
Tryna put somе bodies on my brand-new Glock, G
Niggas runnin' up talkin' 'bout, ""Drop that fuckin' cheese off""
And whеn they try to ease off, that's when I grab the sawed-off

Jacking is the shit in the '94
Pack my nine millimeter 'cause I ain't finna go out
Like a busta-ass nigga and just lay down
I'ma run up on a nigga, shoot my nine with the fifteen rounds

Got Lil' E on Cloud 9
Murder, murder in my mind
Got Lil' E on Cloud 9
Murder, murder in my mind

Murder, murder in my mind
Got Lil' E on Cloud 9
Murder, murder in my mind1Embed"
4,ThxSoMch - SPIT IN MY FACE!,"27 ContributorsTranslationsPortuguêsРусскийSPIT IN MY FACE! Lyrics
Spit in my face, my love, it won't phase me
Spit in my face, my love, it won't change me
Spit in my face, my love, I've gone crazy
Spit in my face, my love, I've gone mad

Spit in my face, my love, it won't phase me
Spit in my face, my love, it won't change me
Spit in my face, my love, I've gone crazy
Spit in my face, my love, I've gone mad

This is your fault
And I don't need you anyway
Stumble out the bathroom
Stumble out your arms again
She doing crack in the room with a noose and a Backwood
The bitch still call me crazy, lil' ho, how does that work?
She got the guest house jumpin' up with smoke out the attic
You're right, I know we love to argue, let's get at it
Wasted, sippin' on that liquor, you can taste it
Girl, don't touch that drink, I know you laced it
I don't know what to say except you're
Mine, mine, mine, mine, mine
You might also like
You crush my heart and say it's nothing
You broke me down, I kept on cutting
I bleed for you and now I'm gushing
I bleed for you, but you never cared

Spit in my face, my love, it won't phase me
Spit in my face, my love, it won't change me
Spit in my face, my love, I've gone crazy
Spit in my face, my love, I've gone mad
Spit in my face, my love, it won't phase me
Spit in my face, my love, it won't change me
Spit in my face, my love, I've gone crazy
Spit in my face, my love, I've gone mad

Fo' sho'
Tell me give it up, I'll leave everyone in the cold
All I wanna say, I'll do anything you condone
You show me heroin, I'll shoot it through my motherfuckin' bones
She doing crack in the room with a noose and a Backwood
The bitch still call me crazy, lil' ho, how does that work?
She got the guest house jumpin' up with smoke out the attic
You're right, I know we love to argue, let's get at it
You crush my heart and say it's nothing
You broke me down, I kept on cutting
I bleed for you and now I'm gushing
I bleed for you, but you never cared

Spit in my face, my love, it won't phase me
Spit in my face, my love, it won't change me
Spit in my face, my love, I've gone crazy
Spit in my face, my love, I've gone mad
Spit in my face, my love, it won't phase me
Spit in my face, my love, it won't change me
Spit in my face, my love, I've gone crazy
Spit in my face, my love, I've gone mad8Embed"
5,SKOFKA - Чути гімн,"6 ContributorsЧути гімн (Hear the Anthem) Lyrics

В небі чистому чути грім
В небі свист, але чути гімн
В небі чистому мутний дим
Горить ліс, але чути гімн
В небі чистому чути грім
В небі свист, але чути гімн
В небі чистому мутний дим
Горить ліс, але чути гімн

За нами правда, значить вистоїм ми ваші вистріли
За нами правда, а її ніяк не пристрелить
За нами правда, значить визволим село ми за селом
За нами правда, значить ми з долин повиганяєм зло

Ну, а поки будем бить вас за «Азов» і Бучу
За Дні-, за Дніпро і кручі
За Ірпінь, який ти мучив
За ла-, за лани квітучі
За Херсон — землю родючу
За До-, за Донбас получиш
За Чернігів — неминуче
За лі-, за ліси дрімучі
За Хмельницького Богдана
За Фра-, за Франка Івана
І за Суми, і за храми
ЗСУ прийде за вами
І за ночі, і за ранки
За кожен тривожний ранок
За Харків і «тюльпани»
За О-, за Одесу-маму
За Рівне і Здолбунів, за Полтаву, Львів і пулі
За Київ, Луцьк, за Вінницю, за Миколаїв — дулі
За Чернівці, Черкаси, Тернопіль і Кривий Ріг
За Запоріжжя, і Житомир, і за Крим забуться — гріх
You might also like
В небі чистому чути грім
В небі свист, але чути гімн
В небі чистому мутний дим
Горить ліс, але чути гімн
В небі чистому чути грім
В небі свист, але чути гімн
В небі чистому мутний дим
Горить ліс, але чути гімнEmbed"
6,INTERWORLD - METAMORPHOSIS,"20 ContributorsMETAMORPHOSIS LyricsI'm a pimp, hoes fallin' for this pimpin' rap game
Slowly hit the tempo, just enough to keep these bitches tame
Makin' fame off a nigga dick, bitches suckin' dick
Make it quick, off my dick, yeah, I took a foreign chick
Bankroll, other ho just a victim that I chose
Have you suckin' 'til it's swole, I be bonin' other hoes
Niggas wanna learn the game, but keep talkin' shit
I'll be forced to trash 'em, may the best man win this
I'm a pimp, hoes fallin' for this pimpin' rap game
Slowly hit the tempo, just enough to keep these bitches tame
Makin' fame off a nigga dick, bitches suckin' dick
Make it quick, off my dick, yeah, I took a forеign chick
Bankroll, other ho just a victim that I chose
Have you suckin' 'til it's swolе, I be bonin' other hoes
Niggas wanna learn the game, but keep talkin' shit
I'll be forced to trash 'em, may the best man win this

I'm a pimp, hoes fallin' for this pimpin' rap game
Slowly hit the tempo, just enough to keep these bitches tame
Makin' fame off a nigga dick, bitches suckin' dick
Make it quick, off my dick, yeah, I took a foreign chick
Bankroll, other ho just a victim that I chose
Have you suckin' 'til it's swole, I be bonin' other hoes
Niggas wanna learn the game, but keep talkin' shit
I'll be forced to trash 'em, may the best man win this
You might also likeI'm a pimp, hoes fallin' for this pimpin' rap game
Slowly hit the tempo, just enough to keep these bitches tame
Makin' fame off a nigga dick, bitches suckin' dick
Make it quick, off my dick, yeah, I took a foreign chick
Bankroll, other ho just a victim that I chose
Have you suckin' 'til it's swole, I be bonin' other hoes
Niggas wanna learn the game, but keep talkin' shit
I'll be forced to trash 'em, may the best man win this6Embed"
7,Mr.Kitty - After Dark,"88 ContributorsTranslationsEspañolItalianoفارسیAfter Dark Lyrics
I see you, you see me
How pleasant, this feeling
The moment you hold me
I missed you, I'm sorry
I've given what I have
I showed you I'm growing
The ashes fall slowly
As your voice consoles me

As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
You might also like
We're swaying to drum beats
In motion, I'm feeling
My patience controlling
The question, I won't speak
We're telling the stories
Our laughter, he knows me
We're leaving, we're talking
You're closer, it's calming

As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
The night will hold us close, and the stars will guide us home
I've been waiting for this moment, we're finally alone
I turn to ask the question, so anxious, my thoughts
Your lips were soft like winter, in your passion, I was lost

As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know
As the hours pass
I will let you know
That I need to ask
Before I'm alone
How it feels to rest
On your patient lips
To eternal bliss
I'm so glad to know68Embed"
8,shadowraze - astral step,"96 ContributorsTranslationsRomanizationEnglish​astral step Lyrics

Void incarnate

Кидаю step, лечу прям вверх
Мой красный сет убил их всех
У них в башке один preset
Я покажу тоннельный свет
Им не найти меня, я скрылся
Я пропавший в dissimilate
Я не оставлю им и следа
Из ниоткуда выйду в late

Разрубаю глефой ноги, я бегу, за спиной Боги, а-а
Как на ринге, только в лобби, ты подох, бля, ха-ха
Я стреляю — это step, бро, you low, пау-пау
Я быстрее этих lame'ов, you slow, братан
Я юзаю эти спеллы — это мой lifesteal
Я сипую эти step'ы — это жёсткий стиль
Долбоёб назвал НН-ом, я его простил
Я убил их, даже не завейстил сил
Погасил этих псин, курю бензин, I'm steal
Показал им старый стиль, добил их всех, а кто спросил?
Astral step поразил долбоёбов и терпил
У меня сотка гулей, посмотри — ты вновь один
You might also like
Вот ты прикинь, челы чё-то там на Дота-рэп гонят, да
А я за один квартал лям рублей получил, бля
Лимон за Дота-рэп, ха-ха-ха-ха

В моих глазах горит квазар
Иду вперёд, ни шагу назад
Кидаю step, бегу на старт
Весь твой профит идёт на спад
Стреляю метко, как солдат
Мой step сияет — это факт
И я step'ую прямо в такт
Им не убить меня, so hard

Кидаю step, лечу прям вверх
Мой красный сет убил их всех
У них в башке один preset
Я покажу тоннельный свет
Им не найти меня, я скрылся
Я пропавший в dissimilate
Я не оставлю им и следа
Из ниоткуда выйду в late

Hunter on ghoul, я убил их всех
Уворот от пуль, у меня есть вес
Нахуй граммовка, у меня есть весы
Я не злодей, но у меня свои бесы
Много валюты, имею и песо
Мало хп, я накину им вессел
Много энергии, я будто Тесла
Стреляю так метко, все пули прям в висок, а
В моих глазах горит квазар
Иду вперёд, ни шагу назад
Кидаю step, бегу на старт
Весь твой профит идёт на спад
Стреляю метко, как солдат
Мой step сияет — это факт
И я step'ую прямо в такт
Им не убить меня, so hard91Embed"
9,Big Baby Tape - Million,"59 ContributorsTranslationsRomanizationEnglishMillion Lyrics

Pimp them sluts, break them hoes
Ride clean, smoke your dope
Break them hoes, break them hoes
Ride clean, smoke— (Yeah, ho)
Now I'm high, really high
Now I'm high-high-high
Now I'm high, really high
Now I'm high-high-high
Now I'm high, really high
Now I'm high-high-high
Now I'm high, really high (D-D, D-D, DJ Tape)
Now I'm high-high-high

200к, 300к, 500к, миллион
Easy come, easy go, трачу их, let it go (High)
Let it go, let it go, let it go, let it go
Миллион, миллион, миллион

Делай деньги — нахуй фэйм, lil' bitch, — это мой message
Моя сука ba-bad, bad and bougie, плюс она ratchet (Yeah, ho)
Я дал малому ход, он сделал fatty, он флексит
Прострелим твой целый hood, мой муд — сделать все racks'ы
Да, я знаю, она cocaina shorty (Yeah, ho)
Удлинённый blicky, а мой хоуми поднял forty (Yeah, ho)
Кизи поднял nina, его Кайен на Спорте (Yeah, ho)
Ты скажешь, что я демон, я скажу тебе: «Да что ты?» (Yeah, ho)
Этот Sprite Cranberry cup, пускаю корни
Заны ща во мне, я ощущаю себя lovely
Мои трусы от Burbеrry, нахуй закон — я маверик
Мой хоуми сделал robbery, free хоуми, — он ща в камере
А помнишь, как мы слайдили? Мы снайперы и трапперы
Мы не были богатыми, Cartier для моей матери
Мы сказочно богаты, ща я ем краба на завтрак
Потратил пару лямов ща, они вернутся завтра (Yeah, ho)
You might also like
Ствол on my hip, pockеt full of chips
Спрячу в носках скалы, в зубах горит сплиф
Сделал ещё хит для этих streets
Кто ты такой, белый? Don't fuck with me
Да, я Big Dillah, также money flippa
Они смотрят в ахуе, когда проходят мимо
Да, мама, я for real-a, микрофон килла
Так будет, так сейчас, и всё останется, как было

200к, 300к, 500к, миллион
Easy come, easy go, трачу их, let it go
Let it go, let it go, let it go, let it go (Now I'm high, really—)
Миллион, миллион, миллион, миллион
200к, 300к, 500к, миллион
Easy come, easy go, трачу их, let it go
Let it go, let it go, let it go, let it go
Миллион, миллион, миллион, миллион (Yeah, ho)

Now I'm high, really-really—
Now I'm high, really high-high
Now I'm high, really-really—
Now I'm high, really—40Embed"
