,artist_title,lyrics
0,Bad Bunny - Me Porto Bonito,"33 ContributorsTranslationsEnglishDeutschFrançaisMe Porto Bonito Lyrics

Yeah-yeah-yeah-yeah-yeah-yeah, ey
En la guagua se quedó el olor de tu perfume
Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une
Ella sabe que está buenota y no la presumen
Si yo fuera tu gato, subiera una foto los vierne' y los lune' (So)

Pa' que to' el mundo vea lo rica que tú está', que tú está'
Contigo tengo que apretar
Y еn la calle ando suelto, pero por ti mе quito
Si tú me lo pide', yo me porto bonito
Y subo un selfie pa' que vean lo rica que tú está', que tú está'
Las otras tienen que apretar
En la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito (Ey, ey)

Tú no ere' bebecita, tú ere' bebesota
Frikitona, ma', se te nota
Le gustan los trío' cuando está en la nota
Si el novio no sirve, de una lo bota
Y wow, mami, dime dónde dejo el résume (Résume)
Sé que te dejaste hace un me' (Ey, ey)
Y de una de pecho me zumbé
Si quiere' te hago un bebé o te traigo la plan B
Uff, mami, qué rica tú te ve'
Pa' los 2000 escuchaba RBD
Y ahora quiere perreo, to'a la noche en la pared
THC, no CBD
You might also like
Mami, tú ere' élite (Ey), no te me limite' (Okey)
Déjame hacerte lo que amerite y te levite
Dale pa'l escondite (Ey), no te me arisque' (So)
Que aquí no va a poder llegar lo' satélite' (Oh)
Mami, sube algo, dame contenido
Ese culo súbelo má' seguido
Me paso jangueando, a ver si coincido, ey
Y por fin doy contigo
Mai, nuestra' bellaquera' nunca la' olvido
Ninguna como tú a mí me ha complacido
Tú cree' que a toda' siempre les digo lo mismo
Quiere chingar, pero no quiere na' fijo, ey
Pero en confianza me confiesa
Dice que nadie le interesa
Pero cuando sale, se pone traviesa (Ey)

Pa' que to' el mundo vea lo rica que tú está', que tú está', ey
Contigo tengo que apretar
Y en la calle ando suelto, pero por ti me quito
Si tú me lo pide', yo me porto bonito8Embed"
1,Manuel Turizo - La Bachata,"2 ContributorsTranslationsEspañolDeutschManuel Turizo - La Bachata (English Translation) Lyrics
I blocked you from Insta, but I watch your stories from a different account (Oh-oh-oh)
I deleted your number; I don't know why, I know it by heart
You hurt me and I still miss you
And although I know I'll forget you someday
I still don't, it's complicated
I like to remember everything we did

I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

To protect me from someone that's just like you
I don't want to fall like I did for you
I hope you fall in love, so they do to you what you did to me
You taught me not to love just anyone
And how I don't want to be loved
No-oh-oh, we were three in a relationship of two
I don't forgive you, ask God for forgiveness
I said I forgot you and the truth is I, oh-oh
I, oh-oh
You might also like
I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me
Because I'm driving through the streets where you kissed me
Listening to the songs you dedicated to me once
I'd ask you to come back, but that shouldn't be asked
I'd rather ask God to take care of me, eh

Manuel TurizoEmbed"
2,Mora - LA INOCENTE,"13 ContributorsTranslationsEnglishLA INOCENTE Lyrics

Yeah
Yeah-yeah
Yeah

Todo parece estar bien
Pero nada e' lo que parece
No supe darte mi cien
Aunque lo traté muchas vece'
Lo intenté, pero fracasé
Todos mis errore' ya los repasé
Y ahora dime cómo duermo si tú no me pertenece' (No-oh)
Abuelo me lo dijo, el amor no funciona
Quien meno' te espera' se va y te traiciona
Te fuistе sin despedirte
Como si nunca mе quisiste

Te di lo que pedía' y no fue suficiente
Tú solo mentía' y yo tu fiel creyente
Mil sueño' me vendía', yo fui tu cliente (Yo')
Siempre era yo el culpable y tú jugando a la inocente (Suena, wow)
You might also like
Tú callaíta' chequeando mis mensaje'
Y yo al garete llevándote de viaje
Una nébula, todo era un visaje
Te fuiste de casa y sacaste tu equipaje
Nadie te va amar como yo ni va a chingarte como yo
Y ahora quiere que me quede tranquilo si un hijueputa me choteó
En medio de esta situación, no me duele el corazón
Me duele que le haya' creído algo mío a otro cabrón
Que te tiraba to'a la noche
Se te olvidó que saldamo' to' mi coche
To' los mese' un nuevo perfume
Hasta te compraba pasto pa' que fume', bebé
No quiero que nada te falte
Y ojalá que ese cabrón te pague el esmalte, yeah-yeah
Yo no te deseo el mal, pero vas a pensar en mí cada ve' que te levantes (Wow)

Te di lo que pedía' y no fue suficiente
Tú solo mentía' y yo tu fiel creyente
Mil sueño' me vendía', yo fui tu cliente
Siempre era yo el culpable y tú jugando a la inocente

Tú me vendiste sueño' y yo fui tu cliente
Esa carita de inocente
Solo te la cree el resto de la gente
Quizá soy masoquista o solo tengo mala suerte
Le pido a Dio', a ver si contigo me ayuda
No pienso llamarte, te aclaro la duda
Yo quiero ser libre igual que Venezuela y Cuba
Nunca hablaste claro, te hiciste la muda
Quería' atención y yo te puse en el centro
Quería' mi corazón y te lo puse en descuento
Me pediste el cincuenta y yo te di 100%
Me pediste un reloj y yo perdiendo mi tiempo
Me quedé esperando que tu mensaje llegara
Me comí otro culo, pero pensando en tu cara
Quédate con la culpa y también con la ropa cara
Y recuerda que la traición, con traición se paga
Te di lo que pedía' y no fue suficiente
Tú solo mentía' y yo tu fiel creyente
Mil sueño' me vendía', yo fui tu cliente
Siempre era yo el culpable y tú jugando a la inocente2Embed"
3,Feid - Feliz Cumpleaños Ferxxo,"9 ContributorsFeliz Cumpleaños Ferxxo Lyrics

Haciendo de todo
Con ese pirobo

Hace mucho te quería ver
Cuando eras mi novia no salías y ahora hasta te gusta prender
El tiempo que pasamo' junto' como que lo dejamo' perder
Yo sé que estoy borracho, pero recuerdo lo rico que bailamo', bebé

Tú y yo, bebé, haciendo de todo
Tú estás pa' andar con este gato, no con ese pirobo
Tú estás solita y yo también, también estoy solo
Tómate algo, vamos a perrear, a hacer de todo
Que los pana' míos a tus amiga' le hacen coro
Tú estás pa' andar con este gato, no con ese pirobo
Tú estás solita y yo también, también estoy solo
Tómate algo, vamos a perrear, a hacer de todo
Que los pana' míos a tus amiga' le hacen coro

Te lo di todo
To'a  la noche yo te pienso cuando tomo
Ando mezclando las pastilla' con el romo
Y a tus ex novios yo les ofrezco plomo
To' los parceros hablándome de ti
Te mandaba canciones en el cole en un CD (Wow)
Estábamos a fuego y lo nuestro lo dividí
To'a la noche prendo, ya estoy pensando en ti
Yo sé que estás cansada de tanto chimbear
Buscando algo que no será igual, yeah
El cuerpo que te hiciste lo quiero estrenar
Te compré una cadena pa' verte brillar
See Feid LiveGet tickets as low as $24You might also like
Tú y yo haciendo de todo
Tú estás pa' andar con este gato, no con ese pirobo
Tú estás solita y yo también, también estoy solo
Tómate algo, vamos a perrear, a hacer de todo
Que los pana' míos a tus amiga' le hacen coro

Haciendo de todo
Con ese pirobo2Embed"
4,"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52","1 ContributorNew Music Friday 07/08/22 LyricsBurna Boy - For My Hand (feat. Ed Sheeran)
The 1975 - Part Of The Band
Brent Faiyaz - ALL MINE
Fivio Foreign - Paris to Tokyo
TINI - La Loto
Blackbear - the idea
Joey Bada$$ - Survivors Guilt
Kygo - Lost Without You (with Dean Lewis)
Alvvays – Pharmacist
Kota the Friend - SOHO HOUSE (feat. Hello O'shay)
Chris Brown – Petty
Zoe Wees - Third Wheel
Murda Beatz - NO MÁS (feat. Quavo, J. Balvin, Anitta, and Pharrell)
Killer Mike - RUN 
Dillon Francis - Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA)
Ciara - JUMP (feat. Coast Contra)
Rei brown – Solar
JID - 29 (Freestyle)
Doechii - Bitch I'm Nice
Aespa – Girls
DNCE - Got Me Good
King Princess - Change the Locks
SG Lewis - Missing You
Nancy Ajram - Sah Sah
SiR - Life Is Good (feat. Scribz Riley)
Yo Gotti – Steppers
Yuna - Risk It All
Bring Me The Horizon – sTraNgeRs
James Bay - Save Your Love
Keith Urban - Brown Eyes Baby
Hotboii - Live Life Die Faster (with Kodak Black)
Key Glock – Diapers
Ken Carson - The End
Brakence - venus fly trap
Easy life – OTT
Renforshort - hate the way you love me
AURORA - The Devil Is Human
Tyga - Ay Caramba
French Montana - I Got A Feeling
Loud Luxury - These Nights
Emotional Oranges – Bounce
Cuco – Aura
Wet - Turn the Lights Down Low
$NOT - MS PORTER (feat. Night Lovell)
NLE Choppa - In The UK
AUGUST 08 - Water Sign (with Jhené Aiko)
Pitbull - Café Con Leche
Devon Cole - W.I.T.C.H
MASN – Adrenaline
Noah Kahan - Stick Season
Sipper - pretty funny
Madeline The Person - Why I Broke Up With You
Tyler Rich - Thinkin' We're In Love
Kameron Marlowe - We Were Cowboys
DOMi & JD BECK - TAKE A CHANCE (feat. Anderson .Paak)
SSGKobe - (N) INE
Westside Gunn - Derrick Boleman
PGF Nuk - Not Opps (feat. EST Gee)
Midwxst – broken
Arden Jones - 4 walls (with Sarcastic Sounds)
Mckenna Grace - Post Party Trauma
ELIO - 9 Lives
Låpsley - 32 Floors
Hope Tala - Is It Enough
Paris Texas - cyanide (feat. cryogeyser)
YBN Nahmir – Bows
Tendai – Pressure
Metric - False Dichotomy
Giant Rooks - Morning Blue
TobyMac - Everything About You (feat. Marlee)
ENHYPEN - Future Perfect (Pass the MIC)
Bizarrap & Quevedo - Bzrp Music Sessions, Vol. 52
Oliver Sim – GMT
Summet - rationality // faith☑️
Chri$tian Gate$ - Dangerous State of Mind
NIKI - Oceans & Engines
Sydney Rose - Cutting Corners
Watkins Family Hour - (Remember Me) I'm the One Who Loves You
FLO – Immature
BRS Kash - Mad At Her ☑️
Metro Marrs - Violence🐚
CHAI - HERO JOURNEY (feat. Superorganism)
Julien Baker – Guthrie
Loyle Carner – Hate
Danny Ocean – Volare
Tye Tribbett - We Need You
Zeina - Give Me Time
Mallory Merk - Isolate Myself
Laura Marano - Smoke Alarm
Temecula Road - Heartbreak In Boots
Muscadine Bloodline - Me On You
She loves boon - feel the feeling☑️
Bathe Alone - Once More
Badda TD - Put In Work (feat. Dusty Locane)🐚
NoSo - Man Who Loves You
Bear's Den - A Good Love, Pt. 2
Clara Lars - Don't Leave
Phoebe Go - The KidYou might also likeEmbed"
5,Ozuna - Hey Mor,"12 ContributorsTranslationsEnglishDeutschHey Mor Lyrics

Dime, ¿qué carajo fue lo que me hiciste?
Son las 6 a. m. y quiero dormirme ya
Pero no he podido desde que te fuiste
¿Qué tú me hiciste?

Hey, ma, ¿cómo te saco de aquí?
Llego a la disco y solo pienso en ti
Lo que hicimo' yo lo quiero olvidar
Con otra, pero no sabe igual (No)
¿Pa' qué te voy a mentir? (Te voy a mentir)
Ando con culo', pero pienso en ti
Lo que hicimo' no lo quiero olvidar, lo quiero repetir, baby

Estás perdida, ¿qué vas a hacer hoy?
Te vi puesta pa'l gym o para еl vacilón
Baby, tú eras real, las otras plástico
Pusiste a еsta liendra a hablar romántico (Uy)
Te pienso todo' los día'
Uno no cambia un Mercede' por un Kia
Sé que cagué la relación, mala mía
Baby, no sé pa' qué peleamo', si podemo' estar haciendo groserías
Condado, vista al mar amanecimos ese día
Nos fuimo' 'e Fifty Eight pa' la playa
Pero nunca pensé que iba a ser el último día
Baby, ¿dónde estás? Que yo paso por ti
Ando activo con los títeres en las motoras, a ver si te veo por ahí
See Ozuna LiveGet tickets as low as $59You might also like
Hey, ma, ¿cómo te saco de aquí? (¿Cómo te saco de aquí?)
Si llego a la disco y pienso en ti
Lo que hicimo' lo he querido borrar
Con otra chimba, pero no sabe igual (No)
¿Pa' qué te voy a mentir? (Te voy a mentir)
Si no hay trago' solo pienso en ti
Lo que hicimo' no lo quiero olvidar, lo quiero repetir (Suena), baby

Un culo como el tuyo, cualquiera peca (Cualquiera peca)
Tú solo dime cuándo quiere' que te meta
Que hoy ando con el combo, los rompediscoteca'
Es que, bebé, tú ere' la neta, pero
Solo quiero que te decida' pa' irte a buscar (Pa' irte a buscar)
Un perreíto lento y adentro terminar
Solo falta que te decidas pa' irte a buscar (Pa' irte a buscar)
Un perreíto lento y adentro terminar
Hmm, dame lu', que no sé
Dame agua, que tengo sed
Hoy quiero invertir lo que me gasté (Me gasté)
Con toa' las sustancia' son más de las tre' (Eh-eh)

Dime, ¿qué putas fue lo que me hiciste? (Oh, no)
Son las 6 a. m. y no puedo dormirme ya
Pero no he podido desde que te fuiste
¿Qué tú me hiciste?
Hey, ma, ¿cómo te saco de aquí? (¿Cómo te saco de aquí?)
Si llego a la disco y pienso en ti
Lo que hicimo' lo he querido borrar
Con otra, pero no sabe igual (No)
¿Pa' qué te voy a mentir? (Te voy a mentir)
Ando con culo', pero pienso en ti
Lo que hicimo' no lo quiero olvidar, lo quiero repetir, baby

Woh
Nos fuimo' 'e Fifty Eight pa' la playa
Pero nunca pensé que iba a ser el último día
WohEmbed"
6,Bad Bunny - Efecto,"9 ContributorsTranslationsEspañolDeutschItalianoBad Bunny - Efecto (English Translation) Lyrics
Yeah-yeah-yeah-yeah-yeah-yeah
Eh-eh-eh-eh

I don't know if it's a coincidence that I feel this way
Every time you're close to me
Tell me what you did to me, what drug did you give me
'Cause I haven't been the same ever since that night
You look at me and I start sweating
I feel like I can fly

Baby, the high is starting to kick in
My world is fucked up and I feel perfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight
Bеcause the high is starting to kick in
My world is fucked up and I feel pеrfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight

Not this one, this one
Not this one, this one
Not this one, this one
Not this one, this one
You might also like
That man of yours lost you due to negligence
And I don't believe in abstinence
Tonight in bed there'll be turbulence
How good you suck on it, I'll give you permanency
That pussy is the eminence
I have a license to give it to her
Ever since we went to Florence
She got meaner, but she hasn't lost her essence
No, no, from Carola
No, no, no, she's not alone
No, no, don't say ""Hi"" to her
Or you'll be another one in line
I like your attitude
I'm fan of that pussy (Mwah, mwah)
Besides the weed, the Xanax, the coke and the molly (Nothing else)
You're the one that controls me, ah (Ayy, hehe)

In your eyes I see the sea, mami, carry me in your wave (You're reckless)
Today I feel like a slut, so good, ayy

Because the high is starting to kick in
My world is fucked up and I feel perfect
Because you're here moving like that, don't stop
Baby, you're my drug, don't slow it down tonight1Embed"
7,Feid - Classy 101,"21 ContributorsTranslationsEnglishDeutschClassy 101 Lyrics

To' los día' te imagino
Cómo te debe' ver sin ese Valentino
Con ese cuerpo asesino, divino, ma
Que yo esté pensándote para mí es normal
To' lo que tiene' a mí me gusta
Vamo' a comerno', baby, aunque no sea formal
Y si nos envolvemo', no me asusta

Tú tiene' cara de que te gusta freaky, nasty, nada 'e lo romantic
Tú te ves cara, bitchy, classy, en cuatro fantastic, más que problematic
Tú tocándote, yo loca por entrar, tú sabe' lo que me gusta
Sigue cucándome, que yo no vo'a fantasmear, te voy a cobrar la multa (Yeah)

Baby, bienvenida al party
Tú ere' una bandi con cuerpo de Barbie, yeah
Rumbea desde que no tiene ID
Se pone mis Oakley's, se sube la faldi, yeah
Es otra cosa
Pero mi corillo dice que es peligrosa
Una experta, es una chimba
A la disco que llega, ella la destroza
You might also like
No le pongo frenos, esas nalga' me las baja hasta el suelo
She say ""fuck that"", no le gusta lo normal, to' es extremo
Déjame ver to'
Yo sé que no es nada formal, pero dame el ""okey"", though
Very welcome
Esta noche vo'a hacerte to' lo que dije por texto, yeah

Tú tiene' cara de que te gusta freaky, nasty, nada 'e lo romantic
Tú te ves cara, bitchy, classy, en cuatro fantastic, dizque problematic
Tú tocándote, yo loco por entrar, tú sabe' lo que me gusta
Sigue cucándome, que yo no vo'a fantasmear, te voy a cobrar la multa, wow (Brr)

Mami, esto e' un arresto
Te vo'a cobrar esa miradita con impuesto' (Mmm)
Saca las esposa', baby, yo me presto
Y ponme en house arrest, que no me molesto (Yeah)
Tú tiene' cara de que ere' una nasty doll debajo de los cover', ey (Yeah)
Woh, ninguna se compara, mami, ese culo es game over (Ey)
Bubble butt, oh my God
Tú te mueve' así, mami, you got me stuck, ey (Yeah)
Peligrosa, pero I'm falling in love
Es que no es normal, baby, what the fuck
No la freno si esas nalga' me las baja hasta el suelo
I said ""fuck that"", yeah
Si se me trepa encima me mata sin bala'

Con esa cara de que le gusta freaky, nasty, nada 'e lo romantic
Tú te ves cara, bitchy, classy, en cuatro fantastic, más que problematic
Tú tocándote, yo loca por entrar, tú sabe' lo que me gusta
Sigue cucándome, que yo no vo'a fantasmear, te voy a cobrar la multa, wow

Eh-eh, eh-eh, oh-oh
FERXXO, FERXXO
Caleb, Caleb Calloway, uh-uh
Julia, ey
It's Baby Miko
Prr
Ey, yo, MauroEmbed"
8,Feid - Normal,"11 ContributorsTranslationsEnglishNormal Lyrics

He querido borrarte, pero sueño contigo
Quisiera que entendiera' lo que hiciste conmigo
Yo dándote cien y tú me dabas cincuenta
Yo durmiendo contigo y tú con otro te acuestas
Te extraño, pero perdonarte qué mucho me cuesta
Qué mucho me cuesta

Normal, si te sientes solita y me extraña'
Y se te sale mi nombre
Difícil que llore' por mí en otra cama
Dime quién te va a creer, la nеna no quiere Cartier
Quiеre buscarme en otra piel
Vive en la disco to' los fine' de semana
Pa' ver si me vuelve a ver
Normal, si te sientes solita y me extraña'
Y se te sale mi nombre
Difícil que llore' por mí en otra cama
Dime quién te va a creer, la nena no quiere Cartier
Quiere buscarme en otra piel
Vive en la disco to' los fine' de semana
A ver si me vuelve a ver
See Feid LiveGet tickets as low as $24You might also like
La nena no quiere un nene sano
A ella le gustan los gato' malo'
Y yo en una casita llena 'e gata' en Los Cabo'
Ese culo se fue y están lloviendo los chavo'
Ahora me estoy perreando una gata mejor
Si le duele el cora, que se tome un Panadol (Uy)
Partido que juego, partido que meto gol
Y está' otra vez llamando, diciendo que el alcohol
Te tiene así, pensando en mí
Que qué putas me pasó que me perdí
Bebé, si en la foto te ve' feliz
Ojalá y algún día sientas lo que yo sentí
Pa' que veas que es

Normal, si te sientes solita y me extrañas
Y se te sale mi nombre
Difícil que llore' por mí en otra cama
Dime quién te va a creer, la nena no quiere Cartier
Quiere buscarme en otra piel
Vive en la disco to' los fine' de semana (Yeah)
Pa' ver si me vuelve a ver
Normal, si te sientes solita y me extraña'
Y se te sale mi nombre
Difícil que llore' por mí en otra cama
Dime quién te va a creer, la nena no quiere Cartier
Quiere buscarme en otra piel
Vive en la disco to' los fine' de semana
A ver si me vuelve a ver
5Embed"
9,KAROL G - PROVENZA,"24 ContributorsTranslationsEnglishDeutschPROVENZA Lyrics

Baby, ¿qué más?
Hace rato que no sé na' de ti
'Taba con alguien, pero ya estoy free
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
Tú dime dónde está', ah-ah-ah
Que hace rato que no sé na' de ti (Na' de ti)
'Taba con alguien, pero ya estoy free
Puesta pa' revivir viejos tiempo', no salgo hace tiempo (Shh)

Papi, nos perdemo', nos parqueamo' y lo prendemo'
Pa' la seca algo bebemo', y cuando nos emborrachemo'
Una de reggaetón ponemo' y nos vamo' a donde nos podamos querer
Nos podamos comer (Eh-ah)
Papi, nos perdemo', nos parqueamo' y lo prendemo'
Pa' la seca algo bebemo', y cuando nos emborrachemo'
Una de reggaetón ponemo' y nos vamo' a donde nos podamo' querer
Nos podamo' comer

Baby, ¿qué más?
Hace rato (Wuh) que no sé na' de ti (Yeh)
'Taba con alguien, pero ya estoy free ('Toy free)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
Tú dime dónde está', ah-ah-ah (Tú dime, tú dime)
Que hace rato que no sé na' de ti (Na' de ti)
'Taba con alguien, pero ya estoy free (Wuh)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
See KAROL G LiveGet tickets as low as $31You might also like
¿Qué de malo puede pasar?
¿Que nos vaya mal? Estoy afuera, sal
Tenemos cosas pendiente' por repasar
Tú ere' un polvito difícil de reemplazar (Sí)
No sé si te convenza (Ey)
Nos damo' un rocecito por Provenza
Y si la cosa se pone tensa, en mi cama la recompensa
O viceversa, ¿por qué lo piensas? (¡No!)
Pasamo' por el barrio por hierba (Hierba)
Ponla en la hookah pa' que se disuelva
La química todavía se conserva
Y yo te lo hago rico para que vuelva'
Aunque mañana me voy, aprovéchame que aquí estoy
Puesta pa' ti, por eso te escribí

Baby, ¿qué más?
Hace rato que no sé na' de ti
'Taba con alguien, pero ya estoy free (Huh)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
Tú dime dónde está', ah-ah-ah (Tú dime, tú dime)
Que hace rato que no sé na' de ti (Na' de ti)
'Taba con alguien, pero ya estoy free (Wuh)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
O-O-Ovy On The Drums1Embed"
