artist_title,days,t10,pk,x?,pkstreams,total
Manuel Turizo - La Bachata,702,212,1,(x118),"805,607","170,548,560"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",623,196,1,(x57),"1,170,587","161,611,416"
Big One - Un Finde | CROSSOVER #2,403,211,1,(x54),"1,128,217","160,455,855"
Luck Ra - Ya No Vuelvas (Versión Cuarteto),527,166,1,(x3),"695,323","157,826,928"
TINI - Miénteme,1091,114,1,(x28),"730,581","147,403,657"
Rei - Tu Turrito,630,185,2,(x16),"640,034","128,234,784"
Big One - En la Intimidad,465,128,1,(x54),"845,054","127,843,116"
Luck Ra - La Morocha,310,188,1,(x72),"1,220,752","120,188,616"
La K'onga - Universo Paralelo,869,93,2,(x9),"446,252","109,739,931"
LIT killah - Los del Espacio,345,122,1,(x31),"1,015,190","108,496,777"
Emilia - Como Si No Importara,957,127,1,(x1),"579,518","104,405,423"
La K'onga - El Mismo Aire,1165,2,5,,"355,299","103,871,058"
BM - M.A (Mejores Amigos),473,86,1,(x1),"739,583","103,721,506"
Bad Bunny - Me Porto Bonito,597,145,1,(x2),"482,280","102,298,565"
Ke Personajes - Si No Te Tengo / Ángel / Aquello Que Pasó,890,,16,,"342,684","101,480,481"
Intoxicados - Nunca quise,2660,,65,,"83,069","101,319,918"
Taiu - Rara Vez,455,74,2,(x2),"561,465","101,153,903"
WOS - ARRANCARMELO,699,57,1,(x2),"416,938","99,570,749"
Luis Alberto Spinetta - Seguir Viviendo Sin Tu Amor,2370,,55,,"92,302","99,343,159"
Los Ángeles Azules - Otra Noche,855,7,10,,"270,815","99,048,546"
Maria Becerra - ADIÓS,520,58,4,,"491,084","98,957,489"
Maria Becerra - CORAZÓN VACÍO,324,100,1,(x7),"880,022","98,594,478"
No Te Va Gustar - A las Nueve,2693,,57,,"99,261","98,589,434"
BM - Ni Una Ni Dos,317,153,1,(x2),"683,342","97,790,544"
Gustavo Cerati - Crimen,3339,7,1,(x3),"81,073","97,468,003"
TINI - La Triple T,583,87,1,(x34),"486,967","97,429,072"
Bad Bunny - Ojitos Lindos,566,127,1,(x15),"415,414","95,474,294"
La K'onga - Te Mentiría,979,7,8,,"396,477","95,329,784"
ROSALÍA - DESPECHÁ,461,134,3,(x20),"671,712","91,245,266"
Ke Personajes - Cómo estás,1459,,18,,"200,350","89,638,997"
Maluma - Hawái,589,147,1,(x76),"736,568","88,951,191"
Ciro y los Persas - Me Gusta,2582,,68,,"67,743","87,841,410"
"Bizarrap - Tiago PZK: Bzrp Music Sessions, Vol. 48",666,119,1,(x28),"597,595","86,855,340"
Airbag - Por Mil Noches,1591,,23,,"186,580","86,835,355"
TINI - Bar,585,103,1,(x49),"768,924","86,614,503"
Feid - Classy 101,408,60,3,(x5),"568,788","85,224,280"
Soda Stereo - Trátame Suavemente - Remasterizado 2007,2787,1,9,,"81,345","84,922,094"
Duki - She Don't Give a Fo,1433,57,3,(x11),"212,223","84,851,290"
Paulo Londra - Adan y Eva,730,175,1,(x59),"485,444","83,452,618"
Rauw Alejandro - Todo De Ti,646,93,1,(x25),"697,534","83,270,602"
Myke Towers - LALA,313,97,1,(x31),"782,835","83,219,164"
Rauw Alejandro - Desesperados,608,104,1,(x29),"424,409","82,585,999"
Danny Ocean - Me Rehúso,1148,246,1,(x8),"232,585","81,831,967"
Quevedo - Columbia,310,83,1,(x27),"729,900","81,736,831"
Luck Ra - Quiero Creer,464,5,9,,"375,674","81,570,416"
KAROL G - Tusa,565,171,1,(x100),"708,411","81,029,962"
Bad Bunny - DÁKITI,717,108,1,(x36),"652,163","79,883,984"
Tiago PZK - Entre Nosotros,480,153,1,(x52),"617,248","79,674,240"
Quevedo - PUNTO G,494,76,3,(x3),"541,722","79,668,648"
Ke Personajes - Pobre Corazón - En Vivo,385,61,2,(x6),"687,305","79,522,244"
J Balvin - Qué Más Pues?,556,124,1,(x1),"609,876","79,409,240"
Big One - Mentiras | CROSSOVER #3,291,83,4,,"533,366","79,219,921"
Rels B - cómo dormiste?,579,76,2,(x2),"623,848","78,562,969"
Jay Wheeler - La Curiosidad,856,128,2,(x3),"321,000","77,150,304"
Bad Bunny - Yonaguni,653,59,3,(x9),"476,794","76,655,525"
Maria Becerra - AUTOMÁTICO,537,65,3,(x2),"525,835","76,203,157"
Ozuna - Hey Mor,494,29,7,,"378,888","76,131,477"
Yng Lvcas - La Bebe - Remix,377,90,2,(x21),"688,123","75,990,935"
Andrés Calamaro - Flaca,2128,,69,,"92,880","75,793,921"
Maria Becerra - OJALÁ,561,84,1,(x5),"428,146","75,650,210"
LiL CaKe - MERCHO,368,72,4,,"604,760","74,599,980"
BM - M.A - Remix,352,68,2,(x18),"820,620","74,444,085"
Yandel - Yandel 150,374,66,5,,"517,049","74,259,788"
Grupo Frontera - OJITOS ROJOS,296,69,3,(x2),"547,163","73,619,280"
Tiago PZK - Salimo de Noche,505,112,1,(x15),"555,714","73,611,827"
Emilia - La_Original.mp3,191,126,1,(x32),"702,569","73,392,349"
TINI - Cupido,443,61,3,(x6),"606,682","73,328,455"
Paulo Londra - Tal Vez,946,132,1,(x20),"356,738","73,290,066"
Tiago PZK - Entre Nosotros (Remix) [con Nicki Nicole],674,65,1,(x13),"587,709","72,233,338"
Sofía Reyes - Marte,543,103,1,(x7),"336,016","71,942,070"
Damas Gratis - Costumbres - Vivo,524,,17,,"320,886","69,623,240"
The La Planta - DISCOTEKA,427,,12,,"370,529","69,516,317"
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",334,60,1,(x28),"1,462,926","69,465,731"
Migrantes - Si Me Tomo Una Cerveza,583,113,1,(x2),"652,463","69,342,419"
Ed Sheeran - Shape of You,1052,201,2,(x33),"220,876","69,328,723"
KAROL G - TQG,412,55,2,(x13),"704,982","69,327,532"
Turf - Pasos Al Costado,2046,,96,,"71,062","68,671,203"
Anuel AA - China,537,176,1,(x43),"503,058","68,653,132"
La Delio Valdez - Inocente,1073,,27,,"254,720","68,583,432"
Pedro Capó - Calma - Remix,639,140,1,(x42),"492,059","67,870,663"
Quevedo - VISTA AL MAR,494,14,9,,"314,002","67,846,882"
Nicki Nicole - DISPARA ***,360,25,7,,"451,187","67,317,295"
Cris Mj - Marisola - Remix,413,62,1,(x2),"583,550","67,294,833"
Feid - Feliz Cumpleaños Ferxxo,616,,18,,"276,835","67,025,840"
Tiago PZK - Me Enteré,356,76,3,(x3),"617,964","66,975,790"
Bad Bunny - Tití Me Preguntó,374,97,3,(x5),"452,080","66,954,601"
"BANDIDO - No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",423,118,1,(x1),"558,033","66,601,240"
La Joaqui - Dos Besitos,389,81,2,(x8),"557,921","66,496,792"
La Joaqui - Butakera,460,74,4,,"485,652","66,452,496"
Luck Ra - HOLA PERDIDA,128,125,1,(x45),"1,049,891","66,289,910"
TINI - Muñecas,347,69,2,(x10),"639,476","66,040,690"
Mesita - Una Foto,262,95,3,(x5),"575,175","65,732,192"
Luck Ra - QUE ME FALTE TODO,198,123,2,(x5),"789,573","65,016,388"
MYA - 2:50 Remix,508,79,1,(x10),"632,246","64,756,605"
Divididos - Spaghetti del Rock,2290,,81,,"57,540","64,245,128"
YSY A - FLECHAZO EN EL CENTRO,248,20,7,,"409,414","64,205,714"
Cris Mj - Una Noche en Medellín,492,77,3,(x7),"347,920","64,176,570"
Marka Akme - Linda - Remix,225,86,3,(x17),"541,878","63,788,995"
La T y La M - Pa’ la Selección,447,46,1,(x1),"681,329","63,119,723"
Dua Lipa - Don't Start Now,1126,1,10,,"138,925","62,896,471"
