artist_title,days,t10,pk,x?,pkstreams,total
Apache 207 - Roller,1579,219,1,(x25),"60,765","19,268,104"
Bonez MC - Ohne mein Team,2783,,18,,"19,819","18,362,792"
The Weeknd - Blinding Lights,1378,219,1,(x35),"41,442","16,959,712"
Tom Odell - Another Love,1189,177,5,,"26,314","16,606,635"
Bonez MC - 500 PS,1738,151,1,(x3),"62,576","16,509,577"
Glass Animals - Heat Waves,1103,273,1,(x36),"42,801","16,005,562"
RAF Camora - Blaues Licht,1005,117,1,(x16),"82,957","15,356,296"
Mariah Carey - All I Want for Christmas Is You,470,269,1,(x93),"325,677","13,987,084"
Lewis Capaldi - Someone You Loved,1658,2,10,,"20,733","13,722,594"
Tones And I - Dance Monkey,809,244,1,(x70),"75,129","13,670,254"
Wham! - Last Christmas,497,250,1,(x54),"344,193","13,661,049"
Pashanim - Sommergewitter,1015,70,2,(x17),"53,205","12,088,467"
Harry Styles - As It Was,752,164,1,(x21),"59,665","11,893,206"
David Guetta - I'm Good (Blue),624,215,1,(x11),"64,593","11,628,101"
Lost Frequencies - Where Are You Now,893,182,3,(x1),"31,191","11,533,718"
The Kid LAROI - Stay,634,191,1,(x50),"66,173","11,343,604"
The Neighbourhood - Sweater Weather,1288,,24,,"14,574","11,149,745"
Miksu / Macloud - Sehnsucht,749,174,1,(x23),"60,277","11,056,130"
Vance Joy - Riptide,1412,,11,,"19,644","10,954,254"
Miley Cyrus - Flowers,483,148,1,(x75),"124,748","10,918,852"
Udo Lindenberg - Komet,477,218,2,(x58),"50,729","10,760,788"
24kGoldn - Mood,622,187,1,(x85),"67,335","10,447,505"
Luciano - Beautiful Girl,576,140,1,(x60),"83,307","10,314,400"
Eminem - Without Me,1510,,22,,"14,711","10,026,122"
Eminem - Mockingbird,580,168,2,(x8),"40,794","9,690,258"
Ed Sheeran - Shivers,709,143,1,(x19),"41,643","9,655,559"
Billie Eilish - bad guy,776,138,1,(x2),"39,278","9,497,836"
SAINt JHN - Roses - Imanbek Remix,719,125,1,(x2),"37,019","9,466,190"
Macklemore & Ryan Lewis - Can't Hold Us,866,,12,,"21,429","9,364,566"
Luciano - Bamba,526,174,1,(x43),"98,282","9,248,551"
Nina Chuba - Wildberry Lillet,602,111,1,(x19),"55,554","8,998,245"
Ion Miles - Powerade,661,111,3,(x18),"37,256","8,942,815"
OneRepublic - I Ain't Worried,699,23,7,,"25,003","8,908,336"
Ed Sheeran - Bad Habits,550,136,3,(x20),"48,798","8,844,222"
Miksu / Macloud - Nachts wach,634,91,1,(x15),"51,420","8,814,101"
Elton John - Cold Heart - PNAU Remix,783,76,3,(x1),"38,621","8,699,038"
