artist_title,days,t10,pk,x?,pkstreams,total
xxxmanera - Never Broke Again,712,281,2,(x7),"11,048","4,059,553"
Skryptonite - Это любовь,812,53,5,,"9,143","4,039,391"
Кишлак - Я уёбываю в джаз,806,121,4,,"8,548","3,877,576"
Aarne - Тесно,638,187,1,(x43),"30,775","3,668,451"
FACE - Антидепрессант,802,9,8,,"7,328","3,306,523"
FACE - ЛАБИРИНТ,805,22,3,(x1),"7,921","3,148,807"
Korol i Shut - Кукла колдуна,808,60,4,,"10,193","3,028,977"
INSTASAMKA - ЗА ДЕНЬГИ ДА,378,146,1,(x84),"23,762","2,912,425"
Три дня дождя - Отпускай,672,7,9,,"7,952","2,903,317"
КАКАЯ РАЗНИЦА - Рассвет,812,,14,,"6,168","2,900,181"
xxxmanera - Скажи мне кто ты,401,120,1,(x58),"24,322","2,792,432"
Кишлак - Самый лучший день,564,55,6,,"9,584","2,724,802"
Big Baby Tape - Million,812,,15,,"5,396","2,683,272"
INTERWORLD - METAMORPHOSIS,601,87,4,,"8,407","2,645,970"
Kordhell - Murder In My Mind,636,102,4,,"7,569","2,632,468"
uglystephan - Заберу,455,169,1,(x7),"13,561","2,567,005"
ooes - последнее лето,508,1,10,,"6,872","2,528,588"
Кишлак - Эй,635,,11,,"7,186","2,526,977"
ANNA ASTI - Царица,303,186,1,(x21),"17,107","2,521,446"
Max Korzh - Жить в кайф,628,7,7,,"8,811","2,490,605"
Шайни - Yeyo!,612,161,1,(x15),"6,847","2,481,991"
ПОЛМАТЕРИ - ярче звёзд,745,45,3,(x5),"5,859","2,475,327"
shadowraze - showdown,562,131,1,(x67),"33,682","2,379,830"
Poshlaya Molly - Нон стоп,805,,25,,"5,982","2,362,129"
The Neighbourhood - Sweater Weather,800,,18,,"4,651","2,348,135"
Korol i Shut - Дурак и молния,716,22,5,,"9,290","2,346,152"
Quest Pistols - Ты так красива,606,1,8,,"7,275","2,280,661"
Nervy - Нервы,793,,12,,"4,534","2,239,857"
Три дня дождя - Прощание,204,139,1,(x44),"24,429","2,233,641"
Poshlaya Molly - Контракт,812,,34,,"6,062","2,229,922"
ANNA ASTI - По барам,669,,15,,"6,641","2,226,526"
10AGE - Ау,636,44,3,(x4),"5,917","2,207,015"
uniqe - ТОЛПЫ КРИЧАТ,716,8,7,,"4,608","2,172,841"
FACE - Лиза,650,1,8,,"6,827","2,144,245"
LOVV66 - МАЙ МАЙ,411,80,1,(x12),"19,137","2,116,512"
Big Baby Tape - Bandana,730,3,8,,"4,587","2,100,159"
Scally Milano - Я хочу тебя трахать,606,39,3,(x1),"5,622","2,098,473"
Scally Milano - Дай Мне Шанс,382,31,5,,"11,484","2,086,243"
Mr.Kitty - After Dark,674,8,4,,"4,324","2,074,846"
ooes - зима,786,,28,,"5,078","2,056,550"
INSTASAMKA - POPSTAR,333,126,1,(x44),"27,996","2,054,242"
Rammstein - Sonne,604,,15,,"5,835","2,049,101"
Tom Odell - Another Love,659,10,10,,"5,443","2,029,621"
Max Korzh - Пьяный дождь,671,,46,,"4,652","1,995,757"
Heronwater - Дай мне посмотреть,331,94,1,(x45),"19,054","1,990,725"
Дайте танк (!) - Утро,667,,29,,"5,645","1,974,296"
shadowraze - Холод,262,77,1,(x16),"29,467","1,953,596"
Кишлак - Музыка,607,4,6,,"5,460","1,950,128"
"Молодой Платон - DON'T PLAY, BAE",490,83,2,(x1),"10,851","1,945,867"
Poshlaya Molly - Дом Периньон,771,,20,,"4,022","1,938,713"
MACAN - ASPHALT 8,366,125,2,(x2),"9,992","1,926,877"
Kill Eva - Psycho Dreams (Sped Up),413,53,5,,"10,394","1,925,779"
zhanulka - портреты - Acoustic,462,,11,,"7,383","1,923,963"
Korol i Shut - Лесник,517,22,5,,"9,070","1,893,173"
Nervy - Батареи,771,,29,,"3,649","1,859,990"
T-Fest - Ламбада,695,,48,,"4,198","1,826,004"
Moya Mishel - Зима в сердце,225,121,1,(x12),"16,526","1,802,481"
Nirvana - Smells Like Teen Spirit - Remastered,795,,68,,"3,570","1,790,079"
LOVV66 - 5IVE,387,91,3,(x9),"10,747","1,785,162"
Exile - MiMiMaMaMu,344,54,2,(x18),"14,133","1,758,777"
shadowraze - astral step,502,130,1,(x12),"11,420","1,737,521"
Toxi$ - CRANKI,311,45,3,(x2),"9,221","1,716,974"
KENTUKKI - Замигает свет,719,,28,,"3,327","1,710,093"
pyrokinesis - Днями-ночами,561,52,3,(x1),"4,529","1,697,797"
KRBK - Крепче,370,5,9,,"8,354","1,696,159"
V - Love Me Again,275,85,2,(x2),"12,499","1,683,265"
Jung Kook - Seven,303,80,1,(x5),"28,859","1,664,464"
PLOHOYPAREN - Таблетка,589,14,8,,"5,283","1,647,542"
Poshlaya Molly - #HABIBATI,437,44,1,(x1),"12,307","1,637,014"
Max Korzh - Эндорфин,643,,52,,"4,144","1,621,603"
Pepel Nahudi - Заново завоевать,358,58,2,(x2),"14,666","1,613,888"
INTERWORLD - METAMORPHOSIS 3,304,84,2,(x3),"15,032","1,613,328"
Aarne - ВМЕСТЕ,318,66,1,(x2),"19,164","1,606,242"
Папин Олимпос - Официантка,490,33,6,,"7,693","1,599,153"
Три дня дождя - Перезаряжай,570,,21,,"5,109","1,596,241"
ПОЛМАТЕРИ - маша,402,19,5,,"7,707","1,594,277"
Dxrk ダーク - RAVE,480,76,4,,"6,399","1,593,177"
uniqe - АФТЕРПАТИ,254,61,2,(x5),"12,583","1,588,665"
FRIENDLY THUG 52 NGG - Lost Angeles,191,125,3,(x3),"11,412","1,586,413"
MUPP - vendetta!,458,34,8,,"5,814","1,550,248"
XXXTENTACION - Revenge,665,,45,,"3,194","1,550,174"
Три дня дождя - Где ты,634,,37,,"4,731","1,538,984"
Max Korzh - Где твоя любовь?,499,,48,,"4,359","1,524,165"
MACAN - Кино,613,,46,,"3,717","1,515,084"
Lil Peep - Star Shopping,666,,79,,"3,254","1,458,533"
Miyagi & Andy Panda - Minor,614,,55,,"3,675","1,458,196"
ooes - ночь,608,,18,,"3,630","1,453,354"
BUSHIDO ZHO - vodila,381,78,1,(x18),"20,922","1,444,612"
MORGENSHTERN - Последняя Любовь,66,65,1,(x42),"29,124","1,423,668"
NEWLIGHTCHILD - F*CK OFF,247,44,3,(x2),"10,677","1,403,177"
ANNA ASTI - Повело,417,,16,,"6,445","1,399,430"
Toxi$ - ХАЙЕГОХО,310,50,5,,"10,170","1,397,053"
Toxi$ - HURTZ,184,55,2,(x9),"16,063","1,392,657"
Ицык Цыпер - Дымок,142,96,1,(x21),"17,016","1,387,087"
NEWLIGHTCHILD - DANCE FLOOR,276,47,6,,"8,545","1,378,497"
ssshhhiiittt! - Танцы,570,,30,,"3,535","1,376,754"
kizaru - Зеркало,198,64,1,(x16),"34,763","1,361,395"
Big Baby Tape - 99 Problems,492,31,5,,"4,806","1,358,908"
Scally Milano - Йупи Йо,232,84,1,(x1),"17,025","1,358,514"
INSTASAMKA - MONEYKEN LOVE,307,100,1,(x8),"8,036","1,354,917"
