artist_title,days,t10,pk,x?,pkstreams,total
The Weeknd - Blinding Lights,1624,285,1,(x128),"91,778","38,729,252"
Lewis Capaldi - Someone You Loved,1958,278,4,,"46,755","36,490,069"
Tom Odell - Another Love,1443,290,3,(x3),"49,049","31,316,344"
Tones And I - Dance Monkey,1215,260,1,(x127),"118,842","30,857,017"
Lady Gaga - Shallow,2051,147,1,(x7),"44,797","29,355,249"
Glass Animals - Heat Waves,1191,308,1,(x10),"68,767","26,676,920"
Harry Styles - As It Was,772,356,1,(x116),"107,980","26,045,493"
Ed Sheeran - Shape of You,1952,219,1,(x128),"68,566","25,828,133"
Billie Eilish - lovely,2193,,15,,"20,633","24,179,751"
Lost Frequencies - Where Are You Now,1015,239,4,,"63,905","23,815,815"
The Kid LAROI - Stay,786,202,1,(x66),"88,200","21,777,432"
Vance Joy - Riptide,2338,,14,,"32,879","21,272,841"
Miley Cyrus - Flowers,485,226,1,(x92),"155,887","20,771,316"
Elton John - Cold Heart - PNAU Remix,999,57,5,,"68,647","20,347,833"
David Guetta - I'm Good (Blue),625,260,1,(x52),"96,375","20,081,334"
TOTO - Africa,2260,,34,,"31,926","19,289,107"
Lewis Capaldi - Before You Go,1386,43,8,,"40,488","18,650,150"
Billie Eilish - bad guy,952,177,1,(x32),"56,888","18,613,793"
Imagine Dragons - Believer,2304,,19,,"18,391","18,569,329"
John Legend - All of Me,2882,,17,,"18,605","18,084,309"
Dean Lewis - Be Alright,1538,151,2,(x7),"35,251","18,036,073"
Hozier - Take Me To Church,2110,202,1,(x84),"23,843","17,783,476"
Avicii - Wake Me Up,2431,8,2,(x1),"42,709","17,415,152"
Farruko - Pepas,759,152,1,(x20),"89,141","17,374,390"
Harry Styles - Watermelon Sugar,1172,85,3,(x1),"51,644","17,187,457"
David Kushner - Daylight,392,260,1,(x80),"84,070","16,865,037"
Ed Sheeran - Bad Habits,721,132,2,(x6),"64,698","16,657,595"
Ed Sheeran - Shivers,788,121,4,,"63,108","16,375,441"
SAINt JHN - Roses - Imanbek Remix,708,197,2,(x56),"73,929","16,329,987"
Regard - Ride It,936,117,2,(x31),"56,138","16,146,758"
Macklemore & Ryan Lewis - Can't Hold Us,869,1,10,,"50,089","15,995,768"
24kGoldn - Mood,619,214,1,(x89),"93,614","15,989,639"
Marco Borsato - Hoe Het Danst,899,138,2,(x51),"59,176","15,813,744"
Mariah Carey - All I Want for Christmas Is You,502,200,1,(x96),"378,226","15,632,278"
Calvin Harris - One Kiss,1148,149,1,(x79),"63,231","15,591,925"
OneRepublic - I Ain't Worried,702,119,2,(x1),"48,555","15,312,648"
Queen - Bohemian Rhapsody - Remastered 2011,1832,,20,,"20,952","15,312,533"
Adele - Easy On Me,791,104,1,(x38),"146,780","15,310,966"
Shawn Mendes - Señorita,706,161,1,(x73),"69,972","15,192,813"
cassö - Prada,274,232,1,(x60),"86,712","15,172,561"
Dua Lipa - Don't Start Now,794,187,3,(x9),"58,126","14,862,689"
Olivia Rodrigo - good 4 u,512,130,1,(x28),"111,065","14,837,036"
Joel Corry - Head & Heart,688,167,2,(x14),"61,021","14,572,258"
Tiësto - The Business,694,153,1,(x2),"57,640","14,471,328"
Coldplay - Viva La Vida,1233,,27,,"27,403","14,238,580"
Olivia Rodrigo - drivers license,669,113,1,(x69),"125,422","14,221,963"
Riton - Friday,607,164,1,(x12),"71,439","13,992,655"
DaBaby - ROCKSTAR,547,155,1,(x61),"76,321","13,904,163"
The Neighbourhood - Sweater Weather,1241,,26,,"21,394","13,890,061"
Loreen - Tattoo,427,152,1,(x26),"166,197","13,733,343"
Måneskin - Beggin',542,127,1,(x40),"86,790","13,560,681"
Juice WRLD - Lucid Dreams,1276,9,2,(x2),"54,456","13,535,179"
Lil Nas X - MONTERO (Call Me By Your Name),484,155,1,(x47),"86,678","13,521,639"
Mabel - Don't Call Me Up,882,134,2,(x3),"45,619","13,461,985"
Queen - Don't Stop Me Now - Remastered 2011,1645,,18,,"37,407","13,355,594"
Tate McRae - you broke me first,773,139,4,,"47,543","12,973,570"
Naps - La kiffance,793,73,7,,"42,504","12,766,827"
Dua Lipa - Fever,660,148,1,(x24),"99,986","12,750,663"
Black Eyed Peas - I Gotta Feeling,1265,2,7,,"54,646","12,607,988"
Tate McRae - greedy,240,205,1,(x1),"68,682","12,510,859"
XXXTENTACION - SAD!,1177,62,1,(x9),"93,254","12,425,813"
Lil Nas X - INDUSTRY BABY,457,123,2,(x25),"74,538","12,422,569"
Eminem - Lose Yourself,1647,,39,,"23,558","12,383,654"
James Hype - Ferrari,552,145,2,(x10),"55,989","12,263,268"
Duncan Laurence - Arcade,936,32,1,(x2),"60,576","12,221,880"
Macklemore & Ryan Lewis - Can't Hold Us,2117,,26,,"20,431","11,882,309"
Rosa Linn - SNAP,593,120,5,,"42,322","11,785,533"
Post Malone - rockstar,966,156,1,(x65),"45,483","11,769,702"
James Arthur - Say You Won't Let Go,1591,99,4,,"22,976","11,752,735"
Wham! - Last Christmas,442,125,2,(x54),"356,833","11,727,064"
Rema - Calm Down,542,103,1,(x16),"58,762","11,711,586"
Roddy Ricch - The Box,564,120,2,(x28),"65,506","11,700,093"
Lord Huron - The Night We Met,1170,,18,,"29,524","11,605,401"
Ed Sheeran - I Don't Care,587,120,1,(x3),"66,972","11,564,648"
Gabry Ponte - Thunder,679,96,3,(x2),"49,655","11,531,670"
Oasis - Wonderwall - Remastered,1927,,88,,"15,344","11,512,939"
Sam Smith - Unholy,404,161,1,(x49),"72,098","11,499,744"
Passenger - Let Her Go,2047,,26,,"11,764","11,319,173"
Dynoro - In My Mind,753,164,1,(x67),"51,448","11,212,019"
Alec Benjamin - Let Me Down Slowly,833,71,4,,"38,131","11,208,506"
GAYLE - abcdefu,410,152,1,(x28),"72,964","11,167,670"
Coolio - Gangsta's Paradise,1064,2,5,,"40,591","11,150,345"
Topic - Breaking Me,565,111,4,,"50,269","11,135,444"
Ava Max - Sweet but Psycho,720,148,1,(x42),"46,709","11,134,473"
Drake - One Dance,1007,179,1,(x99),"44,615","11,109,286"
Camille - Vuurwerk,827,,20,,"26,274","11,077,900"
BENNETT - Vois sur ton chemin - Techno Mix,281,127,3,(x7),"65,712","11,039,780"
XXXTENTACION - Moonlight,1190,21,2,(x3),"62,451","10,986,878"
Metro Boomin - Creepin',454,149,2,(x13),"43,047","10,883,329"
The Weeknd - Starboy,917,131,1,(x39),"33,523","10,810,452"
Billie Eilish - when the party's over,913,1,10,,"27,070","10,706,682"
Dire Straits - Sultans Of Swing,1349,,56,,"16,413","10,664,770"
Lil Nas X - Old Town Road - Remix,476,135,1,(x38),"64,696","10,657,614"
iñigo quintero - Si No Estás,229,124,1,(x43),"93,021","10,618,342"
MEAU - Dat heb jij gedaan,494,123,1,(x32),"71,180","10,574,877"
Eminem - Mockingbird,579,10,9,,"33,994","10,574,075"
a-ha - Take on Me,1207,,32,,"35,882","10,540,965"
MEDUZA - Piece Of Your Heart,539,138,3,(x15),"52,485","10,497,057"
Calvin Harris - Miracle,414,145,3,(x25),"58,103","10,415,765"
ACRAZE - Do It To It,451,91,2,(x2),"88,848","10,381,861"
