artist_title,days,t10,pk,x?,pkstreams,total
Manuel Turizo - La Bachata,715,290,1,(x121),"46,992","17,417,065"
J Balvin - LA CANCIÓN,1780,206,2,(x30),"19,432","14,880,583"
Bad Bunny - Me Porto Bonito,737,251,1,(x45),"54,452","13,932,498"
Danny Ocean - Me Rehúso,2700,342,1,(x13),"15,411","13,811,660"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",676,230,1,(x65),"87,640","13,324,561"
Grupo Frontera - un x100to,391,197,1,(x73),"144,098","12,576,570"
Feid - Feliz Cumpleaños Ferxxo,632,204,2,(x1),"35,472","12,473,224"
Big One - Un Finde | CROSSOVER #2,403,257,1,(x10),"55,770","12,013,635"
Bad Bunny - Ojitos Lindos,737,249,1,(x16),"53,956","11,992,261"
Maluma - Hawái,1163,220,1,(x76),"64,255","11,410,244"
Bad Bunny - Efecto,734,232,2,(x2),"40,871","11,170,335"
Jay Wheeler - La Curiosidad,1421,127,2,(x3),"22,885","11,074,935"
Bad Bunny - Yonaguni,862,284,1,(x53),"55,970","10,995,023"
TINI - Miénteme,1108,233,5,,"25,168","10,741,636"
Piso 21 - Pa' Olvidarme De Ella,1448,181,1,(x43),"18,874","10,714,945"
Ozuna - Hey Mor,582,175,2,(x39),"36,210","10,687,510"
Bad Bunny - DÁKITI,918,176,1,(x76),"68,209","10,103,670"
Mora - LA INOCENTE,770,1,10,,"21,064","9,699,778"
Sebastian Yatra - Pareja Del Año,1093,108,1,(x27),"48,044","9,633,267"
Plan B - Es un Secreto,951,11,7,,"26,213","9,595,713"
Piso 21 - Déjala Que Vuelva,2041,219,1,(x107),"16,543","9,593,647"
Taiu - Rara Vez,455,67,2,(x1),"36,329","9,288,377"
KAROL G - PROVENZA,751,163,1,(x4),"34,450","9,276,943"
Rauw Alejandro - Todo De Ti,847,222,1,(x10),"61,086","9,275,667"
Yahritza Y Su Esencia - Frágil,401,134,2,(x7),"57,273","9,216,986"
Rauw Alejandro - Desesperados,796,116,1,(x28),"28,881","8,819,972"
Maluma - Sobrio,835,216,1,(x63),"38,303","8,727,865"
J Balvin - UN PESO,1775,,19,,"12,596","8,624,446"
Maluma - Según Quién,268,230,1,(x66),"50,247","8,595,519"
Feid - Classy 101,408,89,6,,"41,074","8,536,159"
Tainy - Lo Siento BB:/,754,201,1,(x35),"30,624","8,476,248"
Myke Towers - LALA,323,163,1,(x40),"52,452","8,464,649"
Grupo Frontera - OJITOS ROJOS,296,187,1,(x23),"53,765","8,413,091"
Carin Leon - Que Vuelvas,509,32,9,,"28,337","8,334,140"
Yandel - Yandel 150,495,149,1,(x10),"44,102","8,319,840"
KAROL G - QLONA,275,219,1,(x11),"43,236","8,181,032"
KAROL G - TQG,443,98,1,(x46),"71,265","8,130,309"
Feid - Normal,674,2,10,,"22,976","8,118,127"
Yng Lvcas - La Bebe - Remix,417,125,3,(x5),"50,327","8,104,864"
Becky G - MAMIII,733,115,1,(x42),"47,132","8,071,757"
Harry Styles - As It Was,772,73,1,(x11),"29,075","8,066,306"
Bad Bunny - Callaita,1352,202,2,(x43),"28,852","7,925,091"
Eslabon Armado - Ella Baila Sola,416,101,2,(x40),"67,337","7,861,581"
KAROL G - Tusa,899,185,1,(x101),"56,805","7,609,245"
Bad Bunny - Tití Me Preguntó,511,206,4,,"43,629","7,511,929"
Bad Bunny - Moscow Mule,559,165,1,(x2),"73,255","7,496,171"
Tiago PZK - Entre Nosotros,933,178,3,(x19),"26,716","7,450,176"
Quevedo - Columbia,310,154,3,(x20),"40,237","7,448,268"
Jhayco - No Me Conoce - Remix,1300,177,4,,"14,681","7,312,854"
Gera MX - Botella Tras Botella,773,74,1,(x6),"81,858","7,145,573"
Luck Ra - Ya No Vuelvas (Versión Cuarteto),492,5,9,,"28,046","7,056,417"
Piso 21 - Te Vi,1497,120,4,,"14,593","6,995,438"
Mau y Ricky - Desconocidos,1178,207,1,(x2),"16,795","6,971,073"
Bad Bunny - Si Estuviésemos Juntos,1768,,41,,"9,276","6,882,980"
The Weeknd - Blinding Lights,1247,109,3,(x15),"12,946","6,822,658"
Paulo Londra - Tal Vez,1562,111,2,(x3),"16,678","6,811,069"
Peso Pluma - TULUM,317,95,3,(x4),"45,175","6,788,563"
Cris Mj - Una Noche en Medellín,604,68,2,(x1),"24,782","6,668,957"
Bad Bunny - PERRO NEGRO,212,176,1,(x31),"55,575","6,667,713"
KAROL G - BICHOTA,713,144,1,(x1),"39,682","6,558,365"
Feid - LUNA,163,153,1,(x76),"53,131","6,536,670"
J Balvin - Qué Más Pues?,696,149,2,(x12),"32,628","6,532,952"
Fuerza Regida - Bebe Dame,459,82,5,,"29,949","6,408,487"
Quevedo - PUNTO G,552,17,8,,"27,327","6,372,334"
Grupo Frontera - No Se Va - En Vivo,571,45,5,,"27,069","6,349,171"
Morat - No Se Va,804,6,9,,"19,142","6,348,853"
KAROL G - AMARGURA,381,,15,,"20,953","6,265,176"
Dalex - Hola - Remix,1136,121,3,(x4),"18,025","6,150,892"
Rels B - A Mí,1499,,53,,"8,991","6,117,860"
Bad Bunny - LA NOCHE DE ANOCHE,698,168,2,(x12),"41,622","6,086,051"
Grupo Frontera - EL AMOR DE SU VIDA,283,76,3,(x10),"38,459","5,976,053"
Feid - CHORRITO PA LAS ANIMAS,527,38,8,,"26,330","5,892,629"
"Bizarrap - Tiago PZK: Bzrp Music Sessions, Vol. 48",747,16,3,(x1),"18,893","5,891,902"
Danny Ocean - Fuera del mercado,677,39,3,(x9),"25,199","5,826,319"
Piso 21 - Puntos Suspensivos,1310,29,8,,"12,549","5,804,787"
Morat - Cuando Nadie Ve,1619,,26,,"12,976","5,799,485"
KAROL G - MI EX TENÍA RAZÓN,275,49,6,,"32,786","5,783,687"
Bad Bunny - Neverita,522,69,7,,"37,768","5,744,427"
Feid - Ferxxo 100,709,,19,,"16,036","5,739,073"
Paulo Londra - Adan y Eva,1204,158,1,(x68),"19,189","5,697,496"
Mora - Volando - Remix,687,25,7,,"21,704","5,632,464"
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",354,87,1,(x29),"109,637","5,591,336"
Bacilos - Caraluna,1858,,56,,"9,351","5,584,635"
Ke Personajes - Pobre Corazón - En Vivo,388,43,6,,"33,059","5,582,680"
Marc Seguí - Tiroteo - Remix,868,,12,,"16,062","5,575,146"
Shakira - Te Felicito,466,70,3,(x2),"35,236","5,521,445"
LiL CaKe - MERCHO,390,71,6,,"33,083","5,486,062"
Sebastian Yatra - Tacones Rojos,669,102,4,,"17,182","5,448,760"
Carin Leon - Primera Cita,328,43,5,,"30,736","5,380,955"
Jimin - Like Crazy,414,9,3,(x1),"31,515","5,324,471"
Bad Bunny - Vete,1155,115,1,(x1),"21,839","5,264,110"
Los Enanitos Verdes - Lamento Boliviano,1640,,52,,"8,301","5,236,017"
Anuel AA - China,717,210,1,(x68),"29,137","5,203,074"
Big One - En la Intimidad,457,,11,,"23,561","5,188,012"
Los Ángeles Azules - Otra Noche,906,,52,,"9,509","5,135,560"
Ingratax - París,756,17,8,,"21,305","5,125,315"
Rels B - cómo dormiste?,642,,11,,"18,777","5,056,977"
Rei - Tu Turrito,523,9,9,,"18,604","5,009,384"
TINI - Bar,485,129,1,(x53),"34,476","4,999,120"
Lasso - Ojos Marrones,569,55,6,,"22,942","4,990,332"
