artist_title,days,t10,pk,x?,pkstreams,total
Marília Mendonça - Leão,520,160,1,(x35),"2,348,259","383,837,722"
AgroPlay - Nosso Quadro,464,209,1,(x71),"2,353,356","376,255,501"
Israel & Rodolffo - Bombonzinho - Ao Vivo,479,181,1,(x5),"1,866,829","312,552,032"
Simone Mendes - Erro Gostoso - Ao Vivo,471,129,2,(x2),"1,533,731","308,580,656"
Henrique & Juliano - Arranhão - Ao Vivo,768,149,1,(x27),"1,528,523","308,468,044"
Gustavo Mioto - Eu Gosto Assim - Ao Vivo,536,167,1,(x38),"1,741,288","306,783,955"
Hugo & Guilherme - Mal Feito - Ao Vivo,579,164,2,(x13),"1,454,328","283,882,226"
Grupo Menos É Mais - Lapada Dela - Ao Vivo,442,122,3,(x3),"1,340,066","274,822,222"
Guilherme & Benuto - Duas Três,457,78,7,,"1,161,153","260,388,590"
Israel & Rodolffo - Seu Brilho Sumiu - Ao Vivo,408,115,2,(x7),"1,551,220","260,009,973"
Guilherme & Benuto - Haja Colírio,518,183,1,(x15),"1,369,312","258,894,897"
Zé Neto & Cristiano - Oi Balde - Ao Vivo,450,131,3,(x5),"1,375,303","255,525,718"
DENNIS - Tá OK,358,111,1,(x50),"2,319,982","254,465,717"
George Henrique & Rodrigo - Vai Lá Em Casa Hoje,565,116,1,(x13),"1,719,874","246,770,578"
MC PH - Let's Go 4,242,182,1,(x93),"1,688,859","245,216,991"
Henrique & Juliano - Traumatizei - Ao Vivo Em Brasília,464,106,5,,"1,224,433","244,287,952"
Marília Mendonça - Esqueça-Me Se For Capaz,554,104,1,(x36),"1,626,865","233,702,816"
Veigh - Novo Balanço,359,101,2,(x19),"1,388,776","225,636,993"
João Gomes - Meu Pedaço de Pecado,528,124,1,(x61),"1,794,033","224,176,042"
Pineapple StormTv - Poesia Acústica #6: Era uma Vez,1582,,14,,"327,914","221,709,006"
Matheus & Kauan - Não Vitalício (Nunca Mais) - Ao Vivo,409,69,6,,"1,131,245","219,643,025"
Matuê - Vampiro,727,77,1,(x28),"1,189,308","218,076,393"
Henrique & Juliano - A Maior Saudade - Ao Vivo,608,10,9,,"1,035,874","216,982,222"
Zé Neto & Cristiano - Barulho Do Foguete - Ao Vivo,320,196,2,(x3),"1,516,573","215,988,234"
Mc Paiva ZS - Casei Com a Putaria,539,136,1,(x22),"1,020,309","215,632,212"
Harry Styles - As It Was,730,15,4,,"838,339","208,798,284"
Israel & Rodolffo - Batom de Cereja - Ao Vivo,431,130,1,(x54),"1,899,844","208,444,670"
Matheus Fernandes - Baby Me Atende,532,94,3,(x25),"1,148,456","207,277,207"
Xamã - Malvadão 3,434,109,1,(x56),"1,770,560","205,890,672"
WIU - Coração de Gelo,448,78,3,(x2),"1,274,091","204,016,929"
The Weeknd - Blinding Lights,1158,,17,,"338,986","203,811,979"
Ana Castela - Pipoco,545,100,1,(x31),"1,263,191","197,351,959"
Diego & Victor Hugo - Facas - Ao Vivo,606,108,2,(x1),"1,196,572","196,946,016"
Guilherme & Benuto - Manda um Oi - Ao Vivo,363,52,5,,"1,353,393","196,861,334"
MC Kevin o Chris - Faz um Vuk Vuk (Teto Espelhado),295,101,1,(x30),"1,858,973","194,382,949"
Jorge & Mateus - Molhando o Volante,484,50,7,,"1,048,706","194,142,988"
Melim - Meu Abrigo,1163,89,1,(x2),"407,836","193,809,661"
João Gustavo e Murilo - Lençol Dobrado,753,222,2,(x39),"631,650","193,157,612"
NATTAN - Love Gostosinho - Ao Vivo,446,,11,,"1,051,060","191,197,674"
Harry Styles - Watermelon Sugar,1158,,16,,"354,945","190,991,684"
Gusttavo Lima - Canudinho - Ao Vivo,254,139,1,(x4),"1,582,133","190,020,077"
Os Barões Da Pisadinha - Recairei - Ao Vivo,533,170,1,(x72),"1,611,265","189,050,274"
Dua Lipa - Don't Start Now,1005,72,1,(x3),"704,808","188,729,988"
Matheus & Kauan - Pactos - Ao Vivo,427,68,5,,"1,134,470","188,142,327"
Henrique & Juliano - Liberdade Provisória - Ao Vivo,688,171,1,(x49),"1,068,468","187,407,597"
Matheus Fernandes - Balanço da Rede,450,103,1,(x8),"1,101,955","187,143,436"
WIU - Felina,469,85,3,(x3),"887,146","185,986,645"
Grupo Menos É Mais - Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,1034,,24,,"583,939","181,437,098"
Gustavo Mioto - Quando Apaga A Luz - Ao Vivo,398,1,10,,"967,923","181,294,530"
Ana Castela - Solteiro Forçado - Boiadeira Internacional,235,132,2,(x2),"1,565,891","179,156,023"
Ana Castela - DONA DE MIM,498,4,9,,"903,943","178,401,487"
Jorge & Mateus - 5 Regras - Ao Vivo,463,48,6,,"920,295","178,053,259"
Guilherme & Benuto - Assunto Delicado - Ao Vivo,364,104,3,(x12),"1,134,084","176,582,761"
Ed Sheeran - Shape of You,1163,211,1,(x71),"471,688","175,765,964"
Marília Mendonça - Troca de Calçada,741,12,7,,"812,003","175,698,877"
Gusttavo Lima - Bloqueado - Ao Vivo,431,91,3,(x5),"1,317,560","175,183,876"
Jorge & Mateus - Todo Seu - Ao Vivo,463,36,7,,"815,481","172,079,122"
"Wesley Safadão - Ele É Ele, Eu Sou Eu",405,119,1,(x18),"1,265,069","171,740,131"
Luan Santana - MEIO TERMO - Ao Vivo,309,8,9,,"1,063,848","170,275,041"
Maiara & Maraisa - A Culpa É Nossa - Ao Vivo,405,9,6,,"1,042,392","170,038,520"
Henrique & Juliano - Acordo - Ao Vivo,578,,20,,"674,684","169,487,211"
MC MENOR HR - Evoque Prata,288,89,1,(x46),"1,774,750","169,036,761"
Jonas Esticado - Investe Em Mim,421,185,1,(x4),"1,052,844","169,035,197"
Gusttavo Lima - A Gente Fez Amor - Ao Vivo,453,184,1,(x56),"792,667","168,893,286"
Marília Mendonça - Supera - Ao Vivo,554,158,1,(x7),"868,215","168,557,245"
Henrique & Juliano - Volta por Baixo - Ao Vivo,593,99,2,(x1),"622,629","165,632,918"
1Kilo - Deixe Me Ir - Acústico,1053,140,1,(x4),"321,306","164,332,753"
Felipe Araújo - Atrasadinha - Ao Vivo,603,186,1,(x84),"935,478","163,884,577"
Tayrone - Cê Tá Preparada - Ao Vivo,553,,15,,"778,991","163,454,016"
Zé Neto & Cristiano - Um Mês E Pouco - Ao Vivo,324,4,9,,"1,048,046","163,332,602"
KayBlack - Melhor Só,392,48,2,(x9),"1,072,415","162,542,398"
Zé Neto & Cristiano - Notificação Preferida - Ao Vivo,724,74,2,(x10),"776,296","161,747,076"
Marília Mendonça - Bebi Liguei - Ao Vivo,667,168,2,(x8),"654,079","160,586,711"
Luíza & Maurílio - S de Saudade,566,76,6,,"581,517","159,833,698"
Jorge & Mateus - Tijolão - Ao Vivo,535,174,1,(x4),"661,709","159,832,111"
Gusttavo Lima - Mala dos Porta-Mala - Ao Vivo,302,24,4,,"1,171,079","158,668,963"
Mc Livinho - Novidade na Área,266,63,1,(x13),"1,623,812","158,462,246"
Luan Pereira - DENTRO DA HILUX,261,88,1,(x2),"1,528,886","157,439,900"
Marília Mendonça - Ciumeira - Ao Vivo,683,137,1,(x41),"729,222","157,233,507"
Zé Felipe - Roça Em Mim,389,63,4,,"1,317,426","157,161,954"
L7NNON - Ai Preto,403,109,1,(x7),"1,056,746","157,126,648"
Vulgo FK - Ballena,303,61,3,(x11),"1,286,427","155,067,180"
Jorge & Mateus - Propaganda - Ao Vivo,619,213,1,(x2),"631,566","154,857,468"
Zé Neto & Cristiano - Alô Ambev (Segue Sua Vida) - Ao Vivo,465,132,3,(x2),"991,256","154,854,236"
Luan Santana - ABALO EMOCIONAL - Ao Vivo,441,56,5,,"1,043,328","154,174,695"
Felipe Amorim - No Ouvidinho,360,109,1,(x8),"1,081,799","154,169,424"
Marília Mendonça - Graveto - Ao Vivo,516,181,3,(x9),"674,900","153,150,175"
Manu - Daqui pra Sempre,229,100,2,(x2),"1,496,329","152,378,721"
Mari Fernandez - Comunicação Falhou - Ao Vivo,424,4,8,,"768,647","151,661,033"
Jorge & Mateus - Cheirosa - Ao Vivo,530,112,3,(x4),"836,424","151,123,057"
Matheus & Kauan - Gatilho - Ao Vivo,469,,12,,"653,635","150,472,898"
Felipe Amorim - Toca o Trompete,257,78,2,(x17),"1,555,266","150,167,377"
Marília Mendonça - Presepada,398,69,3,(x10),"1,298,638","148,687,967"
Zé Neto & Cristiano - Pátio do Posto - Ao Vivo,416,,15,,"864,579","148,552,620"
Zé Neto & Cristiano - Ela e Ela,414,61,2,(x1),"1,115,294","148,411,869"
Mari Fernandez - Parada Louca,419,50,5,,"1,387,784","147,727,979"
Diego & Victor Hugo - Beijo de Glicose - Ao Vivo,406,66,5,,"948,280","146,899,380"
Melim - Ouvi Dizer,924,3,10,,"405,746","146,764,126"
Lauana Prado - Cobaia,741,38,6,,"484,475","146,076,656"
MC Cabelinho - X1,558,,21,,"411,421","146,065,440"
