artist_title,days,t10,pk,x?,pkstreams,total
The Weeknd - Blinding Lights,1570,374,1,(x15),"8,286","3,493,518"
Molec - 7 Dni,758,362,1,(x27),"9,086","3,136,508"
Djordan - К'ъв съм як,287,282,1,(x123),"19,090","3,065,858"
Emilia - Alcohol,603,270,1,(x3),"10,181","2,794,384"
The Neighbourhood - Sweater Weather,1276,1,10,,"3,422","2,670,178"
The Weeknd - Starboy,1000,173,1,(x100),"4,325","2,551,296"
V:RGO - AZ I TI,461,176,1,(x40),"21,040","2,167,715"
Tsvetelina Yaneva - Филм за нас,866,84,2,(x13),"6,542","2,163,292"
Metro Boomin - Creepin',499,159,1,(x39),"20,372","2,098,277"
V:RGO - PARALIA,554,186,1,(x38),"8,025","2,094,882"
Galena - А+Г=ВНЛ,740,162,1,(x85),"16,909","2,032,828"
Tsvetelina Yaneva - Драскай клечката,358,147,1,(x44),"20,295","1,982,510"
Medi - Рана,1051,5,7,,"4,108","1,952,570"
Glass Animals - Heat Waves,839,251,1,(x1),"4,724","1,949,233"
Travis Scott - HIGHEST IN THE ROOM,1007,94,1,(x30),"10,875","1,941,520"
Pop Smoke - Dior,1083,,11,,"2,642","1,878,085"
Galin - ТАКА ТАКА,141,129,1,(x62),"31,178","1,858,695"
Harry Styles - As It Was,605,143,1,(x25),"10,493","1,847,631"
David Guetta - I'm Good (Blue),624,131,1,(x1),"16,002","1,845,818"
Djordan - Малката беля,417,110,2,(x2),"6,870","1,840,389"
Torino - Gucci Forema,423,128,1,(x43),"18,725","1,834,931"
Arctic Monkeys - I Wanna Be Yours,852,2,8,,"4,349","1,826,124"
Medi - Пистолет,658,38,3,(x2),"6,100","1,816,791"
Krisko - Грешна си,984,31,2,(x15),"5,940","1,788,967"
Lil Nas X - MONTERO (Call Me By Your Name),516,182,1,(x55),"16,334","1,777,681"
The Weeknd - Popular,345,112,2,(x6),"9,366","1,774,543"
"Medi - Обичам те, ти мене - не",286,148,2,(x16),"9,475","1,763,490"
"Medi - Живей, мило мое",379,64,1,(x20),"12,760","1,762,571"
Preslava - Piyan,1314,37,2,(x1),"3,173","1,762,213"
Arctic Monkeys - Do I Wanna Know?,1117,9,3,(x1),"5,210","1,734,505"
Arctic Monkeys - Why'd You Only Call Me When You're High?,1064,7,5,,"4,369","1,720,644"
Miley Cyrus - Flowers,432,111,1,(x14),"20,030","1,694,103"
Medi - Джентълмен,443,48,4,,"6,269","1,653,731"
Metro Boomin - Too Many Nights,527,10,4,,"6,554","1,650,507"
Sam Smith - Unholy,357,155,1,(x61),"16,781","1,638,472"
Lil Nas X - INDUSTRY BABY,499,251,1,(x77),"8,579","1,616,475"
MBT - Skupa,776,,24,,"4,427","1,611,694"
Travis Scott - goosebumps,997,13,7,,"3,057","1,605,221"
Emanuela - Ustnite ti mrasni,562,8,9,,"4,765","1,593,342"
Gesaffelstein - Lost in the Fire,880,6,2,(x1),"3,669","1,581,859"
Galena - Euphoria,556,92,1,(x20),"10,539","1,575,432"
Sabi - Не си ме давай,457,114,1,(x1),"8,530","1,575,293"
Galena - Ти не си за мен,740,61,1,(x5),"8,470","1,520,171"
Medi - Maria,706,25,4,,"4,153","1,452,213"
"Medi - Не, мерси - Single",790,31,1,(x4),"4,966","1,449,858"
Galena - Welcome to Bulgaria,521,64,1,(x22),"9,273","1,442,440"
The Weeknd - Die For You,663,,11,,"3,666","1,441,960"
The Weeknd - The Hills,927,31,3,(x2),"2,370","1,426,584"
Harry Styles - Watermelon Sugar,857,109,3,(x2),"3,425","1,423,755"
SAINt JHN - Roses - Imanbek Remix,639,259,2,(x14),"4,332","1,423,547"
Måneskin - Beggin',521,132,1,(x35),"9,497","1,423,231"
Djordan - Krasiv geroy,506,55,6,,"4,558","1,416,527"
"Emilia - Ела, Хабиби",307,95,1,(x9),"9,745","1,413,423"
Elley Duhé - MIDDLE OF THE NIGHT,555,171,1,(x3),"4,579","1,411,050"
The Weeknd - Heartless,666,44,1,(x13),"15,392","1,409,538"
Masked Wolf - Astronaut In The Ocean,484,161,1,(x43),"8,018","1,404,569"
Tate McRae - greedy,240,88,2,(x3),"9,097","1,402,087"
The Kid LAROI - Stay,526,167,1,(x4),"10,381","1,400,314"
Preslava - Sladkoto zlo,557,79,1,(x12),"7,561","1,396,203"
