artist_title,days,t10,pk,x?,pkstreams,total
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,2000,237,1,(x2),"254,842","145,233,534"
The Weeknd - Blinding Lights,1601,263,1,(x13),"350,585","133,392,953"
Lewis Capaldi - Someone You Loved,1921,100,2,(x4),"169,175","129,944,369"
Glass Animals - Heat Waves,1220,376,1,(x55),"208,373","122,381,070"
J. Cole - No Role Modelz,2510,,20,,"115,353","100,757,254"
Post Malone - Circles,1431,164,1,(x35),"379,341","99,958,898"
Tones And I - Dance Monkey,1155,207,1,(x28),"269,396","97,228,484"
Juice WRLD - Lucid Dreams,1598,88,1,(x2),"253,417","95,934,592"
The Kid LAROI - Stay,848,283,1,(x86),"407,649","95,725,680"
Post Malone - rockstar,1196,202,1,(x118),"392,100","95,178,327"
Drake - One Dance,1604,188,1,(x103),"295,143","93,566,761"
Harry Styles - As It Was,766,232,1,(x73),"565,106","93,228,607"
Morgan Wallen - Last Night,467,310,1,(x120),"378,230","91,043,898"
Journey - Don't Stop Believin',2359,,40,,"63,312","81,825,905"
Ed Sheeran - Shape of You,1254,165,1,(x76),"329,025","81,422,321"
Harry Styles - Watermelon Sugar,1255,103,3,(x4),"188,014","80,897,066"
James Arthur - Say You Won't Let Go,2025,46,6,,"107,564","78,978,932"
Travis Scott - SICKO MODE,1039,186,1,(x4),"411,521","77,691,924"
The Weeknd - Starboy,1313,142,1,(x85),"264,144","77,539,780"
The Neighbourhood - Sweater Weather,1320,,17,,"90,336","76,818,011"
Lady Gaga - Shallow,1446,27,3,(x2),"207,807","76,638,100"
Dua Lipa - Levitating,971,203,3,(x10),"214,062","75,939,748"
Travis Scott - goosebumps,1937,,11,,"128,322","74,818,543"
SAINt JHN - Roses - Imanbek Remix,905,162,1,(x2),"234,826","73,028,356"
Miley Cyrus - Flowers,484,187,1,(x43),"710,366","71,604,648"
Zach Bryan - Something in the Orange,736,20,8,,"144,701","71,132,474"
Elton John - Cold Heart - PNAU Remix,846,192,1,(x11),"206,749","70,912,357"
24kGoldn - Mood,733,189,1,(x48),"329,794","70,337,646"
Drake - God's Plan,709,138,1,(x70),"608,715","70,098,307"
Billie Eilish - bad guy,855,109,1,(x9),"345,944","69,065,548"
Kendrick Lamar - HUMBLE.,1117,122,1,(x25),"338,213","68,569,154"
David Guetta - I'm Good (Blue),623,190,1,(x21),"238,303","68,485,342"
Vance Joy - Riptide,2197,43,3,(x1),"96,079","67,446,950"
Mariah Carey - All I Want for Christmas Is You,498,233,1,(x49),"1,012,018","67,393,363"
DaBaby - ROCKSTAR,644,190,1,(x72),"329,921","67,327,082"
Fleetwood Mac - Dreams - 2004 Remaster,1289,16,4,,"171,403","66,677,283"
Roddy Ricch - The Box,636,163,1,(x70),"480,071","66,565,975"
SZA - Kill Bill,511,176,1,(x24),"360,473","66,477,532"
Ed Sheeran - Perfect,1654,35,5,,"134,956","65,600,213"
Olivia Rodrigo - good 4 u,572,134,1,(x55),"597,455","65,499,219"
Imagine Dragons - Believer,1570,3,9,,"114,731","65,353,132"
OneRepublic - I Ain't Worried,700,125,2,(x3),"167,838","64,498,847"
Shawn Mendes - Señorita,761,127,1,(x68),"392,247","64,164,486"
Billie Eilish - lovely,1502,,25,,"94,963","64,107,015"
Drake - Jimmy Cooks,680,120,1,(x15),"693,448","63,658,176"
The Weeknd - Die For You,1076,11,7,,"124,333","63,333,374"
Dua Lipa - Don't Start Now,957,102,4,,"189,818","63,034,351"
Post Malone - Better Now,797,103,1,(x28),"357,069","62,723,240"
Lil Nas X - INDUSTRY BABY,547,252,1,(x3),"342,166","62,482,537"
Lil Uzi Vert - XO TOUR Llif3,1097,148,3,(x1),"155,332","62,429,000"
Lil Baby - Drip Too Hard (Lil Baby & Gunna),1185,57,4,,"174,124","62,424,690"
Ed Sheeran - Bad Habits,672,145,2,(x14),"254,044","62,141,304"
Rema - Calm Down,603,192,3,(x6),"196,609","61,856,402"
XXXTENTACION - SAD!,1032,62,1,(x7),"492,313","61,752,793"
Ed Sheeran - Shivers,739,164,2,(x2),"226,788","61,041,531"
Offset - Ric Flair Drip,1231,34,5,,"116,061","60,784,443"
Taylor Swift - Cruel Summer,492,180,3,(x9),"224,825","59,882,596"
French Montana - Unforgettable,887,168,1,(x16),"197,326","59,814,410"
Morgan Wallen - Whiskey Glasses,1390,,32,,"86,064","59,593,146"
Taylor Swift - Anti-Hero,547,92,1,(x14),"840,661","58,703,068"
Morgan Wallen - Wasted On You,875,4,4,,"134,894","57,695,864"
Bebe Rexha - Meant to Be,1108,,15,,"98,742","56,948,071"
The Killers - Mr. Brightside,1415,,25,,"91,092","56,810,256"
Brenda Lee - Rockin' Around The Christmas Tree,399,157,1,(x49),"1,197,041","56,696,316"
Morgan Wallen - You Proof,727,,12,,"174,241","56,498,451"
Olivia Rodrigo - drivers license,649,121,1,(x34),"695,493","55,849,620"
Eminem - Lose Yourself,2006,1,8,,"110,583","55,023,439"
Eminem - Godzilla,1000,59,2,(x12),"399,343","54,561,545"
Post Malone - Wow.,641,132,1,(x25),"270,241","54,373,104"
Lewis Capaldi - Before You Go,949,,14,,"100,738","53,967,306"
Metro Boomin - Creepin',466,170,1,(x8),"404,364","53,585,660"
Justin Bieber - Ghost,840,40,4,,"138,922","53,343,444"
The Chainsmokers - Closer,903,178,1,(x35),"259,764","53,151,287"
Marshmello - Happier,746,96,2,(x7),"186,596","53,085,776"
Noah Kahan - Stick Season,405,150,1,(x8),"301,213","53,062,168"
benny blanco - Eastside,733,69,4,,"164,786","52,986,205"
Luke Combs - Fast Car,414,175,2,(x8),"196,372","52,873,811"
Lil Nas X - MONTERO (Call Me By Your Name),502,146,1,(x17),"362,527","52,345,071"
Doja Cat - Kiss Me More,542,141,1,(x6),"248,929","52,027,864"
