artist_title,days,t10,pk,x?,pkstreams,total
Bad Bunny - Me Porto Bonito,707,216,1,(x9),"729,513","114,020,714"
Manuel Turizo - La Bachata,687,207,1,(x11),"404,774","112,451,083"
Bad Bunny - Yonaguni,738,256,1,(x53),"857,956","109,066,130"
Bad Bunny - DÁKITI,826,182,1,(x52),"1,181,291","108,807,800"
Danny Ocean - Me Rehúso,2253,277,1,(x45),"197,328","108,199,310"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",608,173,1,(x54),"730,512","103,786,855"
Cris Mj - Una Noche en Medellín,743,123,1,(x30),"517,283","103,718,777"
Jhayco - No Me Conoce - Remix,1277,184,2,(x21),"348,522","103,231,711"
Bad Bunny - Callaita,1273,153,1,(x44),"553,351","102,094,737"
J Balvin - LA CANCIÓN,1478,119,4,,"300,955","99,911,200"
Bad Bunny - Efecto,657,180,2,(x2),"490,575","98,548,633"
Ak4:20 - Me Arrepentí,744,124,1,(x35),"1,268,499","97,787,671"
Bad Bunny - Ojitos Lindos,671,127,1,(x25),"546,257","95,628,847"
Jay Wheeler - La Curiosidad,1160,151,1,(x56),"285,905","93,440,878"
KAROL G - Tusa,861,144,1,(x92),"652,983","86,947,586"
Ozuna - Hey Mor,546,164,1,(x48),"462,575","83,465,172"
Bad Bunny - La Santa,1212,60,3,(x7),"541,048","82,870,223"
Anuel AA - Amanece,1082,130,2,(x23),"327,269","82,160,826"
KAROL G - PROVENZA,748,45,5,,"329,290","81,182,021"
Rauw Alejandro - Desesperados,691,125,1,(x3),"347,721","81,034,473"
Bad Bunny - Moscow Mule,517,150,1,(x6),"968,585","80,487,012"
Anuel AA - China,723,168,1,(x67),"639,936","79,674,671"
Standly - Pégate,777,102,1,(x31),"389,116","78,553,681"
Polimá Westcoast - ULTRA SOLO,427,125,1,(x14),"605,189","78,115,178"
Feid - Feliz Cumpleaños Ferxxo,631,105,4,,"275,585","75,978,470"
Maluma - Hawái,601,135,1,(x70),"522,176","73,415,923"
Jere Klein - X ESO BB,275,172,1,(x48),"533,703","72,742,968"
Santaferia - El Gil de Tu Ex,1899,,21,,"113,935","72,302,314"
Big One - Un Finde | CROSSOVER #2,402,172,1,(x1),"311,345","71,938,406"
Bad Bunny - Vete,1012,136,1,(x1),"392,487","71,928,590"
KAROL G - TQG,443,94,1,(x48),"665,676","71,726,737"
Jere Klein - ANDO,228,151,1,(x66),"756,956","70,949,339"
Dalex - Hola - Remix,805,110,2,(x21),"317,962","69,821,260"
Stars Music Chile - Marisola,318,153,1,(x27),"586,524","69,275,781"
Bad Bunny - A Tu Merced,1058,7,9,,"278,263","68,690,467"
Rauw Alejandro - Todo De Ti,647,87,1,(x9),"610,376","67,552,565"
Bad Bunny - LA NOCHE DE ANOCHE,588,165,2,(x13),"935,090","67,409,914"
El Jordan 23 - Bailando,591,77,3,(x10),"340,642","67,192,968"
Becky G - MAMIII,776,51,2,(x13),"335,819","66,822,491"
Mora - LA INOCENTE,767,,26,,"158,557","66,496,807"
Jhayco - CÓMO SE SIENTE - Remix,910,115,1,(x31),"404,998","66,300,213"
Bad Bunny - Tití Me Preguntó,459,88,6,,"560,918","65,993,330"
Myke Towers - LALA,370,132,1,(x40),"525,557","65,942,954"
Feid - Classy 101,408,142,1,(x3),"426,616","65,225,556"
Polimá Westcoast - ULTRA SOLO REMIX,390,66,1,(x22),"1,833,104","64,768,722"
Myke Towers - Bandido,455,174,1,(x54),"412,913","64,762,250"
Tainy - Lo Siento BB:/,504,144,1,(x37),"417,537","63,650,488"
Ozuna - Una Locura,548,136,2,(x36),"337,417","62,939,784"
The Weeknd - Blinding Lights,1118,,13,,"107,499","62,681,383"
KAROL G - BICHOTA,654,132,2,(x38),"429,253","62,638,728"
Yandel - Yandel 150,414,117,1,(x25),"427,993","62,493,281"
Bad Bunny - Safaera,775,128,1,(x65),"646,909","62,159,851"
Nickoog Clk - XQ TAN SOLA?,402,77,1,(x8),"420,829","61,994,493"
Aventura - Volví,507,154,1,(x38),"472,212","61,955,924"
FloyyMenor - Gata Only,98,98,1,(x77),"784,655","61,574,012"
Zion & Lennox - Otra vez,1084,248,1,(x102),"132,271","61,141,210"
Pedro Capó - Calma - Remix,767,118,1,(x29),"351,256","61,117,579"
TINI - Miénteme,913,34,9,,"205,908","60,976,645"
Lunay - Soltera - Remix,641,104,2,(x25),"456,357","60,908,808"
Pailita - Dime Tú,461,82,2,(x3),"392,912","60,814,264"
Zion & Lennox - La Player (Bandolera),787,193,1,(x8),"231,098","60,216,918"
Feid - Normal,661,,16,,"182,846","60,161,182"
Bad Bunny - Si Estuviésemos Juntos,1441,1,7,,"176,788","60,125,027"
Tainy - Adicto,631,147,1,(x17),"370,378","60,118,847"
Paulo Londra - Adan y Eva,637,134,1,(x32),"316,912","60,007,974"
Bad Bunny - La Difícil,843,96,1,(x8),"593,485","59,696,187"
Cris Mj - Los Malvekes,472,127,1,(x58),"351,761","58,615,435"
Los Legendarios - Fiel,408,127,1,(x72),"430,879","58,488,302"
Mora - Volando - Remix,546,126,2,(x8),"394,026","58,188,518"
KAROL G - QLONA,275,143,2,(x21),"371,989","58,018,088"
Jere Klein - PRINCESITA DE ...,163,127,1,(x60),"592,752","57,841,427"
Ed Sheeran - Shape of You,1016,179,2,(x11),"182,667","57,058,834"
Nio Garcia - Te Boté - Remix,643,182,1,(x81),"319,414","56,809,923"
Sech - Otro Trago,450,114,1,(x36),"541,405","56,513,901"
Lucky Brown - ¿Cuál Es Su Nombre?,240,140,2,(x29),"425,961","56,435,598"
Dalex - Pa Mí - Remix,616,129,2,(x2),"292,610","56,410,668"
Ozuna - Vaina Loca,588,147,1,(x51),"285,350","56,201,926"
Harry Styles - As It Was,738,6,8,,"252,418","56,191,100"
Rauw Alejandro - Fantasias,568,149,1,(x32),"319,633","56,011,729"
Dua Lipa - Don't Start Now,1197,,20,,"109,199","55,937,040"
Julianno Sosa - GANAS,619,47,5,,"286,876","55,736,884"
Bad Bunny - Ignorantes,764,91,1,(x8),"548,304","55,713,289"
Cris Mj - Daytona,185,148,2,(x52),"451,903","55,145,360"
Arcángel - Sigues Con El,524,114,2,(x49),"373,322","53,761,319"
KAROL G - X SI VOLVEMOS,463,63,2,(x12),"568,874","53,731,387"
Jere Klein - Mandame Tu Ubi,526,57,6,,"270,354","53,646,341"
Piso 21 - Déjala Que Vuelva,811,168,1,(x3),"200,145","53,277,253"
Bad Bunny - TE MUDASTE,637,81,2,(x1),"993,303","53,174,235"
Young Cister - LA TERAPIA,485,50,1,(x1),"705,894","53,153,686"
Bad Bunny - MIA,507,141,1,(x30),"391,694","53,071,776"
