artist_title,days,t10,pk,x?,pkstreams,total
Feid - Feliz Cumpleaños Ferxxo,632,336,1,(x51),"368,859","98,853,487"
Ozuna - Hey Mor,583,321,1,(x75),"296,495","90,726,321"
Feid - Normal,674,263,1,(x6),"573,588","89,879,186"
Bad Bunny - Me Porto Bonito,737,249,1,(x49),"467,419","87,975,102"
Manuel Turizo - La Bachata,710,211,2,(x21),"224,625","84,612,279"
Ryan Castro - Monastery,912,190,1,(x107),"192,985","83,284,068"
J Balvin - LA CANCIÓN,1778,207,2,(x10),"96,044","82,236,191"
Yandel - Yandel 150,508,200,1,(x56),"430,442","81,351,472"
Mora - LA INOCENTE,772,121,8,,"156,162","79,739,342"
Feid - Ferxxo 100,709,191,3,(x2),"270,304","77,354,913"
Feid - CHORRITO PA LAS ANIMAS,527,232,1,(x1),"292,367","75,583,847"
Bad Bunny - Ojitos Lindos,735,148,1,(x13),"458,928","73,653,473"
KAROL G - PROVENZA,751,122,1,(x14),"266,696","73,507,146"
Feid - Classy 101,408,316,1,(x18),"383,121","71,537,954"
Bad Bunny - Efecto,723,216,3,(x27),"315,082","70,340,069"
Ryan Castro - Jordan,1097,262,2,(x2),"153,137","69,701,567"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",638,182,1,(x52),"397,306","66,327,661"
Danny Ocean - Me Rehúso,2688,303,1,(x27),"71,027","64,959,164"
KAROL G - AMARGURA,443,329,2,(x5),"239,752","62,970,130"
Jay Wheeler - La Curiosidad,1423,185,2,(x22),"112,764","62,092,371"
Bad Bunny - Yonaguni,863,286,1,(x93),"294,285","60,923,966"
Plan B - Es un Secreto,1198,,18,,"113,750","59,418,045"
KAROL G - TQG,443,98,1,(x26),"826,779","57,467,497"
Blessd - Medallo,883,191,1,(x6),"161,791","56,824,204"
Feid - LUNA,163,163,1,(x154),"451,117","56,078,978"
Bad Bunny - PERRO NEGRO,212,212,1,(x56),"713,227","54,792,131"
Feid - Prohibidox,606,90,2,(x14),"309,885","53,847,770"
Tego Calderón - Pa' Que Retozen,1220,,15,,"116,367","53,798,758"
Bad Bunny - DÁKITI,926,224,1,(x85),"337,877","53,225,327"
Ryan Castro - Wasa Wasa,946,209,3,(x75),"128,047","52,831,265"
KAROL G - QLONA,275,253,1,(x48),"283,146","52,008,752"
Feid - SI TÚ SUPIERAS - Bonus Track,980,157,1,(x31),"243,900","51,618,987"
Myke Towers - LALA,322,168,1,(x47),"381,457","48,609,298"
Bad Bunny - Tití Me Preguntó,492,133,2,(x1),"388,927","47,807,377"
Maluma - Hawái,959,222,1,(x82),"244,258","47,185,582"
Bad Bunny - Moscow Mule,551,110,1,(x1),"559,191","46,979,567"
Grupo Frontera - un x100to,391,114,1,(x10),"403,524","46,084,253"
Grupo Niche - Algo Que Se Quede,977,,25,,"83,529","45,825,143"
Eslabon Armado - Ella Baila Sola,404,96,1,(x36),"436,890","45,531,324"
Arcángel - La Jumpa,461,104,2,(x1),"241,888","45,523,185"
Don Omar - Dile,1274,,20,,"96,598","44,334,038"
Rauw Alejandro - Desesperados,739,93,3,(x11),"129,888","43,989,768"
KAROL G - X SI VOLVEMOS,464,48,2,(x1),"443,059","43,131,309"
KAROL G - MIENTRAS ME CURO DEL CORA,443,56,3,(x1),"368,191","42,854,995"
Ryan Castro - Malory,961,1,10,,"75,496","42,707,347"
Tainy - Lo Siento BB:/,731,169,1,(x22),"142,214","42,703,977"
Maluma - Mojando Asientos,613,26,5,,"132,173","42,647,569"
Bad Bunny - Callaita,1347,164,1,(x26),"216,915","41,654,849"
J Balvin - UN PESO,1631,1,10,,"60,915","41,538,185"
Yng Lvcas - La Bebe - Remix,410,117,4,,"279,539","40,863,539"
Bacilos - Caraluna,2610,,55,,"60,043","40,777,506"
Piso 21 - Déjala Que Vuelva,1446,234,1,(x102),"82,125","40,764,606"
Becky G - MAMIII,725,84,1,(x16),"177,717","40,256,498"
Morat - No Se Va,1004,,24,,"73,642","40,018,669"
Maluma - Según Quién,262,217,3,(x32),"220,020","39,780,746"
Morat - Besos En Guerra,2139,,26,,"50,611","39,534,906"
Rauw Alejandro - Todo De Ti,670,155,1,(x9),"257,395","38,811,098"
Jhayco - No Me Conoce - Remix,1296,174,3,(x7),"81,328","38,774,328"
Morat - Cuando Nadie Ve,1898,,21,,"52,555","38,644,155"
Harry Styles - As It Was,731,4,9,,"120,981","38,137,011"
Manuel Medrano - Bajo El Agua,2769,33,3,(x3),"49,468","38,005,714"
Zion & Lennox - Otra vez,1936,261,1,(x162),"67,521","37,590,048"
Tony Dize - Solos,702,,27,,"93,561","37,506,864"
Dimension Latina - Llorarás,1269,,22,,"114,109","37,323,000"
