artist_title,days,t10,pk,x?,pkstreams,total
J Balvin - LA CANCIÓN,1779,224,2,(x15),"32,379","22,058,444"
Danny Ocean - Me Rehúso,2690,332,1,(x37),"27,399","21,679,116"
Manuel Turizo - La Bachata,713,296,1,(x125),"64,789","21,316,176"
Bad Bunny - Me Porto Bonito,737,258,1,(x3),"129,462","19,239,086"
Bad Bunny - Ojitos Lindos,737,253,1,(x22),"126,040","18,494,885"
Jay Wheeler - La Curiosidad,1421,184,1,(x5),"36,188","16,994,986"
Bad Bunny - Yonaguni,873,313,1,(x144),"90,197","16,599,577"
Bad Bunny - DÁKITI,1060,304,1,(x66),"110,798","16,300,052"
Bad Bunny - Tití Me Preguntó,622,249,1,(x44),"126,853","15,770,808"
Feid - Feliz Cumpleaños Ferxxo,632,242,3,(x12),"59,775","15,684,081"
Christian Nodal - De Los Besos Que Te Di,1853,3,8,,"26,519","15,600,243"
Bad Bunny - Callaita,1552,178,1,(x5),"65,584","15,573,151"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",659,208,1,(x52),"92,254","15,406,772"
Bad Bunny - Efecto,730,238,2,(x1),"91,315","15,184,120"
Ozuna - Hey Mor,583,248,2,(x17),"63,703","14,472,403"
Ed Sheeran - Shape of You,1718,244,1,(x51),"40,331","14,167,900"
Feid - Normal,674,111,4,,"52,415","14,051,819"
Mora - LA INOCENTE,772,33,7,,"40,446","13,592,029"
Piso 21 - Pa' Olvidarme De Ella,1441,67,8,,"22,434","13,571,966"
KAROL G - Tusa,1037,189,1,(x98),"90,540","13,511,676"
Maluma - Hawái,1065,202,1,(x71),"77,062","13,011,790"
Grupo Frontera - un x100to,391,211,1,(x69),"126,193","12,974,846"
KAROL G - PROVENZA,751,137,1,(x4),"49,439","12,974,022"
Jhayco - No Me Conoce - Remix,1298,171,3,(x3),"29,176","12,914,404"
Yandel - Yandel 150,506,176,1,(x47),"78,018","12,599,205"
Christian Nodal - No Te Contaron Mal,1892,,11,,"20,216","12,393,621"
Bad Bunny - Moscow Mule,683,198,1,(x1),"160,159","12,332,874"
Christian Nodal - Ya No Somos Ni Seremos,813,71,1,(x7),"57,707","12,025,318"
Rauw Alejandro - Todo De Ti,850,229,1,(x9),"75,392","11,838,749"
Feid - Classy 101,408,206,2,(x9),"68,036","11,835,716"
Gera MX - Botella Tras Botella,1041,105,1,(x18),"77,335","11,831,967"
Christian Nodal - Aquí Abajo,1321,3,8,,"24,867","11,787,707"
Mora - Volando - Remix,904,245,2,(x1),"40,762","11,218,501"
Dalex - Pa Mí - Remix,1169,172,1,(x52),"41,203","11,084,705"
Bad Bunny - Si Estuviésemos Juntos,1743,,12,,"16,161","10,904,466"
The Weeknd - Blinding Lights,1370,82,5,,"21,520","10,873,947"
KAROL G - TQG,443,104,1,(x23),"98,126","10,763,154"
Bad Bunny - Vete,1235,122,1,(x1),"49,344","10,689,499"
Piso 21 - Déjala Que Vuelva,1210,188,1,(x40),"27,288","10,665,105"
Tainy - Lo Siento BB:/,778,207,1,(x7),"35,125","10,644,117"
