artist_title,days,t10,pk,x?,pkstreams,total
Viktor Sheen - Až na měsíc,1818,406,1,(x36),"46,367","26,886,498"
Calin - Safír,464,431,1,(x197),"179,481","25,401,491"
Calin - Hannah Montana,791,460,1,(x175),"92,127","24,279,334"
Viktor Sheen - Stíny,904,411,1,(x89),"98,062","22,582,072"
Calin - Praha/Vídeň,966,410,1,(x25),"51,593","21,403,399"
STEIN27 - Habibi,541,448,1,(x38),"71,024","20,295,446"
The Weeknd - Blinding Lights,1605,399,1,(x121),"28,275","19,658,646"
Tom Odell - Another Love,1220,156,3,(x3),"30,345","19,589,360"
ŠKWOR - Síla Starejch Vín,1986,24,6,,"29,227","19,123,372"
Glass Animals - Heat Waves,1185,305,1,(x36),"42,447","18,038,788"
Lewis Capaldi - Someone You Loved,1943,247,5,,"14,848","17,371,020"
Viktor Sheen - Rozdělený světy,1300,151,1,(x1),"65,441","17,237,618"
Wohnout - Svaz českých bohémů,2197,3,7,,"19,153","17,114,373"
Imagine Dragons - Believer,2592,143,2,(x3),"23,860","17,089,284"
David Guetta - I'm Good (Blue),624,251,1,(x48),"50,731","15,669,341"
Kabát - Malá dáma,1762,,18,,"20,634","15,474,504"
Calin - Růže,1606,121,1,(x13),"41,758","14,619,842"
OneRepublic - I Ain't Worried,713,174,2,(x8),"34,081","14,400,848"
DIVOKEJ BILL - Plakala,2050,,25,,"17,454","14,365,506"
Calin - Dívej,463,190,1,(x1),"155,166","14,351,549"
The Neighbourhood - Sweater Weather,1315,,14,,"19,067","14,233,965"
Yzomandias - Rolls,1173,144,1,(x29),"55,479","13,682,071"
Harry Styles - As It Was,767,155,2,(x40),"59,710","13,369,325"
Lost Frequencies - Where Are You Now,955,86,6,,"23,900","12,896,566"
Viktor Sheen - Virtuální drogy,903,54,2,(x1),"81,551","12,671,693"
The Kid LAROI - Stay,768,199,1,(x41),"49,695","12,066,450"
Calin - Santé,585,110,1,(x6),"53,523","11,923,081"
Vance Joy - Riptide,1793,,11,,"24,058","11,792,503"
Imagine Dragons - Bones,789,48,4,,"38,704","11,751,328"
Imagine Dragons - Demons,2292,,14,,"21,677","11,579,825"
Miley Cyrus - Flowers,484,112,1,(x19),"108,782","11,547,044"
OneRepublic - Counting Stars,1726,,30,,"15,304","11,340,940"
Viktor Sheen - Blessed,898,4,9,,"66,187","11,207,403"
Linkin Park - In the End,2229,3,1,(x1),"16,468","10,781,976"
Viktor Sheen - Ibalgin,971,4,10,,"33,631","10,766,816"
David Kushner - Daylight,391,180,2,(x14),"66,066","10,712,796"
