artist_title,days,t10,pk,x?,pkstreams,total
Tobias Rahim - STOR MAND,1002,437,1,(x107),"320,337","51,605,602"
The Weeknd - Blinding Lights,1565,257,1,(x26),"116,186","40,773,988"
Lewis Capaldi - Someone You Loved,1937,6,9,,"48,930","37,818,786"
Suspekt - Gonzo,1783,129,3,(x4),"83,198","35,208,597"
Ed Sheeran - Shape of You,1044,149,1,(x77),"203,830","32,507,208"
Lukas Graham - 7 Years,1411,164,1,(x39),"109,595","31,534,880"
Wham! - Last Christmas,579,282,1,(x88),"358,641","31,204,836"
KESI - Blå Himmel,1312,129,1,(x21),"130,260","31,175,672"
Benny Jamz - Ibiza,1004,188,1,(x30),"169,882","30,635,572"
"Artigeardit - Er Her (Artigeardit, KESI)",1074,93,1,(x18),"119,822","30,229,007"
Justin Bieber - Love Yourself,1081,160,1,(x58),"165,252","29,384,702"
ICEKIID - ErruDumEllaHvad,1195,142,1,(x27),"121,413","29,061,547"
Dean Lewis - Be Alright,1827,70,5,,"65,168","28,971,953"
Mariah Carey - All I Want for Christmas Is You,528,265,1,(x29),"319,144","28,916,614"
James Arthur - Say You Won't Let Go,1964,106,2,(x2),"88,801","28,536,487"
Tobias Rahim - Mucki Bar,756,231,1,(x82),"145,797","28,464,344"
D1MA - DRØM MIG VÆK,770,171,2,(x27),"95,172","26,739,462"
Tones And I - Dance Monkey,887,181,1,(x41),"123,776","25,858,621"
The Kid LAROI - Stay,808,159,1,(x62),"157,758","25,659,311"
Gilli - Vai Amor,783,115,1,(x53),"231,603","25,089,820"
Lord Siva - Solhverv,895,171,1,(x10),"173,606","24,868,149"
Tobias Rahim - Flyvende Faduma,644,203,1,(x40),"184,362","24,704,599"
The Minds Of 99 - Under Din Sne,911,145,2,(x7),"103,059","24,470,819"
Drake - One Dance,750,123,2,(x61),"195,883","24,188,152"
Ed Sheeran - Thinking out Loud,1442,117,1,(x10),"94,417","23,919,144"
Lady Gaga - Shallow,1468,113,1,(x23),"87,318","23,867,905"
andreas odbjerg - føler mig selv 100,1331,,11,,"65,354","23,467,347"
Luis Fonsi - Despacito - Remix,511,136,1,(x91),"257,146","23,460,565"
Ariana Grande - Santa Tell Me,532,205,3,(x37),"292,581","23,385,553"
Gilli - Kender Ik' I Morgen,843,124,1,(x7),"141,738","23,315,367"
Blak - Nede Mette,574,112,1,(x63),"298,121","23,214,453"
Post Malone - rockstar,765,139,1,(x75),"185,500","23,036,165"
The Minds Of 99 - Hurtige Hænder - Acoustic Version - Moyo Live P3,1874,,20,,"29,477","22,893,145"
Justin Bieber - Sorry,642,122,1,(x16),"217,227","22,539,420"
Ed Sheeran - Bad Habits,696,156,2,(x55),"131,698","22,512,694"
Phlake - Angel Zoo,1218,51,1,(x5),"103,687","22,453,964"
andreas odbjerg - hjem fra fabrikken,750,176,1,(x13),"125,369","21,714,863"
Justin Bieber - Mistletoe,517,153,4,,"270,416","21,582,201"
Tobias Rahim - Feberdrømmer Xx Dubai,517,158,1,(x64),"177,390","21,539,778"
Rocazino - All My Love,1756,,14,,"84,226","21,448,964"
Rasmus Seebach - Lille Store Verden,538,102,3,(x2),"225,972","21,354,256"
Lukas Graham - Love Someone,988,100,1,(x47),"137,076","21,219,678"
Ed Sheeran - Perfect,1344,45,3,(x1),"63,139","21,185,063"
Gobs - Tak For Sidst,338,215,1,(x88),"168,867","20,800,506"
KIDD - Buongiorno,767,168,1,(x4),"94,197","20,743,336"
Burhan G - Tinka,393,206,1,(x20),"285,230","20,675,989"
Ed Sheeran - Shivers,777,105,1,(x10),"106,908","20,385,669"
"Lamin - Gode Dage, Gode Drinks",643,89,2,(x1),"113,984","20,194,766"
Gilli - Verden Vågner,582,141,1,(x41),"126,436","20,127,901"
Tessa - Ben,1109,59,4,,"80,321","20,051,100"
Bro - Sydpå,842,102,1,(x41),"171,732","19,879,525"
Mads Langer - I En Stjerneregn Af Sne,502,98,4,,"258,204","19,725,566"
Branco - London Town,1003,87,1,(x5),"150,261","19,619,747"
D1MA - MOONLIGHT,435,179,1,(x17),"104,815","19,602,780"
