artist_title,days,t10,pk,x?,pkstreams,total
Bad Bunny - Si Estuviésemos Juntos,1960,40,6,,"23,810","7,976,919"
Yiyo Sarante - Corazon de Acero,1893,,26,,"8,022","5,346,998"
J Balvin - LA CANCIÓN,1780,199,1,(x13),"41,872","12,753,471"
Bad Bunny - Otra Noche en Miami,1476,27,4,,"26,354","4,762,492"
Bad Bunny - La Santa,1467,62,3,(x2),"64,347","7,019,246"
Bad Bunny - Callaita,1459,162,1,(x45),"42,146","8,866,176"
Jay Wheeler - La Curiosidad,1430,151,1,(x14),"20,488","9,356,605"
Eladio Carrion - Kemba Walker,1406,1,10,,"18,191","6,438,861"
Jhayco - No Me Conoce - Remix,1300,213,3,(x32),"19,777","7,797,606"
Jhayco - CÓMO SE SIENTE - Remix,1297,127,1,(x23),"31,753","7,985,610"
Arcángel - Tu No Vive Asi,1282,62,3,(x7),"8,250","4,231,538"
Anuel AA - Sola (Remix),1242,131,5,,"8,822","3,928,378"
Romeo Santos - Sobredosis,1238,6,7,,"9,027","2,937,289"
Anuel AA - Ella Quiere Beber - Remix,1218,90,3,(x8),"15,295","5,365,927"
Anuel AA - Hasta Que Dios Diga,1199,87,1,(x20),"32,221","5,737,476"
Bad Bunny - Vete,1198,159,1,(x34),"46,153","6,712,693"
Danny Ocean - Me Rehúso,1174,226,4,,"10,302","4,306,372"
Alejandro Fernández - Me Dediqué a Perderte,1160,,102,,"3,942","2,157,299"
Romeo Santos - Imitadora,1110,54,2,(x10),"13,918","3,267,190"
Ed Sheeran - Thinking out Loud,1092,162,1,(x7),"2,189","1,453,357"
Bad Bunny - DÁKITI,1079,240,1,(x87),"89,381","10,243,229"
Zion & Lennox - Otra vez,1067,234,1,(x127),"11,798","3,766,598"
Cosculluela - Madura,1055,100,2,(x66),"14,065","5,192,916"
Bad Bunny - La Romana,1049,129,1,(x12),"38,867","4,290,669"
Bad Bunny - Si Veo a Tu Mamá,1044,57,2,(x6),"69,979","4,525,823"
Ozuna - Diles,1041,110,2,(x12),"8,161","3,198,603"
