artist_title,days,t10,pk,x?,pkstreams,total
Bad Bunny - Me Porto Bonito,737,261,1,(x55),"184,577","36,725,622"
J Balvin - LA CANCIÓN,1780,199,2,(x37),"52,196","36,118,015"
Feid - Feliz Cumpleaños Ferxxo,632,308,1,(x80),"96,175","33,191,861"
Manuel Turizo - La Bachata,711,277,1,(x27),"90,948","33,100,631"
Bad Bunny - Efecto,737,237,1,(x2),"120,533","32,314,391"
Danny Ocean - Me Rehúso,2709,279,1,(x4),"27,060","29,883,857"
Bad Bunny - Ojitos Lindos,737,234,1,(x10),"162,822","29,099,970"
Bad Bunny - Yonaguni,866,295,1,(x114),"146,639","27,525,292"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",669,188,1,(x70),"186,803","27,178,151"
Mora - LA INOCENTE,772,55,8,,"60,730","26,991,293"
Ozuna - Hey Mor,583,261,1,(x1),"95,926","26,415,356"
Jay Wheeler - La Curiosidad,1427,177,1,(x13),"63,044","26,095,140"
Feid - Normal,674,181,3,(x1),"111,480","25,972,791"
Bad Bunny - DÁKITI,1003,256,1,(x103),"189,595","25,137,293"
Bad Bunny - Moscow Mule,736,194,1,(x3),"232,058","24,803,027"
Plan B - Es un Secreto,1114,182,5,,"60,191","23,997,770"
Bad Bunny - Tití Me Preguntó,561,196,3,(x31),"157,040","22,903,513"
Bad Bunny - Callaita,1514,211,1,(x22),"90,954","22,864,821"
KAROL G - PROVENZA,751,106,1,(x4),"89,619","22,541,293"
Yandel - Yandel 150,507,174,1,(x46),"127,630","21,482,162"
Feid - Classy 101,408,259,1,(x3),"120,407","21,457,902"
Bad Bunny - Si Estuviésemos Juntos,1871,,16,,"28,296","20,708,924"
Tainy - Lo Siento BB:/,821,190,1,(x58),"64,745","20,585,187"
Maluma - Hawái,1036,192,1,(x72),"138,803","20,443,551"
Bacilos - Caraluna,2690,,24,,"28,385","20,326,890"
Bad Bunny - La Santa,1533,20,4,,"70,757","20,125,056"
Feid - CHORRITO PA LAS ANIMAS,527,166,3,(x1),"88,002","20,080,541"
Rauw Alejandro - Todo De Ti,839,214,1,(x10),"140,212","19,969,938"
Feid - Ferxxo 100,709,6,8,,"59,142","19,633,299"
Bad Bunny - A Tu Merced,1274,51,7,,"39,204","19,220,880"
Jhayco - No Me Conoce - Remix,1300,202,3,(x16),"39,299","18,846,217"
J Balvin - UN PESO,1779,,23,,"25,308","18,799,163"
Bad Bunny - PERRO NEGRO,212,212,1,(x62),"210,119","18,435,922"
Rauw Alejandro - Desesperados,767,118,1,(x25),"60,057","18,378,106"
Myke Towers - LALA,323,195,1,(x64),"146,695","18,187,757"
Grupo Frontera - un x100to,391,123,1,(x45),"188,501","17,974,376"
Ryan Castro - Jordan,813,108,1,(x4),"69,170","17,785,932"
Bad Bunny - Neverita,583,70,7,,"124,611","17,649,546"
Tego Calderón - Pa' Que Retozen,1207,,17,,"31,998","17,472,927"
KAROL G - AMARGURA,442,246,4,,"62,839","17,446,286"
J Balvin - QUE PRETENDES,1670,112,5,,"34,721","17,382,564"
Morat - Cuando Nadie Ve,1868,2,10,,"23,108","17,363,471"
KAROL G - TQG,443,107,1,(x34),"166,666","17,216,140"
Cris Mj - Una Noche en Medellín,599,81,1,(x29),"70,275","17,182,167"
Ryan Castro - Monastery,910,106,4,,"48,573","17,103,746"
Don Omar - Dile,1426,,16,,"34,509","17,009,576"
KAROL G - QLONA,275,258,1,(x40),"95,141","16,794,255"
Sebastian Yatra - Pareja Del Año,968,106,1,(x29),"74,398","16,741,929"
Morat - Besos En Guerra,2158,,18,,"20,202","16,583,684"
Bad Bunny - Un Coco,729,,12,,"107,177","16,437,470"
Morat - No Se Va,1033,,20,,"33,118","16,284,351"
Rauw Alejandro - LOKERA,627,86,7,,"60,271","16,278,532"
Feid - LUNA,163,160,1,(x146),"137,075","16,120,934"
Paulo Londra - Tal Vez,1516,113,2,(x26),"44,596","16,072,983"
Mora - Volando - Remix,859,173,5,,"60,126","15,875,948"
Bad Bunny - TE MUDASTE,1122,100,2,(x1),"139,304","15,820,777"
Becky G - MAMIII,733,84,1,(x31),"67,604","15,751,434"
Los Enanitos Verdes - Lamento Boliviano,2033,,44,,"22,628","15,600,864"
Rels B - A Mí,1566,,33,,"26,394","15,359,949"
Paulo Londra - Adan y Eva,1393,152,1,(x71),"56,548","15,215,891"
Yng Lvcas - La Bebe - Remix,416,129,3,(x4),"98,029","15,044,598"
Bad Bunny - La Corriente,579,62,8,,"128,930","14,969,894"
Bad Bunny - Vete,1215,116,1,(x1),"57,978","14,953,718"
KAROL G - Tusa,832,142,1,(x97),"129,089","14,895,928"
Piso 21 - Déjala Que Vuelva,1212,190,1,(x25),"33,581","14,883,693"
Bad Bunny - Si Veo a Tu Mamá,1179,53,1,(x7),"84,007","14,782,483"
Piso 21 - Te Vi,1440,97,5,,"29,520","14,466,665"
Arcángel - La Jumpa,422,106,1,(x3),"96,965","14,464,491"
Bad Bunny - LA NOCHE DE ANOCHE,731,170,2,(x4),"135,358","14,366,723"
Taiu - Rara Vez,451,15,6,,"53,680","14,345,648"
Bad Bunny - Tarot,549,80,7,,"154,488","14,193,830"
Maluma - Sobrio,727,173,2,(x8),"59,864","14,136,198"
Harry Styles - As It Was,757,25,4,,"47,561","13,884,651"
Bad Bunny - Party,416,91,4,,"141,885","13,863,506"
Quevedo - Columbia,310,144,2,(x27),"74,103","13,429,176"
Mau y Ricky - Desconocidos,954,194,2,(x9),"42,606","13,290,126"
KAROL G - BICHOTA,711,147,2,(x73),"81,512","13,107,969"
Maluma - Según Quién,261,223,3,(x22),"68,007","13,100,144"
Feid - Prohibidox,593,1,10,,"52,167","12,998,803"
Bad Bunny - Una Vez,1319,,22,,"34,430","12,905,295"
Ed Maverick - Fuentes de Ortiz,1556,,44,,"13,799","12,903,092"
Aventura - Volví,579,185,1,(x2),"87,440","12,791,442"
The Weeknd - Blinding Lights,1040,85,5,,"28,200","12,730,373"
Rels B - cómo dormiste?,646,,15,,"39,928","12,468,158"
Eslabon Armado - Ella Baila Sola,366,91,1,(x1),"122,616","12,448,577"
TINI - Miénteme,821,50,7,,"43,864","12,406,992"
Hombres G - Devuélveme a mi chica,1795,,65,,"17,258","12,284,697"
Anuel AA - Amanece,972,61,7,,"26,137","12,146,290"
Jesse & Joy - Dueles,1444,,48,,"21,595","11,971,181"
Manuel Medrano - Bajo El Agua,2454,,51,,"16,232","11,965,009"
J Balvin - Qué Más Pues?,524,147,2,(x19),"77,721","11,940,550"
