artist_title,days,t10,pk,x?,pkstreams,total
Wegz - البخت,806,556,1,(x159),"205,633","24,855,324"
Mohammed Saeed - Alo Aleky,536,315,1,(x122),"60,096","16,919,239"
Essam Sasa - مسا مني ليكوا,486,222,1,(x26),"48,099","14,461,713"
Muslim - مُسلِم - Etnaset,932,317,1,(x85),"27,191","14,438,780"
Muslim - مُسلِم - Mesh Nadman,865,66,5,,"36,620","14,039,640"
Ramy Sabry - يمكن خير,484,171,1,(x2),"50,501","13,072,843"
Cairokee - Basrah w Atooh,597,54,3,(x5),"35,508","12,833,956"
Muslim - مُسلِم - Aleb Fel Dafater,506,156,2,(x10),"37,483","12,675,265"
Essam Sasa - عره فافي عامل مغامر - بت انتي حب حياتي,663,153,3,(x19),"29,224","11,884,281"
Essam Sasa - وسط دموع وجراح,1047,,11,,"24,267","11,786,661"
Farid - بأمارة مين,593,82,1,(x2),"32,863","11,738,435"
Ahmed Saad - اختياراتي - من فيلم مستر إكس,326,138,1,(x5),"81,274","11,534,268"
Marwan Moussa - البوصلة ضاعت,1649,20,9,,"27,401","11,258,423"
Bahaa Sultan - Beraha Ya Sheekha,469,136,4,,"41,889","11,120,894"
Wegz - Amira,626,183,1,(x50),"28,833","11,072,572"
Nawal - مخصماك,329,129,1,(x77),"89,331","11,004,776"
Wegz - عفاريت الأسفلت,1029,239,1,(x37),"20,532","10,890,041"
Eslam Kabonga - ايويا يا حبيبتي وحشتيني - مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023,247,149,1,(x60),"115,647","10,875,110"
Essam Sasa - نص سيطو مني ( احنا صحاب بلادنا ),330,178,2,(x1),"56,995","10,761,305"
Mahmoud El Leithy - سيبك من اللي خلع - من فيلم حمص وحلاوة,214,201,1,(x73),"81,647","10,744,798"
Wegz - سكرتي,1525,69,6,,"18,789","10,564,956"
Afroto - 7ALA,497,27,4,,"32,071","10,286,585"
Mohamed Mounir - لِلّي,661,13,5,,"29,501","10,140,975"
Muslim - مُسلِم - Abl Mawsalek,930,3,9,,"29,802","10,005,511"
Cairokee - Ana Negm,597,10,7,,"35,145","9,659,082"
Ahmed Saad - El Youm El Helw Dah,636,23,8,,"34,550","9,506,919"
Tamer Ashour - Khaleny Fe Hodnak,823,9,5,,"33,088","9,403,298"
Wegz - دورك جي,1484,318,1,(x71),"21,830","9,265,103"
El Waili - Dawly,746,94,3,(x1),"17,298","9,057,599"
Reda El Bahrawy - لفينا الدنيا,320,127,2,(x17),"46,158","9,037,143"
Marwan Moussa - Aloomek,815,171,2,(x12),"18,208","8,957,193"
Abd El Basset Hamouda - سطلانة,290,99,1,(x23),"92,510","8,823,412"
Marwan Pablo - BARBARY,802,172,2,(x29),"100,410","8,785,862"
Bahaa Sultan - Ta3ala Adalla3ak,827,75,2,(x4),"18,491","8,594,585"
Wael Jassar - Zrouf Mandany,446,,17,,"27,957","8,594,049"
Muhab - YAZMEELY,286,119,2,(x10),"40,750","8,566,612"
Wingii - Freedom Music: Scene Cypher 3,444,120,2,(x15),"42,554","8,551,789"
Ahmed Kamel - Baad El Kalam,451,18,8,,"30,249","8,546,578"
Cairokee - Samurai,1149,,12,,"22,666","8,440,391"
Mohamed Ramadan - Come Baby Come,385,75,3,(x3),"47,448","8,426,897"
FL EX - MESAMA3EEN,513,96,6,,"27,370","8,402,312"
Karim Cristiano - قراميط قراميط و الهلافيت عاملين مظابيط (صحبي اللي اداك يدينا ),347,51,5,,"45,353","8,237,555"
Muslim - جوب,612,1,10,,"20,775","8,041,641"
Double Zuksh - Salat El Zein,383,46,5,,"40,146","7,979,859"
Muslim - Tab Aoulak - Karkouba,400,42,1,(x14),"41,628","7,754,295"
Ahmed Saad - Ya Layaly,298,89,1,(x1),"51,890","7,752,088"
Eslam Kabonga - اللي نفسه فيا بيتي ميتوهش,198,133,1,(x2),"70,595","7,649,535"
Hamza Namira - Reyah El Hayah,283,88,3,(x3),"42,148","7,619,731"
Mohammed Saeed - Konty 2olely,720,21,8,,"25,458","7,594,081"
Marwan Moussa - حدوته المانى,577,138,1,(x3),"30,843","7,500,315"
Tamer Ashour - Tegy Ntrahn,841,7,8,,"26,863","7,465,226"
3enba - On Fire,452,16,7,,"25,465","7,364,388"
Muhab - Rehla,418,46,1,(x2),"31,921","7,358,215"
Karim Osama - Nazlet Seman,430,54,4,,"34,851","7,297,683"
Sherine - كلام عينيه,250,116,2,(x9),"45,518","7,274,060"
Tom Odell - Another Love,925,,20,,"14,291","7,191,779"
Shahyn - SIRI,896,244,1,(x19),"16,754","7,112,335"
Afroto - Brazil,501,154,2,(x15),"29,054","7,011,511"
Amr Diab - Tamally Maak,1331,,32,,"15,059","6,955,840"
Molotof - Denamet,1196,14,8,,"12,890","6,887,391"
Essam Sasa - اه يا بخته اللي يزاملني ( روح بقلبك مش بجسمك ),495,6,10,,"21,082","6,780,292"
Lege-Cy - Betadeen,1134,1,10,,"11,227","6,751,857"
Tamer Ashour - هيجيلي موجوع,120,99,1,(x19),"113,234","6,694,364"
ريفو شو - علي باب السيما - من مسلسل ريفو,511,,16,,"30,458","6,370,553"
Ahmed Saad - Ya 3araf,375,50,6,,"27,744","6,320,117"
Bahaa Sultan - Ana Ghaltan,715,,30,,"15,973","6,318,705"
Marwan Pablo - El Mabda2,167,112,1,(x7),"74,389","6,260,419"
Marwan Pablo - LELLY YAH,258,86,1,(x27),"66,212","6,188,549"
Marwan Pablo - RACORE,690,81,2,(x5),"22,236","6,153,718"
El Waili - Ya Salam - Remix,810,6,10,,"12,835","6,137,402"
Zap Tharwat - Ghasb Anny,490,,17,,"17,413","6,106,468"
Ramy Sabry - لما بيوحشني,381,,19,,"28,331","6,096,317"
Sharmoofers - Diva,345,,15,,"30,379","6,096,168"
Samar Tarik - Lw,392,44,1,(x7),"35,780","6,063,695"
"Wegz - بعودة يا بلادى ( من فيلم "" كباتن الزعتري "")",563,128,2,(x69),"24,052","6,028,976"
Husayn - Stop - Magnolia,468,142,3,(x3),"21,469","5,987,278"
Marwan Pablo - Sindbad,1400,103,4,,"17,736","5,854,068"
Wegz - ساليني,1365,,58,,"16,243","5,845,869"
Cairokee - Nefsy Ahbek,596,9,3,(x2),"25,447","5,828,864"
Wegz - الدنيا ايه,325,18,3,(x1),"42,517","5,820,061"
Marwan Pablo - EL HALAL,474,45,1,(x13),"40,307","5,768,042"
Marwan Pablo - Matafetch,167,116,3,(x3),"50,803","5,715,459"
Abo El Anwar - Blanco,312,60,1,(x7),"60,362","5,713,521"
Wegz - أسياد الصوت,872,170,1,(x40),"21,937","5,621,420"
Amr Diab - وهي ذكريات,399,,22,,"25,157","5,601,304"
Muhab - Amar,400,,12,,"24,429","5,593,894"
Wegz - كان نفسي,1316,,13,,"9,797","5,555,350"
Sherine - Ya Layaly,549,,44,,"18,605","5,464,183"
Mody Amin - صاحبي من غبائه,915,,21,,"15,040","5,454,799"
Tamer Ashour - Kan Mawdo3,530,,22,,"24,436","5,393,196"
Wegz - واحد وعشرين,1118,273,1,(x11),"9,200","5,382,212"
Afroto - Ala Ba'ady,1150,51,1,(x12),"12,326","5,374,053"
Ahmed Saad - Wasa3 Wasa3,497,3,10,,"17,420","5,373,523"
Ahmed Saad - Aleky Eyoun,587,41,6,,"17,149","5,353,413"
Kimo Eldeeb - يا قلبي لا محبتكش ( لماذا قلبي نبضو قل ),175,74,2,(x14),"64,308","5,319,101"
Amir Eid - Wahshteeny,310,6,8,,"35,515","5,274,704"
Cairokee - James Dean,445,40,1,(x6),"33,795","5,261,561"
Marshmello - Bayen Habeit,991,,13,,"15,398","5,239,111"
Assala Nasri - Fouq,222,35,5,,"41,291","5,212,335"
Maha Ftouni - El Sabr Gamel - الصبر جميل,255,2,10,,"32,729","5,202,129"
