artist_title,days,t10,pk,x?,pkstreams,total
J Balvin - LA CANCIÓN,1779,263,1,(x15),"21,379","18,257,295"
Bad Bunny - Me Porto Bonito,737,299,1,(x179),"103,279","17,525,497"
Bad Bunny - Efecto,737,283,1,(x21),"67,143","15,036,639"
Bad Bunny - Ojitos Lindos,737,260,1,(x13),"99,659","14,788,324"
Bad Bunny - Yonaguni,913,335,1,(x124),"71,167","13,267,472"
Bad Bunny - DÁKITI,1107,445,1,(x108),"79,903","12,946,903"
Manuel Turizo - La Bachata,697,251,1,(x17),"32,458","12,387,674"
Bad Bunny - Moscow Mule,737,249,1,(x1),"117,399","12,189,243"
Danny Ocean - Me Rehúso,2704,350,1,(x10),"12,810","11,925,218"
Tainy - Lo Siento BB:/,940,213,1,(x169),"35,694","11,861,787"
Feid - Feliz Cumpleaños Ferxxo,632,274,2,(x3),"41,347","11,826,882"
Bad Bunny - La Santa,1533,107,3,(x6),"41,334","11,754,262"
Jay Wheeler - La Curiosidad,1422,183,2,(x69),"18,263","11,689,497"
Bad Bunny - Callaita,1663,241,1,(x14),"52,255","11,600,817"
Plan B - Es un Secreto,1123,200,4,,"28,643","11,576,646"
Bad Bunny - Si Estuviésemos Juntos,1965,1,9,,"15,294","10,993,833"
Bad Bunny - Tití Me Preguntó,630,234,2,(x1),"85,270","10,851,927"
Ozuna - Hey Mor,583,248,1,(x2),"40,839","10,119,151"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",634,150,1,(x16),"59,555","10,055,202"
Rauw Alejandro - Desesperados,879,119,1,(x1),"26,042","9,854,138"
Grupo Frontera - un x100to,391,176,1,(x62),"108,731","9,743,833"
Jhayco - No Me Conoce - Remix,1299,246,3,(x22),"14,017","9,489,362"
Feid - Normal,674,52,5,,"32,629","9,314,198"
Feid - Classy 101,408,219,2,(x23),"38,661","9,167,467"
Bad Bunny - Vete,1372,142,1,(x3),"32,492","8,928,951"
KAROL G - PROVENZA,750,94,1,(x3),"31,068","8,910,468"
