artist_title,days,t10,pk,x?,pkstreams,total
5MIINUST - Aluspükse,1631,249,1,(x37),"10,111","3,449,901"
The Weeknd - Blinding Lights,1570,350,1,(x57),"8,522","3,176,897"
nublu - für Oksana,1128,162,1,(x49),"21,779","2,480,807"
Glass Animals - Heat Waves,1027,380,2,(x20),"4,769","2,367,033"
The Neighbourhood - Sweater Weather,1310,1,9,,"2,752","2,233,038"
5MIINUST - Paaristõuked,1125,143,1,(x32),"7,350","2,018,472"
Harry Styles - As It Was,747,186,1,(x52),"14,207","1,943,409"
Tom Odell - Another Love,1086,55,5,,"2,885","1,854,352"
MiyaGi & Endspiel - I Got Love,1381,1,10,,"2,695","1,814,856"
nublu - Paraadna,1053,78,1,(x16),"14,880","1,779,219"
5MIINUST - ?mis sa tegid,808,234,1,(x75),"7,519","1,734,831"
nublu - kastehein,635,250,1,(x39),"11,511","1,690,808"
5MIINUST - Peo lõpp,777,148,1,(x16),"14,547","1,650,564"
nublu - öölaps!,721,158,1,(x44),"12,859","1,576,950"
nublu - Ära Ärata,401,179,1,(x33),"16,227","1,545,039"
Käärijä - Cha Cha Cha,394,104,1,(x33),"43,894","1,503,569"
The Weeknd - Starboy,806,135,1,(x83),"8,731","1,493,628"
nublu - Mina Ka,624,164,1,(x40),"10,092","1,456,730"
David Guetta - I'm Good (Blue),624,172,1,(x12),"7,093","1,455,845"
Luude - Down Under,771,108,1,(x9),"4,508","1,422,458"
gameboy tetris - KUHU KADUS STEN?,548,185,1,(x13),"13,392","1,408,465"
5MIINUST - kõrvetab,345,132,1,(x12),"13,833","1,362,790"
Elton John - Cold Heart - PNAU Remix,715,140,1,(x5),"4,979","1,325,402"
Miley Cyrus - Flowers,474,125,1,(x35),"16,400","1,306,088"
The Kid LAROI - Stay,500,144,1,(x46),"8,060","1,302,022"
nublu - Croissantid,460,153,1,(x46),"15,238","1,299,650"
Billie Eilish - bad guy,450,163,1,(x68),"8,105","1,289,256"
Küberünnak & Karmo - Lämmi,879,,15,,"3,393","1,277,151"
nublu - Universum,522,155,1,(x48),"15,284","1,263,576"
villemdrillem - leekiv armastus,326,160,1,(x47),"13,333","1,257,004"
Lost Frequencies - Where Are You Now,754,26,7,,"3,024","1,250,277"
Púr Múdd - Ainult Unustamiseks,528,134,2,(x1),"5,108","1,229,204"
Lil Peep - Star Shopping,943,,32,,"1,888","1,223,923"
5MIINUST - loodus ja hobused,510,118,1,(x58),"14,495","1,216,447"
nublu - 1-2,421,152,1,(x43),"17,358","1,182,644"
OneRepublic - I Ain't Worried,646,55,3,(x2),"3,753","1,182,180"
5MIINUST - (nendest) narkootikumidest ei tea me (küll) midagi,156,152,1,(x62),"23,873","1,179,392"
5MIINUST - vamos,568,99,1,(x15),"8,958","1,167,075"
SAINt JHN - Roses - Imanbek Remix,537,157,2,(x12),"4,463","1,146,807"
Kenya Grace - Strangers,254,142,1,(x66),"10,217","1,141,182"
Tones And I - Dance Monkey,393,169,1,(x44),"9,136","1,138,832"
David Kushner - Daylight,392,111,2,(x26),"8,235","1,132,161"
Eminem - Without Me,870,,30,,"2,070","1,128,999"
J. Cole - No Role Modelz,845,,26,,"1,996","1,122,954"
5MIINUST - koptereid,526,142,1,(x7),"8,908","1,117,784"
nublu - Tmt,505,107,1,(x49),"17,446","1,100,840"
nublu - heikki???,261,173,1,(x9),"11,683","1,090,901"
XXXTENTACION - Revenge,792,,17,,"2,544","1,087,299"
Måneskin - Beggin',410,137,1,(x33),"8,047","1,086,310"
cassö - Prada,274,173,2,(x21),"6,278","1,081,183"
Luude - Big City Life,569,59,3,(x1),"4,798","1,062,118"
The Neighbourhood - Softcore,732,78,4,,"3,707","1,057,972"
Mr.Kitty - After Dark,705,,12,,"2,232","1,053,706"
Lil Nas X - INDUSTRY BABY,367,138,1,(x22),"7,661","1,052,579"
Harry Styles - Watermelon Sugar,639,54,3,(x1),"3,986","1,041,305"
Ed Sheeran - Bad Habits,426,126,1,(x3),"6,532","1,032,680"
5MIINUST - Tsirkus,624,36,4,,"3,338","1,027,868"
Lil Nas X - MONTERO (Call Me By Your Name),338,123,1,(x45),"10,478","1,025,914"
Reket - Ma Kuulsin Seda Läbi Viinamarjaväädi,509,140,3,(x14),"5,518","1,017,824"
Måneskin - ZITTI E BUONI,339,71,1,(x18),"29,525","1,017,516"
The Weeknd - Save Your Tears,652,101,2,(x12),"7,192","1,013,989"
Juice WRLD - Lucid Dreams,663,65,1,(x2),"5,568","1,009,385"
Måneskin - I WANNA BE YOUR SLAVE,333,96,1,(x14),"16,245","1,005,212"
villemdrillem - niiea,482,110,1,(x3),"9,269","984,465"
Metro Boomin - Creepin',438,121,1,(x4),"6,813","967,679"
nublu - duubel5-v2.mp3,350,99,2,(x7),"10,695","967,471"
Kordhell - Murder In My Mind,496,65,5,,"3,454","966,325"
Mariah Carey - All I Want for Christmas Is You,312,176,1,(x10),"14,602","959,152"
Olivia Rodrigo - good 4 u,398,111,1,(x3),"7,868","953,205"
Arop - Kommunikatsiooni Probleem,552,34,6,,"3,708","946,569"
Arctic Monkeys - I Wanna Be Yours,631,,28,,"2,072","941,831"
Wham! - Last Christmas,292,148,1,(x17),"15,807","936,629"
Ed Sheeran - Shape of You,300,148,1,(x97),"8,232","924,307"
Drake - One Dance,441,164,1,(x84),"5,093","922,739"
Eminem - Mockingbird,519,42,5,,"4,392","918,998"
Doja Cat - Paint The Town Red,282,99,1,(x18),"9,579","910,510"
Oliver Tree - Miss You,309,124,1,(x45),"10,103","905,937"
Clicherik & Mäx - Mõtled mu peale,379,105,1,(x12),"6,126","902,792"
ThxSoMch - SPIT IN MY FACE!,468,111,2,(x4),"4,757","897,899"
The Neighbourhood - Daddy Issues,794,,35,,"1,478","896,343"
Shawn Mendes - Señorita,310,118,1,(x7),"8,269","895,847"
Doja Cat - Woman,405,65,3,(x1),"4,303","888,256"
Arctic Monkeys - Why'd You Only Call Me When You're High?,734,,46,,"1,601","874,694"
Tate McRae - greedy,240,114,2,(x3),"6,116","866,180"
Eminem - The Real Slim Shady,727,,36,,"2,255","863,360"
24kGoldn - Mood,367,134,1,(x14),"5,364","857,557"
Sam Smith - Unholy,303,106,1,(x17),"10,656","856,381"
Cigarettes After Sex - Apocalypse,648,,29,,"1,819","855,840"
"Beach Weather - Sex, Drugs, Etc.",613,2,8,,"2,642","841,843"
DaBaby - ROCKSTAR,397,126,3,(x2),"4,339","838,070"
5MIINUST - Trenažöör,638,,15,,"2,297","831,505"
Artemas - i like the way you kiss me,54,54,1,(x46),"22,485","814,309"
Tiësto - The Business,395,110,5,,"3,433","799,449"
Ed Sheeran - Shivers,387,79,2,(x7),"5,588","796,151"
Billie Eilish - when the party's over,482,74,4,,"3,539","796,107"
Bru-C - You & I,635,,17,,"2,256","791,987"
Post Malone - Circles,345,112,3,(x8),"5,397","784,075"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,461,95,1,(x2),"3,710","782,511"
INTERWORLD - METAMORPHOSIS,464,3,9,,"2,803","778,819"
Dua Lipa - Levitating,442,40,6,,"3,368","772,952"
