artist_title,days,t10,pk,x?,pkstreams,total
JVG - Ikuinen vappu,1477,202,1,(x66),"154,498","29,696,084"
Käärijä - Cha Cha Cha,480,221,1,(x45),"469,600","29,158,225"
BEHM - Hei rakas,1576,239,1,(x48),"75,605","28,889,267"
The Weeknd - Blinding Lights,1392,256,1,(x56),"85,056","26,433,222"
william - Penelope,855,283,1,(x139),"117,490","23,548,172"
Gettomasa - Shamppanjadieetillä,716,205,1,(x17),"107,658","23,547,987"
BEHM - Frida,1257,216,1,(x11),"101,802","23,467,996"
Gettomasa - Silmät,1784,65,1,(x1),"74,394","23,456,429"
KUUMAA - Tulipalo,681,94,3,(x4),"82,236","22,231,076"
Post Malone - rockstar,1068,139,1,(x59),"140,099","21,782,805"
KUUMAA - Ylivoimainen,479,117,1,(x13),"155,363","21,485,950"
Ed Sheeran - Shape of You,893,114,1,(x45),"128,139","20,457,498"
JVG - Amatimies,678,149,1,(x22),"169,094","20,257,027"
BESS - Ram pam pam,843,150,1,(x68),"91,093","19,893,104"
Gettomasa - Muijii stadis,1755,37,2,(x7),"71,728","19,797,561"
JVG - Tarkenee,1478,89,1,(x32),"107,157","19,343,367"
Alan Walker - Faded,1122,115,1,(x29),"108,007","19,021,500"
Poju - Esson baariin,1783,,12,,"48,265","18,822,534"
Portion Boys - Vauhti kiihtyy,851,198,1,(x17),"148,889","18,752,713"
ibe - BLONDINA,353,149,1,(x56),"191,674","18,551,056"
Pyhimys - Jättiläinen,1113,103,1,(x13),"82,889","18,494,799"
HUGO - Taulut,247,160,1,(x53),"139,458","17,866,468"
Ramses II - Villieläin,632,123,1,(x40),"192,404","17,593,208"
Tones And I - Dance Monkey,794,182,1,(x55),"89,455","17,478,358"
Costi - Maailman ympäri,436,120,1,(x23),"259,855","17,456,961"
Haloo Helsinki! - Reiviluola,894,41,2,(x7),"70,979","16,341,598"
Olli Halonen - Pohjola,946,122,1,(x9),"63,132","16,324,558"
Tom Odell - Another Love,1169,12,7,,"31,689","15,942,855"
SHRTY - Pariisin kevät,372,131,1,(x3),"203,163","15,940,172"
Gettomasa - Vastustamaton,555,125,1,(x46),"149,999","15,612,802"
Reino Nordin - Antaudun,825,89,1,(x16),"80,911","15,564,467"
David Guetta - I'm Good (Blue),623,125,1,(x23),"105,536","15,271,389"
Mirella - Timanttei,129,128,1,(x48),"189,027","14,995,376"
JVG - Hehkuu,587,90,1,(x35),"160,798","14,908,776"
Pikku G - Solmussa,895,108,1,(x20),"132,066","14,648,419"
Petri Nygård - Nössö,1153,65,1,(x1),"85,730","14,494,813"
Lukas Leon - XTC,853,101,1,(x16),"95,791","14,467,719"
Gettomasa - Meit ei oo,408,60,1,(x30),"271,393","14,305,025"
BEHM - Viimeinen tanssi,352,127,2,(x7),"117,324","14,216,479"
Evelina - Honey,900,93,1,(x13),"96,887","14,065,351"
Juice WRLD - Lucid Dreams,1049,57,1,(x1),"54,372","14,006,662"
Rammstein - Deutschland,1442,13,6,,"49,146","13,894,665"
Luis Fonsi - Despacito - Remix,422,119,1,(x69),"127,727","13,324,723"
Arttu Wiskari - Tässäkö tää oli?,676,153,1,(x2),"96,059","13,230,719"
Lewis Capaldi - Someone You Loved,1007,5,9,,"34,582","13,206,676"
Billie Eilish - bad guy,606,102,1,(x10),"84,351","13,132,407"
Cledos - Samma gamla vanliga - Remix,661,165,1,(x72),"118,050","13,093,868"
MKDMSK - Surullinen Klovni,782,56,1,(x4),"97,816","13,017,719"
JVG - Popkorni,655,85,1,(x24),"124,562","12,805,286"
VIIVI - Ihana kipu,561,69,1,(x12),"289,285","12,800,998"
Portion Boys - Kyläbaari,927,1,8,,"51,963","12,572,056"
Elastinen - Epäröimättä hetkeekään,678,99,1,(x25),"126,893","12,526,085"
Gettomasa - Jälkeekään,345,96,1,(x25),"228,033","12,525,574"
Blind Channel - Dark Side,510,150,1,(x11),"189,445","12,435,718"
Shawn Mendes - Señorita,479,119,1,(x47),"111,346","12,390,233"
Teflon Brothers - Hubba Bubba,700,64,2,(x10),"121,331","12,273,733"
Arttu Wiskari - Suomen muotoisen pilven alla,873,22,3,(x1),"46,361","12,205,679"
The Weeknd - Starboy,715,106,3,(x6),"76,009","12,093,508"
Imagine Dragons - Believer,1258,,18,,"41,735","12,074,002"
Isac Elliot - Makso Mitä Makso,610,49,1,(x7),"123,402","12,057,046"
Portion Boys - Karjala Takas,844,61,2,(x2),"88,608","12,031,145"
Petri Nygård - Pannaan Suomi Kuntoon,744,51,1,(x17),"203,849","12,018,570"
Clean Bandit - Rockabye,499,106,1,(x16),"96,566","12,014,453"
Ava Max - Sweet but Psycho,706,115,1,(x34),"69,389","11,893,005"
ibe - FAMOUS,498,29,1,(x3),"71,900","11,879,961"
Lady Gaga - Shallow,947,33,3,(x3),"50,923","11,867,563"
Mariah Carey - All I Want for Christmas Is You,438,137,1,(x9),"161,509","11,817,593"
Wham! - Last Christmas,459,135,1,(x26),"176,126","11,693,632"
BEHM - Tivolit,661,84,1,(x2),"63,904","11,624,902"
KUUMAA - Oo vielä sekunnin mun,874,,17,,"42,097","11,515,675"
Apulanta - Lokin päällä lokki,863,65,4,,"49,889","11,431,490"
The Kid LAROI - Stay,518,155,1,(x41),"78,215","11,358,224"
Antti Tuisku - Keinutaan,758,86,3,(x22),"57,355","11,284,516"
Sexmane - 40K,650,9,9,,"46,578","11,264,312"
Kube - 100,726,36,6,,"44,682","11,259,399"
Isac Elliot - 20min,544,78,1,(x18),"284,955","11,178,638"
Kube - Japanese Drip,721,65,2,(x1),"61,753","11,086,362"
Haloo Helsinki! - Piilotan mun kyyneleet,627,111,1,(x27),"90,537","11,008,048"
AHTI - Väärään aikaan,157,89,1,(x25),"282,079","10,965,944"
Harry Styles - As It Was,520,79,1,(x3),"90,388","10,924,707"
Teflon Brothers - Pämppää,835,90,1,(x39),"85,835","10,881,481"
Antti Tuisku - Rahan takii,488,59,1,(x12),"149,473","10,787,428"
The Chainsmokers - Don't Let Me Down,653,9,9,,"60,608","10,767,649"
Sia - Cheap Thrills,482,64,4,,"73,141","10,766,441"
BEHM - Päästä varpaisiin,895,36,2,(x4),"86,974","10,595,230"
"Pyhimys - Kynnet, Kynnet",620,59,4,,"66,409","10,594,019"
Måneskin - I WANNA BE YOUR SLAVE,407,109,1,(x25),"138,687","10,522,293"
Ed Sheeran - Bad Habits,475,135,1,(x6),"75,629","10,477,713"
Glass Animals - Heat Waves,706,80,6,,"39,244","10,396,912"
Billie Eilish - lovely,1194,,36,,"20,691","10,389,980"
Miley Cyrus - Flowers,395,70,1,(x14),"166,901","10,329,006"
STEREO - Vuosien päästä,595,55,4,,"49,209","10,264,572"
Adi L Hasla - Kevät,449,85,1,(x46),"106,341","10,196,730"
Bee - Viimeisiä sanoja,456,6,9,,"47,158","10,154,460"
Clean Bandit - Solo,429,89,1,(x19),"103,633","10,097,720"
Haloo Helsinki! - Beibi,887,84,1,(x21),"59,921","10,062,824"
Evelina - Kylmii Väreitä,470,67,1,(x1),"109,391","10,034,588"
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,468,68,6,,"67,715","10,016,158"
Pyhimys - Muistuta mua,465,105,1,(x14),"95,033","9,967,203"
Post Malone - Better Now,478,60,2,(x26),"76,565","9,901,207"
