artist_title,days,t10,pk,x?,pkstreams,total
Ninho - La vie qu'on mène,1878,43,2,(x1),"843,119","193,632,198"
Naps - La kiffance,1091,246,1,(x60),"618,960","163,080,091"
The Weeknd - Blinding Lights,1623,188,1,(x13),"354,342","155,702,284"
13 Organisé - Bande organisée,1289,149,1,(x71),"891,358","145,577,147"
Damso - Θ. Macarena,1904,133,1,(x72),"214,747","134,184,266"
Lomepal - Trop beau,1802,82,1,(x4),"256,673","124,949,177"
Ninho - Lettre à une femme,1421,98,1,(x41),"1,112,221","119,096,819"
Gazo - DIE,650,189,1,(x94),"607,222","117,434,863"
Ninho - Jefe,766,181,1,(x90),"1,280,579","109,357,329"
Tiakola - Meuda,713,202,1,(x1),"323,849","108,684,413"
Jungeli - Petit génie,282,261,1,(x139),"752,468","108,546,151"
Tones And I - Dance Monkey,992,154,2,(x38),"507,298","108,411,866"
SDM - Bolide allemand,527,241,1,(x43),"382,792","106,340,992"
OBOY - Cabeza,1134,52,3,(x2),"264,230","104,912,735"
OBOY - TDB,889,149,1,(x66),"546,786","104,610,170"
PNL - Au DD,1139,75,1,(x54),"1,541,690","100,621,150"
Harry Styles - As It Was,772,146,1,(x12),"349,072","98,343,241"
Alonzo - TOUT VA BIEN,558,196,1,(x35),"815,517","97,455,479"
Ninho - Maman ne le sait pas,989,83,1,(x1),"1,011,805","87,592,520"
Gradur - Ne reviens pas,580,153,1,(x63),"792,309","87,290,321"
Tom Odell - Another Love,1218,,15,,"155,454","85,446,233"
Soolking - Balader,648,172,2,(x38),"335,466","84,954,611"
Ninho - Putana,1169,29,3,(x1),"643,946","84,914,187"
Soolking - Casanova,310,204,1,(x19),"483,328","84,312,842"
Miley Cyrus - Flowers,485,161,1,(x47),"567,419","83,345,253"
Heuss L'enfoiré - Saiyan,345,186,1,(x31),"469,011","80,618,976"
Zola - AMBER,536,158,1,(x53),"457,201","80,516,064"
OBOY - Avec Toi,1049,,32,,"121,614","78,795,782"
Gazo - FLEURS,650,4,7,,"322,939","78,049,410"
Naps - Best life,672,134,2,(x4),"354,495","77,995,509"
Ninho - VVS,585,142,2,(x55),"1,052,648","77,787,567"
PNL - Onizuka,1449,45,1,(x14),"131,371","77,774,187"
ZEG P - FADE UP,477,150,1,(x25),"566,439","76,620,043"
Werenoi - Laboratoire,429,52,7,,"263,661","75,720,750"
Favé - Urus,578,59,2,(x4),"284,984","75,553,799"
Ninho - Goutte d'eau,923,55,3,(x1),"771,233","74,465,838"
OneRepublic - I Ain't Worried,696,71,6,,"300,472","73,617,244"
David Guetta - I'm Good (Blue),625,110,2,(x1),"425,903","72,905,662"
Timal - Filtré,586,154,1,(x4),"299,682","72,850,160"
Soso Maness - Petrouchka,470,113,1,(x44),"1,025,632","72,395,069"
Werenoi - Solitaire,641,,13,,"196,456","72,223,565"
Hatik - Angela,535,136,1,(x14),"392,349","72,186,847"
Heuss L'enfoiré - Moulaga,790,78,2,(x34),"556,658","72,052,896"
PNL - Deux frères,989,39,2,(x12),"1,111,629","71,971,701"
Gazo - HAINE&SEX,784,79,1,(x6),"392,302","71,578,317"
Naps - 6.3,767,105,1,(x14),"467,859","70,455,979"
Dua Lipa - Fever,691,132,1,(x10),"383,939","69,982,266"
Soolking - Suavemente,571,149,1,(x5),"330,781","69,120,457"
Ed Sheeran - Shape of You,858,237,1,(x111),"287,600","68,488,852"
Damso - Feu de bois,1068,55,2,(x6),"585,129","68,153,349"
iñigo quintero - Si No Estás,229,176,1,(x9),"534,916","68,032,868"
Damso - Δ. Dieu ne ment jamais,811,7,6,,"174,509","67,543,593"
GAULOIS - Jolie,392,169,1,(x8),"525,710","67,277,289"
Gambi - PETETE,525,95,1,(x9),"651,148","67,251,741"
Rema - Calm Down,570,85,2,(x8),"337,724","66,986,010"
Tiakola - Gasolina,580,35,5,,"257,418","66,789,109"
Farruko - Pepas,587,83,2,(x5),"388,726","65,009,607"
Gambi - Popopop,396,105,1,(x52),"846,803","64,995,988"
Koba LaD - Daddy chocolat,517,104,2,(x10),"363,883","64,994,145"
Favé - FLASHBACK,240,144,2,(x62),"452,858","64,287,365"
The Kid LAROI - Stay,520,94,2,(x5),"346,618","64,170,053"
Djadja & Dinaz - Dans le Réseau,853,1,9,,"197,883","63,919,221"
Josman - Intro,776,1,6,,"239,279","63,619,701"
PLK - Émotif (Booska 1H),876,,35,,"125,683","63,561,112"
Werenoi - La League,617,,20,,"188,639","63,036,014"
Lil Nas X - MONTERO (Call Me By Your Name),454,131,1,(x21),"435,453","63,021,040"
SAINt JHN - Roses - Imanbek Remix,655,80,2,(x1),"241,925","62,086,887"
Damso - Ε. Signaler,1035,46,5,,"177,462","61,583,484"
PLK - Attentat,742,28,5,,"354,475","61,497,581"
Vegedream - Elle est bonne sa mère,561,112,1,(x17),"351,185","61,341,563"
Maes - Distant,535,82,2,(x7),"786,363","61,234,455"
Elton John - Cold Heart - PNAU Remix,640,2,7,,"318,308","61,123,466"
