artist_title,days,t10,pk,x?,pkstreams,total
Apache 207 - Roller,1713,220,1,(x97),"1,357,504","333,045,458"
The Weeknd - Blinding Lights,1343,165,1,(x2),"643,705","222,699,228"
Bonez MC - Ohne mein Team,2446,112,3,(x9),"311,947","206,688,942"
Tones And I - Dance Monkey,853,199,2,(x28),"896,905","185,511,674"
Udo Lindenberg - Komet,478,228,1,(x82),"1,232,878","181,119,953"
Glass Animals - Heat Waves,990,242,1,(x21),"529,596","165,446,886"
Tom Odell - Another Love,1172,10,9,,"270,985","160,168,080"
Juju - Vermissen,1107,76,1,(x10),"1,154,749","155,421,393"
Bonez MC - 500 PS,1121,122,1,(x12),"869,195","151,965,327"
Mariah Carey - All I Want for Christmas Is You,445,219,1,(x67),"3,547,199","150,128,267"
Pashanim - Sommergewitter,1003,77,1,(x26),"1,034,412","147,461,221"
Wham! - Last Christmas,459,192,1,(x38),"3,591,533","144,508,106"
Luciano - Beautiful Girl,612,138,1,(x46),"1,401,146","137,965,596"
Montez - Auf & Ab,871,94,1,(x26),"829,688","134,953,416"
Bausa - Was du Liebe nennst,882,164,1,(x120),"747,429","131,837,602"
Apache 207 - 200 km/h,777,108,2,(x2),"1,162,750","131,119,200"
Linkin Park - In the End,2109,1,10,,"296,556","130,864,114"
Nina Chuba - Wildberry Lillet,636,117,1,(x38),"863,158","129,327,059"
Miksu / Macloud - Sehnsucht,732,127,1,(x33),"942,084","127,709,878"
Dynoro - In My Mind,790,128,1,(x39),"712,085","126,872,805"
Lewis Capaldi - Someone You Loved,1251,,22,,"235,484","126,355,764"
David Guetta - I'm Good (Blue),623,163,1,(x2),"888,100","125,453,230"
Ed Sheeran - Shape of You,751,149,1,(x108),"721,232","124,548,404"
Lost Frequencies - Where Are You Now,791,161,3,(x1),"456,492","123,019,389"
SAINt JHN - Roses - Imanbek Remix,722,65,3,(x6),"480,365","122,872,995"
The Kid LAROI - Stay,584,133,1,(x14),"752,449","122,808,302"
RAF Camora - Blaues Licht,780,68,1,(x10),"960,910","121,804,812"
Pashanim - Airwaves,945,76,1,(x4),"690,866","121,598,417"
Capital Bra - 110,612,77,1,(x20),"1,408,165","119,995,693"
Luciano - Bamba,550,136,1,(x28),"1,309,732","115,928,041"
Harry Styles - As It Was,670,95,1,(x2),"554,644","113,300,504"
DJ Robin - Layla,490,112,1,(x55),"1,614,892","111,038,056"
Miley Cyrus - Flowers,483,114,1,(x8),"1,142,181","110,293,956"
Ion Miles - Powerade,638,105,2,(x23),"640,131","109,330,050"
Peter Fox - Zukunft Pink,489,138,1,(x49),"993,994","108,624,447"
Eminem - Mockingbird,579,74,4,,"407,462","106,888,721"
24kGoldn - Mood,557,130,1,(x35),"769,452","103,937,861"
BENNETT - Vois sur ton chemin - Techno Mix,281,215,1,(x27),"788,391","103,721,689"
Topic - Breaking Me,603,64,3,(x2),"391,204","102,065,003"
Joel Corry - Head & Heart,643,96,1,(x1),"684,086","101,931,190"
Capital Bra - Tilidin,506,67,1,(x14),"1,788,621","100,318,666"
AYLIVA - Sie weiß,429,99,1,(x11),"1,107,487","100,161,623"
Post Malone - rockstar,686,152,1,(x16),"521,226","98,775,325"
Eminem - Lose Yourself,2067,,35,,"149,507","98,535,640"
DaBaby - ROCKSTAR,497,100,3,(x14),"680,086","98,525,201"
The Neighbourhood - Sweater Weather,1179,,42,,"137,862","98,448,531"
Ed Sheeran - Shivers,624,101,1,(x2),"531,510","97,739,002"
Sido - 2002,708,60,5,,"881,185","96,785,602"
Billie Eilish - bad guy,553,67,2,(x2),"482,369","95,784,003"
Riton - Friday,571,113,3,(x7),"549,305","95,590,511"
Luca-Dante Spadafora - Mädchen auf dem Pferd,345,112,1,(x31),"666,082","91,925,174"
Ava Max - Sweet but Psycho,591,118,1,(x1),"778,057","91,422,159"
Ed Sheeran - Bad Habits,477,89,3,(x10),"571,854","91,189,389"
Juice WRLD - Lucid Dreams,1140,,13,,"330,628","91,083,489"
Elton John - Cold Heart - PNAU Remix,689,26,5,,"513,567","90,906,724"
Miksu / Macloud - Nachts wach,548,86,1,(x6),"635,278","90,811,197"
Tiësto - The Business,601,94,3,(x4),"484,527","89,196,148"
cassö - Prada,274,142,1,(x1),"671,606","89,167,318"
ART - Belgisches Viertel,804,14,7,,"388,169","88,196,329"
Samra - Wieder Lila,433,58,1,(x17),"1,461,501","87,697,648"
Eminem - Without Me,1186,,28,,"169,334","87,401,241"
Shawn Mendes - Señorita,402,89,1,(x19),"869,422","87,119,080"
Farruko - Pepas,562,23,2,(x1),"524,458","86,496,111"
Shakin' Stevens - Merry Christmas Everyone,291,121,3,(x44),"3,229,858","86,341,432"
Yung Yury - TABU.,395,116,1,(x7),"626,293","86,320,375"
SIRA - 9 bis 9,366,118,2,(x7),"545,801","85,861,775"
Billie Eilish - lovely,1299,,46,,"129,787","85,217,320"
Regard - Ride It,721,1,8,,"424,609","84,553,059"
Macklemore & Ryan Lewis - Can't Hold Us,864,,25,,"272,945","84,195,502"
Miksu / Macloud - Nachts wach (Lila Wolken Bootleg),618,38,5,,"424,445","83,375,052"
Summer Cem - Casanova,526,108,1,(x10),"553,984","83,342,764"
Tream - LEBENSLANG - HBz Remix,738,,15,,"257,225","83,256,967"
Bausa - Madonna,503,82,1,(x33),"1,109,477","82,789,715"
Apache 207 - Bläulich,388,70,1,(x25),"1,566,611","82,732,512"
Olivia Rodrigo - good 4 u,446,90,1,(x22),"588,783","82,515,971"
Drake - One Dance,650,126,1,(x98),"511,547","81,588,171"
Ariana Grande - Santa Tell Me,379,75,5,,"2,116,446","81,211,026"
Jawsh 685 - Savage Love (Laxed - Sired Beat),417,89,2,(x15),"674,674","80,932,707"
Michael Bublé - It's Beginning to Look a Lot Like Christmas,371,72,1,(x1),"2,350,886","80,595,763"
David Kushner - Daylight,390,90,1,(x1),"490,856","80,562,777"
Melanie Thornton - Wonderful Dream (Holidays Are Coming) - Radio Version,363,62,4,,"2,237,253","80,020,721"
Axwell /\ Ingrosso - More Than You Know,582,132,1,(x45),"420,907","79,128,417"
James Hype - Ferrari,494,89,4,,"474,861","78,979,720"
KASIMIR1441 - Ohne Dich,443,74,1,(x34),"1,105,304","78,823,255"
Coolio - Gangsta's Paradise,1016,,21,,"237,550","78,537,021"
Apache 207 - Fame,402,56,1,(x14),"1,972,630","78,258,677"
Imanbek - Belly Dancer,554,10,9,,"396,996","77,245,797"
Capital Bra - Neymar,500,76,1,(x28),"731,946","76,885,260"
RIN - Dior 2001,603,49,2,(x2),"501,375","76,090,884"
KITSCHKRIEG - Standard,493,79,1,(x22),"627,464","75,645,536"
Sam Smith - Unholy,325,96,2,(x32),"681,067","75,334,361"
Måneskin - Beggin',403,82,1,(x5),"684,581","75,079,300"
Ofenbach - Head Shoulders Knees & Toes,476,33,4,,"512,040","74,918,134"
Ski Aggu - Party Sahne,577,,17,,"330,018","74,782,961"
Ski Aggu - Friesenjung,314,84,1,(x49),"1,095,506","74,755,539"
Lil Nas X - INDUSTRY BABY,420,57,7,,"434,632","74,545,356"
Tate McRae - greedy,240,124,1,(x9),"566,872","74,448,765"
Matt Sassari - Give It To Me - Full Vocal Mix,653,,14,,"305,208","74,415,422"
Internet Money - Lemonade,458,79,2,(x18),"552,209","74,363,804"
Apache 207 - Wieso tust Du dir das an?,321,65,1,(x7),"1,370,679","74,151,971"
