artist_title,days,t10,pk,x?,pkstreams,total
Light - 24hrs,695,113,1,(x21),"506,986","26,314,801"
Light - Obsessed,674,92,1,(x2),"267,237","23,818,871"
LILA - DEJA VU,369,142,1,(x5),"248,718","23,392,327"
SIDARTA - MEDITERRANEAN,676,125,1,(x14),"139,114","22,296,098"
Mad Clip - Nani,688,94,1,(x18),"430,150","21,842,540"
SNIK - Erotas,654,76,1,(x30),"292,340","21,648,162"
RACK - FAVELA,554,126,1,(x11),"249,593","20,999,562"
Sigma - AGAPI - Remix,370,95,1,(x12),"241,490","20,900,637"
SIDARTA - ERIMO,598,148,1,(x48),"236,482","20,649,444"
Kidd - KAPOTE,416,82,1,(x27),"176,341","20,573,723"
RACK - NASA,974,213,1,(x87),"259,183","20,526,300"
Hawk - CELINE,689,54,1,(x8),"220,823","20,434,664"
SIDARTA - AKOMI,562,163,1,(x2),"233,250","20,045,661"
Trannos - Tik Tak,465,77,1,(x26),"409,897","19,059,199"
RACK - AMOR,662,66,4,,"122,562","18,842,687"
Mente Fuerte - Oulala,454,113,1,(x9),"122,233","18,801,276"
TOQUEL - Allou,185,151,1,(x33),"193,996","17,866,030"
Hawk - Blue Iguana,353,56,1,(x25),"318,524","16,984,088"
TOQUEL - Skoni,716,7,6,,"116,829","16,901,378"
SIDARTA - ADRENALINA,625,142,3,(x1),"119,032","16,823,939"
Light - Epiloges,456,66,1,(x5),"293,332","16,191,854"
SIDARTA - PSEMA,536,133,1,(x15),"125,849","15,899,246"
RACK - 9MM,328,96,1,(x26),"243,095","15,726,591"
SNIK - NANA,757,91,1,(x23),"293,749","15,288,678"
TOQUEL - Beverly Hills,726,39,1,(x2),"171,980","15,256,944"
Light - No Sleep,276,83,1,(x28),"257,242","14,920,274"
Mad Clip - Mporei,908,171,1,(x3),"126,679","14,694,379"
Mad Clip - XILIOMETRA,1138,188,1,(x38),"122,823","14,608,363"
Hawk - MONROE,234,74,1,(x16),"160,127","14,422,934"
LILA - ATOUTALER,305,63,4,,"86,276","14,416,521"
TOQUEL - 3:15,185,94,1,(x16),"250,511","14,309,898"
TOQUEL - Palmous,710,2,10,,"103,712","14,306,080"
TOQUEL - Kokaina,1020,49,3,(x1),"39,858","14,044,009"
TOQUEL - Platina,716,8,4,,"132,520","14,025,948"
SNIK - OAED,199,96,1,(x4),"283,525","13,989,802"
RACK - ME N U,272,87,1,(x3),"128,505","13,982,493"
Leaderbrain - Latina,887,130,1,(x16),"70,200","13,933,961"
Roi 6/12 - Forema,492,96,1,(x2),"163,878","13,919,707"
Saske - PADOU,713,8,2,(x1),"52,380","13,831,447"
RACK - NAPOLI,388,59,1,(x9),"226,709","13,749,367"
SNIK - Gaza,561,23,1,(x1),"148,089","13,747,500"
SIDARTA - PAPAGOU,375,43,1,(x2),"181,713","13,606,762"
Anastasia - Amarties,789,81,2,(x11),"82,170","13,485,735"
Light - Allegra (N1),185,71,1,(x5),"269,038","12,805,394"
Saske - ENA VRADI,358,50,2,(x15),"156,055","12,444,592"
Trannos - Egw & Esy,510,42,1,(x10),"211,091","12,307,035"
TOQUEL - G63,213,42,1,(x13),"468,437","12,138,867"
Konstantinos Argiros - Iliovasilema - (Part 2 - Fos),541,21,4,,"66,768","12,061,778"
LILA - ANASAINO KAI ZALIZOMAI,213,56,3,(x1),"102,008","12,044,467"
Light - Cc,849,33,4,,"81,796","11,989,904"
SIDARTA - MYSTIKA,401,53,2,(x8),"116,557","11,982,138"
Anastasia - Mystiko,538,52,3,(x2),"66,401","11,716,186"
TOQUEL - Panorama,696,27,1,(x5),"146,164","11,673,553"
SIDARTA - MBAPPE,38,37,1,(x34),"585,379","11,554,204"
TOQUEL - Sandra,1488,89,4,,"24,194","11,503,213"
Bossikan - Sagapw,339,56,5,,"109,561","11,461,244"
Wang - Idrogeios,439,16,2,(x1),"129,120","11,387,007"
Anastasia - Ligo Ligo,628,14,3,(x1),"98,476","11,349,215"
Kimi - La Vida Loca,288,69,4,,"120,300","11,250,679"
Kidd - NA PAS,199,70,1,(x11),"232,249","11,184,891"
TOQUEL - Aftoktonia,615,63,1,(x3),"183,764","10,982,580"
SIDARTA - BELLA,315,31,2,(x9),"149,033","10,864,956"
Anastasia - Simadi,331,,15,,"59,199","10,821,578"
Dani Gambino - CASTELLANO,395,35,3,(x4),"105,463","10,804,756"
Hawk - Caliente,1075,199,1,(x43),"330,257","10,571,569"
Light - Gennaro,334,41,1,(x6),"159,480","10,568,441"
RACK - Dancer,371,35,1,(x2),"114,075","10,385,443"
SNIK - Trafficante,412,74,1,(x45),"245,176","10,253,944"
RACK - VENDETTA,172,64,1,(x6),"178,361","10,251,226"
Kidd - SOS,207,26,2,(x7),"145,690","10,186,266"
TOQUEL - Zurbaran,185,23,4,,"242,947","10,031,630"
Dani Gambino - NEOI STO NOSOKOMEIO,404,29,1,(x7),"139,751","10,018,478"
FLY LO - Crystal,302,40,1,(x15),"182,452","9,901,024"
RACK - WKEANOUS,289,55,1,(x3),"140,258","9,767,626"
Saske - MI TESORO,312,17,9,,"71,802","9,650,372"
RACK - GIORTES,302,12,3,(x1),"118,046","9,553,015"
Wang - Den Me Ksereis Kala,326,2,5,,"110,183","9,506,394"
Kidd - Mavromalla,292,45,1,(x5),"179,820","9,500,134"
Light - Voodoo,570,124,1,(x71),"311,737","9,442,753"
RACK - DEN EIMAI DIKOS SOU,425,37,2,(x1),"177,465","9,351,965"
Ioulia Kallimani - 7/7,416,,15,,"56,893","9,337,814"
RACK - MILLION,88,71,1,(x14),"246,864","9,336,062"
Bossikan - Bossidonas,454,29,3,(x6),"85,024","9,321,303"
Wang - Gia Panta,390,37,2,(x1),"125,568","9,280,314"
Sicario - ISOS,157,53,3,(x3),"94,617","9,256,974"
Metro Boomin - Creepin',433,57,1,(x5),"89,749","9,168,546"
TOQUEL - Ghetto,185,57,3,(x11),"249,465","9,150,976"
SNIK - Wet,524,140,1,(x5),"105,599","9,008,916"
Kings - Madame,286,56,1,(x13),"203,932","9,001,044"
SNIK - OAED - Remix,122,47,1,(x20),"407,386","8,989,582"
FLY LO - Kokkina Mple,288,28,1,(x9),"196,883","8,973,909"
Light - Shorty,527,146,2,(x1),"81,941","8,935,140"
SNIK - Chinchilla,430,88,1,(x27),"230,455","8,840,226"
Strat - Filakes,880,4,8,,"28,123","8,740,567"
Eleni Foureira - Aya,551,,17,,"43,014","8,710,814"
Dani Gambino - ELA PARTO,1119,7,8,,"14,081","8,611,345"
Harry Styles - As It Was,541,15,2,(x1),"50,606","8,603,199"
Fy - Aroma,1113,17,2,(x1),"20,413","8,586,991"
APON - Gdysou,177,31,5,,"88,226","8,581,403"
Lava - Balkan Disco,122,54,2,(x4),"179,681","8,539,949"
