artist_title,days,t10,pk,x?,pkstreams,total
J Balvin - LA CANCIÓN,1778,271,1,(x19),"43,957","38,445,671"
Bad Bunny - Me Porto Bonito,735,256,1,(x52),"168,666","32,743,159"
Manuel Turizo - La Bachata,716,248,1,(x112),"79,471","31,459,607"
Bad Bunny - Ojitos Lindos,735,249,1,(x17),"166,291","29,611,263"
Bad Bunny - Efecto,735,241,1,(x19),"114,696","29,318,028"
Danny Ocean - Me Rehúso,2724,346,1,(x14),"27,251","26,589,234"
Grupo Frontera - un x100to,391,202,1,(x48),"350,044","26,317,661"
Bad Bunny - Yonaguni,863,311,1,(x116),"134,100","24,566,695"
Jay Wheeler - La Curiosidad,1416,187,2,(x68),"38,642","23,709,792"
Carin Leon - Que Vuelvas,517,145,1,(x12),"77,517","23,640,497"
Bad Bunny - DÁKITI,991,395,1,(x118),"150,717","23,485,054"
Eslabon Armado - Ella Baila Sola,404,139,1,(x55),"233,613","23,365,484"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",617,178,1,(x48),"150,583","23,114,879"
Feid - Feliz Cumpleaños Ferxxo,632,143,6,,"71,822","22,763,358"
Plan B - Es un Secreto,1033,,11,,"56,004","22,080,729"
Bad Bunny - Si Estuviésemos Juntos,1963,1,10,,"29,570","21,927,752"
Bad Bunny - Callaita,1561,213,1,(x20),"88,726","21,769,565"
Tainy - Lo Siento BB:/,826,215,1,(x138),"72,506","21,714,639"
Bad Bunny - Moscow Mule,695,182,1,(x1),"209,197","21,060,838"
Bad Bunny - Tití Me Preguntó,529,235,2,(x11),"140,246","20,565,221"
Bad Bunny - La Santa,1528,20,4,,"67,484","20,202,654"
Ozuna - Hey Mor,583,150,3,(x1),"74,159","20,059,027"
KAROL G - PROVENZA,749,162,1,(x5),"65,900","20,010,703"
Yng Lvcas - La Bebe - Remix,421,153,2,(x3),"135,152","20,009,579"
Christian Nodal - Ya No Somos Ni Seremos,812,88,1,(x15),"69,177","19,838,593"
Bad Bunny - Neverita,640,141,4,,"123,036","19,259,225"
Xavi - La Diabla,161,154,1,(x112),"192,694","19,063,164"
Junior H - El Azul,455,124,3,(x1),"96,188","18,956,369"
Carin Leon - Primera Cita,373,167,1,(x11),"86,760","18,478,962"
Jhayco - No Me Conoce - Remix,1298,254,3,(x21),"28,868","18,394,009"
Maluma - Según Quién,268,206,1,(x61),"102,122","18,185,633"
Natanael Cano - AMG,490,149,2,(x24),"110,779","18,174,028"
Peso Pluma - PRC,444,148,2,(x6),"120,817","18,138,654"
Piso 21 - Pa' Olvidarme De Ella,1338,175,6,,"30,066","17,770,740"
Gera MX - Botella Tras Botella,972,122,1,(x33),"204,551","17,576,769"
