artist_title,days,t10,pk,x?,pkstreams,total
J Balvin - LA CANCIÓN,1779,346,1,(x71),"28,401","15,239,247"
Bad Bunny - Me Porto Bonito,737,276,1,(x41),"79,022","12,341,942"
Bad Bunny - Efecto,737,283,1,(x101),"52,505","11,422,592"
Bad Bunny - Ojitos Lindos,737,251,1,(x25),"70,419","10,656,383"
Bad Bunny - Yonaguni,900,335,1,(x122),"66,181","9,975,728"
Bad Bunny - DÁKITI,1114,471,1,(x117),"68,521","9,816,256"
Bad Bunny - Moscow Mule,737,247,1,(x2),"90,664","9,365,894"
Bad Bunny - Callaita,1649,221,1,(x28),"39,542","9,354,388"
Danny Ocean - Me Rehúso,2690,326,1,(x40),"10,553","9,331,582"
Bad Bunny - La Santa,1533,172,3,(x5),"44,028","9,274,926"
Manuel Turizo - La Bachata,708,227,1,(x8),"24,816","9,102,778"
Bad Bunny - Tití Me Preguntó,661,236,1,(x13),"70,655","8,964,543"
Bad Bunny - Si Estuviésemos Juntos,1965,18,8,,"11,708","8,487,002"
Tainy - Lo Siento BB:/,889,212,1,(x167),"26,416","8,402,871"
Feid - Feliz Cumpleaños Ferxxo,632,203,2,(x1),"32,929","8,375,064"
Jay Wheeler - La Curiosidad,1428,180,2,(x61),"14,890","8,328,035"
Plan B - Es un Secreto,1087,148,4,,"21,860","8,324,058"
Grupo Frontera - un x100to,391,185,1,(x48),"91,553","7,725,318"
Bad Bunny - Neverita,732,144,3,(x1),"55,137","7,685,194"
Jhayco - CÓMO SE SIENTE - Remix,1415,110,3,(x14),"19,213","7,527,726"
Bad Bunny - Vete,1354,160,1,(x15),"31,351","7,354,739"
Bad Bunny - TE MUDASTE,1237,152,2,(x1),"59,058","7,262,904"
Jhayco - No Me Conoce - Remix,1299,237,3,(x19),"12,466","7,181,415"
Ozuna - Hey Mor,583,149,2,(x1),"31,769","7,032,726"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",596,142,1,(x20),"41,836","6,963,686"
Tego Calderón - Pa' Que Retozen,1304,,13,,"13,983","6,607,800"
Feid - Normal,674,34,6,,"25,580","6,532,955"
Don Omar - Dile,1461,,12,,"13,109","6,522,866"
KAROL G - PROVENZA,748,97,1,(x4),"23,953","6,410,384"
Bad Bunny - A Tu Merced,1266,102,5,,"25,006","6,363,490"
Bad Bunny - Una Vez,1525,,11,,"22,535","6,228,872"
Bad Bunny - Un Coco,736,5,9,,"47,409","6,081,420"
Anuel AA - Sola (Remix),2198,206,4,,"7,164","6,071,759"
Carin Leon - Que Vuelvas,511,53,6,,"20,034","6,063,120"
Eslabon Armado - Ella Baila Sola,394,121,1,(x33),"66,299","6,061,710"
Bad Bunny - Si Veo a Tu Mamá,1209,92,1,(x10),"49,844","6,032,879"
Yandel - Yandel 150,475,165,1,(x21),"38,292","5,967,041"
Feid - Classy 101,408,168,4,,"28,796","5,881,695"
Arcángel - La Jumpa,467,133,1,(x50),"37,424","5,744,265"
Myke Towers - LALA,323,153,1,(x54),"43,794","5,714,902"
Yng Lvcas - La Bebe - Remix,417,139,2,(x2),"38,574","5,632,753"
Bad Bunny - LA NOCHE DE ANOCHE,788,184,2,(x75),"57,263","5,526,310"
Rauw Alejandro - Todo De Ti,802,216,1,(x9),"35,764","5,521,922"
Rauw Alejandro - Desesperados,791,112,3,(x26),"13,687","5,482,237"
Mora - Volando - Remix,778,269,2,(x1),"25,068","5,432,682"
Bad Bunny - Tarot,597,162,7,,"64,969","5,401,644"
Los Enanitos Verdes - Lamento Boliviano,2011,,50,,"6,583","5,396,512"
J Balvin - QUE PRETENDES,1588,116,4,,"15,254","5,394,608"
The Weeknd - Blinding Lights,1296,106,5,,"12,000","5,372,402"
Anuel AA - Hasta Que Dios Diga,1353,46,1,(x4),"13,059","5,360,870"
Bad Bunny - Diles,1167,,14,,"9,261","5,338,598"
Harry Styles - As It Was,760,35,1,(x1),"19,079","5,299,079"
Mora - LA INOCENTE,771,,14,,"15,555","5,285,158"
J Balvin - UN PESO,1712,7,6,,"12,607","5,281,666"
Jimin - Like Crazy,412,77,1,(x11),"41,092","5,257,222"
Aventura - Volví,791,234,1,(x3),"34,774","5,230,172"
Bad Bunny - Safaera,1092,143,1,(x79),"31,021","5,229,538"
Bad Bunny - PERRO NEGRO,212,212,1,(x55),"71,772","5,215,012"
Carin Leon - Primera Cita,365,156,2,(x27),"23,386","5,150,490"
Maluma - Según Quién,262,220,2,(x30),"27,583","4,928,464"
Anuel AA - Amanece,1032,114,5,,"9,187","4,913,943"
Christian Nodal - Ya No Somos Ni Seremos,802,33,1,(x1),"17,362","4,892,801"
Bad Bunny - Party,457,122,5,,"57,666","4,807,606"
Maluma - Hawái,715,185,1,(x71),"34,659","4,790,223"
Grupo Frontera - EL AMOR DE SU VIDA,283,183,2,(x3),"29,355","4,736,756"
Xavi - La Diabla,156,148,1,(x103),"48,775","4,708,863"
Lunay - Soltera - Remix,1377,141,2,(x21),"14,924","4,706,218"
Bad Bunny - La Corriente,571,61,9,,"53,952","4,690,581"
KAROL G - Tusa,916,114,1,(x70),"32,940","4,654,005"
Calle 24 - Que Onda,254,199,2,(x3),"25,729","4,516,104"
Feid - CHORRITO PA LAS ANIMAS,518,40,6,,"24,032","4,502,501"
Bad Bunny - La Difícil,1060,72,2,(x7),"47,580","4,477,580"
Bad Bunny - Ignorantes,965,136,1,(x15),"39,435","4,434,152"
KAROL G - TQG,424,66,1,(x27),"41,307","4,405,377"
Fuerza Regida - Bebe Dame,447,74,3,(x2),"21,527","4,336,344"
Bad Bunny - WHERE SHE GOES,350,108,1,(x10),"58,543","4,335,157"
KAROL G - QLONA,275,161,3,(x6),"20,722","4,276,496"
Grupo Frontera - No Se Va - En Vivo,541,6,10,,"15,449","4,251,493"
Piso 21 - Pa' Olvidarme De Ella,1086,,11,,"7,892","4,234,165"
Bad Bunny - Un Ratito,470,68,6,,"67,830","4,193,793"
Arcángel - Tu No Vive Asi,1227,,31,,"7,503","4,177,640"
Gera MX - Botella Tras Botella,688,90,1,(x8),"33,440","4,102,067"
Eladio Carrion - Coco Chanel,401,49,1,(x4),"29,174","4,032,326"
Junior H - El Azul,436,63,6,,"21,693","4,017,529"
Aventura - Ella Y Yo - Featuring Don Omar,1307,,51,,"7,492","4,003,323"
Peso Pluma - LADY GAGA,324,47,3,(x3),"20,793","3,981,520"
Christian Nodal - De Los Besos Que Te Di,1343,,13,,"9,445","3,955,698"
Natanael Cano - AMG,425,63,3,(x1),"29,551","3,934,102"
De La Ghetto - Sensacion Del Bloque,1040,,33,,"8,538","3,899,195"
