artist_title,days,t10,pk,x?,pkstreams,total
"Keung To - Dear My Friend,",1008,976,1,(x50),"49,941","32,921,204"
MC 張天賦 - 記憶棉,933,357,1,(x109),"75,339","20,085,059"
Keung To - 作品的說話,742,416,1,(x74),"50,074","19,943,727"
Keung To - 風雨不改 (電影《阿媽有咗第二個》主題曲),525,459,1,(x127),"58,034","18,563,173"
MC 張天賦 - 反對無效,1073,341,2,(x77),"60,417","17,357,102"
Keung To - 鏡中鏡,744,415,2,(x7),"46,890","16,683,500"
陳卓賢 Ian - 留一天與你喘息,817,214,1,(x26),"64,446","15,820,220"
MC 張天賦 - 老派約會之必要,663,236,1,(x30),"131,096","15,573,034"
Jason Chan - 你瞞我瞞,3174,,13,,"27,246","15,522,862"
Terence Lam - 一人之境 in C major,1318,292,1,(x86),"47,482","14,764,855"
Kay Tse - 囍帖街,3176,,15,,"8,812","14,734,008"
Hins Cheung - 春秋,2575,,16,,"12,467","14,191,084"
Edan 呂爵安 - E先生 連環不幸事件,1086,355,1,(x40),"37,851","13,181,539"
Keung To - Dummy,349,347,1,(x46),"74,624","13,153,232"
Dear Jane - 銀河修理員,1454,295,1,(x50),"33,229","12,995,518"
Dear Jane - 哪裡只得我共你,2793,24,6,,"10,053","12,842,601"
The Chainsmokers - Something Just Like This,2240,184,1,(x38),"31,286","12,623,550"
MC 張天賦 - 時候不早,880,96,2,(x9),"51,272","12,342,451"
Hins Cheung - 櫻花樹下,2251,,21,,"12,855","12,143,621"
陳卓賢 Ian - 鯨落,1242,23,6,,"17,579","11,851,908"
Shawn Mendes - Señorita,1370,335,1,(x147),"50,122","11,843,872"
The Kid LAROI - Stay,1037,171,1,(x22),"31,936","11,833,828"
Keung To - Master Class,1079,170,3,(x1),"37,920","11,819,982"
Justin Lo - 命硬,3007,,30,,"6,913","11,659,305"
Ed Sheeran - Shape of You,1814,291,1,(x96),"33,642","11,648,135"
Jay Chou - 告白氣球,2493,,11,,"9,459","11,512,774"
Anson Lo 盧瀚霆 - MONEY,445,192,1,(x13),"55,735","11,501,346"
Hins Cheung - 俏郎君,1188,111,5,,"20,604","11,375,576"
Terence Siufay - 時光機,2998,,42,,"8,089","11,290,264"
Anson Lo 盧瀚霆 - 永順街39號,544,226,1,(x37),"54,194","11,201,595"
Ed Sheeran - Perfect,2408,93,4,,"12,621","11,114,106"
