artist_title,days,t10,pk,x?,pkstreams,total
Hafdís Huld - Dvel ég í draumahöll,1775,745,1,(x29),"5,725","4,915,754"
Hafdís Huld - Litlar stjörnur,1633,503,2,(x5),"4,608","3,843,103"
Hafdís Huld - Óskasteinar,1662,353,3,(x4),"4,283","3,752,860"
Hafdís Huld - Sofðu unga ástin mín,1656,324,4,,"4,363","3,705,176"
BRÍET - Esjan,1518,337,2,(x22),"8,541","3,629,614"
The Weeknd - Blinding Lights,1198,225,1,(x77),"11,691","3,279,545"
Hafdís Huld - Sofa urtubörn,1540,156,5,,"4,061","3,278,376"
Hafdís Huld - Ljós,1528,67,7,,"3,881","3,158,398"
Lady Gaga - Shallow,1192,196,1,(x61),"11,991","3,094,543"
Hafdís Huld - Bíum bíum bambaló,1528,33,8,,"3,671","3,082,177"
BRÍET - Rólegur Kúreki,1243,196,1,(x79),"18,004","2,995,771"
Bubbi Morthens - Rómeó og Júlía,2068,,19,,"2,621","2,869,179"
Herra Hnetusmjör - Upp Til Hópa,939,195,1,(x50),"15,488","2,831,242"
Hafdís Huld - Góða nótt,1342,2,9,,"3,480","2,657,204"
Hafdís Huld - Sólskin,1320,,13,,"3,214","2,450,249"
Hafdís Huld - Frost er úti fuglinn minn,1281,,13,,"3,219","2,438,479"
Hafdís Huld - Bí bí og blaka,1307,,14,,"3,144","2,429,028"
Hafdís Huld - Sofðu,1263,,15,,"3,168","2,371,076"
Hafdís Huld - Nóttin læðist inn,1259,,15,,"3,078","2,329,007"
Billie Eilish - bad guy,623,131,1,(x69),"12,996","2,324,802"
Birnir - Já ég veit,1021,144,1,(x58),"17,777","2,299,225"
Hafdís Huld - Þú ert,1212,,19,,"2,927","2,145,391"
Ed Sheeran - Shape of You,810,172,1,(x54),"9,606","2,143,961"
Laddi - Snjókorn falla,478,265,1,(x49),"21,008","2,136,821"
Mariah Carey - All I Want for Christmas Is You,475,258,1,(x44),"20,310","2,100,788"
Wham! - Last Christmas,476,243,1,(x9),"21,053","2,034,639"
PATRi!K - Skína,296,256,1,(x104),"31,047","1,964,867"
Lewis Capaldi - Someone You Loved,1174,2,10,,"3,502","1,929,893"
KALEO - Vor í Vaglaskógi,1335,,18,,"2,864","1,924,121"
Harry Styles - As It Was,708,196,1,(x88),"12,865","1,899,731"
Tones And I - Dance Monkey,539,155,1,(x62),"11,974","1,895,369"
JóiPé - B.O.B.A.,504,118,1,(x38),"44,069","1,889,452"
Luis Fonsi - Despacito - Remix,451,140,1,(x89),"20,449","1,885,302"
Aron Can - FLÝG UPP,896,116,1,(x16),"15,998","1,847,822"
Auður - Enginn eins og þú,653,151,1,(x5),"8,360","1,837,535"
Helgi Björnsson - Ef ég nenni,474,256,1,(x5),"18,347","1,837,244"
Glass Animals - Heat Waves,860,214,1,(x8),"4,895","1,826,679"
Post Malone - rockstar,602,153,1,(x9),"13,271","1,825,486"
Michael Bublé - It's Beginning to Look a Lot Like Christmas,492,226,1,(x9),"18,531","1,817,723"
JóiPé - Í Átt Að Tunglinu,517,149,1,(x45),"23,155","1,807,025"
Hafdís Huld - Ævintýralönd,712,,11,,"3,568","1,771,105"
Hjálmar - Leiðin Okkar Allra,1454,,40,,"1,924","1,761,340"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,707,55,3,(x12),"6,668","1,650,381"
Í svörtum fötum - Jólin eru að koma,435,177,4,,"18,015","1,643,950"
Aron Can - Fullir Vasar,487,158,1,(x28),"12,796","1,626,067"
Floni - Ungir Strákar - Deep Mix,656,128,1,(x17),"20,088","1,610,031"
Miley Cyrus - Flowers,464,136,1,(x86),"18,103","1,595,999"
Juice WRLD - Lucid Dreams,781,82,1,(x1),"8,234","1,569,701"
Birnir - Út í geim,679,113,1,(x7),"10,179","1,562,801"
Friðrik Dór - Hata að hafa þig ekki hér (SAMSUNG SESSJÓN),987,9,7,,"4,999","1,562,373"
Billie Eilish - when the party's over,645,43,5,,"6,389","1,545,754"
Ed Sheeran - Perfect,883,51,3,(x1),"7,379","1,526,064"
Svala - Ég hlakka svo til,420,139,1,(x1),"13,872","1,517,410"
Bubbi Morthens - Afgan,1204,,27,,"2,173","1,497,352"
Emmsjé Gauti - Malbik,516,109,1,(x4),"10,032","1,492,381"
Ruth Reginalds - Þú komst með jólin til mín,410,109,4,,"15,174","1,479,810"
JóiPé - O Shit,507,104,2,(x14),"28,817","1,472,563"
Chase Anthony - Ég Vil Það,343,128,1,(x43),"14,803","1,452,711"
Aron Can - Aldrei Heim,583,83,1,(x4),"20,253","1,400,971"
The Kid LAROI - Stay,465,133,1,(x45),"9,790","1,387,866"
Herra Hnetusmjör - Klakar,526,74,2,(x4),"12,047","1,380,898"
JóiPé - Þráhyggja,459,73,1,(x6),"26,768","1,373,897"
Käärijä - Cha Cha Cha,415,88,1,(x55),"32,412","1,372,194"
GDRN - Lætur mig,714,1,9,,"5,107","1,355,796"
Shawn Mendes - Señorita,400,125,1,(x41),"12,438","1,335,660"
Daniil - EF ÞEIR VILJA BEEF,604,136,1,(x13),"38,343","1,326,037"
Drake - One Dance,512,169,1,(x81),"7,947","1,325,768"
ICEGUYS - Krumla,296,161,1,(x11),"12,021","1,313,114"
Bubbi Morthens - Tárin falla hægt,559,73,1,(x41),"30,563","1,277,198"
David Guetta - I'm Good (Blue),579,108,1,(x24),"6,046","1,276,488"
Harry Styles - Watermelon Sugar,681,16,6,,"5,395","1,274,574"
Birnir - Spurningar,457,120,1,(x8),"15,895","1,267,567"
Herra Hnetusmjör - Þegar Þú Blikkar,275,128,1,(x25),"19,148","1,265,310"
SAINt JHN - Roses - Imanbek Remix,466,104,2,(x8),"7,263","1,264,857"
Joey Christ - Joey Cypher,381,94,2,(x49),"11,447","1,247,589"
Ingó Veðurguð - Sumargleðin (ft. Gummi Tóta & Ingó Veðurguð),461,76,3,(x14),"9,311","1,243,457"
Elton John - Cold Heart - PNAU Remix,585,107,2,(x22),"6,402","1,232,617"
Bubbi Morthens - Ástrós,638,91,1,(x17),"15,276","1,231,205"
Floni - Leika,554,31,2,(x16),"13,718","1,226,536"
Ingó Veðurguð - Í kvöld er gigg,495,97,4,,"5,918","1,224,947"
Tom Odell - Another Love,806,,14,,"2,427","1,196,912"
