artist_title,days,t10,pk,x?,pkstreams,total
King - Maan Meri Jaan,578,275,1,(x123),"2,032,986","414,739,508"
"Tanishk Bagchi - Raataan Lambiyan (From ""Shershaah"")",1015,294,1,(x141),"1,235,566","368,425,651"
AP Dhillon - Excuses,933,304,1,(x101),"1,309,583","356,612,216"
King - Tu Aake Dekhle,1198,407,3,(x15),"886,224","354,471,811"
"Alka Yagnik - Agar Tum Saath Ho (From ""Tamasha"")",1683,131,4,,"730,083","342,065,697"
Pritam - Kesariya,584,289,1,(x44),"1,213,960","338,075,000"
"Jasleen Royal - Ranjha (From ""Shershaah"")",1010,246,1,(x6),"1,084,063","324,533,431"
Pritam - Shayad,1546,404,1,(x93),"404,167","304,603,756"
Shubh - No Love,750,273,2,(x26),"672,887","301,687,464"
Aditya A - Chaand Baaliyan,817,236,2,(x14),"668,270","289,523,790"
"Arijit Singh - Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",1807,346,2,(x50),"450,271","287,195,393"
"Vishal Mishra - Kaise Hua (From ""Kabir Singh"")",1794,34,4,,"429,565","274,219,176"
Shae Gill - Pasoori,657,218,1,(x77),"1,000,170","256,055,479"
Jasleen Royal - Heeriye,291,181,1,(x27),"2,241,774","244,032,636"
Anirudh Ravichander - Chaleya,249,232,1,(x43),"2,295,124","239,552,831"
Kaifi Khalil - Kahani Suno 2.0,508,142,1,(x38),"1,389,518","239,100,506"
The Kid LAROI - Stay,941,225,1,(x6),"647,794","233,334,928"
Shubh - Cheques,350,172,1,(x27),"1,410,911","225,435,415"
Chani Nattan - Daku,630,201,4,,"705,211","223,116,126"
Shubh - We Rollin,898,8,8,,"400,849","219,611,456"
Shubh - Baller,611,124,2,(x14),"707,707","219,290,368"
Sachet Tandon - Malang Sajna,480,132,4,,"744,978","218,044,382"
Sidhu Moose Wala - 295,815,112,1,(x11),"914,415","217,487,823"
Pritam - Tum Se Hi,1510,,23,,"371,094","213,876,297"
Ed Sheeran - Perfect,1480,,24,,"317,192","209,495,967"
Pritam - Khairiyat,1688,136,1,(x12),"249,936","206,331,916"
Alec Benjamin - Let Me Down Slowly,1486,,32,,"296,390","205,266,077"
Anuv Jain - Baarishein,1095,,18,,"464,092","202,837,454"
Javed-Mohsin - Pal,1852,,29,,"361,965","198,984,865"
Ruth B. - Dandelions,894,,12,,"364,601","191,907,308"
Pritam - Kabira,1699,,30,,"364,220","190,348,818"
Glass Animals - Heat Waves,828,169,3,(x5),"484,044","187,203,522"
One Direction - Night Changes,1101,,19,,"337,207","185,737,886"
Vishal Mishra - Pehle Bhi Main,164,160,1,(x124),"2,091,461","184,243,725"
"Vishal-Shekhar - Besharam Rang (From ""Pathaan"")",517,101,3,(x5),"986,988","179,496,939"
The Weeknd - Starboy,1021,4,9,,"414,941","179,444,092"
AUR - Tu hai kahan,214,192,1,(x37),"1,741,520","178,422,209"
Pritam - Tere Pyaar Mein,465,113,4,,"645,424","177,650,938"
Sachin-Jigar - Saibo,1294,,26,,"336,182","177,644,927"
"Akhil - Duniyaa (From ""Luka Chuppi"")",1240,187,1,(x11),"342,914","176,641,942"
"Arijit Singh - Humdard (From ""Ek Villain"")",1402,,26,,"407,498","174,937,942"
Darshan Raval - Mahiye Jinna Sohna,325,130,2,(x15),"1,119,317","172,219,484"
"Varun Jain - Tere Vaaste (From ""Zara Hatke Zara Bachke"")",354,86,1,(x37),"1,560,985","169,042,269"
Sharn - Mi Amor,487,19,7,,"651,531","168,759,119"
"Akhil Sachdeva - Tera Ban Jaunga (From ""Kabir Singh"")",1641,37,7,,"266,804","168,549,716"
"Arijit Singh - Satranga (From ""ANIMAL"")",197,174,2,(x41),"1,731,421","168,054,421"
Darshan Raval - Asal Mein,1070,,16,,"476,386","166,263,143"
"Ayushmann Khurrana - Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",1530,,11,,"273,071","165,420,652"
"Arijit Singh - Tum Hi Ho (From ""Aashiqui 2"")",1168,,43,,"311,865","164,108,953"
Shubh - One Love,268,168,3,(x36),"1,033,472","164,036,991"
"Arijit Singh - Mast Magan (From ""2 States"")",1180,,36,,"304,934","163,441,247"
"Pritam - O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",434,103,1,(x10),"896,384","162,329,608"
AP Dhillon - Brown Munde,906,187,1,(x36),"391,111","162,205,249"
Atif Aslam - Tera Hone Laga Hoon,1096,,33,,"318,739","160,571,443"
Shawn Mendes - Señorita,1483,197,1,(x72),"218,422","160,421,023"
Vishal-Shekhar - Jhoome Jo Pathaan,433,122,3,(x11),"1,084,318","158,046,046"
Imagine Dragons - Believer,1708,,24,,"227,262","157,062,141"
"Sachet Tandon - Mere Sohneya (From ""Kabir Singh"")",1482,83,4,,"286,881","157,036,802"
Ed Sheeran - Shape of You,1419,,60,,"231,373","154,542,261"
"Yasser Desai - Dil Ko Karaar Aaya (From ""Sukoon"")",827,72,1,(x1),"309,073","154,247,532"
AP Dhillon - Insane,847,107,3,(x7),"461,847","154,049,677"
Shubh - Elevated,816,,24,,"310,387","154,047,176"
The Weeknd - Blinding Lights,1369,123,3,(x1),"218,493","151,879,049"
