artist_title,days,t10,pk,x?,pkstreams,total
Anggi Marito - Tak Segampang Itu,493,400,1,(x98),"1,587,709","359,055,372"
Feby Putri - Runtuh,945,504,1,(x4),"613,825","347,577,712"
Raim Laode - Komang,455,248,1,(x64),"1,780,047","301,041,146"
Nadin Amizah - Bertaut,1444,169,1,(x40),"402,202","292,345,478"
Tulus - Monokrom,2706,,12,,"421,746","289,824,592"
Virgoun - Selamat (Selamat Tinggal),1753,4,6,,"633,461","281,385,756"
Mahalini - Sial,470,241,1,(x19),"1,499,583","277,969,951"
Tulus - Hati-Hati di Jalan,801,260,1,(x89),"1,461,480","276,208,220"
Pamungkas - To the Bone,1602,238,1,(x80),"750,272","275,453,857"
Last Child - Duka,1036,9,9,,"519,615","267,711,905"
Juicy Luicy - Lantas,1195,78,2,(x1),"431,137","244,951,941"
Andra & The Backbone - Sempurna,2477,,13,,"419,641","243,779,796"
Mahalini - Sisa Rasa,930,314,3,(x17),"459,814","239,922,590"
Hindia - Rumah Ke Rumah,1625,,18,,"405,292","231,210,067"
raissa anggiani - Kau Rumahku,636,217,1,(x12),"625,011","228,854,716"
Keisya Levronka - Tak Ingin Usai,724,167,1,(x66),"751,480","226,985,604"
Lyodra - Pesan Terakhir,1027,234,3,(x14),"583,923","226,301,719"
Ruth B. - Dandelions,1219,,13,,"322,115","224,698,017"
Hindia - Evaluasi,901,115,1,(x40),"501,786","221,187,690"
Awdella - Tertawan Hati,594,214,2,(x3),"620,206","220,229,371"
Hindia - Secukupnya,1696,120,1,(x26),"337,937","214,727,498"
For Revenge - Serana,728,2,10,,"509,016","213,144,799"
d4vd - Here With Me,581,195,2,(x8),"608,303","202,869,983"
Nadhif Basalamah - penjaga hati,221,217,1,(x151),"1,469,908","201,186,591"
Olivia Rodrigo - happier,1086,109,1,(x26),"489,522","198,854,300"
Dhruv - double take,1114,115,2,(x3),"346,755","197,060,879"
Pendarra - Kukira Kau Rumah,1401,25,2,(x3),"302,215","195,460,578"
Ghea Indrawari - Jiwa Yang Bersedih,331,178,1,(x67),"1,356,440","194,490,631"
One Direction - Night Changes,1231,,17,,"434,433","194,302,315"
Fabio Asher - Rumah Singgah,730,131,2,(x2),"413,070","194,209,574"
The Walters - I Love You So,946,130,3,(x19),"287,809","194,178,277"
Tulus - Interaksi,801,10,9,,"407,092","193,729,882"
SZA - Kill Bill,517,145,1,(x49),"691,112","191,965,445"
Tiara Andini - Usai,534,16,7,,"579,910","190,463,890"
Vierra - Seandainya,1170,,27,,"374,030","186,843,083"
Miley Cyrus - Angels Like You,424,149,3,(x10),"850,672","185,871,597"
New West - Those Eyes,590,69,6,,"547,998","184,722,828"
Mahalini - Melawan Restu,1065,41,8,,"235,704","184,629,198"
Aziz Hedra - Somebody's Pleasure,405,201,5,,"743,650","184,472,280"
Hal - L,758,7,7,,"376,016","180,569,263"
GANGGA - Blue Jeans,1052,144,2,(x22),"324,966","179,162,188"
Tiara Andini - Merasa Indah,869,120,1,(x24),"350,781","175,794,331"
