artist_title,days,t10,pk,x?,pkstreams,total
Lewis Capaldi - Someone You Loved,1996,277,1,(x42),"103,890","38,111,865"
The Killers - Mr. Brightside,3279,,12,,"25,935","29,515,481"
The Weeknd - Blinding Lights,1440,195,1,(x60),"99,008","26,041,472"
Lady Gaga - Shallow,1942,136,1,(x24),"77,054","24,977,366"
Tones And I - Dance Monkey,915,193,1,(x101),"141,266","22,678,225"
Harry Styles - As It Was,770,303,1,(x92),"144,824","22,403,206"
Vance Joy - Riptide,2946,10,10,,"31,231","22,116,085"
Glass Animals - Heat Waves,1096,258,4,,"58,037","21,589,886"
Dermot Kennedy - Outnumbered,1232,154,1,(x2),"84,836","21,405,491"
Noah Kahan - Stick Season,505,216,1,(x111),"126,113","21,179,113"
Harry Styles - Watermelon Sugar,1371,118,2,(x6),"61,320","19,549,221"
Tom Odell - Another Love,1222,38,6,,"28,071","19,317,145"
Ed Sheeran - Bad Habits,713,203,1,(x36),"138,244","18,708,504"
Mariah Carey - All I Want for Christmas Is You,521,264,1,(x67),"257,148","18,704,585"
Ed Sheeran - Shape of You,1269,131,1,(x56),"137,039","18,569,806"
Olivia Rodrigo - good 4 u,767,151,1,(x44),"182,242","18,458,222"
Hozier - Take Me To Church,2471,182,2,(x8),"26,580","18,354,626"
Lewis Capaldi - Before You Go,1289,127,1,(x32),"112,703","18,301,828"
George Ezra - Shotgun,1334,131,1,(x20),"74,273","18,286,855"
Fleetwood Mac - Dreams - 2004 Remaster,1869,4,9,,"36,449","18,260,373"
Dermot Kennedy - Giants,907,220,1,(x6),"90,604","18,195,929"
Joel Corry - Head & Heart,798,177,1,(x32),"110,087","18,190,721"
Dermot Kennedy - Power Over Me,1488,1,10,,"44,561","17,983,291"
James Arthur - Say You Won't Let Go,2158,122,1,(x37),"43,628","17,882,357"
Wham! - Last Christmas,518,228,1,(x41),"281,238","17,702,457"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1304,96,2,(x1),"46,825","17,278,660"
Drake - One Dance,1625,156,1,(x95),"55,497","17,130,759"
Olivia Rodrigo - drivers license,792,124,1,(x69),"260,997","16,802,871"
Fleetwood Mac - Everywhere - 2017 Remaster,2144,,24,,"20,640","16,750,723"
Billie Eilish - bad guy,828,113,1,(x12),"93,690","16,386,634"
Dua Lipa - Don't Start Now,958,180,1,(x3),"77,600","16,300,688"
Elton John - Cold Heart - PNAU Remix,812,185,1,(x20),"74,691","15,960,979"
SAINt JHN - Roses - Imanbek Remix,670,156,1,(x41),"92,213","15,521,740"
The Kid LAROI - Stay,644,161,1,(x47),"89,378","15,380,068"
Lewis Capaldi - Bruises,1314,8,5,,"58,205","15,199,518"
Ed Sheeran - Shivers,739,210,1,(x20),"72,796","15,073,193"
Calvin Harris - One Kiss,1088,98,1,(x55),"85,937","14,981,190"
The Pogues - Fairytale of New York,537,198,1,(x7),"207,028","14,767,650"
Miley Cyrus - Flowers,483,181,1,(x62),"158,719","14,750,701"
Dua Lipa - Levitating,742,164,4,,"58,067","14,143,764"
Taylor Swift - Anti-Hero,550,203,1,(x37),"134,984","14,040,838"
Lord Huron - The Night We Met,1513,,14,,"25,419","13,599,824"
MEDUZA - Paradise,806,142,1,(x13),"72,330","13,551,233"
Post Malone - rockstar,983,126,1,(x39),"49,329","13,524,394"
Dominic Fike - 3 Nights,845,123,2,(x2),"55,577","13,459,380"
Juice WRLD - Lucid Dreams,1123,9,3,(x1),"48,373","13,455,956"
Brenda Lee - Rockin' Around The Christmas Tree,386,159,2,(x3),"276,049","13,337,803"
Anne-Marie - 2002,1096,87,1,(x5),"59,225","13,196,982"
OneRepublic - I Ain't Worried,689,123,3,(x9),"46,074","13,013,383"
Lost Frequencies - Where Are You Now,754,160,1,(x27),"47,294","12,894,081"
Post Malone - Circles,770,98,2,(x14),"61,361","12,874,666"
Oasis - Wonderwall - Remastered,2118,,59,,"11,453","12,833,282"
Adele - Easy On Me,674,119,1,(x49),"319,678","12,807,536"
Coldplay - Viva La Vida,1052,8,3,(x1),"52,335","12,806,481"
Taylor Swift - Cruel Summer,483,173,3,(x2),"47,154","12,572,131"
benny blanco - Eastside,724,97,1,(x11),"66,585","12,527,715"
Journey - Don't Stop Believin',1946,,60,,"13,672","12,367,679"
DaBaby - ROCKSTAR,494,154,1,(x68),"92,124","12,363,688"
cassö - Prada,275,180,1,(x29),"68,527","12,343,565"
TOTO - Africa,1890,,60,,"15,872","12,290,258"
Fleetwood Mac - Go Your Own Way - 2004 Remaster,1601,,46,,"15,915","12,271,910"
David Guetta - I'm Good (Blue),620,133,1,(x7),"60,857","12,259,326"
Avicii - Wake Me Up,1846,2,6,,"50,068","12,054,173"
Coldplay - Yellow,1377,2,4,,"51,623","11,905,718"
Michael Bublé - It's Beginning to Look a Lot Like Christmas,451,131,3,(x1),"210,482","11,842,597"
J. Cole - No Role Modelz,1493,,50,,"15,574","11,825,575"
24kGoldn - Mood,502,123,1,(x53),"88,201","11,762,909"
Ed Sheeran - I Don't Care,663,88,1,(x41),"158,085","11,498,995"
Lewis Capaldi - Hold Me While You Wait,713,59,1,(x7),"132,869","11,488,043"
Dean Lewis - Be Alright,1083,51,5,,"42,409","11,469,607"
Dua Lipa - New Rules,664,158,1,(x64),"54,280","11,469,224"
The Lumineers - Ophelia,1590,,14,,"17,130","11,380,501"
Dave - Location,1212,,16,,"26,884","11,336,561"
The Cranberries - Zombie,1354,7,1,(x1),"45,098","11,331,581"
The Neighbourhood - Sweater Weather,1199,,25,,"16,507","11,293,473"
WALK THE MOON - Shut Up and Dance,1803,86,4,,"18,046","11,261,250"
Tiësto - The Business,587,123,1,(x2),"54,243","11,248,554"
Ava Max - Sweet but Psycho,707,94,1,(x23),"69,456","11,164,181"
Miley Cyrus - Party In The U.S.A.,1611,,34,,"16,511","11,151,352"
Shawn Mendes - Señorita,548,105,1,(x63),"90,388","11,084,852"
Jazzy - Giving Me,380,148,1,(x24),"92,926","11,052,966"
Zach Bryan - Something in the Orange,621,12,9,,"30,500","10,932,532"
Loud Luxury - Body,747,64,2,(x4),"58,394","10,898,682"
French Montana - Unforgettable,837,115,1,(x3),"43,677","10,880,885"
The Goo Goo Dolls - Iris,1071,,26,,"21,368","10,855,241"
Ariana Grande - Santa Tell Me,457,93,4,,"192,173","10,831,233"
Billie Eilish - lovely,1244,,22,,"22,104","10,676,237"
Dermot Kennedy - Better Days,650,51,3,(x1),"61,400","10,501,292"
Stormzy - Vossi Bop,573,97,3,(x4),"68,744","10,443,305"
Drake - God's Plan,583,101,1,(x77),"70,932","10,388,314"
Mabel - Don't Call Me Up,719,95,3,(x19),"54,412","10,308,972"
Florence + The Machine - Dog Days Are Over,1172,2,7,,"30,791","10,306,909"
Band Aid - Do They Know It's Christmas? - 1984 Version,406,83,4,,"164,091","10,302,529"
Dave - Sprinter,334,127,1,(x62),"98,318","10,292,798"
Luis Fonsi - Despacito - Remix,512,133,1,(x93),"87,385","10,141,052"
Bobby Helms - Jingle Bell Rock,335,99,4,,"225,299","10,134,234"
Tate McRae - greedy,240,168,1,(x4),"63,452","10,087,260"
Arctic Monkeys - Do I Wanna Know?,2026,,26,,"17,440","10,083,989"
Lil Nas X - MONTERO (Call Me By Your Name),405,116,1,(x34),"87,781","10,080,135"
Ed Sheeran - Perfect,1045,34,7,,"68,874","10,044,963"
