artist_title,days,t10,pk,x?,pkstreams,total
Eden Hason - שקיעות אדומות,1295,189,2,(x21),"24,094","16,860,575"
Tuna - היי בייב,877,394,2,(x1),"28,741","15,799,552"
Hanan Ben Ari - אלוף העולם,1895,247,2,(x8),"15,364","15,515,369"
Ishay Ribo - לשוב הביתה,2236,33,5,,"15,797","14,891,829"
Tuna - סהרה - Live,695,278,1,(x18),"48,523","13,971,142"
Marina Maximilian - ביחד,1338,,14,,"16,684","13,398,521"
Eden Hason - עושה לי צרות,720,230,3,(x10),"29,149","13,024,189"
The Weeknd - Blinding Lights,1484,278,1,(x32),"19,995","12,903,049"
Eden Hason - את חסרה לי,1412,108,1,(x8),"20,296","12,668,004"
Raviv Kaner - רסיסים,1187,254,1,(x70),"27,974","12,619,656"
Benaia Barabi - קרן שמש,667,241,1,(x77),"49,516","12,404,520"
Idan Rafael Haviv - שלמים,1328,213,1,(x86),"37,973","12,147,121"
Avraham Tal - שבוע טוב,1372,,14,,"17,255","11,812,207"
Hanan Ben Ari - שמש,1624,,14,,"13,752","11,630,277"
Hanan Ben Ari - אם תרצי,1361,105,4,,"17,403","11,598,253"
Eden Hason - גדל לי קצת זקן,1142,193,1,(x4),"30,398","11,391,587"
Eviatar Banai - עד מחר,2154,,24,,"12,097","11,376,808"
Jasmin Moallem - יחפים,888,74,4,,"36,580","11,312,892"
Idan Amedi - חלק מהזמן,2025,,11,,"25,943","11,156,312"
Tuna - עולם משוגע,2098,,24,,"16,151","11,077,905"
Harry Styles - As It Was,771,185,1,(x60),"40,055","11,075,340"
Osher Cohen - אהבה,341,260,1,(x74),"69,601","10,983,531"
Static & Ben El - אפס מאמץ,809,249,1,(x108),"48,372","10,712,886"
Harry Styles - Watermelon Sugar,1358,17,7,,"14,938","10,563,517"
Tuna - בסיבוב,2179,,28,,"15,335","10,318,883"
Full Trunk - סתלבט בקיבוץ,692,175,2,(x16),"32,170","9,897,833"
Shlomo Artzi - תתארו לכם,2116,,19,,"10,280","9,888,166"
Tuna - י'א 2,1302,,17,,"21,022","9,786,166"
Peer Tasi - אהבה חולה,523,201,1,(x46),"48,761","9,727,274"
Lewis Capaldi - Someone You Loved,1627,5,6,,"10,657","9,660,668"
Ravid Plotnik - כל הזמן הזה,1435,,23,,"16,525","9,519,457"
Ishay Ribo - סיבת הסיבות,1008,41,5,,"20,540","9,509,282"
Benaia Barabi - מישהו איתי כאן,1832,,19,,"10,534","9,407,759"
Glass Animals - Heat Waves,895,219,2,(x1),"21,759","9,302,259"
Akiva - אל תעזבי ידיים,1467,,22,,"12,339","9,186,387"
Eliad - מסע,1069,256,1,(x21),"17,728","9,155,977"
Eyal Golan - ממה את מפחדת,1398,162,1,(x26),"17,281","9,079,878"
Yuval Dayan - שרק תחייך,1109,134,4,,"20,245","9,059,610"
