artist_title,days,t10,pk,x?,pkstreams,total
BLANCO - MI FAI IMPAZZIRE,801,199,1,(x71),"906,728","147,598,524"
Salmo - IL CIELO NELLA STANZA,1604,183,1,(x41),"875,592","147,190,341"
Marracash - CRUDELIA - I nervi,1632,80,2,(x5),"593,516","142,539,649"
Lazza - CENERE,458,114,1,(x60),"2,126,399","138,320,375"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",663,153,1,(x47),"595,756","138,089,591"
BLANCO - Notti In Bianco,901,140,1,(x5),"839,497","136,796,930"
Shablo - M' Manc (con Geolier & Sfera Ebbasta),1163,131,1,(x11),"801,257","130,289,973"
Ernia - Superclassico,1132,179,1,(x11),"513,664","118,304,632"
Gazzelle - Destri,1324,127,1,(x1),"398,437","116,082,069"
Geolier - COME VUOI,492,114,5,,"376,454","112,974,681"
Fred De Palma - Una volta ancora,842,130,1,(x32),"487,619","111,955,364"
Finesse - Gelosa,443,185,1,(x10),"680,581","111,642,556"
Coez - La musica non c'è,1547,115,1,(x76),"230,659","111,616,346"
sangiovanni - malibu,487,119,1,(x47),"1,275,117","110,909,938"
Lazza - USCITO DI GALERA,760,118,2,(x1),"333,556","109,584,191"
Pinguini Tattici Nucleari - Ridere,1487,,29,,"152,266","109,311,501"
AVA - VETRI NERI,359,174,1,(x76),"746,768","108,529,380"
Capo Plaza - Capri Sun,623,175,2,(x30),"389,632","104,851,865"
Luchè - Non Abbiamo Età,1606,,34,,"135,042","104,221,602"
Geolier - CHIAGNE,562,99,1,(x3),"705,123","104,102,728"
Pinguini Tattici Nucleari - Pastello Bianco,918,92,1,(x2),"302,682","101,929,823"
Rhove - Shakerando,597,180,1,(x53),"488,637","99,087,428"
Lazza - PANICO,762,28,3,(x1),"417,190","98,355,200"
Tedua - Hoe,346,133,1,(x27),"1,263,626","98,180,273"
Rkomi - LA CODA DEL DIAVOLO (con ELODIE),778,117,1,(x5),"369,620","97,669,485"
thasup - s!r!,481,166,1,(x63),"1,156,740","94,510,617"
Pinguini Tattici Nucleari - Giovani Wannabe,652,126,2,(x2),"414,098","94,449,505"
Mahmood - Brividi,413,112,1,(x48),"3,384,192","93,272,462"
thasup - blun7 a swishland,525,164,1,(x70),"1,283,500","92,733,355"
