artist_title,days,t10,pk,x?,pkstreams,total
Yuuri - ドライフラワー,1288,588,1,(x156),"419,390","224,459,111"
YOASOBI - 夜に駆ける,1518,587,1,(x139),"332,598","219,928,001"
BTS - Dynamite,1359,503,1,(x84),"367,948","200,129,893"
OFFICIAL HIGE DANDISM - Pretender,1852,527,1,(x301),"223,605","196,973,785"
YOASOBI - 群青,1349,221,5,,"255,787","190,362,929"
Mrs. GREEN APPLE - 点描の唄,1811,,15,,"179,020","189,250,300"
OFFICIAL HIGE DANDISM - 115万キロのフィルム,1833,342,6,,"175,461","187,325,073"
Vaundy - 怪獣の花唄,1255,428,1,(x6),"344,084","170,690,765"
back number - 水平線,1003,300,1,(x15),"238,830","156,869,815"
Tani Yuuki - W / X / Y,868,455,1,(x104),"274,906","155,764,603"
Mrs. GREEN APPLE - 青と夏,2127,105,5,,"256,317","153,499,737"
OFFICIAL HIGE DANDISM - I LOVE...,1580,279,1,(x40),"242,036","152,938,381"
Yuuri - ベテルギウス,920,314,1,(x36),"271,083","151,656,844"
OFFICIAL HIGE DANDISM - Subtitle,579,289,1,(x161),"574,459","144,707,509"
Saucy Dog - シンデレラボーイ,945,388,2,(x26),"260,277","144,448,547"
Fujii Kaze - きらり,1106,272,3,(x5),"239,024","144,076,126"
Mrs. GREEN APPLE - ダンスホール,719,549,2,(x7),"266,253","142,294,375"
Macaroni Empitsu - なんでもないよ、,921,248,1,(x17),"277,922","141,997,079"
Aimyon - マリーゴールド,2125,586,1,(x123),"147,504","141,556,246"
YOASOBI - アイドル,397,381,1,(x157),"683,969","141,346,769"
Yorushika - ただ君に晴れ,1833,,12,,"224,322","137,068,990"
YOASOBI - 怪物,1222,256,4,,"268,401","135,681,618"
Aimyon - 裸の心,1466,213,2,(x1),"255,952","123,278,014"
"HIRAIDAI - Stand by me, Stand by you.",1321,109,4,,"240,870","122,085,912"
BTS - Butter,848,217,1,(x100),"503,930","114,877,439"
Mrs. GREEN APPLE - インフェルノ,1760,,13,,"160,825","113,725,716"
OFFICIAL HIGE DANDISM - ノーダウト,2217,357,3,(x27),"126,286","113,672,187"
Ryokuoushoku Shakai - Mela!,1475,,21,,"151,610","110,592,763"
Vaundy - 不可幸力,1392,,18,,"147,475","109,371,042"
Takaya Kawasaki - 魔法の絨毯,1182,,13,,"193,419","109,048,141"
Novelbright - Walking with you,1513,,13,,"150,640","107,427,644"
Yuuri - シャッター,1040,19,9,,"182,052","106,028,495"
Ado - 新時代,641,172,1,(x63),"464,441","105,612,091"
Awesome City Club - 勿忘,768,173,3,(x1),"301,521","103,558,693"
back number - 高嶺の花子さん,1900,151,7,,"179,532","102,326,897"
Aimyon - 君はロックを聴かない,2292,399,2,(x22),"88,532","101,520,181"
Da-iCE - CITRUS,1184,73,8,,"192,279","99,001,709"
natori - Overdose,608,170,2,(x14),"311,854","96,607,751"
Kenshi Yonezu - KICK BACK,579,169,1,(x16),"474,668","96,353,520"
Vaundy - napori,1266,,16,,"172,775","94,780,047"
DISH// - 猫,1185,,19,,"152,512","93,651,290"
OFFICIAL HIGE DANDISM - Cry Baby,929,165,3,(x3),"239,027","93,622,852"
OFFICIAL HIGE DANDISM - ミックスナッツ,758,137,1,(x15),"261,641","92,874,255"
King Gnu - カメレオン,805,88,1,(x17),"261,037","92,053,362"
yama - 春を告げる,1028,63,6,,"196,714","89,186,710"
Novelbright - 愛とか恋とか,755,41,7,,"185,590","88,939,770"
SUDA MASAKI - 虹,930,125,4,,"257,084","88,061,082"
Mrs. GREEN APPLE - 僕のこと,1857,,15,,"116,490","88,004,211"
Aimer - 残響散歌,791,146,1,(x27),"284,617","86,650,391"
Macaroni Empitsu - 恋人ごっこ,1457,,30,,"127,839","86,168,059"
The Kid LAROI - Stay,967,103,7,,"212,321","84,778,461"
BTS - Permission to Dance,674,161,1,(x36),"400,287","84,302,264"
Ed Sheeran - Shape of You,2641,692,1,(x428),"65,868","84,034,590"
Mrs. GREEN APPLE - Soranji,572,1,10,,"223,556","83,973,399"
YOASOBI - ハルジオン,933,,11,,"191,309","83,951,444"
LiSA - 炎,641,167,1,(x32),"365,961","82,330,135"
